region_2,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0085,3.966180137020274,scr1983,effConv,heatpumpAir
AT,hh0086,4.004267613243428,scr1983,effConv,heatpumpAir
AT,hh0087,4.059647572232279,scr1983,effConv,heatpumpAir
AT,hh0088,4.060000000004948,scr1983,effConv,heatpumpAir
AT,hh0089,4.059823803407198,scr1983,effConv,heatpumpAir
AT,hh0090,4.0482101993657125,scr1983,effConv,heatpumpAir
AT,hh0091,3.981518859964126,scr1983,effConv,heatpumpAir
AT,hh0092,4.003265302599175,scr1983,effConv,heatpumpAir
AT,hh0093,4.059823803407198,scr1983,effConv,heatpumpAir
AT,hh0094,4.060000000004948,scr1983,effConv,heatpumpAir
AT,hh0095,4.059647572232279,scr1983,effConv,heatpumpAir
AT,hh0096,4.046025426834603,scr1983,effConv,heatpumpAir
AT,hh0097,4.049929758228245,scr1983,effConv,heatpumpAir
AT,hh0098,4.05682634995901,scr1983,effConv,heatpumpAir
AT,hh0099,4.060000000004948,scr1983,effConv,heatpumpAir
AT,hh0100,3.9690331174897437,scr1983,effConv,heatpumpAir
AT,hh0101,3.9321417514984205,scr1983,effConv,heatpumpAir
AT,hh0102,3.952340967136479,scr1983,effConv,heatpumpAir
AT,hh0103,4.000468588677904,scr1983,effConv,heatpumpAir
AT,hh0104,4.032687596007236,scr1983,effConv,heatpumpAir
AT,hh0105,4.057355043132702,scr1983,effConv,heatpumpAir
AT,hh0106,4.060000000004948,scr1983,effConv,heatpumpAir
AT,hh0107,4.059823803407198,scr1983,effConv,heatpumpAir
AT,hh0108,4.044721078735165,scr1983,effConv,heatpumpAir
AT,hh0109,4.017426179234462,scr1983,effConv,heatpumpAir
AT,hh0110,4.02465005389422,scr1983,effConv,heatpumpAir
AT,hh0111,4.059295109862433,scr1983,effConv,heatpumpAir
AT,hh0112,4.060000000004948,scr1983,effConv,heatpumpAir
AT,hh0113,4.058942751264112,scr1983,effConv,heatpumpAir
AT,hh0114,4.051152583953808,scr1983,effConv,heatpumpAir
AT,hh0115,3.8558036871527293,scr1983,effConv,heatpumpAir
AT,hh0116,3.877637390523887,scr1983,effConv,heatpumpAir
AT,hh0117,4.03262702191023,scr1983,effConv,heatpumpAir
AT,hh0118,4.023760171701724,scr1983,effConv,heatpumpAir
AT,hh0119,3.998659317549027,scr1983,effConv,heatpumpAir
AT,hh0120,4.003672350618217,scr1983,effConv,heatpumpAir
AT,hh0121,3.8759749547698448,scr1983,effConv,heatpumpAir
AT,hh0122,3.880254273288301,scr1983,effConv,heatpumpAir
