region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0337,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0338,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0339,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0340,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0341,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0342,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0343,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0344,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0345,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0346,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0347,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0348,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0349,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0350,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0351,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0352,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0353,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0354,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0355,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0356,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0357,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0358,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0359,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0360,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0361,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0362,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0363,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0364,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0365,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0366,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0367,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0368,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0369,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0370,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0371,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0372,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0373,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0374,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0375,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0376,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0377,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0378,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0379,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0380,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0381,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0382,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0383,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0384,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0385,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0386,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0387,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0388,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0389,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0390,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0391,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0392,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0393,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0394,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0395,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0396,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0397,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0398,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0399,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0400,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0401,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0402,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0403,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0404,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0405,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0406,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0407,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0408,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0409,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0410,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0411,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0412,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0413,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0414,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0415,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0416,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0417,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0418,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0419,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0420,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0421,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0422,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0423,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0424,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0425,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0426,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0427,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0428,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0429,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0430,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0431,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0432,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0433,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0434,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0435,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0436,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0437,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0438,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0439,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0440,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0441,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0442,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0443,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0444,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0445,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0446,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0447,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0448,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0449,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0450,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0451,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0452,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0453,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0454,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0455,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0456,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0457,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0458,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0459,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0460,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0461,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0462,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0463,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0464,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0465,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0466,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0467,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0468,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0469,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0470,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0471,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0472,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0473,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0474,0.29411765,scr1997,mustOut,frtRoadHeavy
AT,h0475,0.1860031741122067,scr1997,mustOut,frtRoadHeavy
AT,h0476,0.08498188447359888,scr1997,mustOut,frtRoadHeavy
AT,h0477,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0478,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0479,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0480,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0481,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0482,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0483,0.0,scr1997,mustOut,frtRoadHeavy
AT,h0484,0.0,scr1997,mustOut,frtRoadHeavy
