region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0169,0.5030766343737485,scr2012,avaConv,runOfRiver
al,h0170,0.495915880040147,scr2012,avaConv,runOfRiver
al,h0171,0.4887508617397281,scr2012,avaConv,runOfRiver
al,h0172,0.4887508617397281,scr2012,avaConv,runOfRiver
al,h0173,0.4887508617397281,scr2012,avaConv,runOfRiver
al,h0174,0.4887508617397281,scr2012,avaConv,runOfRiver
al,h0175,0.48527114018644474,scr2012,avaConv,runOfRiver
al,h0176,0.48179039017292147,scr2012,avaConv,runOfRiver
al,h0177,0.47830860371770156,scr2012,avaConv,runOfRiver
al,h0178,0.47830860371770156,scr2012,avaConv,runOfRiver
al,h0179,0.47830860371770156,scr2012,avaConv,runOfRiver
al,h0180,0.47830860371770156,scr2012,avaConv,runOfRiver
al,h0181,0.4848535046437337,scr2012,avaConv,runOfRiver
al,h0182,0.4913947671276764,scr2012,avaConv,runOfRiver
al,h0183,0.4979324431632324,scr2012,avaConv,runOfRiver
al,h0184,0.4979324431632324,scr2012,avaConv,runOfRiver
al,h0185,0.4979324431632324,scr2012,avaConv,runOfRiver
al,h0186,0.4979324431632324,scr2012,avaConv,runOfRiver
al,h0187,0.4977238488160848,scr2012,avaConv,runOfRiver
al,h0188,0.49751525086591264,scr2012,avaConv,runOfRiver
al,h0189,0.4973066493110935,scr2012,avaConv,runOfRiver
al,h0190,0.4973066493110935,scr2012,avaConv,runOfRiver
al,h0191,0.4973066493110935,scr2012,avaConv,runOfRiver
al,h0192,0.4973066493110935,scr2012,avaConv,runOfRiver
al,h0193,0.4921599986270291,scr2012,avaConv,runOfRiver
al,h0194,0.4870111290264821,scr2012,avaConv,runOfRiver
al,h0195,0.4818600153035263,scr2012,avaConv,runOfRiver
al,h0196,0.4818600153035263,scr2012,avaConv,runOfRiver
al,h0197,0.4818600153035263,scr2012,avaConv,runOfRiver
al,h0198,0.4818600153035263,scr2012,avaConv,runOfRiver
al,h0199,0.4788657595319459,scr2012,avaConv,runOfRiver
al,h0200,0.4758707321816124,scr2012,avaConv,runOfRiver
al,h0201,0.4728749280368904,scr2012,avaConv,runOfRiver
al,h0202,0.4728749280368904,scr2012,avaConv,runOfRiver
al,h0203,0.4728749280368904,scr2012,avaConv,runOfRiver
al,h0204,0.4728749280368904,scr2012,avaConv,runOfRiver
al,h0205,0.4665323849789838,scr2012,avaConv,runOfRiver
al,h0206,0.4601862880237079,scr2012,avaConv,runOfRiver
al,h0207,0.45383658453037373,scr2012,avaConv,runOfRiver
al,h0208,0.45383658453037373,scr2012,avaConv,runOfRiver
al,h0209,0.45383658453037373,scr2012,avaConv,runOfRiver
al,h0210,0.45383658453037373,scr2012,avaConv,runOfRiver
al,h0211,0.459697978017207,scr2012,avaConv,runOfRiver
al,h0212,0.4655562949895676,scr2012,avaConv,runOfRiver
al,h0213,0.4714115769879703,scr2012,avaConv,runOfRiver
al,h0214,0.4714115769879703,scr2012,avaConv,runOfRiver
al,h0215,0.4714115769879703,scr2012,avaConv,runOfRiver
al,h0216,0.4714115769879703,scr2012,avaConv,runOfRiver
al,h0217,0.4828347236378576,scr2012,avaConv,runOfRiver
al,h0218,0.49424674466671603,scr2012,avaConv,runOfRiver
al,h0219,0.5056479157816651,scr2012,avaConv,runOfRiver
al,h0220,0.5056479157816651,scr2012,avaConv,runOfRiver
al,h0221,0.5056479157816651,scr2012,avaConv,runOfRiver
al,h0222,0.5056479157816651,scr2012,avaConv,runOfRiver
al,h0223,0.49528998144866315,scr2012,avaConv,runOfRiver
al,h0224,0.4849231115965503,scr2012,avaConv,runOfRiver
al,h0225,0.4745471008668732,scr2012,avaConv,runOfRiver
al,h0226,0.4745471008668732,scr2012,avaConv,runOfRiver
al,h0227,0.4745471008668732,scr2012,avaConv,runOfRiver
al,h0228,0.4745471008668732,scr2012,avaConv,runOfRiver
al,h0229,0.47057529240103496,scr2012,avaConv,runOfRiver
al,h0230,0.46660210247166445,scr2012,avaConv,runOfRiver
al,h0231,0.4626275184454515,scr2012,avaConv,runOfRiver
al,h0232,0.4626275184454515,scr2012,avaConv,runOfRiver
al,h0233,0.4626275184454515,scr2012,avaConv,runOfRiver
al,h0234,0.4626275184454515,scr2012,avaConv,runOfRiver
al,h0235,0.4531385926692576,scr2012,avaConv,runOfRiver
al,h0236,0.44364147658780245,scr2012,avaConv,runOfRiver
al,h0237,0.4341359818645607,scr2012,avaConv,runOfRiver
al,h0238,0.4341359818645607,scr2012,avaConv,runOfRiver
al,h0239,0.4341359818645607,scr2012,avaConv,runOfRiver
al,h0240,0.4341359818645607,scr2012,avaConv,runOfRiver
al,h0241,0.4099838309776439,scr2012,avaConv,runOfRiver
al,h0242,0.38577296689363,scr2012,avaConv,runOfRiver
al,h0243,0.36149942561170617,scr2012,avaConv,runOfRiver
al,h0244,0.36149942561170617,scr2012,avaConv,runOfRiver
al,h0245,0.36149942561170617,scr2012,avaConv,runOfRiver
al,h0246,0.36149942561170617,scr2012,avaConv,runOfRiver
al,h0247,0.33970187304979915,scr2012,avaConv,runOfRiver
al,h0248,0.31784670398902787,scr2012,avaConv,runOfRiver
al,h0249,0.29592966410877813,scr2012,avaConv,runOfRiver
al,h0250,0.29592966410877813,scr2012,avaConv,runOfRiver
al,h0251,0.29592966410877813,scr2012,avaConv,runOfRiver
al,h0252,0.29592966410877813,scr2012,avaConv,runOfRiver
al,h0253,0.28199331826030366,scr2012,avaConv,runOfRiver
al,h0254,0.2680286961955905,scr2012,avaConv,runOfRiver
al,h0255,0.25403422182203006,scr2012,avaConv,runOfRiver
al,h0256,0.25403422182203006,scr2012,avaConv,runOfRiver
al,h0257,0.25403422182203006,scr2012,avaConv,runOfRiver
al,h0258,0.25403422182203006,scr2012,avaConv,runOfRiver
al,h0259,0.2456654317523046,scr2012,avaConv,runOfRiver
al,h0260,0.2372849725212488,scr2012,avaConv,runOfRiver
al,h0261,0.22889240461054897,scr2012,avaConv,runOfRiver
al,h0262,0.22889240461054897,scr2012,avaConv,runOfRiver
al,h0263,0.22889240461054897,scr2012,avaConv,runOfRiver
al,h0264,0.22889240461054897,scr2012,avaConv,runOfRiver
al,h0265,0.23276743144725767,scr2012,avaConv,runOfRiver
al,h0266,0.2366398260832949,scr2012,avaConv,runOfRiver
al,h0267,0.24050963434028405,scr2012,avaConv,runOfRiver
al,h0268,0.24050963434028405,scr2012,avaConv,runOfRiver
al,h0269,0.24050963434028405,scr2012,avaConv,runOfRiver
al,h0270,0.24050963434028405,scr2012,avaConv,runOfRiver
al,h0271,0.23577951904485273,scr2012,avaConv,runOfRiver
al,h0272,0.23104552504229106,scr2012,avaConv,runOfRiver
al,h0273,0.2263075676935959,scr2012,avaConv,runOfRiver
al,h0274,0.2263075676935959,scr2012,avaConv,runOfRiver
al,h0275,0.2263075676935959,scr2012,avaConv,runOfRiver
al,h0276,0.2263075676935959,scr2012,avaConv,runOfRiver
al,h0277,0.22393707530937165,scr2012,avaConv,runOfRiver
al,h0278,0.2215655586588054,scr2012,avaConv,runOfRiver
al,h0279,0.2191930060806986,scr2012,avaConv,runOfRiver
al,h0280,0.2191930060806986,scr2012,avaConv,runOfRiver
al,h0281,0.2191930060806986,scr2012,avaConv,runOfRiver
al,h0282,0.2191930060806986,scr2012,avaConv,runOfRiver
al,h0283,0.23520590982084966,scr2012,avaConv,runOfRiver
al,h0284,0.25117438373785256,scr2012,avaConv,runOfRiver
al,h0285,0.2671014339159927,scr2012,avaConv,runOfRiver
al,h0286,0.2671014339159927,scr2012,avaConv,runOfRiver
al,h0287,0.2671014339159927,scr2012,avaConv,runOfRiver
al,h0288,0.2671014339159927,scr2012,avaConv,runOfRiver
al,h0289,0.2410827220169267,scr2012,avaConv,runOfRiver
al,h0290,0.21494855022855874,scr2012,avaConv,runOfRiver
al,h0291,0.18868385542744487,scr2012,avaConv,runOfRiver
al,h0292,0.18868385542744487,scr2012,avaConv,runOfRiver
al,h0293,0.18868385542744487,scr2012,avaConv,runOfRiver
al,h0294,0.18868385542744487,scr2012,avaConv,runOfRiver
al,h0295,0.18426828997751848,scr2012,avaConv,runOfRiver
al,h0296,0.17984841973462928,scr2012,avaConv,runOfRiver
al,h0297,0.17542413256803244,scr2012,avaConv,runOfRiver
al,h0298,0.17542413256803244,scr2012,avaConv,runOfRiver
al,h0299,0.17542413256803244,scr2012,avaConv,runOfRiver
