region_3,timestep_6,value,scenario_1,parameter,technology_2
al,h0241,0.12947712445805798,scr1988,avaConv,offshore
al,h0242,0.052831430239700335,scr1988,avaConv,offshore
al,h0243,0.024746634815260595,scr1988,avaConv,offshore
al,h0244,0.00922751128660303,scr1988,avaConv,offshore
al,h0245,0.002556068573400275,scr1988,avaConv,offshore
al,h0246,0.004840599434120874,scr1988,avaConv,offshore
al,h0247,0.08132299925756487,scr1988,avaConv,offshore
al,h0248,0.14909600560708286,scr1988,avaConv,offshore
al,h0249,0.1902851874471495,scr1988,avaConv,offshore
al,h0250,0.1516096278151617,scr1988,avaConv,offshore
al,h0251,0.09971975898430652,scr1988,avaConv,offshore
al,h0252,0.058183030508552294,scr1988,avaConv,offshore
al,h0253,0.030420612064890704,scr1988,avaConv,offshore
al,h0254,0.020532658058125448,scr1988,avaConv,offshore
al,h0255,0.021563479377494515,scr1988,avaConv,offshore
al,h0256,0.015549644789296338,scr1988,avaConv,offshore
al,h0257,0.009489530299846468,scr1988,avaConv,offshore
al,h0258,0.005441481148115339,scr1988,avaConv,offshore
al,h0259,0.00369673389586069,scr1988,avaConv,offshore
al,h0260,0.0028446992334446235,scr1988,avaConv,offshore
al,h0261,0.0015995524397636554,scr1988,avaConv,offshore
al,h0262,0.000792479455728833,scr1988,avaConv,offshore
al,h0263,0.0,scr1988,avaConv,offshore
al,h0264,0.00017181521803330983,scr1988,avaConv,offshore
al,h0265,0.13679033746207128,scr1988,avaConv,offshore
al,h0266,0.28543436948328993,scr1988,avaConv,offshore
al,h0267,0.43892844266854397,scr1988,avaConv,offshore
al,h0268,0.4711056569811355,scr1988,avaConv,offshore
al,h0269,0.4843510078756548,scr1988,avaConv,offshore
al,h0270,0.4861079104032215,scr1988,avaConv,offshore
al,h0271,0.39029667623291364,scr1988,avaConv,offshore
al,h0272,0.2771506435743914,scr1988,avaConv,offshore
al,h0273,0.15210345898706343,scr1988,avaConv,offshore
al,h0274,0.11566472285482937,scr1988,avaConv,offshore
al,h0275,0.09262037406439821,scr1988,avaConv,offshore
al,h0276,0.08474787567336924,scr1988,avaConv,offshore
al,h0277,0.07124683296585846,scr1988,avaConv,offshore
al,h0278,0.06514411747823991,scr1988,avaConv,offshore
al,h0279,0.05598172898351676,scr1988,avaConv,offshore
al,h0280,0.056425740707857094,scr1988,avaConv,offshore
al,h0281,0.05810419025999729,scr1988,avaConv,offshore
al,h0282,0.0664658201128985,scr1988,avaConv,offshore
al,h0283,0.360193469054825,scr1988,avaConv,offshore
al,h0284,0.6285031665312334,scr1988,avaConv,offshore
al,h0285,0.8696525382705147,scr1988,avaConv,offshore
al,h0286,0.7555027389765799,scr1988,avaConv,offshore
al,h0287,0.5686454325188176,scr1988,avaConv,offshore
al,h0288,0.3526887242922411,scr1988,avaConv,offshore
ba,h0241,0.0,scr1988,avaConv,offshore
ba,h0242,0.0,scr1988,avaConv,offshore
ba,h0243,0.0,scr1988,avaConv,offshore
ba,h0244,0.0036041936582802622,scr1988,avaConv,offshore
ba,h0245,0.01592791730581128,scr1988,avaConv,offshore
ba,h0246,0.031517014403996374,scr1988,avaConv,offshore
ba,h0247,0.06873673185062217,scr1988,avaConv,offshore
ba,h0248,0.10557958867495004,scr1988,avaConv,offshore
ba,h0249,0.1521407236309442,scr1988,avaConv,offshore
ba,h0250,0.19576931066909817,scr1988,avaConv,offshore
ba,h0251,0.20598984180180657,scr1988,avaConv,offshore
ba,h0252,0.22957169087908894,scr1988,avaConv,offshore
ba,h0253,0.16284583703510372,scr1988,avaConv,offshore
ba,h0254,0.12313106808902187,scr1988,avaConv,offshore
ba,h0255,0.04233130846545273,scr1988,avaConv,offshore
ba,h0256,0.021915334250634265,scr1988,avaConv,offshore
ba,h0257,0.0024308369541700525,scr1988,avaConv,offshore
ba,h0258,0.0,scr1988,avaConv,offshore
ba,h0259,0.0,scr1988,avaConv,offshore
ba,h0260,0.0,scr1988,avaConv,offshore
ba,h0261,0.0,scr1988,avaConv,offshore
ba,h0262,0.0,scr1988,avaConv,offshore
ba,h0263,0.005954909265079625,scr1988,avaConv,offshore
ba,h0264,0.011066740304527997,scr1988,avaConv,offshore
ba,h0265,0.03995068433768668,scr1988,avaConv,offshore
ba,h0266,0.06857547751171247,scr1988,avaConv,offshore
ba,h0267,0.09991333863689478,scr1988,avaConv,offshore
ba,h0268,0.10374175132858435,scr1988,avaConv,offshore
ba,h0269,0.1021657428333054,scr1988,avaConv,offshore
ba,h0270,0.09969658152545804,scr1988,avaConv,offshore
ba,h0271,0.10103697331953469,scr1988,avaConv,offshore
ba,h0272,0.08263999321414355,scr1988,avaConv,offshore
