region_2,timestep_5,value,scenario_1,parameter,carrier_1
AT,hh0121,0.06592030003117694,scr1989,mustOut,spaceHeat
AT,hh0122,0.1543741158132145,scr1989,mustOut,spaceHeat
AT,hh0123,0.057650624859883814,scr1989,mustOut,spaceHeat
AT,hh0124,0.04131956221522062,scr1989,mustOut,spaceHeat
AT,hh0125,0.08482170937928335,scr1989,mustOut,spaceHeat
AT,hh0126,0.1887989973903551,scr1989,mustOut,spaceHeat
AT,hh0127,0.12098291427315505,scr1989,mustOut,spaceHeat
AT,hh0128,0.2894435931592757,scr1989,mustOut,spaceHeat
AT,hh0129,0.3485187783925358,scr1989,mustOut,spaceHeat
AT,hh0130,0.17926668375079619,scr1989,mustOut,spaceHeat
AT,hh0131,0.25124180255332185,scr1989,mustOut,spaceHeat
AT,hh0132,0.2871069697522521,scr1989,mustOut,spaceHeat
AT,hh0133,0.1758114752937668,scr1989,mustOut,spaceHeat
AT,hh0134,0.36182607844850767,scr1989,mustOut,spaceHeat
AT,hh0135,0.3030896696571814,scr1989,mustOut,spaceHeat
AT,hh0136,0.09788406157358517,scr1989,mustOut,spaceHeat
AT,hh0137,0.13978035599471306,scr1989,mustOut,spaceHeat
AT,hh0138,0.18722134921609618,scr1989,mustOut,spaceHeat
BE,hh0121,0.02810159877024914,scr1989,mustOut,spaceHeat
BE,hh0122,0.10103103716336834,scr1989,mustOut,spaceHeat
BE,hh0123,0.056002076154729435,scr1989,mustOut,spaceHeat
BE,hh0124,0.03767723771597678,scr1989,mustOut,spaceHeat
BE,hh0125,0.08647258676203617,scr1989,mustOut,spaceHeat
BE,hh0126,0.18266268911999772,scr1989,mustOut,spaceHeat
BE,hh0127,0.06796525403649215,scr1989,mustOut,spaceHeat
BE,hh0128,0.24747829040029024,scr1989,mustOut,spaceHeat
BE,hh0129,0.3313952584597244,scr1989,mustOut,spaceHeat
BE,hh0130,0.14894951378058618,scr1989,mustOut,spaceHeat
BE,hh0131,0.19154159311767038,scr1989,mustOut,spaceHeat
BE,hh0132,0.2171127538285381,scr1989,mustOut,spaceHeat
BE,hh0133,0.10456162735672939,scr1989,mustOut,spaceHeat
BE,hh0134,0.27991732212763576,scr1989,mustOut,spaceHeat
BE,hh0135,0.2966701222263277,scr1989,mustOut,spaceHeat
BE,hh0136,0.09284143165492928,scr1989,mustOut,spaceHeat
