region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0097,0.4531250211523607,scr1989,avaStIn,bevFrtRoadLight
AT,h0098,0.47249987214264794,scr1989,avaStIn,bevFrtRoadLight
AT,h0099,0.500238673291727,scr1989,avaStIn,bevFrtRoadLight
AT,h0100,0.4983885177116448,scr1989,avaStIn,bevFrtRoadLight
AT,h0101,0.4990055011323297,scr1989,avaStIn,bevFrtRoadLight
AT,h0102,0.5010799427106118,scr1989,avaStIn,bevFrtRoadLight
AT,h0103,0.48923304129016015,scr1989,avaStIn,bevFrtRoadLight
AT,h0104,0.4945104700285505,scr1989,avaStIn,bevFrtRoadLight
AT,h0105,0.509752320018251,scr1989,avaStIn,bevFrtRoadLight
AT,h0106,0.5456637822151862,scr1989,avaStIn,bevFrtRoadLight
AT,h0107,0.5615111751032205,scr1989,avaStIn,bevFrtRoadLight
AT,h0108,0.5493678118367764,scr1989,avaStIn,bevFrtRoadLight
AT,h0109,0.5144858587126253,scr1989,avaStIn,bevFrtRoadLight
AT,h0110,0.472246013429615,scr1989,avaStIn,bevFrtRoadLight
AT,h0111,0.43622778639132725,scr1989,avaStIn,bevFrtRoadLight
AT,h0112,0.4056918781055458,scr1989,avaStIn,bevFrtRoadLight
AT,h0113,0.3716620179665055,scr1989,avaStIn,bevFrtRoadLight
AT,h0114,0.3448133055793359,scr1989,avaStIn,bevFrtRoadLight
AT,h0115,0.33922025683723694,scr1989,avaStIn,bevFrtRoadLight
AT,h0116,0.3773945679812227,scr1989,avaStIn,bevFrtRoadLight
AT,h0117,0.43880021013592646,scr1989,avaStIn,bevFrtRoadLight
AT,h0118,0.49664434050064327,scr1989,avaStIn,bevFrtRoadLight
AT,h0119,0.5249633085096586,scr1989,avaStIn,bevFrtRoadLight
AT,h0120,0.5358142422774572,scr1989,avaStIn,bevFrtRoadLight
AT,h0121,0.5497074578789221,scr1989,avaStIn,bevFrtRoadLight
AT,h0122,0.5673893093723912,scr1989,avaStIn,bevFrtRoadLight
AT,h0123,0.5882417756259604,scr1989,avaStIn,bevFrtRoadLight
AT,h0124,0.5959288667967972,scr1989,avaStIn,bevFrtRoadLight
AT,h0125,0.5866861173068088,scr1989,avaStIn,bevFrtRoadLight
AT,h0126,0.559310715585609,scr1989,avaStIn,bevFrtRoadLight
AT,h0127,0.5217192352243787,scr1989,avaStIn,bevFrtRoadLight
AT,h0128,0.48295421628439145,scr1989,avaStIn,bevFrtRoadLight
AT,h0129,0.4464439251339231,scr1989,avaStIn,bevFrtRoadLight
AT,h0130,0.42087213973785703,scr1989,avaStIn,bevFrtRoadLight
AT,h0131,0.40525758769909587,scr1989,avaStIn,bevFrtRoadLight
AT,h0132,0.3971639325090576,scr1989,avaStIn,bevFrtRoadLight
AT,h0133,0.3902413336367359,scr1989,avaStIn,bevFrtRoadLight
AT,h0134,0.3689492232462139,scr1989,avaStIn,bevFrtRoadLight
AT,h0135,0.3309392128849615,scr1989,avaStIn,bevFrtRoadLight
AT,h0136,0.27973905547265493,scr1989,avaStIn,bevFrtRoadLight
AT,h0137,0.22992823506900645,scr1989,avaStIn,bevFrtRoadLight
AT,h0138,0.22073055723106522,scr1989,avaStIn,bevFrtRoadLight
AT,h0139,0.26325171694342436,scr1989,avaStIn,bevFrtRoadLight
AT,h0140,0.35234433342810584,scr1989,avaStIn,bevFrtRoadLight
AT,h0141,0.43880021013592646,scr1989,avaStIn,bevFrtRoadLight
AT,h0142,0.49664434050064327,scr1989,avaStIn,bevFrtRoadLight
AT,h0143,0.5249633085096586,scr1989,avaStIn,bevFrtRoadLight
AT,h0144,0.5358142422774572,scr1989,avaStIn,bevFrtRoadLight
BE,h0097,0.4531250211523607,scr1989,avaStIn,bevFrtRoadLight
BE,h0098,0.47249987214264794,scr1989,avaStIn,bevFrtRoadLight
BE,h0099,0.500238673291727,scr1989,avaStIn,bevFrtRoadLight
BE,h0100,0.4983885177116448,scr1989,avaStIn,bevFrtRoadLight
BE,h0101,0.4990055011323297,scr1989,avaStIn,bevFrtRoadLight
BE,h0102,0.5010799427106118,scr1989,avaStIn,bevFrtRoadLight
BE,h0103,0.48923304129016015,scr1989,avaStIn,bevFrtRoadLight
BE,h0104,0.4945104700285505,scr1989,avaStIn,bevFrtRoadLight
BE,h0105,0.509752320018251,scr1989,avaStIn,bevFrtRoadLight
BE,h0106,0.5456637822151862,scr1989,avaStIn,bevFrtRoadLight
BE,h0107,0.5615111751032205,scr1989,avaStIn,bevFrtRoadLight
BE,h0108,0.5493678118367764,scr1989,avaStIn,bevFrtRoadLight
BE,h0109,0.5144858587126253,scr1989,avaStIn,bevFrtRoadLight
BE,h0110,0.472246013429615,scr1989,avaStIn,bevFrtRoadLight
BE,h0111,0.43622778639132725,scr1989,avaStIn,bevFrtRoadLight
BE,h0112,0.4056918781055456,scr1989,avaStIn,bevFrtRoadLight
