region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0625,0.05365331873919643,scr1990,mustOut,frtRail
AT,h0626,0.011243190547878482,scr1990,mustOut,frtRail
AT,h0627,0.0,scr1990,mustOut,frtRail
AT,h0628,0.0,scr1990,mustOut,frtRail
AT,h0629,0.0,scr1990,mustOut,frtRail
AT,h0630,0.003638865262187087,scr1990,mustOut,frtRail
AT,h0631,0.01230381355339662,scr1990,mustOut,frtRail
AT,h0632,0.05501155603124129,scr1990,mustOut,frtRail
AT,h0633,0.10412214864016112,scr1990,mustOut,frtRail
AT,h0634,0.20875777863161782,scr1990,mustOut,frtRail
AT,h0635,0.26484248333382215,scr1990,mustOut,frtRail
AT,h0636,0.26645043647882066,scr1990,mustOut,frtRail
AT,h0637,0.17546503163144644,scr1990,mustOut,frtRail
AT,h0638,0.10957395632540363,scr1990,mustOut,frtRail
AT,h0639,0.07923092104336386,scr1990,mustOut,frtRail
AT,h0640,0.09451634444206691,scr1990,mustOut,frtRail
AT,h0641,0.1647318639639053,scr1990,mustOut,frtRail
AT,h0642,0.3281970244032028,scr1990,mustOut,frtRail
AT,h0643,0.42652266473786443,scr1990,mustOut,frtRail
AT,h0644,0.33804864762509906,scr1990,mustOut,frtRail
AT,h0645,0.15194976078086128,scr1990,mustOut,frtRail
AT,h0646,0.05457303760567399,scr1990,mustOut,frtRail
AT,h0647,0.022019422693934546,scr1990,mustOut,frtRail
AT,h0648,0.012956644132693694,scr1990,mustOut,frtRail
AT,h0649,0.004991174441476273,scr1990,mustOut,frtRail
AT,h0650,0.0011245823433640595,scr1990,mustOut,frtRail
AT,h0651,0.0,scr1990,mustOut,frtRail
AT,h0652,0.0,scr1990,mustOut,frtRail
AT,h0653,0.0,scr1990,mustOut,frtRail
AT,h0654,0.003638865262187087,scr1990,mustOut,frtRail
AT,h0655,0.06145443081357115,scr1990,mustOut,frtRail
AT,h0656,0.2850548521204254,scr1990,mustOut,frtRail
AT,h0657,0.3899644391517381,scr1990,mustOut,frtRail
AT,h0658,0.2855953271303959,scr1990,mustOut,frtRail
AT,h0659,0.09233244953886625,scr1990,mustOut,frtRail
AT,h0660,0.05034449510938098,scr1990,mustOut,frtRail
AT,h0661,0.05518162775144533,scr1990,mustOut,frtRail
AT,h0662,0.0703142591896094,scr1990,mustOut,frtRail
AT,h0663,0.07923092104336386,scr1990,mustOut,frtRail
AT,h0664,0.09451634444206691,scr1990,mustOut,frtRail
AT,h0665,0.1647318639639053,scr1990,mustOut,frtRail
AT,h0666,0.3281970244032028,scr1990,mustOut,frtRail
AT,h0667,0.42652266473786443,scr1990,mustOut,frtRail
AT,h0668,0.33804864762509906,scr1990,mustOut,frtRail
AT,h0669,0.15194976078086128,scr1990,mustOut,frtRail
AT,h0670,0.05457303760567399,scr1990,mustOut,frtRail
AT,h0671,0.022019422693934546,scr1990,mustOut,frtRail
AT,h0672,0.012956644132693694,scr1990,mustOut,frtRail
BE,h0625,0.05365331873919643,scr1990,mustOut,frtRail
BE,h0626,0.01124319054787848,scr1990,mustOut,frtRail
BE,h0627,0.0,scr1990,mustOut,frtRail
BE,h0628,0.0,scr1990,mustOut,frtRail
BE,h0629,0.0,scr1990,mustOut,frtRail
BE,h0630,0.0036388652621870865,scr1990,mustOut,frtRail
BE,h0631,0.012303813553396619,scr1990,mustOut,frtRail
BE,h0632,0.055011556031241284,scr1990,mustOut,frtRail
BE,h0633,0.1041221486401611,scr1990,mustOut,frtRail
BE,h0634,0.2087577786316178,scr1990,mustOut,frtRail
BE,h0635,0.26484248333382215,scr1990,mustOut,frtRail
BE,h0636,0.2664504364788206,scr1990,mustOut,frtRail
BE,h0637,0.17546503163144642,scr1990,mustOut,frtRail
BE,h0638,0.10957395632540362,scr1990,mustOut,frtRail
BE,h0639,0.07923092104336388,scr1990,mustOut,frtRail
BE,h0640,0.0945163444420669,scr1990,mustOut,frtRail
BE,h0641,0.16473186396390527,scr1990,mustOut,frtRail
BE,h0642,0.3281970244032028,scr1990,mustOut,frtRail
BE,h0643,0.4265226647378644,scr1990,mustOut,frtRail
BE,h0644,0.338048647625099,scr1990,mustOut,frtRail
BE,h0645,0.15194976078086125,scr1990,mustOut,frtRail
BE,h0646,0.05457303760567398,scr1990,mustOut,frtRail
BE,h0647,0.022019422693934546,scr1990,mustOut,frtRail
BE,h0648,0.01295664413269369,scr1990,mustOut,frtRail
BE,h0649,0.004991174441476271,scr1990,mustOut,frtRail
BE,h0650,0.001124582343364059,scr1990,mustOut,frtRail
BE,h0651,0.0,scr1990,mustOut,frtRail
BE,h0652,0.0,scr1990,mustOut,frtRail
BE,h0653,0.0,scr1990,mustOut,frtRail
BE,h0654,0.0036388652621870865,scr1990,mustOut,frtRail
BE,h0655,0.06145443081357116,scr1990,mustOut,frtRail
BE,h0656,0.2850548521204254,scr1990,mustOut,frtRail
BE,h0657,0.38996443915173806,scr1990,mustOut,frtRail
BE,h0658,0.2855953271303958,scr1990,mustOut,frtRail
BE,h0659,0.09233244953886621,scr1990,mustOut,frtRail
BE,h0660,0.05034449510938097,scr1990,mustOut,frtRail
BE,h0661,0.05518162775144532,scr1990,mustOut,frtRail
BE,h0662,0.0703142591896094,scr1990,mustOut,frtRail
BE,h0663,0.07923092104336388,scr1990,mustOut,frtRail
BE,h0664,0.0945163444420669,scr1990,mustOut,frtRail
BE,h0665,0.16473186396390527,scr1990,mustOut,frtRail
