region_3,timestep_6,value,scenario_1,parameter,technology_1
al,h0193,0.0,scr1991,avaConv,solar
al,h0194,0.0,scr1991,avaConv,solar
al,h0195,0.0,scr1991,avaConv,solar
al,h0196,0.0,scr1991,avaConv,solar
al,h0197,0.0,scr1991,avaConv,solar
al,h0198,0.013064386237269326,scr1991,avaConv,solar
al,h0199,0.047990264513765306,scr1991,avaConv,solar
al,h0200,0.1356815772952429,scr1991,avaConv,solar
al,h0201,0.23520751773736695,scr1991,avaConv,solar
al,h0202,0.30569554372846836,scr1991,avaConv,solar
al,h0203,0.31192365672546307,scr1991,avaConv,solar
al,h0204,0.2774563133843151,scr1991,avaConv,solar
al,h0205,0.23915577210279454,scr1991,avaConv,solar
al,h0206,0.2092733292559128,scr1991,avaConv,solar
al,h0207,0.18609505309272784,scr1991,avaConv,solar
al,h0208,0.15167701066479597,scr1991,avaConv,solar
al,h0209,0.09857771526890975,scr1991,avaConv,solar
al,h0210,0.04301356416376117,scr1991,avaConv,solar
al,h0211,0.01158035227466846,scr1991,avaConv,solar
al,h0212,0.0005550073966503927,scr1991,avaConv,solar
al,h0213,0.0,scr1991,avaConv,solar
al,h0214,0.0,scr1991,avaConv,solar
al,h0215,0.0,scr1991,avaConv,solar
al,h0216,0.0,scr1991,avaConv,solar
al,h0217,0.0,scr1991,avaConv,solar
al,h0218,0.0,scr1991,avaConv,solar
al,h0219,0.0,scr1991,avaConv,solar
al,h0220,0.0,scr1991,avaConv,solar
al,h0221,0.0,scr1991,avaConv,solar
al,h0222,0.015233148004181737,scr1991,avaConv,solar
al,h0223,0.08565723951798472,scr1991,avaConv,solar
al,h0224,0.21976849553969188,scr1991,avaConv,solar
al,h0225,0.3954109780088071,scr1991,avaConv,solar
al,h0226,0.5557220708511942,scr1991,avaConv,solar
al,h0227,0.6691700548428323,scr1991,avaConv,solar
al,h0228,0.7270339329207242,scr1991,avaConv,solar
al,h0229,0.6645581752737144,scr1991,avaConv,solar
al,h0230,0.5600645855197635,scr1991,avaConv,solar
al,h0231,0.4285124019558901,scr1991,avaConv,solar
al,h0232,0.3318034432910277,scr1991,avaConv,solar
al,h0233,0.21917747388583822,scr1991,avaConv,solar
al,h0234,0.10568260141819058,scr1991,avaConv,solar
al,h0235,0.031830675229361144,scr1991,avaConv,solar
al,h0236,0.0030147519463502113,scr1991,avaConv,solar
al,h0237,0.0,scr1991,avaConv,solar
al,h0238,0.0,scr1991,avaConv,solar
al,h0239,0.0,scr1991,avaConv,solar
al,h0240,0.0,scr1991,avaConv,solar
at,h0193,0.0,scr1991,avaConv,solar
at,h0194,0.0,scr1991,avaConv,solar
at,h0195,0.0,scr1991,avaConv,solar
at,h0196,0.0,scr1991,avaConv,solar
at,h0197,0.0,scr1991,avaConv,solar
at,h0198,0.004712894051343316,scr1991,avaConv,solar
at,h0199,0.020819050279393833,scr1991,avaConv,solar
at,h0200,0.05856205764025657,scr1991,avaConv,solar
at,h0201,0.11629551079927408,scr1991,avaConv,solar
at,h0202,0.18626131110458172,scr1991,avaConv,solar
at,h0203,0.24053725294219963,scr1991,avaConv,solar
at,h0204,0.2587276066298188,scr1991,avaConv,solar
at,h0205,0.3842026536958641,scr1991,avaConv,solar
at,h0206,0.5023897247145978,scr1991,avaConv,solar
at,h0207,0.5955132720183647,scr1991,avaConv,solar
at,h0208,0.49047421548462,scr1991,avaConv,solar
at,h0209,0.33101370776328404,scr1991,avaConv,solar
at,h0210,0.1654611811897879,scr1991,avaConv,solar
at,h0211,0.052863972864966066,scr1991,avaConv,solar
at,h0212,0.0061329986281476985,scr1991,avaConv,solar
at,h0213,0.0,scr1991,avaConv,solar
at,h0214,0.0,scr1991,avaConv,solar
at,h0215,0.0,scr1991,avaConv,solar
at,h0216,0.0,scr1991,avaConv,solar
at,h0217,0.0,scr1991,avaConv,solar
at,h0218,0.0,scr1991,avaConv,solar
at,h0219,0.0,scr1991,avaConv,solar
at,h0220,0.0,scr1991,avaConv,solar
at,h0221,0.0,scr1991,avaConv,solar
at,h0222,0.009682622258699163,scr1991,avaConv,solar
at,h0223,0.05971977924452413,scr1991,avaConv,solar
at,h0224,0.1833878636318846,scr1991,avaConv,solar
at,h0225,0.34639299356998926,scr1991,avaConv,solar
at,h0226,0.49817847908345164,scr1991,avaConv,solar
at,h0227,0.5974834617094109,scr1991,avaConv,solar
at,h0228,0.6513934019550662,scr1991,avaConv,solar
at,h0229,0.5379734080209531,scr1991,avaConv,solar
at,h0230,0.3890055903540223,scr1991,avaConv,solar
at,h0231,0.2270168842899118,scr1991,avaConv,solar
at,h0232,0.1724730563452788,scr1991,avaConv,solar
at,h0233,0.11824850871132783,scr1991,avaConv,solar
at,h0234,0.0676864337363765,scr1991,avaConv,solar
at,h0235,0.026674536240596278,scr1991,avaConv,solar
at,h0236,0.005490499728710355,scr1991,avaConv,solar
at,h0237,0.0,scr1991,avaConv,solar
at,h0238,0.0,scr1991,avaConv,solar
at,h0239,0.0,scr1991,avaConv,solar
at,h0240,0.0,scr1991,avaConv,solar
ba,h0193,0.0,scr1991,avaConv,solar
ba,h0194,0.0,scr1991,avaConv,solar
ba,h0195,0.0,scr1991,avaConv,solar
ba,h0196,0.0,scr1991,avaConv,solar
ba,h0197,0.0,scr1991,avaConv,solar
ba,h0198,0.010625614635529518,scr1991,avaConv,solar
ba,h0199,0.018678660244657794,scr1991,avaConv,solar
ba,h0200,0.03136996943678664,scr1991,avaConv,solar
ba,h0201,0.033328178129339615,scr1991,avaConv,solar
ba,h0202,0.0468010715597804,scr1991,avaConv,solar
ba,h0203,0.06636877740492406,scr1991,avaConv,solar
ba,h0204,0.09551761176832198,scr1991,avaConv,solar
ba,h0205,0.22118125202618505,scr1991,avaConv,solar
ba,h0206,0.31187008884118417,scr1991,avaConv,solar
ba,h0207,0.3587476376719334,scr1991,avaConv,solar
ba,h0208,0.2627585118268804,scr1991,avaConv,solar
ba,h0209,0.16853762617193765,scr1991,avaConv,solar
ba,h0210,0.08407257706543297,scr1991,avaConv,solar
ba,h0211,0.028792416184623068,scr1991,avaConv,solar
ba,h0212,0.003616676800359722,scr1991,avaConv,solar
ba,h0213,0.0,scr1991,avaConv,solar
ba,h0214,0.0,scr1991,avaConv,solar
ba,h0215,0.0,scr1991,avaConv,solar
ba,h0216,0.0,scr1991,avaConv,solar
ba,h0217,0.0,scr1991,avaConv,solar
ba,h0218,0.0,scr1991,avaConv,solar
ba,h0219,0.0,scr1991,avaConv,solar
ba,h0220,0.0,scr1991,avaConv,solar
ba,h0221,0.00010922695794517018,scr1991,avaConv,solar
ba,h0222,0.016076218986136336,scr1991,avaConv,solar
ba,h0223,0.07771464441616732,scr1991,avaConv,solar
ba,h0224,0.19043176393422154,scr1991,avaConv,solar
ba,h0225,0.3270080872347599,scr1991,avaConv,solar
ba,h0226,0.44327266265417514,scr1991,avaConv,solar
ba,h0227,0.5174128560756058,scr1991,avaConv,solar
ba,h0228,0.5347708169508693,scr1991,avaConv,solar
ba,h0229,0.5561414173892691,scr1991,avaConv,solar
ba,h0230,0.5539195175824704,scr1991,avaConv,solar
ba,h0231,0.5295584975522544,scr1991,avaConv,solar
ba,h0232,0.4241153485102499,scr1991,avaConv,solar
ba,h0233,0.28419415020672034,scr1991,avaConv,solar
ba,h0234,0.14381836006455648,scr1991,avaConv,solar
ba,h0235,0.04830266606120898,scr1991,avaConv,solar
ba,h0236,0.0062712823612555086,scr1991,avaConv,solar
ba,h0237,0.0,scr1991,avaConv,solar
ba,h0238,0.0,scr1991,avaConv,solar
ba,h0239,0.0,scr1991,avaConv,solar
ba,h0240,0.0,scr1991,avaConv,solar
be,h0193,0.0,scr1991,avaConv,solar
be,h0194,0.0,scr1991,avaConv,solar
be,h0195,0.0,scr1991,avaConv,solar
be,h0196,0.0,scr1991,avaConv,solar
be,h0197,0.0,scr1991,avaConv,solar
be,h0198,0.0,scr1991,avaConv,solar
be,h0199,0.016087137839836424,scr1991,avaConv,solar
be,h0200,0.08069742436026521,scr1991,avaConv,solar
be,h0201,0.20027622589405794,scr1991,avaConv,solar
be,h0202,0.33669158985648784,scr1991,avaConv,solar
be,h0203,0.4633155440549563,scr1991,avaConv,solar
be,h0204,0.5850385944355431,scr1991,avaConv,solar
be,h0205,0.7089895622083403,scr1991,avaConv,solar
be,h0206,0.767759658845503,scr1991,avaConv,solar
be,h0207,0.734534038303918,scr1991,avaConv,solar
be,h0208,0.6008189962953021,scr1991,avaConv,solar
be,h0209,0.42346409838255616,scr1991,avaConv,solar
be,h0210,0.24906845275121248,scr1991,avaConv,solar
be,h0211,0.10963300381879701,scr1991,avaConv,solar
be,h0212,0.03453299020303278,scr1991,avaConv,solar
be,h0213,0.0036129649837576073,scr1991,avaConv,solar
be,h0214,0.0,scr1991,avaConv,solar
be,h0215,0.0,scr1991,avaConv,solar
be,h0216,0.0,scr1991,avaConv,solar
be,h0217,0.0,scr1991,avaConv,solar
be,h0218,0.0,scr1991,avaConv,solar
be,h0219,0.0,scr1991,avaConv,solar
be,h0220,0.0,scr1991,avaConv,solar
be,h0221,0.0,scr1991,avaConv,solar
be,h0222,0.0005980275206836812,scr1991,avaConv,solar
be,h0223,0.0198321648883964,scr1991,avaConv,solar
be,h0224,0.07412764369062746,scr1991,avaConv,solar
be,h0225,0.1596268543661529,scr1991,avaConv,solar
be,h0226,0.23502454573066706,scr1991,avaConv,solar
be,h0227,0.30189150176323626,scr1991,avaConv,solar
be,h0228,0.37485289241387204,scr1991,avaConv,solar
be,h0229,0.4181684981839976,scr1991,avaConv,solar
be,h0230,0.4142482123969583,scr1991,avaConv,solar
be,h0231,0.35112590580410863,scr1991,avaConv,solar
be,h0232,0.30730289123027854,scr1991,avaConv,solar
be,h0233,0.2598907961670794,scr1991,avaConv,solar
