region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0025,3.703012602781408,scr1996,effConv,heatpumpGroundSpace
AT,hh0026,3.5020099853590985,scr1996,effConv,heatpumpGroundSpace
AT,hh0027,3.4243231151608597,scr1996,effConv,heatpumpGroundSpace
AT,hh0028,3.850395126730131,scr1996,effConv,heatpumpGroundSpace
AT,hh0029,3.856613991443411,scr1996,effConv,heatpumpGroundSpace
AT,hh0030,3.6428140497956027,scr1996,effConv,heatpumpGroundSpace
AT,hh0031,3.7929910309480785,scr1996,effConv,heatpumpGroundSpace
AT,hh0032,3.7489876382898797,scr1996,effConv,heatpumpGroundSpace
AT,hh0033,3.609979406669963,scr1996,effConv,heatpumpGroundSpace
AT,hh0034,3.741639571296418,scr1996,effConv,heatpumpGroundSpace
AT,hh0035,3.81010541009779,scr1996,effConv,heatpumpGroundSpace
AT,hh0036,4.070081730362631,scr1996,effConv,heatpumpGroundSpace
BE,hh0025,3.6144533119171918,scr1996,effConv,heatpumpGroundSpace
BE,hh0026,3.697061085741783,scr1996,effConv,heatpumpGroundSpace
BE,hh0027,4.726563287404936,scr1996,effConv,heatpumpGroundSpace
BE,hh0028,4.690238913691218,scr1996,effConv,heatpumpGroundSpace
BE,hh0029,4.645675988985182,scr1996,effConv,heatpumpGroundSpace
BE,hh0030,4.059573260256929,scr1996,effConv,heatpumpGroundSpace
BE,hh0031,4.307054551335909,scr1996,effConv,heatpumpGroundSpace
BE,hh0032,4.2724238320199746,scr1996,effConv,heatpumpGroundSpace
BE,hh0033,4.109515705652562,scr1996,effConv,heatpumpGroundSpace
BE,hh0034,4.123833148140719,scr1996,effConv,heatpumpGroundSpace
BE,hh0035,4.231009877123945,scr1996,effConv,heatpumpGroundSpace
BE,hh0036,4.732426746448446,scr1996,effConv,heatpumpGroundSpace
BG,hh0025,4.238465393491424,scr1996,effConv,heatpumpGroundSpace
BG,hh0026,4.191177840348246,scr1996,effConv,heatpumpGroundSpace
BG,hh0027,3.6939945629874273,scr1996,effConv,heatpumpGroundSpace
BG,hh0028,3.8733530545378017,scr1996,effConv,heatpumpGroundSpace
BG,hh0029,3.6277849450507347,scr1996,effConv,heatpumpGroundSpace
BG,hh0030,3.1220708620912774,scr1996,effConv,heatpumpGroundSpace
BG,hh0031,3.211930535491774,scr1996,effConv,heatpumpGroundSpace
