region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h0481,0.7592321339793149,scr2007,stInflow,pumpedStorageOpen
at,h0482,0.7387730500837,scr2007,stInflow,pumpedStorageOpen
at,h0483,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0484,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0485,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0486,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0487,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0488,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0489,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0490,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0491,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0492,0.7183196613201871,scr2007,stInflow,pumpedStorageOpen
at,h0493,0.6916762888803449,scr2007,stInflow,pumpedStorageOpen
at,h0494,0.6650432365178656,scr2007,stInflow,pumpedStorageOpen
at,h0495,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0496,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0497,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0498,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0499,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0500,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0501,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0502,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0503,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0504,0.6384209117496797,scr2007,stInflow,pumpedStorageOpen
at,h0505,0.6106023693206833,scr2007,stInflow,pumpedStorageOpen
at,h0506,0.5827965814176483,scr2007,stInflow,pumpedStorageOpen
at,h0507,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0508,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0509,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0510,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0511,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0512,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0513,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0514,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0515,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0516,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0517,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0518,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0519,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0520,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0521,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0522,0.5550041486680033,scr2007,stInflow,pumpedStorageOpen
at,h0523,0.5285157011846127,scr2007,stInflow,pumpedStorageOpen
at,h0524,0.502040627804337,scr2007,stInflow,pumpedStorageOpen
at,h0525,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0526,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0527,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0528,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0529,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0530,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0531,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0532,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0533,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0534,0.4755796255008782,scr2007,stInflow,pumpedStorageOpen
at,h0535,0.45573429288151307,scr2007,stInflow,pumpedStorageOpen
at,h0536,0.4358976764508557,scr2007,stInflow,pumpedStorageOpen
at,h0537,0.41607016860422325,scr2007,stInflow,pumpedStorageOpen
at,h0538,0.41607016860422325,scr2007,stInflow,pumpedStorageOpen
at,h0539,0.41607016860422325,scr2007,stInflow,pumpedStorageOpen
