region_3,timestep_6,value,scenario_1,parameter,carrier_1
at,h0241,6.109355175281488,scr2010,dem,electricity
at,h0242,5.688629817142715,scr2010,dem,electricity
at,h0243,5.432055674292053,scr2010,dem,electricity
at,h0244,5.238470099831088,scr2010,dem,electricity
at,h0245,5.249940206978536,scr2010,dem,electricity
at,h0246,5.6052589832335995,scr2010,dem,electricity
at,h0247,6.484692349240186,scr2010,dem,electricity
at,h0248,7.582773280956098,scr2010,dem,electricity
at,h0249,8.478147938435841,scr2010,dem,electricity
at,h0250,8.884612617956428,scr2010,dem,electricity
at,h0251,9.049203521065765,scr2010,dem,electricity
at,h0252,9.123382405523019,scr2010,dem,electricity
at,h0253,9.11525495646424,scr2010,dem,electricity
at,h0254,9.019869475414277,scr2010,dem,electricity
at,h0255,8.889182844338082,scr2010,dem,electricity
at,h0256,8.784120467982376,scr2010,dem,electricity
at,h0257,8.667440287011921,scr2010,dem,electricity
at,h0258,8.592654303336047,scr2010,dem,electricity
at,h0259,7.7640409922568026,scr2010,dem,electricity
at,h0260,6.977845329712516,scr2010,dem,electricity
at,h0261,6.260486824653269,scr2010,dem,electricity
at,h0262,6.238962391235577,scr2010,dem,electricity
at,h0263,6.153380982918956,scr2010,dem,electricity
at,h0264,5.841360847680522,scr2010,dem,electricity
at,h0265,5.5013541548251235,scr2010,dem,electricity
at,h0266,5.150853174322104,scr2010,dem,electricity
at,h0267,4.934414960112099,scr2010,dem,electricity
at,h0268,4.7939332966750134,scr2010,dem,electricity
at,h0269,4.841237324777618,scr2010,dem,electricity
at,h0270,5.246017455186587,scr2010,dem,electricity
at,h0271,6.249292527608673,scr2010,dem,electricity
at,h0272,7.458743734287089,scr2010,dem,electricity
at,h0273,8.432684782975645,scr2010,dem,electricity
at,h0274,8.837030182972791,scr2010,dem,electricity
at,h0275,9.039146756051291,scr2010,dem,electricity
at,h0276,9.200944939501872,scr2010,dem,electricity
at,h0277,8.073495803596265,scr2010,dem,electricity
at,h0278,6.817962621522509,scr2010,dem,electricity
at,h0279,5.528143731300844,scr2010,dem,electricity
at,h0280,5.3947758988491135,scr2010,dem,electricity
at,h0281,5.354370302579008,scr2010,dem,electricity
at,h0282,5.449334418874362,scr2010,dem,electricity
at,h0283,6.465532458086034,scr2010,dem,electricity
at,h0284,7.346304461265175,scr2010,dem,electricity
at,h0285,8.087513181649388,scr2010,dem,electricity
at,h0286,7.739533664016363,scr2010,dem,electricity
at,h0287,7.377362447228196,scr2010,dem,electricity
at,h0288,6.841990862329829,scr2010,dem,electricity
be,h0241,8.286353613243268,scr2010,dem,electricity
be,h0242,7.72734858961087,scr2010,dem,electricity
be,h0243,7.228551992881069,scr2010,dem,electricity
be,h0244,6.954032552952427,scr2010,dem,electricity
be,h0245,6.864252229709228,scr2010,dem,electricity
be,h0246,7.0298219872980265,scr2010,dem,electricity
be,h0247,7.468932302101958,scr2010,dem,electricity
be,h0248,8.209023113508303,scr2010,dem,electricity
be,h0249,8.957970163122518,scr2010,dem,electricity
be,h0250,9.555772326165178,scr2010,dem,electricity
be,h0251,9.860925744299298,scr2010,dem,electricity
be,h0252,10.033282398534986,scr2010,dem,electricity
be,h0253,9.990783927371107,scr2010,dem,electricity
be,h0254,9.917430093590443,scr2010,dem,electricity
be,h0255,9.774876317080574,scr2010,dem,electricity
be,h0256,9.722861888342715,scr2010,dem,electricity
be,h0257,9.659423298016641,scr2010,dem,electricity
be,h0258,9.649767798722737,scr2010,dem,electricity
be,h0259,9.017702145936125,scr2010,dem,electricity
be,h0260,8.400235000563056,scr2010,dem,electricity
be,h0261,7.696863295801506,scr2010,dem,electricity
be,h0262,7.682597944268856,scr2010,dem,electricity
be,h0263,7.7967588896298246,scr2010,dem,electricity
be,h0264,7.813565103368399,scr2010,dem,electricity
be,h0265,7.444619210257782,scr2010,dem,electricity
be,h0266,6.822156476928832,scr2010,dem,electricity
be,h0267,6.26996986895225,scr2010,dem,electricity
be,h0268,6.064167907193998,scr2010,dem,electricity
be,h0269,6.019502595640331,scr2010,dem,electricity
be,h0270,6.191742596008677,scr2010,dem,electricity
be,h0271,6.863162763273207,scr2010,dem,electricity
be,h0272,7.811242044946052,scr2010,dem,electricity
be,h0273,8.792632293166394,scr2010,dem,electricity
be,h0274,9.40407481059425,scr2010,dem,electricity
be,h0275,9.734420257129909,scr2010,dem,electricity
be,h0276,9.95556696130422,scr2010,dem,electricity
be,h0277,9.240043621753173,scr2010,dem,electricity
be,h0278,8.358422340379583,scr2010,dem,electricity
be,h0279,7.313321089351211,scr2010,dem,electricity
be,h0280,7.058922985213009,scr2010,dem,electricity
be,h0281,6.909130631336199,scr2010,dem,electricity
be,h0282,6.881023377531628,scr2010,dem,electricity
be,h0283,7.773648977047056,scr2010,dem,electricity
be,h0284,8.525715177584914,scr2010,dem,electricity
be,h0285,9.124522203018872,scr2010,dem,electricity
be,h0286,8.794894331597872,scr2010,dem,electricity
be,h0287,8.713149959468707,scr2010,dem,electricity
be,h0288,8.56656102785091,scr2010,dem,electricity
bg,h0241,3.1827352314576274,scr2010,dem,electricity
bg,h0242,2.9691769675700925,scr2010,dem,electricity
bg,h0243,2.7348251057774178,scr2010,dem,electricity
bg,h0244,2.5672594319912605,scr2010,dem,electricity
bg,h0245,2.4949676210526377,scr2010,dem,electricity
bg,h0246,2.5625585942034377,scr2010,dem,electricity
bg,h0247,2.8873914519208483,scr2010,dem,electricity
bg,h0248,3.2705589479373884,scr2010,dem,electricity
bg,h0249,3.5812874399707653,scr2010,dem,electricity
bg,h0250,3.7049231509008678,scr2010,dem,electricity
bg,h0251,3.73953195008653,scr2010,dem,electricity
bg,h0252,3.7786920279468177,scr2010,dem,electricity
bg,h0253,3.7987792840285692,scr2010,dem,electricity
bg,h0254,3.801980504373205,scr2010,dem,electricity
bg,h0255,3.7840531307447236,scr2010,dem,electricity
bg,h0256,3.767234080361959,scr2010,dem,electricity
bg,h0257,3.7361336982939974,scr2010,dem,electricity
bg,h0258,3.6797738142995513,scr2010,dem,electricity
bg,h0259,3.623284942128521,scr2010,dem,electricity
bg,h0260,3.5985914488701383,scr2010,dem,electricity
bg,h0261,3.6412823626815225,scr2010,dem,electricity
bg,h0262,3.6717154104844667,scr2010,dem,electricity
bg,h0263,3.616314502862224,scr2010,dem,electricity
bg,h0264,3.469430509234371,scr2010,dem,electricity
bg,h0265,3.089434667803289,scr2010,dem,electricity
bg,h0266,2.7222410210888484,scr2010,dem,electricity
bg,h0267,2.332733952382114,scr2010,dem,electricity
bg,h0268,2.2040347170695895,scr2010,dem,electricity
