region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0193,0.4290035521079721,scr2011,avaConv,runOfRiver
al,h0194,0.4229810206078744,scr2011,avaConv,runOfRiver
al,h0195,0.41696018281771674,scr2011,avaConv,runOfRiver
al,h0196,0.41696018281771674,scr2011,avaConv,runOfRiver
al,h0197,0.41696018281771674,scr2011,avaConv,runOfRiver
al,h0198,0.41696018281771674,scr2011,avaConv,runOfRiver
al,h0199,0.3883850765047044,scr2011,avaConv,runOfRiver
al,h0200,0.3598514920712321,scr2011,avaConv,runOfRiver
al,h0201,0.3313626033608094,scr2011,avaConv,runOfRiver
al,h0202,0.3313626033608094,scr2011,avaConv,runOfRiver
al,h0203,0.3313626033608094,scr2011,avaConv,runOfRiver
al,h0204,0.3313626033608094,scr2011,avaConv,runOfRiver
al,h0205,0.3195953972279955,scr2011,avaConv,runOfRiver
al,h0206,0.3078367537858252,scr2011,avaConv,runOfRiver
al,h0207,0.2960869882808415,scr2011,avaConv,runOfRiver
al,h0208,0.2960869882808415,scr2011,avaConv,runOfRiver
al,h0209,0.2960869882808415,scr2011,avaConv,runOfRiver
al,h0210,0.2960869882808415,scr2011,avaConv,runOfRiver
al,h0211,0.3196666881453951,scr2011,avaConv,runOfRiver
al,h0212,0.34328086138349484,scr2011,avaConv,runOfRiver
al,h0213,0.36692721576240417,scr2011,avaConv,runOfRiver
al,h0214,0.36692721576240417,scr2011,avaConv,runOfRiver
al,h0215,0.36692721576240417,scr2011,avaConv,runOfRiver
al,h0216,0.36692721576240417,scr2011,avaConv,runOfRiver
al,h0217,0.35413574141767423,scr2011,avaConv,runOfRiver
al,h0218,0.3413533953407301,scr2011,avaConv,runOfRiver
al,h0219,0.32858050686840673,scr2011,avaConv,runOfRiver
al,h0220,0.32858050686840673,scr2011,avaConv,runOfRiver
al,h0221,0.32858050686840673,scr2011,avaConv,runOfRiver
al,h0222,0.32858050686840673,scr2011,avaConv,runOfRiver
al,h0223,0.3372850082840473,scr2011,avaConv,runOfRiver
al,h0224,0.3459939535910683,scr2011,avaConv,runOfRiver
al,h0225,0.3547072349145524,scr2011,avaConv,runOfRiver
al,h0226,0.3547072349145524,scr2011,avaConv,runOfRiver
al,h0227,0.3547072349145524,scr2011,avaConv,runOfRiver
al,h0228,0.3547072349145524,scr2011,avaConv,runOfRiver
al,h0229,0.3729329778550707,scr2011,avaConv,runOfRiver
al,h0230,0.39117634841407367,scr2011,avaConv,runOfRiver
al,h0231,0.40943655330237766,scr2011,avaConv,runOfRiver
al,h0232,0.40943655330237766,scr2011,avaConv,runOfRiver
al,h0233,0.40943655330237766,scr2011,avaConv,runOfRiver
al,h0234,0.40943655330237766,scr2011,avaConv,runOfRiver
al,h0235,0.3777961871601313,scr2011,avaConv,runOfRiver
al,h0236,0.34620816303731083,scr2011,avaConv,runOfRiver
al,h0237,0.31467708705118574,scr2011,avaConv,runOfRiver
al,h0238,0.31467708705118574,scr2011,avaConv,runOfRiver
al,h0239,0.31467708705118574,scr2011,avaConv,runOfRiver
al,h0240,0.31467708705118574,scr2011,avaConv,runOfRiver
at,h0193,0.5110305280143417,scr2011,avaConv,runOfRiver
at,h0194,0.4849072113598185,scr2011,avaConv,runOfRiver
at,h0195,0.45921742879803035,scr2011,avaConv,runOfRiver
at,h0196,0.45921742879803035,scr2011,avaConv,runOfRiver
at,h0197,0.45921742879803035,scr2011,avaConv,runOfRiver
at,h0198,0.45921742879803035,scr2011,avaConv,runOfRiver
at,h0199,0.4362079650207612,scr2011,avaConv,runOfRiver
at,h0200,0.4135835876723669,scr2011,avaConv,runOfRiver
at,h0201,0.3913580819065431,scr2011,avaConv,runOfRiver
at,h0202,0.3913580819065431,scr2011,avaConv,runOfRiver
at,h0203,0.3913580819065431,scr2011,avaConv,runOfRiver
at,h0204,0.3913580819065431,scr2011,avaConv,runOfRiver
at,h0205,0.38930666182975016,scr2011,avaConv,runOfRiver
at,h0206,0.3872588522300645,scr2011,avaConv,runOfRiver
at,h0207,0.38521466607220733,scr2011,avaConv,runOfRiver
at,h0208,0.38521466607220733,scr2011,avaConv,runOfRiver
at,h0209,0.38521466607220733,scr2011,avaConv,runOfRiver
at,h0210,0.38521466607220733,scr2011,avaConv,runOfRiver
at,h0211,0.3992550759026148,scr2011,avaConv,runOfRiver
at,h0212,0.41346124243137367,scr2011,avaConv,runOfRiver
at,h0213,0.42782933064732726,scr2011,avaConv,runOfRiver
at,h0214,0.42782933064732726,scr2011,avaConv,runOfRiver
at,h0215,0.42782933064732726,scr2011,avaConv,runOfRiver
at,h0216,0.42782933064732726,scr2011,avaConv,runOfRiver
at,h0217,0.42606109130511716,scr2011,avaConv,runOfRiver
at,h0218,0.42429523254915796,scr2011,avaConv,runOfRiver
at,h0219,0.42253176091026745,scr2011,avaConv,runOfRiver
at,h0220,0.42253176091026745,scr2011,avaConv,runOfRiver
at,h0221,0.42253176091026745,scr2011,avaConv,runOfRiver
at,h0222,0.42253176091026745,scr2011,avaConv,runOfRiver
at,h0223,0.4212032680463907,scr2011,avaConv,runOfRiver
at,h0224,0.4198761397293076,scr2011,avaConv,runOfRiver
at,h0225,0.4185503788122453,scr2011,avaConv,runOfRiver
at,h0226,0.4185503788122453,scr2011,avaConv,runOfRiver
at,h0227,0.4185503788122453,scr2011,avaConv,runOfRiver
at,h0228,0.4185503788122453,scr2011,avaConv,runOfRiver
at,h0229,0.42579531197175297,scr2011,avaConv,runOfRiver
at,h0230,0.43308052058122587,scr2011,avaConv,runOfRiver
at,h0231,0.44040555777078827,scr2011,avaConv,runOfRiver
at,h0232,0.44040555777078827,scr2011,avaConv,runOfRiver
at,h0233,0.44040555777078827,scr2011,avaConv,runOfRiver
at,h0234,0.44040555777078827,scr2011,avaConv,runOfRiver
at,h0235,0.42842177196912723,scr2011,avaConv,runOfRiver
at,h0236,0.4165457260173262,scr2011,avaConv,runOfRiver
at,h0237,0.40477944098652546,scr2011,avaConv,runOfRiver
at,h0238,0.40477944098652546,scr2011,avaConv,runOfRiver
at,h0239,0.40477944098652546,scr2011,avaConv,runOfRiver
at,h0240,0.40477944098652546,scr2011,avaConv,runOfRiver
ba,h0193,0.31313150318593197,scr2011,avaConv,runOfRiver
ba,h0194,0.31875821809326665,scr2011,avaConv,runOfRiver
ba,h0195,0.32438788428895804,scr2011,avaConv,runOfRiver
ba,h0196,0.32438788428895804,scr2011,avaConv,runOfRiver
ba,h0197,0.32438788428895804,scr2011,avaConv,runOfRiver
ba,h0198,0.32438788428895804,scr2011,avaConv,runOfRiver
ba,h0199,0.31065008025795604,scr2011,avaConv,runOfRiver
ba,h0200,0.2969303076806259,scr2011,avaConv,runOfRiver
ba,h0201,0.2832293642221659,scr2011,avaConv,runOfRiver
ba,h0202,0.2832293642221659,scr2011,avaConv,runOfRiver
ba,h0203,0.2832293642221659,scr2011,avaConv,runOfRiver
ba,h0204,0.2832293642221659,scr2011,avaConv,runOfRiver
ba,h0205,0.2720877846561438,scr2011,avaConv,runOfRiver
ba,h0206,0.26095977901419126,scr2011,avaConv,runOfRiver
ba,h0207,0.24984590281574764,scr2011,avaConv,runOfRiver
ba,h0208,0.24984590281574764,scr2011,avaConv,runOfRiver
ba,h0209,0.24984590281574764,scr2011,avaConv,runOfRiver
ba,h0210,0.24984590281574764,scr2011,avaConv,runOfRiver
ba,h0211,0.2529689339910946,scr2011,avaConv,runOfRiver
ba,h0212,0.2560931154783135,scr2011,avaConv,runOfRiver
ba,h0213,0.25921843378951775,scr2011,avaConv,runOfRiver
ba,h0214,0.25921843378951775,scr2011,avaConv,runOfRiver
ba,h0215,0.25921843378951775,scr2011,avaConv,runOfRiver
ba,h0216,0.25921843378951775,scr2011,avaConv,runOfRiver
ba,h0217,0.2702893560607668,scr2011,avaConv,runOfRiver
ba,h0218,0.2813738045089954,scr2011,avaConv,runOfRiver
ba,h0219,0.29247126726527894,scr2011,avaConv,runOfRiver
