region_2,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0025,2.691392482487961,scr2013,effConv,heatpumpAir
AT,hh0026,2.666757693130295,scr2013,effConv,heatpumpAir
AT,hh0027,3.0106631207058934,scr2013,effConv,heatpumpAir
AT,hh0028,3.4501745278916065,scr2013,effConv,heatpumpAir
AT,hh0029,3.3969101137952125,scr2013,effConv,heatpumpAir
AT,hh0030,3.0851603233466003,scr2013,effConv,heatpumpAir
AT,hh0031,3.4544451877473112,scr2013,effConv,heatpumpAir
AT,hh0032,3.5484661120181107,scr2013,effConv,heatpumpAir
AT,hh0033,3.5887916720441506,scr2013,effConv,heatpumpAir
AT,hh0034,3.494157737712209,scr2013,effConv,heatpumpAir
AT,hh0035,3.2134896343657204,scr2013,effConv,heatpumpAir
AT,hh0036,2.839668199059179,scr2013,effConv,heatpumpAir
BE,hh0025,2.8749026300362077,scr2013,effConv,heatpumpAir
BE,hh0026,2.856527983565572,scr2013,effConv,heatpumpAir
BE,hh0027,3.1437172363821904,scr2013,effConv,heatpumpAir
BE,hh0028,3.270010852193566,scr2013,effConv,heatpumpAir
BE,hh0029,3.3563405625881066,scr2013,effConv,heatpumpAir
BE,hh0030,3.3478830594158495,scr2013,effConv,heatpumpAir
BE,hh0031,3.7591073717216,scr2013,effConv,heatpumpAir
BE,hh0032,3.736295370130982,scr2013,effConv,heatpumpAir
BE,hh0033,3.197485072102984,scr2013,effConv,heatpumpAir
BE,hh0034,3.1427654188989083,scr2013,effConv,heatpumpAir
BE,hh0035,3.2809289566232303,scr2013,effConv,heatpumpAir
BE,hh0036,3.5810419512342424,scr2013,effConv,heatpumpAir
BG,hh0025,3.124299317598343,scr2013,effConv,heatpumpAir
BG,hh0026,3.289299488067627,scr2013,effConv,heatpumpAir
BG,hh0027,3.8401519879698753,scr2013,effConv,heatpumpAir
BG,hh0028,3.5960123278200626,scr2013,effConv,heatpumpAir
BG,hh0029,3.2707739528268576,scr2013,effConv,heatpumpAir
BG,hh0030,3.040892243385315,scr2013,effConv,heatpumpAir
BG,hh0031,3.3125089667737484,scr2013,effConv,heatpumpAir
BG,hh0032,3.537247583270073,scr2013,effConv,heatpumpAir
BG,hh0033,4.026289513334632,scr2013,effConv,heatpumpAir
BG,hh0034,4.0247590858489275,scr2013,effConv,heatpumpAir
BG,hh0035,3.6658554282039404,scr2013,effConv,heatpumpAir
BG,hh0036,2.683710375800729,scr2013,effConv,heatpumpAir
CH,hh0025,2.4346996463900723,scr2013,effConv,heatpumpAir
CH,hh0026,2.3204193412402674,scr2013,effConv,heatpumpAir
CH,hh0027,2.368106970689041,scr2013,effConv,heatpumpAir
CH,hh0028,3.1849808819151804,scr2013,effConv,heatpumpAir
CH,hh0029,3.2606819224765786,scr2013,effConv,heatpumpAir
CH,hh0030,2.9246467185257643,scr2013,effConv,heatpumpAir
CH,hh0031,3.253744451647435,scr2013,effConv,heatpumpAir
CH,hh0032,3.3195977878804115,scr2013,effConv,heatpumpAir
CH,hh0033,3.5012841827756347,scr2013,effConv,heatpumpAir
CH,hh0034,3.218621643472943,scr2013,effConv,heatpumpAir
CH,hh0035,3.022335588308124,scr2013,effConv,heatpumpAir
CH,hh0036,3.1034732074840576,scr2013,effConv,heatpumpAir
CZ,hh0025,2.579311197998068,scr2013,effConv,heatpumpAir
CZ,hh0026,2.6442764969634824,scr2013,effConv,heatpumpAir
CZ,hh0027,3.339079064628171,scr2013,effConv,heatpumpAir
CZ,hh0028,3.4395423908830614,scr2013,effConv,heatpumpAir
CZ,hh0029,3.3489200042943637,scr2013,effConv,heatpumpAir
CZ,hh0030,3.1290248256824835,scr2013,effConv,heatpumpAir
CZ,hh0031,3.415653995063131,scr2013,effConv,heatpumpAir
CZ,hh0032,3.4997115081206243,scr2013,effConv,heatpumpAir
CZ,hh0033,3.5780457900610694,scr2013,effConv,heatpumpAir
CZ,hh0034,3.16427911734426,scr2013,effConv,heatpumpAir
CZ,hh0035,2.8909102237319746,scr2013,effConv,heatpumpAir
CZ,hh0036,2.763186699735382,scr2013,effConv,heatpumpAir
DE,hh0025,2.669531814650327,scr2013,effConv,heatpumpAir
DE,hh0026,2.63131082072141,scr2013,effConv,heatpumpAir
DE,hh0027,3.013382424864176,scr2013,effConv,heatpumpAir
DE,hh0028,3.273396049904477,scr2013,effConv,heatpumpAir
DE,hh0029,3.288340014178175,scr2013,effConv,heatpumpAir
DE,hh0030,3.0734739102936146,scr2013,effConv,heatpumpAir
DE,hh0031,3.357629500414987,scr2013,effConv,heatpumpAir
DE,hh0032,3.4137447360881197,scr2013,effConv,heatpumpAir
DE,hh0033,3.353880445472896,scr2013,effConv,heatpumpAir
DE,hh0034,3.023991895452127,scr2013,effConv,heatpumpAir
DE,hh0035,3.000006756723451,scr2013,effConv,heatpumpAir
DE,hh0036,3.243915400948026,scr2013,effConv,heatpumpAir
GR,hh0025,3.6614165008068085,scr2013,effConv,heatpumpAir
GR,hh0026,3.8029117099940777,scr2013,effConv,heatpumpAir
GR,hh0027,4.039449358358979,scr2013,effConv,heatpumpAir
GR,hh0028,3.968991197645664,scr2013,effConv,heatpumpAir
GR,hh0029,3.7737205643206835,scr2013,effConv,heatpumpAir
GR,hh0030,3.4499796144664288,scr2013,effConv,heatpumpAir
GR,hh0031,3.635916182771325,scr2013,effConv,heatpumpAir
GR,hh0032,3.7957522589713335,scr2013,effConv,heatpumpAir
GR,hh0033,4.052423624321818,scr2013,effConv,heatpumpAir
GR,hh0034,4.054117012768984,scr2013,effConv,heatpumpAir
GR,hh0035,3.9170299768447876,scr2013,effConv,heatpumpAir
GR,hh0036,3.409011010080576,scr2013,effConv,heatpumpAir
ES,hh0025,3.891503628476798,scr2013,effConv,heatpumpAir
ES,hh0026,3.680487398612825,scr2013,effConv,heatpumpAir
ES,hh0027,3.3795074916260104,scr2013,effConv,heatpumpAir
ES,hh0028,3.663482576923733,scr2013,effConv,heatpumpAir
ES,hh0029,3.7476022737056476,scr2013,effConv,heatpumpAir
ES,hh0030,3.942295394103312,scr2013,effConv,heatpumpAir
ES,hh0031,3.9513386754677025,scr2013,effConv,heatpumpAir
ES,hh0032,3.9660382094044615,scr2013,effConv,heatpumpAir
ES,hh0033,3.937668350118816,scr2013,effConv,heatpumpAir
ES,hh0034,3.7781727514777987,scr2013,effConv,heatpumpAir
ES,hh0035,3.7414785330173554,scr2013,effConv,heatpumpAir
ES,hh0036,3.914838261289052,scr2013,effConv,heatpumpAir
DK,hh0025,2.8093013320431055,scr2013,effConv,heatpumpAir
DK,hh0026,2.746689691553911,scr2013,effConv,heatpumpAir
DK,hh0027,3.123321080531241,scr2013,effConv,heatpumpAir
DK,hh0028,3.4587373967933672,scr2013,effConv,heatpumpAir
DK,hh0029,3.4532277573798638,scr2013,effConv,heatpumpAir
DK,hh0030,3.0671977898000478,scr2013,effConv,heatpumpAir
DK,hh0031,3.3113562103608274,scr2013,effConv,heatpumpAir
DK,hh0032,3.187368633245569,scr2013,effConv,heatpumpAir
DK,hh0033,2.7402194265250728,scr2013,effConv,heatpumpAir
DK,hh0034,2.947492987392252,scr2013,effConv,heatpumpAir
DK,hh0035,2.9674341318550432,scr2013,effConv,heatpumpAir
DK,hh0036,3.0853675164926244,scr2013,effConv,heatpumpAir
EE,hh0025,2.474505934820788,scr2013,effConv,heatpumpAir
EE,hh0026,2.381042758091367,scr2013,effConv,heatpumpAir
EE,hh0027,2.6591663494031637,scr2013,effConv,heatpumpAir
EE,hh0028,3.2319814800674163,scr2013,effConv,heatpumpAir
EE,hh0029,3.0084772422931443,scr2013,effConv,heatpumpAir
EE,hh0030,2.1011066127449873,scr2013,effConv,heatpumpAir
EE,hh0031,2.3939159442481808,scr2013,effConv,heatpumpAir
EE,hh0032,2.411483751762108,scr2013,effConv,heatpumpAir
EE,hh0033,2.381475548304916,scr2013,effConv,heatpumpAir
EE,hh0034,2.6600644216550857,scr2013,effConv,heatpumpAir
EE,hh0035,2.4471667087306277,scr2013,effConv,heatpumpAir
EE,hh0036,2.124670300749147,scr2013,effConv,heatpumpAir
FI,hh0025,2.714891649231406,scr2013,effConv,heatpumpAir
