region_2,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0013,3.9982588491112976,scr2017,effConv,heatpumpAir
AT,hh0014,4.043736657165962,scr2017,effConv,heatpumpAir
AT,hh0015,4.049558935835055,scr2017,effConv,heatpumpAir
AT,hh0016,4.032707618684536,scr2017,effConv,heatpumpAir
AT,hh0017,4.051564241286415,scr2017,effConv,heatpumpAir
AT,hh0018,4.050383436240282,scr2017,effConv,heatpumpAir
BE,hh0013,4.059102872155563,scr2017,effConv,heatpumpAir
BE,hh0014,4.0582057443061785,scr2017,effConv,heatpumpAir
BE,hh0015,4.060000000004948,scr2017,effConv,heatpumpAir
BE,hh0016,4.060000000004948,scr2017,effConv,heatpumpAir
BE,hh0017,4.060000000004948,scr2017,effConv,heatpumpAir
BE,hh0018,4.060000000004948,scr2017,effConv,heatpumpAir
BG,hh0013,4.022888131199579,scr2017,effConv,heatpumpAir
BG,hh0014,4.059999999997672,scr2017,effConv,heatpumpAir
BG,hh0015,4.059999999997672,scr2017,effConv,heatpumpAir
BG,hh0016,4.054847443536346,scr2017,effConv,heatpumpAir
BG,hh0017,4.059999999997672,scr2017,effConv,heatpumpAir
BG,hh0018,4.059999999997672,scr2017,effConv,heatpumpAir
CH,hh0013,3.955101795618051,scr2017,effConv,heatpumpAir
CH,hh0014,4.023331310303137,scr2017,effConv,heatpumpAir
CH,hh0015,4.0312294220602505,scr2017,effConv,heatpumpAir
CH,hh0016,3.9886205125792933,scr2017,effConv,heatpumpAir
CH,hh0017,4.046627007276387,scr2017,effConv,heatpumpAir
CH,hh0018,4.051319677529573,scr2017,effConv,heatpumpAir
CZ,hh0013,4.044663726785075,scr2017,effConv,heatpumpAir
CZ,hh0014,4.058969302812329,scr2017,effConv,heatpumpAir
CZ,hh0015,4.059999999997672,scr2017,effConv,heatpumpAir
CZ,hh0016,4.059999999997672,scr2017,effConv,heatpumpAir
CZ,hh0017,4.059999999997672,scr2017,effConv,heatpumpAir
CZ,hh0018,4.059999999997672,scr2017,effConv,heatpumpAir
DE,hh0013,4.02910334803164,scr2017,effConv,heatpumpAir
DE,hh0014,4.057879216969013,scr2017,effConv,heatpumpAir
DE,hh0015,4.059837870299816,scr2017,effConv,heatpumpAir
DE,hh0016,4.058865021914244,scr2017,effConv,heatpumpAir
DE,hh0017,4.0596757382154465,scr2017,effConv,heatpumpAir
DE,hh0018,4.0596757382154465,scr2017,effConv,heatpumpAir
GR,hh0013,4.0534828942491,scr2017,effConv,heatpumpAir
GR,hh0014,4.059999999997672,scr2017,effConv,heatpumpAir
GR,hh0015,4.059999999997672,scr2017,effConv,heatpumpAir
GR,hh0016,4.059999999997672,scr2017,effConv,heatpumpAir
GR,hh0017,4.059999999997672,scr2017,effConv,heatpumpAir
GR,hh0018,4.059999999997672,scr2017,effConv,heatpumpAir
ES,hh0013,4.055177611526233,scr2017,effConv,heatpumpAir
ES,hh0014,4.058012094987134,scr2017,effConv,heatpumpAir
ES,hh0015,4.058117689353821,scr2017,effConv,heatpumpAir
ES,hh0016,4.057913827167795,scr2017,effConv,heatpumpAir
ES,hh0017,4.059999999997672,scr2017,effConv,heatpumpAir
ES,hh0018,4.059937136315057,scr2017,effConv,heatpumpAir
DK,hh0013,4.041010428220034,scr2017,effConv,heatpumpAir
DK,hh0014,4.059999994933605,scr2017,effConv,heatpumpAir
DK,hh0015,4.059999994933605,scr2017,effConv,heatpumpAir
DK,hh0016,4.059999994933605,scr2017,effConv,heatpumpAir
DK,hh0017,4.059999994933605,scr2017,effConv,heatpumpAir
DK,hh0018,4.059999994933605,scr2017,effConv,heatpumpAir
EE,hh0013,3.94927334174281,scr2017,effConv,heatpumpAir
EE,hh0014,4.052102865485722,scr2017,effConv,heatpumpAir
EE,hh0015,4.030067370778852,scr2017,effConv,heatpumpAir
EE,hh0016,4.045033685388262,scr2017,effConv,heatpumpAir
EE,hh0017,4.059999999997672,scr2017,effConv,heatpumpAir
EE,hh0018,4.059999999997672,scr2017,effConv,heatpumpAir
FI,hh0013,3.7306163273751736,scr2017,effConv,heatpumpAir
FI,hh0014,4.02819937095046,scr2017,effConv,heatpumpAir
FI,hh0015,4.017897604033351,scr2017,effConv,heatpumpAir
FI,hh0016,4.041502196341753,scr2017,effConv,heatpumpAir
FI,hh0017,4.059769701212645,scr2017,effConv,heatpumpAir
FI,hh0018,4.046426957473159,scr2017,effConv,heatpumpAir
FR,hh0013,4.047931515740856,scr2017,effConv,heatpumpAir
FR,hh0014,4.056023230870778,scr2017,effConv,heatpumpAir
FR,hh0015,4.056978643156981,scr2017,effConv,heatpumpAir
FR,hh0016,4.054991780285491,scr2017,effConv,heatpumpAir
FR,hh0017,4.059637147414833,scr2017,effConv,heatpumpAir
FR,hh0018,4.059999999997672,scr2017,effConv,heatpumpAir
IT,hh0013,4.019911763429263,scr2017,effConv,heatpumpAir
IT,hh0014,4.049135034347273,scr2017,effConv,heatpumpAir
IT,hh0015,4.049132801263113,scr2017,effConv,heatpumpAir
IT,hh0016,4.03826386576111,scr2017,effConv,heatpumpAir
IT,hh0017,4.052486450396827,scr2017,effConv,heatpumpAir
IT,hh0018,4.0520673281152995,scr2017,effConv,heatpumpAir
NL,hh0013,4.004485258832574,scr2017,effConv,heatpumpAir
NL,hh0014,4.059999994933605,scr2017,effConv,heatpumpAir
NL,hh0015,4.059999994933605,scr2017,effConv,heatpumpAir
NL,hh0016,4.059999994933605,scr2017,effConv,heatpumpAir
NL,hh0017,4.059999994933605,scr2017,effConv,heatpumpAir
NL,hh0018,4.059999994933605,scr2017,effConv,heatpumpAir
IE,hh0013,4.004450939595699,scr2017,effConv,heatpumpAir
IE,hh0014,4.032225478440523,scr2017,effConv,heatpumpAir
IE,hh0015,4.060000017285347,scr2017,effConv,heatpumpAir
IE,hh0016,4.044021308422089,scr2017,effConv,heatpumpAir
IE,hh0017,4.058549035340548,scr2017,effConv,heatpumpAir
IE,hh0018,4.060000017285347,scr2017,effConv,heatpumpAir
