region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0013,5.863892646783575,scr2017,effConv,heatpumpGroundSpace
AT,hh0014,6.216715146559385,scr2017,effConv,heatpumpGroundSpace
AT,hh0015,6.266800283759661,scr2017,effConv,heatpumpGroundSpace
AT,hh0016,6.1063098933094,scr2017,effConv,heatpumpGroundSpace
AT,hh0017,6.268389763911754,scr2017,effConv,heatpumpGroundSpace
AT,hh0018,6.2760839034631015,scr2017,effConv,heatpumpGroundSpace
BE,hh0013,6.2952468345697685,scr2017,effConv,heatpumpGroundSpace
BE,hh0014,6.305944620895239,scr2017,effConv,heatpumpGroundSpace
BE,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
BE,hh0016,6.34,scr2017,effConv,heatpumpGroundSpace
BE,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
BE,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
BG,hh0013,5.925416395739879,scr2017,effConv,heatpumpGroundSpace
BG,hh0014,6.3389299793631055,scr2017,effConv,heatpumpGroundSpace
BG,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
BG,hh0016,6.22489545970118,scr2017,effConv,heatpumpGroundSpace
BG,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
BG,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
CH,hh0013,5.717231099660598,scr2017,effConv,heatpumpGroundSpace
CH,hh0014,6.130814608630401,scr2017,effConv,heatpumpGroundSpace
CH,hh0015,6.216873632034616,scr2017,effConv,heatpumpGroundSpace
CH,hh0016,5.921804891548151,scr2017,effConv,heatpumpGroundSpace
CH,hh0017,6.224319932479338,scr2017,effConv,heatpumpGroundSpace
CH,hh0018,6.26225232578221,scr2017,effConv,heatpumpGroundSpace
CZ,hh0013,6.13409019714334,scr2017,effConv,heatpumpGroundSpace
CZ,hh0014,6.3209990296703165,scr2017,effConv,heatpumpGroundSpace
CZ,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
CZ,hh0016,6.295980597527167,scr2017,effConv,heatpumpGroundSpace
CZ,hh0017,6.336552692556562,scr2017,effConv,heatpumpGroundSpace
CZ,hh0018,6.338098399317709,scr2017,effConv,heatpumpGroundSpace
DE,hh0013,6.178268277185506,scr2017,effConv,heatpumpGroundSpace
DE,hh0014,6.294231357668716,scr2017,effConv,heatpumpGroundSpace
DE,hh0015,6.338038298999534,scr2017,effConv,heatpumpGroundSpace
DE,hh0016,6.327797561511433,scr2017,effConv,heatpumpGroundSpace
DE,hh0017,6.337179946305992,scr2017,effConv,heatpumpGroundSpace
DE,hh0018,6.336638360081291,scr2017,effConv,heatpumpGroundSpace
GR,hh0013,6.275147817344987,scr2017,effConv,heatpumpGroundSpace
GR,hh0014,6.3399999999965075,scr2017,effConv,heatpumpGroundSpace
GR,hh0015,6.3399999999965075,scr2017,effConv,heatpumpGroundSpace
GR,hh0016,6.339090978990498,scr2017,effConv,heatpumpGroundSpace
GR,hh0017,6.3399999999965075,scr2017,effConv,heatpumpGroundSpace
GR,hh0018,6.3399999999965075,scr2017,effConv,heatpumpGroundSpace
ES,hh0013,6.314111303260128,scr2017,effConv,heatpumpGroundSpace
ES,hh0014,6.325117601655478,scr2017,effConv,heatpumpGroundSpace
ES,hh0015,6.332295214574374,scr2017,effConv,heatpumpGroundSpace
ES,hh0016,6.327413424141638,scr2017,effConv,heatpumpGroundSpace
ES,hh0017,6.339595404481938,scr2017,effConv,heatpumpGroundSpace
ES,hh0018,6.339884115410934,scr2017,effConv,heatpumpGroundSpace
DK,hh0013,6.124277330935001,scr2017,effConv,heatpumpGroundSpace
DK,hh0014,6.324362805113196,scr2017,effConv,heatpumpGroundSpace
DK,hh0015,6.339999996125698,scr2017,effConv,heatpumpGroundSpace
DK,hh0016,6.281247515231371,scr2017,effConv,heatpumpGroundSpace
DK,hh0017,6.339999996125698,scr2017,effConv,heatpumpGroundSpace
DK,hh0018,6.338624753057957,scr2017,effConv,heatpumpGroundSpace
EE,hh0013,5.505142878310198,scr2017,effConv,heatpumpGroundSpace
EE,hh0014,5.958273760725798,scr2017,effConv,heatpumpGroundSpace
EE,hh0015,6.156620462242859,scr2017,effConv,heatpumpGroundSpace
EE,hh0016,6.093406831230369,scr2017,effConv,heatpumpGroundSpace
EE,hh0017,6.340000000000001,scr2017,effConv,heatpumpGroundSpace
EE,hh0018,6.316927782692509,scr2017,effConv,heatpumpGroundSpace
FI,hh0013,5.14796201167519,scr2017,effConv,heatpumpGroundSpace
FI,hh0014,5.942365031380177,scr2017,effConv,heatpumpGroundSpace
FI,hh0015,5.991426728312945,scr2017,effConv,heatpumpGroundSpace
FI,hh0016,5.969212478854388,scr2017,effConv,heatpumpGroundSpace
FI,hh0017,6.3145514580501185,scr2017,effConv,heatpumpGroundSpace
FI,hh0018,6.265395829446788,scr2017,effConv,heatpumpGroundSpace
FR,hh0013,6.232792567190279,scr2017,effConv,heatpumpGroundSpace
FR,hh0014,6.285765103410766,scr2017,effConv,heatpumpGroundSpace
FR,hh0015,6.328238637376922,scr2017,effConv,heatpumpGroundSpace
FR,hh0016,6.308563868973991,scr2017,effConv,heatpumpGroundSpace
FR,hh0017,6.336687666182156,scr2017,effConv,heatpumpGroundSpace
FR,hh0018,6.3389257412868725,scr2017,effConv,heatpumpGroundSpace
IT,hh0013,6.085944643473082,scr2017,effConv,heatpumpGroundSpace
IT,hh0014,6.267623616274561,scr2017,effConv,heatpumpGroundSpace
IT,hh0015,6.289487272474878,scr2017,effConv,heatpumpGroundSpace
IT,hh0016,6.190062870567297,scr2017,effConv,heatpumpGroundSpace
IT,hh0017,6.295918952205676,scr2017,effConv,heatpumpGroundSpace
IT,hh0018,6.300460374110185,scr2017,effConv,heatpumpGroundSpace
NL,hh0013,6.187873115066395,scr2017,effConv,heatpumpGroundSpace
NL,hh0014,6.336744225885923,scr2017,effConv,heatpumpGroundSpace
NL,hh0015,6.3400000000037835,scr2017,effConv,heatpumpGroundSpace
NL,hh0016,6.3400000000037835,scr2017,effConv,heatpumpGroundSpace
NL,hh0017,6.3400000000037835,scr2017,effConv,heatpumpGroundSpace
NL,hh0018,6.3400000000037835,scr2017,effConv,heatpumpGroundSpace
IE,hh0013,5.9515613205730915,scr2017,effConv,heatpumpGroundSpace
IE,hh0014,6.144014127552509,scr2017,effConv,heatpumpGroundSpace
IE,hh0015,6.292374238371849,scr2017,effConv,heatpumpGroundSpace
IE,hh0016,6.064268805086613,scr2017,effConv,heatpumpGroundSpace
IE,hh0017,6.307369314134121,scr2017,effConv,heatpumpGroundSpace
IE,hh0018,6.315259028226137,scr2017,effConv,heatpumpGroundSpace
HR,hh0013,6.258214421414944,scr2017,effConv,heatpumpGroundSpace
HR,hh0014,6.34,scr2017,effConv,heatpumpGroundSpace
HR,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
HR,hh0016,6.34,scr2017,effConv,heatpumpGroundSpace
HR,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
HR,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
HU,hh0013,6.255549409257007,scr2017,effConv,heatpumpGroundSpace
HU,hh0014,6.34,scr2017,effConv,heatpumpGroundSpace
HU,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
HU,hh0016,6.34,scr2017,effConv,heatpumpGroundSpace
HU,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
HU,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
MK,hh0013,5.866084094783179,scr2017,effConv,heatpumpGroundSpace
MK,hh0014,6.333502580535499,scr2017,effConv,heatpumpGroundSpace
MK,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
MK,hh0016,6.31401634830677,scr2017,effConv,heatpumpGroundSpace
MK,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
MK,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
LV,hh0013,5.805373170229352,scr2017,effConv,heatpumpGroundSpace
LV,hh0014,6.253692324687465,scr2017,effConv,heatpumpGroundSpace
LV,hh0015,6.310149065622175,scr2017,effConv,heatpumpGroundSpace
LV,hh0016,6.1077785781107,scr2017,effConv,heatpumpGroundSpace
LV,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
LV,hh0018,6.302237244944655,scr2017,effConv,heatpumpGroundSpace
ME,hh0013,5.577888847770671,scr2017,effConv,heatpumpGroundSpace
ME,hh0014,6.309188454405595,scr2017,effConv,heatpumpGroundSpace
ME,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
ME,hh0016,6.172242889189974,scr2017,effConv,heatpumpGroundSpace
ME,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
ME,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
LT,hh0013,5.98648799445471,scr2017,effConv,heatpumpGroundSpace
LT,hh0014,6.296281629884014,scr2017,effConv,heatpumpGroundSpace
LT,hh0015,6.339999999999999,scr2017,effConv,heatpumpGroundSpace
LT,hh0016,6.0887219650418345,scr2017,effConv,heatpumpGroundSpace
LT,hh0017,6.339999999999999,scr2017,effConv,heatpumpGroundSpace
LT,hh0018,6.2848413857378675,scr2017,effConv,heatpumpGroundSpace
LU,hh0013,6.289835124135131,scr2017,effConv,heatpumpGroundSpace
LU,hh0014,6.2396702482702615,scr2017,effConv,heatpumpGroundSpace
LU,hh0015,6.34,scr2017,effConv,heatpumpGroundSpace
LU,hh0016,6.34,scr2017,effConv,heatpumpGroundSpace
LU,hh0017,6.34,scr2017,effConv,heatpumpGroundSpace
LU,hh0018,6.34,scr2017,effConv,heatpumpGroundSpace
NO,hh0013,5.282460208420767,scr2017,effConv,heatpumpGroundSpace
NO,hh0014,5.94571325611197,scr2017,effConv,heatpumpGroundSpace
NO,hh0015,6.0160492343274345,scr2017,effConv,heatpumpGroundSpace
NO,hh0016,5.800698275056604,scr2017,effConv,heatpumpGroundSpace
NO,hh0017,6.106265016671401,scr2017,effConv,heatpumpGroundSpace
NO,hh0018,6.258788036312316,scr2017,effConv,heatpumpGroundSpace
