region_4,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0001,0.0,scr1986,mustOut,frtRoadLight
AT,h0002,0.0,scr1986,mustOut,frtRoadLight
AT,h0003,0.020033027305682356,scr1986,mustOut,frtRoadLight
AT,h0004,0.1994370893576567,scr1986,mustOut,frtRoadLight
AT,h0005,0.4264383564266546,scr1986,mustOut,frtRoadLight
AT,h0006,0.51792821,scr1986,mustOut,frtRoadLight
AT,h0007,0.2632758981637168,scr1986,mustOut,frtRoadLight
AT,h0008,0.26251306263566565,scr1986,mustOut,frtRoadLight
AT,h0009,0.18185207537669315,scr1986,mustOut,frtRoadLight
AT,h0010,0.28274339879385185,scr1986,mustOut,frtRoadLight
AT,h0011,0.09484870722847817,scr1986,mustOut,frtRoadLight
AT,h0012,0.053900143049285275,scr1986,mustOut,frtRoadLight
AT,h0013,0.0,scr1986,mustOut,frtRoadLight
AT,h0014,0.0,scr1986,mustOut,frtRoadLight
AT,h0015,0.020033027305682356,scr1986,mustOut,frtRoadLight
AT,h0016,0.052313468340372184,scr1986,mustOut,frtRoadLight
AT,h0017,0.2181228932828499,scr1986,mustOut,frtRoadLight
AT,h0018,0.21810447892136584,scr1986,mustOut,frtRoadLight
AT,h0019,0.3006897434435319,scr1986,mustOut,frtRoadLight
AT,h0020,0.29989093670583367,scr1986,mustOut,frtRoadLight
AT,h0021,0.5082088068318481,scr1986,mustOut,frtRoadLight
AT,h0022,0.5012026667204312,scr1986,mustOut,frtRoadLight
AT,h0023,0.2586679477091331,scr1986,mustOut,frtRoadLight
AT,h0024,0.053900143049285275,scr1986,mustOut,frtRoadLight
BE,h0001,0.0,scr1986,mustOut,frtRoadLight
BE,h0002,0.0,scr1986,mustOut,frtRoadLight
BE,h0003,0.020033027305682356,scr1986,mustOut,frtRoadLight
BE,h0004,0.1994370893576567,scr1986,mustOut,frtRoadLight
BE,h0005,0.4264383564266546,scr1986,mustOut,frtRoadLight
BE,h0006,0.51792821,scr1986,mustOut,frtRoadLight
BE,h0007,0.2632758981637168,scr1986,mustOut,frtRoadLight
BE,h0008,0.26251306263566565,scr1986,mustOut,frtRoadLight
BE,h0009,0.18185207537669315,scr1986,mustOut,frtRoadLight
BE,h0010,0.28274339879385185,scr1986,mustOut,frtRoadLight
BE,h0011,0.09484870722847817,scr1986,mustOut,frtRoadLight
BE,h0012,0.053900143049285275,scr1986,mustOut,frtRoadLight
BE,h0013,0.0,scr1986,mustOut,frtRoadLight
BE,h0014,0.0,scr1986,mustOut,frtRoadLight
