region_4,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.0,scr2006,avaConv,solar
AL,h0002,0.0,scr2006,avaConv,solar
AL,h0003,0.0,scr2006,avaConv,solar
AL,h0004,0.0,scr2006,avaConv,solar
AL,h0005,0.05860862175601558,scr2006,avaConv,solar
AL,h0006,0.26183953124396947,scr2006,avaConv,solar
AL,h0007,0.45071228571394123,scr2006,avaConv,solar
AL,h0008,0.3698647844906841,scr2006,avaConv,solar
AL,h0009,0.1284568393913204,scr2006,avaConv,solar
AL,h0010,0.02314299199137353,scr2006,avaConv,solar
AL,h0011,0.0,scr2006,avaConv,solar
AL,h0012,0.0,scr2006,avaConv,solar
AL,h0013,0.0,scr2006,avaConv,solar
AL,h0014,0.0,scr2006,avaConv,solar
AL,h0015,0.0,scr2006,avaConv,solar
AL,h0016,0.0002728649886749985,scr2006,avaConv,solar
AL,h0017,0.02979655565919898,scr2006,avaConv,solar
AL,h0018,0.0803491602227536,scr2006,avaConv,solar
AL,h0019,0.18965685849324318,scr2006,avaConv,solar
AL,h0020,0.15694492046998432,scr2006,avaConv,solar
AL,h0021,0.1060538408599772,scr2006,avaConv,solar
AL,h0022,0.02158833189030405,scr2006,avaConv,solar
AL,h0023,0.0033812494923364093,scr2006,avaConv,solar
AL,h0024,0.0,scr2006,avaConv,solar
AT,h0001,0.0,scr2006,avaConv,solar
AT,h0002,0.0,scr2006,avaConv,solar
AT,h0003,0.0,scr2006,avaConv,solar
AT,h0004,0.0,scr2006,avaConv,solar
AT,h0005,0.015011557580096915,scr2006,avaConv,solar
AT,h0006,0.14088333041348236,scr2006,avaConv,solar
AT,h0007,0.2947760978261028,scr2006,avaConv,solar
AT,h0008,0.3278770853463399,scr2006,avaConv,solar
AT,h0009,0.1218091576017047,scr2006,avaConv,solar
AT,h0010,0.025938007881132773,scr2006,avaConv,solar
AT,h0011,0.0,scr2006,avaConv,solar
AT,h0012,0.0,scr2006,avaConv,solar
AT,h0013,0.0,scr2006,avaConv,solar
AT,h0014,0.0,scr2006,avaConv,solar
AT,h0015,0.0,scr2006,avaConv,solar
AT,h0016,0.0,scr2006,avaConv,solar
AT,h0017,0.03432488988888095,scr2006,avaConv,solar
AT,h0018,0.08957728231355017,scr2006,avaConv,solar
AT,h0019,0.1756765859738626,scr2006,avaConv,solar
AT,h0020,0.2257522267934389,scr2006,avaConv,solar
AT,h0021,0.1618982416235042,scr2006,avaConv,solar
AT,h0022,0.0791729528516924,scr2006,avaConv,solar
AT,h0023,0.002677255934926663,scr2006,avaConv,solar
AT,h0024,0.0,scr2006,avaConv,solar
BA,h0001,0.0,scr2006,avaConv,solar
BA,h0002,0.0,scr2006,avaConv,solar
BA,h0003,0.0,scr2006,avaConv,solar
BA,h0004,0.0,scr2006,avaConv,solar
BA,h0005,0.01779064100572726,scr2006,avaConv,solar
BA,h0006,0.19718804670651546,scr2006,avaConv,solar
BA,h0007,0.3325158702017228,scr2006,avaConv,solar
BA,h0008,0.3523391657181072,scr2006,avaConv,solar
BA,h0009,0.10426629666017911,scr2006,avaConv,solar
BA,h0010,0.02510552510842249,scr2006,avaConv,solar
BA,h0011,0.0,scr2006,avaConv,solar
BA,h0012,0.0,scr2006,avaConv,solar
BA,h0013,0.0,scr2006,avaConv,solar
BA,h0014,0.0,scr2006,avaConv,solar
BA,h0015,0.0,scr2006,avaConv,solar
BA,h0016,0.0,scr2006,avaConv,solar
BA,h0017,0.0487427490362921,scr2006,avaConv,solar
BA,h0018,0.1896583398859854,scr2006,avaConv,solar
BA,h0019,0.2988358166835845,scr2006,avaConv,solar
BA,h0020,0.2694785183757724,scr2006,avaConv,solar
BA,h0021,0.11592265763639599,scr2006,avaConv,solar
BA,h0022,0.04383137905126489,scr2006,avaConv,solar
BA,h0023,0.002249624472881023,scr2006,avaConv,solar
BA,h0024,0.0,scr2006,avaConv,solar
BE,h0001,0.0,scr2006,avaConv,solar
BE,h0002,0.0,scr2006,avaConv,solar
BE,h0003,0.0,scr2006,avaConv,solar
BE,h0004,0.0,scr2006,avaConv,solar
BE,h0005,0.0,scr2006,avaConv,solar
BE,h0006,0.015373552854742836,scr2006,avaConv,solar
BE,h0007,0.026809411264360695,scr2006,avaConv,solar
BE,h0008,0.039707455421586046,scr2006,avaConv,solar
BE,h0009,0.005521443929129399,scr2006,avaConv,solar
BE,h0010,0.0012346458314991672,scr2006,avaConv,solar
BE,h0011,0.0,scr2006,avaConv,solar
BE,h0012,0.0,scr2006,avaConv,solar
BE,h0013,0.0,scr2006,avaConv,solar
BE,h0014,0.0,scr2006,avaConv,solar
BE,h0015,0.0,scr2006,avaConv,solar
BE,h0016,0.0,scr2006,avaConv,solar
BE,h0017,0.0032692351923485977,scr2006,avaConv,solar
BE,h0018,0.03405261529102905,scr2006,avaConv,solar
BE,h0019,0.32466127989577515,scr2006,avaConv,solar
BE,h0020,0.49165339160149013,scr2006,avaConv,solar
BE,h0021,0.4118481014831085,scr2006,avaConv,solar
BE,h0022,0.06523942006645762,scr2006,avaConv,solar
BE,h0023,0.004611161932631472,scr2006,avaConv,solar
BE,h0024,0.0,scr2006,avaConv,solar
BG,h0001,0.0,scr2006,avaConv,solar
BG,h0002,0.0,scr2006,avaConv,solar
BG,h0003,0.0,scr2006,avaConv,solar
BG,h0004,0.0,scr2006,avaConv,solar
BG,h0005,0.03796431594228617,scr2006,avaConv,solar
BG,h0006,0.25671489861958136,scr2006,avaConv,solar
BG,h0007,0.48635541649459646,scr2006,avaConv,solar
BG,h0008,0.3918124822925684,scr2006,avaConv,solar
BG,h0009,0.10644305505613623,scr2006,avaConv,solar
BG,h0010,0.011889852427265321,scr2006,avaConv,solar
BG,h0011,0.0,scr2006,avaConv,solar
BG,h0012,0.0,scr2006,avaConv,solar
BG,h0013,0.0,scr2006,avaConv,solar
BG,h0014,0.0,scr2006,avaConv,solar
BG,h0015,0.0,scr2006,avaConv,solar
BG,h0016,0.004066293337837259,scr2006,avaConv,solar
