region_4,category,timestep_6,value,scenario_1,parameter,technology_3
AL,1,h0001,0.03466773450374348,scr2011,avaConv,onshore_a
AL,1,h0002,0.4427414852640399,scr2011,avaConv,onshore_a
AL,1,h0003,0.38850354028721656,scr2011,avaConv,onshore_a
AL,1,h0004,0.4007866527292037,scr2011,avaConv,onshore_a
AL,1,h0005,0.2846841546595489,scr2011,avaConv,onshore_a
AL,1,h0006,0.41459362754504714,scr2011,avaConv,onshore_a
AL,1,h0007,0.399173038484305,scr2011,avaConv,onshore_a
AL,1,h0008,0.6954640935799059,scr2011,avaConv,onshore_a
AL,1,h0009,0.5944442390573984,scr2011,avaConv,onshore_a
AL,1,h0010,0.9499774246529952,scr2011,avaConv,onshore_a
AL,1,h0011,0.6880555551934329,scr2011,avaConv,onshore_a
AL,1,h0012,0.9423770796126302,scr2011,avaConv,onshore_a
AL,1,h0013,0.7037910103473449,scr2011,avaConv,onshore_a
AL,1,h0014,0.7167078097543835,scr2011,avaConv,onshore_a
AL,1,h0015,0.3622201781793774,scr2011,avaConv,onshore_a
AL,1,h0016,0.355148984311589,scr2011,avaConv,onshore_a
AL,1,h0017,0.5265407769273749,scr2011,avaConv,onshore_a
AL,1,h0018,0.5503778894708183,scr2011,avaConv,onshore_a
AL,1,h0019,0.6827811595494786,scr2011,avaConv,onshore_a
AL,1,h0020,0.42862549233667213,scr2011,avaConv,onshore_a
AL,1,h0021,0.4311746701945548,scr2011,avaConv,onshore_a
AL,1,h0022,0.4456279512505061,scr2011,avaConv,onshore_a
AL,1,h0023,0.46800587011307115,scr2011,avaConv,onshore_a
AL,1,h0024,0.5443162736731915,scr2011,avaConv,onshore_a
AT,1,h0001,0.2739709616308435,scr2011,avaConv,onshore_a
AT,1,h0002,0.1637086546594227,scr2011,avaConv,onshore_a
AT,1,h0003,0.1886119567780329,scr2011,avaConv,onshore_a
AT,1,h0004,0.12343759592457888,scr2011,avaConv,onshore_a
AT,1,h0005,0.3366625221139689,scr2011,avaConv,onshore_a
AT,1,h0006,0.28229739490045713,scr2011,avaConv,onshore_a
AT,1,h0007,0.3513859473827495,scr2011,avaConv,onshore_a
AT,1,h0008,0.27682014042733993,scr2011,avaConv,onshore_a
AT,1,h0009,0.43039124959610275,scr2011,avaConv,onshore_a
AT,1,h0010,0.43076088781916627,scr2011,avaConv,onshore_a
AT,1,h0011,0.3200623379760137,scr2011,avaConv,onshore_a
AT,1,h0012,0.316412925215187,scr2011,avaConv,onshore_a
AT,1,h0013,0.39556119921753824,scr2011,avaConv,onshore_a
AT,1,h0014,0.3793534683979923,scr2011,avaConv,onshore_a
AT,1,h0015,0.24442725090959297,scr2011,avaConv,onshore_a
AT,1,h0016,0.1130006436216008,scr2011,avaConv,onshore_a
AT,1,h0017,0.24444780413198455,scr2011,avaConv,onshore_a
AT,1,h0018,0.24471588072193587,scr2011,avaConv,onshore_a
AT,1,h0019,0.3734675408172253,scr2011,avaConv,onshore_a
AT,1,h0020,0.29647264123546396,scr2011,avaConv,onshore_a
AT,1,h0021,0.38442210293256657,scr2011,avaConv,onshore_a
AT,1,h0022,0.42467270030356596,scr2011,avaConv,onshore_a
AT,1,h0023,0.5171755750113526,scr2011,avaConv,onshore_a
AT,1,h0024,0.6214197712460808,scr2011,avaConv,onshore_a
BA,1,h0001,0.0,scr2011,avaConv,onshore_a
BA,1,h0002,0.1258355440222482,scr2011,avaConv,onshore_a
BA,1,h0003,0.515258726616122,scr2011,avaConv,onshore_a
BA,1,h0004,0.6201882994112744,scr2011,avaConv,onshore_a
BA,1,h0005,0.6184880924321844,scr2011,avaConv,onshore_a
BA,1,h0006,0.2832918158238762,scr2011,avaConv,onshore_a
BA,1,h0007,0.17315195454415777,scr2011,avaConv,onshore_a
BA,1,h0008,0.42904231656355923,scr2011,avaConv,onshore_a
BA,1,h0009,0.3635496981064567,scr2011,avaConv,onshore_a
BA,1,h0010,0.6221890996488197,scr2011,avaConv,onshore_a
BA,1,h0011,0.3180897489521961,scr2011,avaConv,onshore_a
BA,1,h0012,0.4308701134253606,scr2011,avaConv,onshore_a
BA,1,h0013,0.21133789057728591,scr2011,avaConv,onshore_a
BA,1,h0014,0.28343153524258896,scr2011,avaConv,onshore_a
BA,1,h0015,0.15184366918065922,scr2011,avaConv,onshore_a
BA,1,h0016,0.35312211800109705,scr2011,avaConv,onshore_a
BA,1,h0017,0.4404609428244338,scr2011,avaConv,onshore_a
BA,1,h0018,0.5165474030609027,scr2011,avaConv,onshore_a
BA,1,h0019,0.5816001969537088,scr2011,avaConv,onshore_a
BA,1,h0020,0.43008718690703607,scr2011,avaConv,onshore_a
BA,1,h0021,0.3836678393962234,scr2011,avaConv,onshore_a
BA,1,h0022,0.46139433089467613,scr2011,avaConv,onshore_a
BA,1,h0023,0.44840426344960677,scr2011,avaConv,onshore_a
BA,1,h0024,0.7976057969478388,scr2011,avaConv,onshore_a
BE,1,h0001,0.02012995704452401,scr2011,avaConv,onshore_a
BE,1,h0002,0.05391855188050354,scr2011,avaConv,onshore_a
BE,1,h0003,0.059000932074833395,scr2011,avaConv,onshore_a
BE,1,h0004,0.0995505673556827,scr2011,avaConv,onshore_a
BE,1,h0005,0.4025579758775198,scr2011,avaConv,onshore_a
BE,1,h0006,0.6476292396433482,scr2011,avaConv,onshore_a
BE,1,h0007,0.6320585372724136,scr2011,avaConv,onshore_a
BE,1,h0008,0.3482876762814116,scr2011,avaConv,onshore_a
BE,1,h0009,0.2605085170618286,scr2011,avaConv,onshore_a
BE,1,h0010,0.3528024955378806,scr2011,avaConv,onshore_a
BE,1,h0011,0.23255086445178252,scr2011,avaConv,onshore_a
BE,1,h0012,0.4156294732538688,scr2011,avaConv,onshore_a
BE,1,h0013,0.45383688583352894,scr2011,avaConv,onshore_a
BE,1,h0014,0.6979272512540662,scr2011,avaConv,onshore_a
BE,1,h0015,0.3818069427307763,scr2011,avaConv,onshore_a
BE,1,h0016,0.2941646740820849,scr2011,avaConv,onshore_a
BE,1,h0017,0.1826279947461015,scr2011,avaConv,onshore_a
BE,1,h0018,0.11860194590568071,scr2011,avaConv,onshore_a
BE,1,h0019,0.061782414270777776,scr2011,avaConv,onshore_a
BE,1,h0020,0.00653328142987415,scr2011,avaConv,onshore_a
BE,1,h0021,0.13608991225599965,scr2011,avaConv,onshore_a
BE,1,h0022,0.23557669476923637,scr2011,avaConv,onshore_a
BE,1,h0023,0.39507791426724614,scr2011,avaConv,onshore_a
BE,1,h0024,0.40533899642297505,scr2011,avaConv,onshore_a
BG,1,h0001,0.2804220389213886,scr2011,avaConv,onshore_a
BG,1,h0002,0.5824649712508196,scr2011,avaConv,onshore_a
BG,1,h0003,0.3513561137949261,scr2011,avaConv,onshore_a
BG,1,h0004,0.2555395829462585,scr2011,avaConv,onshore_a
BG,1,h0005,0.028881463502291246,scr2011,avaConv,onshore_a
BG,1,h0006,0.3195969759649149,scr2011,avaConv,onshore_a
BG,1,h0007,0.29270764314789044,scr2011,avaConv,onshore_a
BG,1,h0008,0.3628983264722071,scr2011,avaConv,onshore_a
BG,1,h0009,0.2684865162324425,scr2011,avaConv,onshore_a
BG,1,h0010,0.6084390740017209,scr2011,avaConv,onshore_a
BG,1,h0011,0.6366505693241187,scr2011,avaConv,onshore_a
BG,1,h0012,0.42721299874837576,scr2011,avaConv,onshore_a
BG,1,h0013,0.2767365077128054,scr2011,avaConv,onshore_a
BG,1,h0014,0.2661202383920196,scr2011,avaConv,onshore_a
BG,1,h0015,0.19265178887633233,scr2011,avaConv,onshore_a
BG,1,h0016,0.09440013639800736,scr2011,avaConv,onshore_a
BG,1,h0017,0.39967900264164835,scr2011,avaConv,onshore_a
BG,1,h0018,0.4649061060271329,scr2011,avaConv,onshore_a
BG,1,h0019,0.9068043513250791,scr2011,avaConv,onshore_a
BG,1,h0020,0.405835077652552,scr2011,avaConv,onshore_a
BG,1,h0021,0.40370377624559073,scr2011,avaConv,onshore_a
BG,1,h0022,0.21348718691775412,scr2011,avaConv,onshore_a
BG,1,h0023,0.6486594350864633,scr2011,avaConv,onshore_a
BG,1,h0024,0.6169358975281819,scr2011,avaConv,onshore_a
CH,1,h0001,0.0,scr2011,avaConv,onshore_a
CH,1,h0002,0.008629429469532648,scr2011,avaConv,onshore_a
CH,1,h0003,0.22249413153808534,scr2011,avaConv,onshore_a
CH,1,h0004,0.2481989481891759,scr2011,avaConv,onshore_a
CH,1,h0005,0.7607149468153833,scr2011,avaConv,onshore_a
CH,1,h0006,0.487989134151528,scr2011,avaConv,onshore_a
CH,1,h0007,0.6117583616719491,scr2011,avaConv,onshore_a
CH,1,h0008,0.5032733619737371,scr2011,avaConv,onshore_a
CH,1,h0009,0.7460963145372982,scr2011,avaConv,onshore_a
CH,1,h0010,0.7989411962728277,scr2011,avaConv,onshore_a
CH,1,h0011,0.37195422087647223,scr2011,avaConv,onshore_a
CH,1,h0012,0.26355801197954054,scr2011,avaConv,onshore_a
CH,1,h0013,0.1642891971816102,scr2011,avaConv,onshore_a
CH,1,h0014,0.25483981931773275,scr2011,avaConv,onshore_a
CH,1,h0015,0.18125512335508118,scr2011,avaConv,onshore_a
CH,1,h0016,0.14520096813159808,scr2011,avaConv,onshore_a
CH,1,h0017,0.07724465142653872,scr2011,avaConv,onshore_a
CH,1,h0018,0.04729269622870715,scr2011,avaConv,onshore_a
CH,1,h0019,0.07534917369420462,scr2011,avaConv,onshore_a
CH,1,h0020,0.4162243754140839,scr2011,avaConv,onshore_a
CH,1,h0021,0.5094981217031739,scr2011,avaConv,onshore_a
CH,1,h0022,0.8537063525969387,scr2011,avaConv,onshore_a
CH,1,h0023,0.671975801861822,scr2011,avaConv,onshore_a
CH,1,h0024,0.6147657453501264,scr2011,avaConv,onshore_a
CZ,1,h0001,0.547153822701115,scr2011,avaConv,onshore_a
CZ,1,h0002,0.3181940792816866,scr2011,avaConv,onshore_a
CZ,1,h0003,0.5509164762697762,scr2011,avaConv,onshore_a
CZ,1,h0004,0.4099470495435574,scr2011,avaConv,onshore_a
CZ,1,h0005,0.5721321660087958,scr2011,avaConv,onshore_a
CZ,1,h0006,0.3115363599784562,scr2011,avaConv,onshore_a
CZ,1,h0007,0.4025702325114454,scr2011,avaConv,onshore_a
CZ,1,h0008,0.23963220623657666,scr2011,avaConv,onshore_a
CZ,1,h0009,0.47821268871685924,scr2011,avaConv,onshore_a
CZ,1,h0010,0.5422909292945665,scr2011,avaConv,onshore_a
CZ,1,h0011,0.526459572619501,scr2011,avaConv,onshore_a
CZ,1,h0012,0.36333287642405965,scr2011,avaConv,onshore_a
CZ,1,h0013,0.4255139185911945,scr2011,avaConv,onshore_a
CZ,1,h0014,0.4239959110346606,scr2011,avaConv,onshore_a
CZ,1,h0015,0.3556797803475297,scr2011,avaConv,onshore_a
CZ,1,h0016,0.16580802616390033,scr2011,avaConv,onshore_a
CZ,1,h0017,0.2022220066043466,scr2011,avaConv,onshore_a
CZ,1,h0018,0.18660672148413168,scr2011,avaConv,onshore_a
CZ,1,h0019,0.18088365323363922,scr2011,avaConv,onshore_a
CZ,1,h0020,0.20131921155745622,scr2011,avaConv,onshore_a
CZ,1,h0021,0.23737699081315836,scr2011,avaConv,onshore_a
CZ,1,h0022,0.3525926110875371,scr2011,avaConv,onshore_a
CZ,1,h0023,0.5246718789507986,scr2011,avaConv,onshore_a
CZ,1,h0024,0.5683742094168552,scr2011,avaConv,onshore_a
DE,1,h0001,0.7653847410610328,scr2011,avaConv,onshore_a
DE,1,h0002,0.4186959898121415,scr2011,avaConv,onshore_a
DE,1,h0003,0.4637279495605167,scr2011,avaConv,onshore_a
DE,1,h0004,0.27233745280261107,scr2011,avaConv,onshore_a
DE,1,h0005,0.3213244209451523,scr2011,avaConv,onshore_a
DE,1,h0006,0.32174728766582067,scr2011,avaConv,onshore_a
DE,1,h0007,0.29549114745288935,scr2011,avaConv,onshore_a
DE,1,h0008,0.18802894540819334,scr2011,avaConv,onshore_a
DE,1,h0009,0.1841669204692718,scr2011,avaConv,onshore_a
DE,1,h0010,0.2432579915459216,scr2011,avaConv,onshore_a
DE,1,h0011,0.24824246964095942,scr2011,avaConv,onshore_a
DE,1,h0012,0.3649278582943677,scr2011,avaConv,onshore_a
DE,1,h0013,0.6317635687398292,scr2011,avaConv,onshore_a
DE,1,h0014,0.7907695851753767,scr2011,avaConv,onshore_a
DE,1,h0015,0.5713621264060801,scr2011,avaConv,onshore_a
DE,1,h0016,0.3504977565177795,scr2011,avaConv,onshore_a
DE,1,h0017,0.28879221965894797,scr2011,avaConv,onshore_a
DE,1,h0018,0.19783390252552657,scr2011,avaConv,onshore_a
DE,1,h0019,0.11271040636284564,scr2011,avaConv,onshore_a
DE,1,h0020,0.06777829789092994,scr2011,avaConv,onshore_a
DE,1,h0021,0.11102373592201886,scr2011,avaConv,onshore_a
DE,1,h0022,0.14551981663117408,scr2011,avaConv,onshore_a
DE,1,h0023,0.3236305081762774,scr2011,avaConv,onshore_a
DE,1,h0024,0.38145462837432564,scr2011,avaConv,onshore_a
EE,1,h0001,0.5753588137609434,scr2011,avaConv,onshore_a
EE,1,h0002,0.34414265353763845,scr2011,avaConv,onshore_a
EE,1,h0003,0.47390233635830353,scr2011,avaConv,onshore_a
EE,1,h0004,0.5675397927664704,scr2011,avaConv,onshore_a
EE,1,h0005,0.6762186968863451,scr2011,avaConv,onshore_a
EE,1,h0006,0.6215723125160454,scr2011,avaConv,onshore_a
EE,1,h0007,0.37545178063551,scr2011,avaConv,onshore_a
EE,1,h0008,0.23521076837656055,scr2011,avaConv,onshore_a
EE,1,h0009,0.17991791441909533,scr2011,avaConv,onshore_a
EE,1,h0010,0.4165674345610993,scr2011,avaConv,onshore_a
EE,1,h0011,0.7105717329792443,scr2011,avaConv,onshore_a
EE,1,h0012,0.9146091062942662,scr2011,avaConv,onshore_a
EE,1,h0013,0.7456430137919322,scr2011,avaConv,onshore_a
EE,1,h0014,0.6779331762163235,scr2011,avaConv,onshore_a
EE,1,h0015,0.4281150994706764,scr2011,avaConv,onshore_a
EE,1,h0016,0.32002296036894584,scr2011,avaConv,onshore_a
EE,1,h0017,0.09077056413542316,scr2011,avaConv,onshore_a
EE,1,h0018,0.004262460805904336,scr2011,avaConv,onshore_a
EE,1,h0019,0.08772835888801275,scr2011,avaConv,onshore_a
EE,1,h0020,0.08446429600532375,scr2011,avaConv,onshore_a
EE,1,h0021,0.3200063505985877,scr2011,avaConv,onshore_a
EE,1,h0022,0.4597905221995282,scr2011,avaConv,onshore_a
EE,1,h0023,0.834440494850516,scr2011,avaConv,onshore_a
EE,1,h0024,0.6810119033416367,scr2011,avaConv,onshore_a
ES,1,h0001,0.00407221348322696,scr2011,avaConv,onshore_a
ES,1,h0002,0.07744661251325455,scr2011,avaConv,onshore_a
ES,1,h0003,0.36599741958089727,scr2011,avaConv,onshore_a
ES,1,h0004,0.49748894698884083,scr2011,avaConv,onshore_a
ES,1,h0005,0.4723047340417207,scr2011,avaConv,onshore_a
ES,1,h0006,0.19259259852355357,scr2011,avaConv,onshore_a
ES,1,h0007,0.11281249390977624,scr2011,avaConv,onshore_a
ES,1,h0008,0.3722958879442857,scr2011,avaConv,onshore_a
ES,1,h0009,0.410747076737504,scr2011,avaConv,onshore_a
ES,1,h0010,0.5102440552917747,scr2011,avaConv,onshore_a
ES,1,h0011,0.3297556571272505,scr2011,avaConv,onshore_a
ES,1,h0012,0.31486773933394063,scr2011,avaConv,onshore_a
ES,1,h0013,0.22357180343789745,scr2011,avaConv,onshore_a
ES,1,h0014,0.14305490712764973,scr2011,avaConv,onshore_a
ES,1,h0015,0.250977289588983,scr2011,avaConv,onshore_a
ES,1,h0016,0.6501774148057781,scr2011,avaConv,onshore_a
ES,1,h0017,0.7033185020322776,scr2011,avaConv,onshore_a
ES,1,h0018,0.8432154404405229,scr2011,avaConv,onshore_a
ES,1,h0019,0.42534983714654173,scr2011,avaConv,onshore_a
ES,1,h0020,0.8159114111032443,scr2011,avaConv,onshore_a
ES,1,h0021,0.5904301882317234,scr2011,avaConv,onshore_a
ES,1,h0022,0.6109815264103866,scr2011,avaConv,onshore_a
ES,1,h0023,0.32572288046985964,scr2011,avaConv,onshore_a
ES,1,h0024,0.272665006606265,scr2011,avaConv,onshore_a
FI,1,h0001,0.43284873261889056,scr2011,avaConv,onshore_a
FI,1,h0002,0.21491282170146345,scr2011,avaConv,onshore_a
FI,1,h0003,0.48962789236092896,scr2011,avaConv,onshore_a
FI,1,h0004,0.5537182647361654,scr2011,avaConv,onshore_a
FI,1,h0005,0.7483054224223028,scr2011,avaConv,onshore_a
FI,1,h0006,0.7950845445363848,scr2011,avaConv,onshore_a
FI,1,h0007,0.6264491494762897,scr2011,avaConv,onshore_a
FI,1,h0008,0.4702305904164211,scr2011,avaConv,onshore_a
FI,1,h0009,0.3261349775970158,scr2011,avaConv,onshore_a
FI,1,h0010,0.641401763810861,scr2011,avaConv,onshore_a
FI,1,h0011,0.8240161089771292,scr2011,avaConv,onshore_a
FI,1,h0012,0.8911284193501513,scr2011,avaConv,onshore_a
FI,1,h0013,0.6397007489304157,scr2011,avaConv,onshore_a
FI,1,h0014,0.54456964261221,scr2011,avaConv,onshore_a
