region_4,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0007,3.305280572991024,scr1983,effConv,heatpumpAir
AT,hh0008,3.49476188539825,scr1983,effConv,heatpumpAir
AT,hh0009,3.613525443708146,scr1983,effConv,heatpumpAir
AT,hh0010,3.6627266208765175,scr1983,effConv,heatpumpAir
AT,hh0011,3.961846228821779,scr1983,effConv,heatpumpAir
AT,hh0012,3.94427490467848,scr1983,effConv,heatpumpAir
BE,hh0007,3.4530298415374348,scr1983,effConv,heatpumpAir
BE,hh0008,3.4762398866927144,scr1983,effConv,heatpumpAir
BE,hh0009,3.7498137690558817,scr1983,effConv,heatpumpAir
BE,hh0010,3.8546955937423997,scr1983,effConv,heatpumpAir
BE,hh0011,4.017200719562129,scr1983,effConv,heatpumpAir
BE,hh0012,4.035105974987192,scr1983,effConv,heatpumpAir
BG,hh0007,2.9865747920666763,scr1983,effConv,heatpumpAir
BG,hh0008,3.9322133852965635,scr1983,effConv,heatpumpAir
BG,hh0009,3.8331229509003606,scr1983,effConv,heatpumpAir
BG,hh0010,3.839700711876503,scr1983,effConv,heatpumpAir
BG,hh0011,4.0527074204910605,scr1983,effConv,heatpumpAir
BG,hh0012,4.053612325451468,scr1983,effConv,heatpumpAir
CH,hh0007,3.311421770318682,scr1983,effConv,heatpumpAir
CH,hh0008,3.3106592540872777,scr1983,effConv,heatpumpAir
CH,hh0009,3.3919370784174614,scr1983,effConv,heatpumpAir
CH,hh0010,3.4781126049864834,scr1983,effConv,heatpumpAir
CH,hh0011,3.791417610611812,scr1983,effConv,heatpumpAir
CH,hh0012,3.730486593523851,scr1983,effConv,heatpumpAir
CZ,hh0007,3.3355594154016948,scr1983,effConv,heatpumpAir
CZ,hh0008,3.57271007622923,scr1983,effConv,heatpumpAir
CZ,hh0009,3.649281201788129,scr1983,effConv,heatpumpAir
CZ,hh0010,3.881676516962254,scr1983,effConv,heatpumpAir
CZ,hh0011,4.042686341081446,scr1983,effConv,heatpumpAir
CZ,hh0012,4.044876473500045,scr1983,effConv,heatpumpAir
DE,hh0007,3.4036054812961143,scr1983,effConv,heatpumpAir
DE,hh0008,3.4042981263942673,scr1983,effConv,heatpumpAir
DE,hh0009,3.606922653941126,scr1983,effConv,heatpumpAir
DE,hh0010,3.7984626541673574,scr1983,effConv,heatpumpAir
DE,hh0011,3.984558925344411,scr1983,effConv,heatpumpAir
DE,hh0012,4.014329539192297,scr1983,effConv,heatpumpAir
GR,hh0007,3.6014630645149737,scr1983,effConv,heatpumpAir
GR,hh0008,4.018504431553083,scr1983,effConv,heatpumpAir
GR,hh0009,3.9846824079559156,scr1983,effConv,heatpumpAir
GR,hh0010,3.992342636531248,scr1983,effConv,heatpumpAir
GR,hh0011,4.059999999997672,scr1983,effConv,heatpumpAir
GR,hh0012,4.056654781288671,scr1983,effConv,heatpumpAir
ES,hh0007,3.8130625898120343,scr1983,effConv,heatpumpAir
ES,hh0008,3.880376673767387,scr1983,effConv,heatpumpAir
ES,hh0009,4.01472619735614,scr1983,effConv,heatpumpAir
ES,hh0010,3.832669240557152,scr1983,effConv,heatpumpAir
ES,hh0011,4.003903352820998,scr1983,effConv,heatpumpAir
ES,hh0012,4.036343076015328,scr1983,effConv,heatpumpAir
DK,hh0007,3.221358623950355,scr1983,effConv,heatpumpAir
DK,hh0008,3.2412533747837102,scr1983,effConv,heatpumpAir
DK,hh0009,3.5162641650518367,scr1983,effConv,heatpumpAir
DK,hh0010,3.776244970926318,scr1983,effConv,heatpumpAir
DK,hh0011,3.8660645924993977,scr1983,effConv,heatpumpAir
DK,hh0012,4.036034208718325,scr1983,effConv,heatpumpAir
EE,hh0007,2.8344955584350515,scr1983,effConv,heatpumpAir
EE,hh0008,3.2738278517432633,scr1983,effConv,heatpumpAir
EE,hh0009,3.1162576755430615,scr1983,effConv,heatpumpAir
EE,hh0010,3.399988095442975,scr1983,effConv,heatpumpAir
EE,hh0011,3.70228607695248,scr1983,effConv,heatpumpAir
EE,hh0012,3.894658770921339,scr1983,effConv,heatpumpAir
FI,hh0007,2.647662090177268,scr1983,effConv,heatpumpAir
FI,hh0008,3.0627749904573935,scr1983,effConv,heatpumpAir
FI,hh0009,2.969617747055751,scr1983,effConv,heatpumpAir
FI,hh0010,3.222106141972076,scr1983,effConv,heatpumpAir
FI,hh0011,3.6739255491019804,scr1983,effConv,heatpumpAir
FI,hh0012,3.88449704449276,scr1983,effConv,heatpumpAir
FR,hh0007,3.5591113658505664,scr1983,effConv,heatpumpAir
FR,hh0008,3.556032304453297,scr1983,effConv,heatpumpAir
FR,hh0009,3.753674703155715,scr1983,effConv,heatpumpAir
FR,hh0010,3.7234064068656534,scr1983,effConv,heatpumpAir
FR,hh0011,3.9942045445889764,scr1983,effConv,heatpumpAir
FR,hh0012,4.0031331933498455,scr1983,effConv,heatpumpAir
IT,hh0007,3.6539556178202726,scr1983,effConv,heatpumpAir
IT,hh0008,3.828570478798513,scr1983,effConv,heatpumpAir
IT,hh0009,3.8844859007512,scr1983,effConv,heatpumpAir
IT,hh0010,3.870111313581431,scr1983,effConv,heatpumpAir
IT,hh0011,3.975412768534668,scr1983,effConv,heatpumpAir
IT,hh0012,3.9721814283290486,scr1983,effConv,heatpumpAir
NL,hh0007,3.4662628210661275,scr1983,effConv,heatpumpAir
NL,hh0008,3.512526240809814,scr1983,effConv,heatpumpAir
NL,hh0009,3.711076625254517,scr1983,effConv,heatpumpAir
NL,hh0010,3.7999080059024184,scr1983,effConv,heatpumpAir
NL,hh0011,4.0016691033962015,scr1983,effConv,heatpumpAir
NL,hh0012,4.053173787327788,scr1983,effConv,heatpumpAir
IE,hh0007,3.6601004792519234,scr1983,effConv,heatpumpAir
IE,hh0008,3.424885664942849,scr1983,effConv,heatpumpAir
IE,hh0009,3.718267085876505,scr1983,effConv,heatpumpAir
IE,hh0010,3.432674994959598,scr1983,effConv,heatpumpAir
IE,hh0011,3.9116741528159764,scr1983,effConv,heatpumpAir
IE,hh0012,3.998497061615126,scr1983,effConv,heatpumpAir
HR,hh0007,3.482675837682109,scr1983,effConv,heatpumpAir
HR,hh0008,3.9374379888467956,scr1983,effConv,heatpumpAir
HR,hh0009,3.9661234163813788,scr1983,effConv,heatpumpAir
HR,hh0010,3.9993916734038066,scr1983,effConv,heatpumpAir
HR,hh0011,4.059999999997672,scr1983,effConv,heatpumpAir
HR,hh0012,4.0578188584513555,scr1983,effConv,heatpumpAir
HU,hh0007,3.3581871333002535,scr1983,effConv,heatpumpAir
HU,hh0008,3.897338872998433,scr1983,effConv,heatpumpAir
HU,hh0009,3.915865522564255,scr1983,effConv,heatpumpAir
HU,hh0010,3.9719627790002274,scr1983,effConv,heatpumpAir
HU,hh0011,4.06,scr1983,effConv,heatpumpAir
HU,hh0012,4.058597460190117,scr1983,effConv,heatpumpAir
MK,hh0007,3.0043035422895628,scr1983,effConv,heatpumpAir
MK,hh0008,3.839164193144825,scr1983,effConv,heatpumpAir
MK,hh0009,3.8571009572151524,scr1983,effConv,heatpumpAir
MK,hh0010,3.834016728998904,scr1983,effConv,heatpumpAir
MK,hh0011,4.059008476697272,scr1983,effConv,heatpumpAir
MK,hh0012,4.042026784089103,scr1983,effConv,heatpumpAir
LV,hh0007,2.9602145545602316,scr1983,effConv,heatpumpAir
LV,hh0008,3.4326620012318467,scr1983,effConv,heatpumpAir
LV,hh0009,3.248471930311033,scr1983,effConv,heatpumpAir
LV,hh0010,3.6022986939527164,scr1983,effConv,heatpumpAir
LV,hh0011,3.9394932272577297,scr1983,effConv,heatpumpAir
LV,hh0012,4.033465585827633,scr1983,effConv,heatpumpAir
ME,hh0007,3.09677989137995,scr1983,effConv,heatpumpAir
ME,hh0008,3.69646528077367,scr1983,effConv,heatpumpAir
ME,hh0009,3.7876214917302047,scr1983,effConv,heatpumpAir
ME,hh0010,3.7780902917858206,scr1983,effConv,heatpumpAir
ME,hh0011,4.045469067711226,scr1983,effConv,heatpumpAir
ME,hh0012,4.0308563892110225,scr1983,effConv,heatpumpAir
LT,hh0007,2.988722416624578,scr1983,effConv,heatpumpAir
LT,hh0008,3.6018666461148308,scr1983,effConv,heatpumpAir
LT,hh0009,3.4026821638653626,scr1983,effConv,heatpumpAir
LT,hh0010,3.63644233755898,scr1983,effConv,heatpumpAir
LT,hh0011,4.0357714020635775,scr1983,effConv,heatpumpAir
LT,hh0012,4.049472255632147,scr1983,effConv,heatpumpAir
LU,hh0007,3.4496708904461455,scr1983,effConv,heatpumpAir
LU,hh0008,3.3367347737663673,scr1983,effConv,heatpumpAir
LU,hh0009,3.586360591285156,scr1983,effConv,heatpumpAir
LU,hh0010,3.812721266564044,scr1983,effConv,heatpumpAir
LU,hh0011,3.9250073804038177,scr1983,effConv,heatpumpAir
LU,hh0012,3.985106136806591,scr1983,effConv,heatpumpAir
NO,hh0007,2.9107896190398606,scr1983,effConv,heatpumpAir
NO,hh0008,2.964724799454416,scr1983,effConv,heatpumpAir
NO,hh0009,3.288058688160163,scr1983,effConv,heatpumpAir
NO,hh0010,3.4103044484982092,scr1983,effConv,heatpumpAir
NO,hh0011,3.7465884746179654,scr1983,effConv,heatpumpAir
NO,hh0012,3.83415798871647,scr1983,effConv,heatpumpAir
PL,hh0007,3.3229591831977237,scr1983,effConv,heatpumpAir
PL,hh0008,3.6594206564836904,scr1983,effConv,heatpumpAir
PL,hh0009,3.614573121995965,scr1983,effConv,heatpumpAir
PL,hh0010,3.8504047474594896,scr1983,effConv,heatpumpAir
PL,hh0011,4.037346668994208,scr1983,effConv,heatpumpAir
PL,hh0012,4.05459399791026,scr1983,effConv,heatpumpAir
RO,hh0007,2.936109187773024,scr1983,effConv,heatpumpAir
RO,hh0008,3.7011124779206153,scr1983,effConv,heatpumpAir
RO,hh0009,3.753890298101343,scr1983,effConv,heatpumpAir
RO,hh0010,3.661489022406542,scr1983,effConv,heatpumpAir
RO,hh0011,4.006064447834856,scr1983,effConv,heatpumpAir
RO,hh0012,4.0427581565220265,scr1983,effConv,heatpumpAir
PT,hh0007,3.944842562350459,scr1983,effConv,heatpumpAir
PT,hh0008,3.917973493498721,scr1983,effConv,heatpumpAir
PT,hh0009,4.03364857606357,scr1983,effConv,heatpumpAir
PT,hh0010,3.8804062716317276,scr1983,effConv,heatpumpAir
PT,hh0011,4.019822051119263,scr1983,effConv,heatpumpAir
PT,hh0012,4.043007575868614,scr1983,effConv,heatpumpAir
SK,hh0007,3.2268524705113535,scr1983,effConv,heatpumpAir
SK,hh0008,3.6882230656951362,scr1983,effConv,heatpumpAir
SK,hh0009,3.721231310090981,scr1983,effConv,heatpumpAir
SK,hh0010,3.805223308036733,scr1983,effConv,heatpumpAir
SK,hh0011,4.023542716067637,scr1983,effConv,heatpumpAir
SK,hh0012,4.045188329607093,scr1983,effConv,heatpumpAir
SI,hh0007,3.3445599780097837,scr1983,effConv,heatpumpAir
SI,hh0008,3.724258568872756,scr1983,effConv,heatpumpAir
SI,hh0009,3.8542585015347868,scr1983,effConv,heatpumpAir
SI,hh0010,3.8717930372058618,scr1983,effConv,heatpumpAir
SI,hh0011,4.051336335929591,scr1983,effConv,heatpumpAir
SI,hh0012,4.042595195205649,scr1983,effConv,heatpumpAir
SE,hh0007,3.0304810558993314,scr1983,effConv,heatpumpAir
SE,hh0008,3.1453470023101335,scr1983,effConv,heatpumpAir
SE,hh0009,3.295996016125507,scr1983,effConv,heatpumpAir
SE,hh0010,3.475121442303971,scr1983,effConv,heatpumpAir
SE,hh0011,3.7425141371462294,scr1983,effConv,heatpumpAir
SE,hh0012,3.9938434209333487,scr1983,effConv,heatpumpAir
UK,hh0007,3.54419374740246,scr1983,effConv,heatpumpAir
UK,hh0008,3.437409023204964,scr1983,effConv,heatpumpAir
UK,hh0009,3.7062465818635246,scr1983,effConv,heatpumpAir
UK,hh0010,3.578789758919811,scr1983,effConv,heatpumpAir
UK,hh0011,3.9240572380440426,scr1983,effConv,heatpumpAir
UK,hh0012,4.005396049145929,scr1983,effConv,heatpumpAir
RS,hh0007,3.189313101051745,scr1983,effConv,heatpumpAir
RS,hh0008,3.91781913585681,scr1983,effConv,heatpumpAir
RS,hh0009,3.9132409039595535,scr1983,effConv,heatpumpAir
RS,hh0010,3.929193070171718,scr1983,effConv,heatpumpAir
RS,hh0011,4.057959056636829,scr1983,effConv,heatpumpAir
RS,hh0012,4.0518208822543755,scr1983,effConv,heatpumpAir
BA,hh0007,3.1722706546897825,scr1983,effConv,heatpumpAir
BA,hh0008,3.768775495389491,scr1983,effConv,heatpumpAir
BA,hh0009,3.889098714951615,scr1983,effConv,heatpumpAir
BA,hh0010,3.8926166220935556,scr1983,effConv,heatpumpAir
BA,hh0011,4.056145858983655,scr1983,effConv,heatpumpAir
BA,hh0012,4.044506786078273,scr1983,effConv,heatpumpAir
AL,hh0007,3.3918090952212276,scr1983,effConv,heatpumpAir
AL,hh0008,3.8794284790884315,scr1983,effConv,heatpumpAir
AL,hh0009,3.9459897541946045,scr1983,effConv,heatpumpAir
AL,hh0010,3.9312832244441536,scr1983,effConv,heatpumpAir
AL,hh0011,4.059015682396984,scr1983,effConv,heatpumpAir
AL,hh0012,4.048214915906286,scr1983,effConv,heatpumpAir
