region_4,category,timestep_6,value,scenario_1,parameter,technology_3
AL,1,h0049,0.4028187788677752,scr1989,avaConv,onshore_a
AL,1,h0050,0.35483407929507355,scr1989,avaConv,onshore_a
AL,1,h0051,0.2793645895213487,scr1989,avaConv,onshore_a
AL,1,h0052,0.5419868579650574,scr1989,avaConv,onshore_a
AL,1,h0053,0.47615643944363417,scr1989,avaConv,onshore_a
AL,1,h0054,0.46843076357548097,scr1989,avaConv,onshore_a
AL,1,h0055,0.3680210371098953,scr1989,avaConv,onshore_a
AL,1,h0056,0.4291822465651264,scr1989,avaConv,onshore_a
AL,1,h0057,0.5692340644295412,scr1989,avaConv,onshore_a
AL,1,h0058,0.44876713312983385,scr1989,avaConv,onshore_a
AL,1,h0059,0.3730607768323206,scr1989,avaConv,onshore_a
AL,1,h0060,0.11613016843100861,scr1989,avaConv,onshore_a
AL,1,h0061,0.009417811413652053,scr1989,avaConv,onshore_a
AL,1,h0062,0.10019149390088312,scr1989,avaConv,onshore_a
AL,1,h0063,0.0,scr1989,avaConv,onshore_a
AL,1,h0064,0.30971785339010877,scr1989,avaConv,onshore_a
AL,1,h0065,0.41248345520795326,scr1989,avaConv,onshore_a
AL,1,h0066,0.4604985627522001,scr1989,avaConv,onshore_a
AL,1,h0067,0.4157831031336182,scr1989,avaConv,onshore_a
AL,1,h0068,0.2922056433978455,scr1989,avaConv,onshore_a
AL,1,h0069,0.3181346207429076,scr1989,avaConv,onshore_a
AL,1,h0070,0.6102827299012688,scr1989,avaConv,onshore_a
AL,1,h0071,0.6251418485920405,scr1989,avaConv,onshore_a
AL,1,h0072,0.5745657833244691,scr1989,avaConv,onshore_a
AT,1,h0049,0.40470238552483373,scr1989,avaConv,onshore_a
AT,1,h0050,0.18247438597842722,scr1989,avaConv,onshore_a
AT,1,h0051,0.16215189555813633,scr1989,avaConv,onshore_a
AT,1,h0052,0.23587043016261697,scr1989,avaConv,onshore_a
AT,1,h0053,0.1700632345918849,scr1989,avaConv,onshore_a
AT,1,h0054,0.24097832254035567,scr1989,avaConv,onshore_a
AT,1,h0055,0.27881783228322743,scr1989,avaConv,onshore_a
AT,1,h0056,0.3440776631421983,scr1989,avaConv,onshore_a
AT,1,h0057,0.15027089182759634,scr1989,avaConv,onshore_a
AT,1,h0058,0.05720720186469012,scr1989,avaConv,onshore_a
AT,1,h0059,0.23766544194647196,scr1989,avaConv,onshore_a
AT,1,h0060,0.29705996767724235,scr1989,avaConv,onshore_a
AT,1,h0061,0.3393955263618477,scr1989,avaConv,onshore_a
AT,1,h0062,0.12165619519797034,scr1989,avaConv,onshore_a
AT,1,h0063,0.07540286972202889,scr1989,avaConv,onshore_a
AT,1,h0064,0.1865303085226714,scr1989,avaConv,onshore_a
AT,1,h0065,0.31848305182430325,scr1989,avaConv,onshore_a
AT,1,h0066,0.3403449897592458,scr1989,avaConv,onshore_a
AT,1,h0067,0.1681993523889554,scr1989,avaConv,onshore_a
AT,1,h0068,0.02669137286767392,scr1989,avaConv,onshore_a
AT,1,h0069,0.00016403506818287415,scr1989,avaConv,onshore_a
AT,1,h0070,0.37763880748210304,scr1989,avaConv,onshore_a
AT,1,h0071,0.41074769657450877,scr1989,avaConv,onshore_a
AT,1,h0072,0.40950161130316504,scr1989,avaConv,onshore_a
BA,1,h0049,0.5405656967778895,scr1989,avaConv,onshore_a
BA,1,h0050,0.14815656868952667,scr1989,avaConv,onshore_a
BA,1,h0051,0.37758228578292297,scr1989,avaConv,onshore_a
BA,1,h0052,0.43353436826545527,scr1989,avaConv,onshore_a
BA,1,h0053,0.43193265326171626,scr1989,avaConv,onshore_a
BA,1,h0054,0.2691809876358821,scr1989,avaConv,onshore_a
BA,1,h0055,0.485002473443723,scr1989,avaConv,onshore_a
BA,1,h0056,0.49774243542683033,scr1989,avaConv,onshore_a
BA,1,h0057,0.5118548882577627,scr1989,avaConv,onshore_a
BA,1,h0058,0.24983871836088345,scr1989,avaConv,onshore_a
BA,1,h0059,0.29400015144824715,scr1989,avaConv,onshore_a
BA,1,h0060,0.23978169051689277,scr1989,avaConv,onshore_a
BA,1,h0061,0.21989288722671216,scr1989,avaConv,onshore_a
BA,1,h0062,0.07870012955047738,scr1989,avaConv,onshore_a
BA,1,h0063,0.0,scr1989,avaConv,onshore_a
BA,1,h0064,0.03870814788377201,scr1989,avaConv,onshore_a
BA,1,h0065,0.11489857796728169,scr1989,avaConv,onshore_a
BA,1,h0066,0.13419878756275394,scr1989,avaConv,onshore_a
BA,1,h0067,0.14037154100683008,scr1989,avaConv,onshore_a
BA,1,h0068,0.24628535787263764,scr1989,avaConv,onshore_a
BA,1,h0069,0.25715230392008226,scr1989,avaConv,onshore_a
BA,1,h0070,0.31137307052128727,scr1989,avaConv,onshore_a
BA,1,h0071,0.2607704175289257,scr1989,avaConv,onshore_a
BA,1,h0072,0.24238736635200953,scr1989,avaConv,onshore_a
BE,1,h0049,0.3343293038940687,scr1989,avaConv,onshore_a
BE,1,h0050,0.10580959598110372,scr1989,avaConv,onshore_a
BE,1,h0051,0.08644986316778933,scr1989,avaConv,onshore_a
BE,1,h0052,0.05083916827125549,scr1989,avaConv,onshore_a
BE,1,h0053,0.06350926071349257,scr1989,avaConv,onshore_a
BE,1,h0054,0.06354168967479558,scr1989,avaConv,onshore_a
BE,1,h0055,0.04824354494454451,scr1989,avaConv,onshore_a
BE,1,h0056,0.10153733525046113,scr1989,avaConv,onshore_a
BE,1,h0057,0.1581923541257092,scr1989,avaConv,onshore_a
BE,1,h0058,0.14682046429581888,scr1989,avaConv,onshore_a
BE,1,h0059,0.2292261834513936,scr1989,avaConv,onshore_a
BE,1,h0060,0.22098083531855445,scr1989,avaConv,onshore_a
BE,1,h0061,0.43503488549902947,scr1989,avaConv,onshore_a
BE,1,h0062,0.2619663742756801,scr1989,avaConv,onshore_a
BE,1,h0063,0.16937333005051025,scr1989,avaConv,onshore_a
BE,1,h0064,0.05838951234395136,scr1989,avaConv,onshore_a
BE,1,h0065,0.04500019410912767,scr1989,avaConv,onshore_a
BE,1,h0066,0.04584311032358476,scr1989,avaConv,onshore_a
BE,1,h0067,0.00029950300773152084,scr1989,avaConv,onshore_a
BE,1,h0068,0.051996629449399874,scr1989,avaConv,onshore_a
BE,1,h0069,0.0732226069441186,scr1989,avaConv,onshore_a
BE,1,h0070,0.20541248361150571,scr1989,avaConv,onshore_a
BE,1,h0071,0.14484487959061249,scr1989,avaConv,onshore_a
BE,1,h0072,0.18419175898193174,scr1989,avaConv,onshore_a
BG,1,h0049,0.3844880243604605,scr1989,avaConv,onshore_a
BG,1,h0050,0.045668699179697986,scr1989,avaConv,onshore_a
BG,1,h0051,0.023328100169293473,scr1989,avaConv,onshore_a
BG,1,h0052,0.03437475396646704,scr1989,avaConv,onshore_a
BG,1,h0053,0.16479158839710958,scr1989,avaConv,onshore_a
BG,1,h0054,0.17589658967991578,scr1989,avaConv,onshore_a
BG,1,h0055,0.20673395866708263,scr1989,avaConv,onshore_a
BG,1,h0056,0.051549219422278476,scr1989,avaConv,onshore_a
BG,1,h0057,0.12765227938410556,scr1989,avaConv,onshore_a
BG,1,h0058,0.07756558303730145,scr1989,avaConv,onshore_a
BG,1,h0059,0.05853685524879335,scr1989,avaConv,onshore_a
BG,1,h0060,0.00010336114232766523,scr1989,avaConv,onshore_a
BG,1,h0061,0.003565183265353226,scr1989,avaConv,onshore_a
BG,1,h0062,0.023699124883404095,scr1989,avaConv,onshore_a
BG,1,h0063,0.04045445705424878,scr1989,avaConv,onshore_a
BG,1,h0064,0.06565417205242877,scr1989,avaConv,onshore_a
BG,1,h0065,0.07866948558068318,scr1989,avaConv,onshore_a
BG,1,h0066,0.16577886626811145,scr1989,avaConv,onshore_a
BG,1,h0067,0.12047281417074296,scr1989,avaConv,onshore_a
BG,1,h0068,0.1398667251168562,scr1989,avaConv,onshore_a
BG,1,h0069,0.07225828638324083,scr1989,avaConv,onshore_a
BG,1,h0070,0.37541700432417197,scr1989,avaConv,onshore_a
BG,1,h0071,0.3595882368299404,scr1989,avaConv,onshore_a
BG,1,h0072,0.31513444769346965,scr1989,avaConv,onshore_a
CH,1,h0049,0.20658409646439782,scr1989,avaConv,onshore_a
CH,1,h0050,0.03548807891435653,scr1989,avaConv,onshore_a
CH,1,h0051,0.08920252133561278,scr1989,avaConv,onshore_a
CH,1,h0052,0.3093663048018911,scr1989,avaConv,onshore_a
CH,1,h0053,0.3186865742266509,scr1989,avaConv,onshore_a
CH,1,h0054,0.39694823230508414,scr1989,avaConv,onshore_a
CH,1,h0055,0.3254668788552108,scr1989,avaConv,onshore_a
CH,1,h0056,0.6585470580459599,scr1989,avaConv,onshore_a
CH,1,h0057,0.6642864630299975,scr1989,avaConv,onshore_a
CH,1,h0058,0.507614142573687,scr1989,avaConv,onshore_a
CH,1,h0059,0.22444924913271047,scr1989,avaConv,onshore_a
CH,1,h0060,0.15151358365728582,scr1989,avaConv,onshore_a
CH,1,h0061,0.14891111401723653,scr1989,avaConv,onshore_a
CH,1,h0062,0.12232897873289961,scr1989,avaConv,onshore_a
CH,1,h0063,0.03625758882546513,scr1989,avaConv,onshore_a
CH,1,h0064,0.09222499289917534,scr1989,avaConv,onshore_a
CH,1,h0065,0.10109035670242958,scr1989,avaConv,onshore_a
CH,1,h0066,0.11158439847203924,scr1989,avaConv,onshore_a
CH,1,h0067,0.1313890674299594,scr1989,avaConv,onshore_a
CH,1,h0068,0.14751318076797407,scr1989,avaConv,onshore_a
CH,1,h0069,0.13542442702555582,scr1989,avaConv,onshore_a
CH,1,h0070,0.19742863055973156,scr1989,avaConv,onshore_a
CH,1,h0071,0.16845754052439613,scr1989,avaConv,onshore_a
CH,1,h0072,0.2398565364402745,scr1989,avaConv,onshore_a
CZ,1,h0049,0.3857543254731857,scr1989,avaConv,onshore_a
CZ,1,h0050,0.17134522013941533,scr1989,avaConv,onshore_a
CZ,1,h0051,0.03089861220527406,scr1989,avaConv,onshore_a
CZ,1,h0052,0.04249567732013038,scr1989,avaConv,onshore_a
CZ,1,h0053,0.0,scr1989,avaConv,onshore_a
CZ,1,h0054,0.18665471997137872,scr1989,avaConv,onshore_a
CZ,1,h0055,0.2846955264498947,scr1989,avaConv,onshore_a
CZ,1,h0056,0.4268017896177094,scr1989,avaConv,onshore_a
CZ,1,h0057,0.23485663123032663,scr1989,avaConv,onshore_a
CZ,1,h0058,0.13102729469305902,scr1989,avaConv,onshore_a
CZ,1,h0059,0.06767896319522096,scr1989,avaConv,onshore_a
CZ,1,h0060,0.13509016401349927,scr1989,avaConv,onshore_a
CZ,1,h0061,0.3144912058719398,scr1989,avaConv,onshore_a
CZ,1,h0062,0.28420815289979534,scr1989,avaConv,onshore_a
CZ,1,h0063,0.28904697333357077,scr1989,avaConv,onshore_a
CZ,1,h0064,0.18498635423181697,scr1989,avaConv,onshore_a
CZ,1,h0065,0.40286934751977654,scr1989,avaConv,onshore_a
CZ,1,h0066,0.39639711770400987,scr1989,avaConv,onshore_a
CZ,1,h0067,0.3341437837953387,scr1989,avaConv,onshore_a
CZ,1,h0068,0.0865887692016978,scr1989,avaConv,onshore_a
CZ,1,h0069,0.020005748862982627,scr1989,avaConv,onshore_a
CZ,1,h0070,0.23953077173106846,scr1989,avaConv,onshore_a
CZ,1,h0071,0.2777359172636479,scr1989,avaConv,onshore_a
CZ,1,h0072,0.3148914509195251,scr1989,avaConv,onshore_a
DE,1,h0049,0.3345243311016911,scr1989,avaConv,onshore_a
DE,1,h0050,0.07442940119807814,scr1989,avaConv,onshore_a
DE,1,h0051,0.03028508549360811,scr1989,avaConv,onshore_a
DE,1,h0052,0.03201365378807519,scr1989,avaConv,onshore_a
DE,1,h0053,0.002223752974475926,scr1989,avaConv,onshore_a
DE,1,h0054,0.04006764121485769,scr1989,avaConv,onshore_a
DE,1,h0055,0.02062686760566374,scr1989,avaConv,onshore_a
DE,1,h0056,0.07720239736171312,scr1989,avaConv,onshore_a
DE,1,h0057,0.04959786362711631,scr1989,avaConv,onshore_a
DE,1,h0058,0.031113028432306074,scr1989,avaConv,onshore_a
DE,1,h0059,0.0502821635770429,scr1989,avaConv,onshore_a
DE,1,h0060,0.057191359587007745,scr1989,avaConv,onshore_a
DE,1,h0061,0.22965638577677164,scr1989,avaConv,onshore_a
DE,1,h0062,0.2039747815538708,scr1989,avaConv,onshore_a
DE,1,h0063,0.1965469259322445,scr1989,avaConv,onshore_a
DE,1,h0064,0.2475177580668674,scr1989,avaConv,onshore_a
DE,1,h0065,0.38870653578050174,scr1989,avaConv,onshore_a
DE,1,h0066,0.3892332515240497,scr1989,avaConv,onshore_a
DE,1,h0067,0.2225057994937718,scr1989,avaConv,onshore_a
DE,1,h0068,0.04826119315484121,scr1989,avaConv,onshore_a
DE,1,h0069,0.011699661190165134,scr1989,avaConv,onshore_a
DE,1,h0070,0.27432308307462494,scr1989,avaConv,onshore_a
DE,1,h0071,0.4188847994366594,scr1989,avaConv,onshore_a
DE,1,h0072,0.444858635325308,scr1989,avaConv,onshore_a
EE,1,h0049,0.12445768205386357,scr1989,avaConv,onshore_a
EE,1,h0050,0.20251330984464466,scr1989,avaConv,onshore_a
EE,1,h0051,0.28034467109768363,scr1989,avaConv,onshore_a
EE,1,h0052,0.2619008543167472,scr1989,avaConv,onshore_a
EE,1,h0053,0.1962867723839212,scr1989,avaConv,onshore_a
EE,1,h0054,0.24837668222668763,scr1989,avaConv,onshore_a
EE,1,h0055,0.2850538251350902,scr1989,avaConv,onshore_a
EE,1,h0056,0.3320001985529375,scr1989,avaConv,onshore_a
EE,1,h0057,0.21684744305049947,scr1989,avaConv,onshore_a
EE,1,h0058,0.2032869584110142,scr1989,avaConv,onshore_a
EE,1,h0059,0.12892819429559185,scr1989,avaConv,onshore_a
EE,1,h0060,0.1369617668376478,scr1989,avaConv,onshore_a
EE,1,h0061,0.1963203645084983,scr1989,avaConv,onshore_a
EE,1,h0062,0.23837197266551774,scr1989,avaConv,onshore_a
EE,1,h0063,0.19800130246601208,scr1989,avaConv,onshore_a
EE,1,h0064,0.11153379364815379,scr1989,avaConv,onshore_a
EE,1,h0065,0.007568973988071634,scr1989,avaConv,onshore_a
EE,1,h0066,0.0026976002746803385,scr1989,avaConv,onshore_a
EE,1,h0067,0.05135644206050212,scr1989,avaConv,onshore_a
EE,1,h0068,0.11988239925391403,scr1989,avaConv,onshore_a
EE,1,h0069,0.12722618849753034,scr1989,avaConv,onshore_a
EE,1,h0070,0.06797886995558905,scr1989,avaConv,onshore_a
EE,1,h0071,0.1524537299776128,scr1989,avaConv,onshore_a
EE,1,h0072,0.17579800357117156,scr1989,avaConv,onshore_a
ES,1,h0049,0.2628156998355915,scr1989,avaConv,onshore_a
ES,1,h0050,0.23656628115677125,scr1989,avaConv,onshore_a
ES,1,h0051,0.1689133774328217,scr1989,avaConv,onshore_a
ES,1,h0052,0.1766880105574454,scr1989,avaConv,onshore_a
ES,1,h0053,0.11251280732451982,scr1989,avaConv,onshore_a
ES,1,h0054,0.09227782416366681,scr1989,avaConv,onshore_a
ES,1,h0055,0.10944368898566365,scr1989,avaConv,onshore_a
ES,1,h0056,0.08278673971601977,scr1989,avaConv,onshore_a
ES,1,h0057,0.17150082280815218,scr1989,avaConv,onshore_a
ES,1,h0058,0.2299769797698446,scr1989,avaConv,onshore_a
