region_2,timestep_6,value,scenario_1,parameter,technology_3
AL,h0049,1.3935486732072824,scr1997,stInflow,reservoir
AL,h0050,1.3050266630256508,scr1997,stInflow,reservoir
AL,h0051,1.1361290708161824,scr1997,stInflow,reservoir
AL,h0052,1.055950507800915,scr1997,stInflow,reservoir
AL,h0053,0.9742593622358298,scr1997,stInflow,reservoir
AL,h0054,1.0012542513286713,scr1997,stInflow,reservoir
AL,h0055,1.0280758153546254,scr1997,stInflow,reservoir
AL,h0056,1.0234812176254402,scr1997,stInflow,reservoir
AL,h0057,0.9920011429931934,scr1997,stInflow,reservoir
AL,h0058,0.946314008763147,scr1997,stInflow,reservoir
AL,h0059,0.932298838782025,scr1997,stInflow,reservoir
AL,h0060,0.9182341574720776,scr1997,stInflow,reservoir
AL,h0061,0.9122740927334274,scr1997,stInflow,reservoir
AL,h0062,0.9063049624475306,scr1997,stInflow,reservoir
AL,h0063,0.8937485173276587,scr1997,stInflow,reservoir
AL,h0064,0.8871591393406602,scr1997,stInflow,reservoir
AL,h0065,0.8710723741783488,scr1997,stInflow,reservoir
AL,h0066,0.8615625798399345,scr1997,stInflow,reservoir
AL,h0067,0.84841585469584,scr1997,stInflow,reservoir
AL,h0068,0.8447994184790426,scr1997,stInflow,reservoir
AL,h0069,0.8411794746202448,scr1997,stInflow,reservoir
AL,h0070,0.8398946907946483,scr1997,stInflow,reservoir
AL,h0071,0.8386094628797187,scr1997,stInflow,reservoir
AL,h0072,0.8224036767693594,scr1997,stInflow,reservoir
AT,h0049,0.37580427417348666,scr1997,stInflow,reservoir
AT,h0050,0.40042485724816745,scr1997,stInflow,reservoir
AT,h0051,0.45149954713001633,scr1997,stInflow,reservoir
AT,h0052,0.4779245128143578,scr1997,stInflow,reservoir
AT,h0053,0.5049736179257545,scr1997,stInflow,reservoir
AT,h0054,0.5255085391967016,scr1997,stInflow,reservoir
AT,h0055,0.5463803414260042,scr1997,stInflow,reservoir
AT,h0056,0.5729957606630355,scr1997,stInflow,reservoir
AT,h0057,0.5784270855112127,scr1997,stInflow,reservoir
AT,h0058,0.5767932963350422,scr1997,stInflow,reservoir
AT,h0059,0.5697426867157047,scr1997,stInflow,reservoir
AT,h0060,0.5627276500883631,scr1997,stInflow,reservoir
AT,h0061,0.5540851735940976,scr1997,stInflow,reservoir
AT,h0062,0.5454977284328493,scr1997,stInflow,reservoir
AT,h0063,0.5291269729337549,scr1997,stInflow,reservoir
AT,h0064,0.5213360285603361,scr1997,stInflow,reservoir
AT,h0065,0.5081971832318484,scr1997,stInflow,reservoir
AT,h0066,0.5028250914938601,scr1997,stInflow,reservoir
AT,h0067,0.4944253509475998,scr1997,stInflow,reservoir
AT,h0068,0.4913818021356056,scr1997,stInflow,reservoir
AT,h0069,0.4883460736058925,scr1997,stInflow,reservoir
AT,h0070,0.4859341314677794,scr1997,stInflow,reservoir
AT,h0071,0.4835271642737817,scr1997,stInflow,reservoir
AT,h0072,0.47830056466153126,scr1997,stInflow,reservoir
BA,h0049,0.5814038900176783,scr1997,stInflow,reservoir
BA,h0050,0.5655926492656551,scr1997,stInflow,reservoir
BA,h0051,0.5236812048541347,scr1997,stInflow,reservoir
BA,h0052,0.4976067550771055,scr1997,stInflow,reservoir
BA,h0053,0.47157323532117157,scr1997,stInflow,reservoir
BA,h0054,0.43929527119985157,scr1997,stInflow,reservoir
