region_2,timestep_6,value,scenario_1,parameter,technology_2
AL,h0001,0.24066839722125674,scr2000,avaConv,offshore
AL,h0002,0.2082642835920221,scr2000,avaConv,offshore
AL,h0003,0.1547873903416435,scr2000,avaConv,offshore
AL,h0004,0.06910627651805694,scr2000,avaConv,offshore
AL,h0005,0.060875807045450744,scr2000,avaConv,offshore
AL,h0006,0.03606035505630724,scr2000,avaConv,offshore
AL,h0007,0.3219281404484204,scr2000,avaConv,offshore
AL,h0008,0.269058218872263,scr2000,avaConv,offshore
AL,h0009,0.3617134622308243,scr2000,avaConv,offshore
AL,h0010,0.07264144028772876,scr2000,avaConv,offshore
AL,h0011,0.07238710766499531,scr2000,avaConv,offshore
AL,h0012,0.2480014392883926,scr2000,avaConv,offshore
AL,h0013,0.24252597131940515,scr2000,avaConv,offshore
AL,h0014,0.512948919140811,scr2000,avaConv,offshore
AL,h0015,0.25578890865312554,scr2000,avaConv,offshore
AL,h0016,0.26222298759091056,scr2000,avaConv,offshore
AL,h0017,0.05158781200423711,scr2000,avaConv,offshore
AL,h0018,0.10979420630772983,scr2000,avaConv,offshore
AL,h0019,0.10611274599805993,scr2000,avaConv,offshore
AL,h0020,0.06644660676405743,scr2000,avaConv,offshore
AL,h0021,0.10044723530278346,scr2000,avaConv,offshore
AL,h0022,0.4591047604667248,scr2000,avaConv,offshore
AL,h0023,0.5318100096920604,scr2000,avaConv,offshore
AL,h0024,0.7990361722236432,scr2000,avaConv,offshore
AT,h0001,NaN,scr2000,avaConv,offshore
AT,h0002,NaN,scr2000,avaConv,offshore
AT,h0003,NaN,scr2000,avaConv,offshore
AT,h0004,NaN,scr2000,avaConv,offshore
AT,h0005,NaN,scr2000,avaConv,offshore
AT,h0006,NaN,scr2000,avaConv,offshore
AT,h0007,NaN,scr2000,avaConv,offshore
AT,h0008,NaN,scr2000,avaConv,offshore
AT,h0009,NaN,scr2000,avaConv,offshore
AT,h0010,NaN,scr2000,avaConv,offshore
AT,h0011,NaN,scr2000,avaConv,offshore
AT,h0012,NaN,scr2000,avaConv,offshore
AT,h0013,NaN,scr2000,avaConv,offshore
AT,h0014,NaN,scr2000,avaConv,offshore
AT,h0015,NaN,scr2000,avaConv,offshore
AT,h0016,NaN,scr2000,avaConv,offshore
AT,h0017,NaN,scr2000,avaConv,offshore
AT,h0018,NaN,scr2000,avaConv,offshore
AT,h0019,NaN,scr2000,avaConv,offshore
AT,h0020,NaN,scr2000,avaConv,offshore
AT,h0021,NaN,scr2000,avaConv,offshore
AT,h0022,NaN,scr2000,avaConv,offshore
AT,h0023,NaN,scr2000,avaConv,offshore
AT,h0024,NaN,scr2000,avaConv,offshore
BA,h0001,0.10530548137296461,scr2000,avaConv,offshore
BA,h0002,0.04022793887883596,scr2000,avaConv,offshore
BA,h0003,0.03483981151597287,scr2000,avaConv,offshore
BA,h0004,0.02809005892482303,scr2000,avaConv,offshore
BA,h0005,0.09374651420770908,scr2000,avaConv,offshore
BA,h0006,0.28593647337505,scr2000,avaConv,offshore
BA,h0007,0.7203105170407039,scr2000,avaConv,offshore
BA,h0008,0.5755134652446163,scr2000,avaConv,offshore
BA,h0009,0.48383749789324154,scr2000,avaConv,offshore
BA,h0010,0.07978753183446573,scr2000,avaConv,offshore
BA,h0011,0.08368289985706726,scr2000,avaConv,offshore
BA,h0012,0.018086348197823857,scr2000,avaConv,offshore
BA,h0013,0.018086348197823857,scr2000,avaConv,offshore
BA,h0014,0.5540312066547195,scr2000,avaConv,offshore
BA,h0015,0.4861366039264476,scr2000,avaConv,offshore
BA,h0016,0.6724370428699659,scr2000,avaConv,offshore
BA,h0017,0.17696719297990687,scr2000,avaConv,offshore
BA,h0018,0.30083290705814475,scr2000,avaConv,offshore
BA,h0019,0.1699032598818704,scr2000,avaConv,offshore
BA,h0020,0.0562496655972067,scr2000,avaConv,offshore
BA,h0021,0.4942168330140787,scr2000,avaConv,offshore
BA,h0022,0.920839530860635,scr2000,avaConv,offshore
BA,h0023,0.95,scr2000,avaConv,offshore
BA,h0024,0.6166946445030728,scr2000,avaConv,offshore
BE,h0001,0.5265605156664037,scr2000,avaConv,offshore
BE,h0002,0.32874054955293136,scr2000,avaConv,offshore
BE,h0003,0.3696843325023331,scr2000,avaConv,offshore
BE,h0004,0.20520759201909272,scr2000,avaConv,offshore
BE,h0005,0.509859646174174,scr2000,avaConv,offshore
BE,h0006,0.5680966889025183,scr2000,avaConv,offshore
BE,h0007,0.7185639598574499,scr2000,avaConv,offshore
BE,h0008,0.7515836319876852,scr2000,avaConv,offshore
BE,h0009,0.6332848150946678,scr2000,avaConv,offshore
BE,h0010,0.7394703726880726,scr2000,avaConv,offshore
BE,h0011,0.7384755612310695,scr2000,avaConv,offshore
BE,h0012,0.8114576306751417,scr2000,avaConv,offshore
BE,h0013,0.8114334036961708,scr2000,avaConv,offshore
BE,h0014,0.8122563801852969,scr2000,avaConv,offshore
BE,h0015,0.94997794984287,scr2000,avaConv,offshore
BE,h0016,0.9500000000000001,scr2000,avaConv,offshore
BE,h0017,0.937884837689213,scr2000,avaConv,offshore
BE,h0018,0.7116641784561792,scr2000,avaConv,offshore
BE,h0019,0.5239324214446176,scr2000,avaConv,offshore
BE,h0020,0.5271542046754701,scr2000,avaConv,offshore
BE,h0021,0.7848578740074286,scr2000,avaConv,offshore
BE,h0022,0.7815887389458239,scr2000,avaConv,offshore
BE,h0023,0.792483244679796,scr2000,avaConv,offshore
BE,h0024,0.5571400224590827,scr2000,avaConv,offshore
BG,h0001,0.95,scr2000,avaConv,offshore
