region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0073,0.22207888588309288,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0074,0.2664494961500168,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0075,0.36160743329674006,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0076,0.48853534553200006,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0077,0.5669840965420008,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0078,0.640452191233635,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0079,0.6051431177183986,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0080,0.5397348664700985,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0081,0.3929652217775583,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0082,0.29359848611056805,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0083,0.28794038761407137,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0084,0.3319957675412297,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0085,0.3951109182089567,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0086,0.3538274997845292,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0087,0.39118390157818794,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0088,0.4273589560762048,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0089,0.5360498102381825,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0090,0.5624858671799302,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0091,0.5485954014584422,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0092,0.4258032999932766,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0093,0.36038236785680056,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0094,0.30159237422049046,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0095,0.38552720937877893,scr2000,avaStIn,bevPsngRoadPrvt
AT,h0096,0.4055287940427661,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0073,0.22207888588309288,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0074,0.2664494961500168,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0075,0.36160743329674006,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0076,0.48853534553200006,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0077,0.5669840965420008,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0078,0.640452191233635,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0079,0.6051431177183986,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0080,0.5397348664700985,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0081,0.3929652217775583,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0082,0.29359848611056805,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0083,0.28794038761407137,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0084,0.3319957675412297,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0085,0.3951109182089567,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0086,0.3538274997845292,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0087,0.39118390157818794,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0088,0.4273589560762048,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0089,0.5360498102381825,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0090,0.5624858671799302,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0091,0.5485954014584422,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0092,0.4258032999932766,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0093,0.36038236785680056,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0094,0.30159237422049046,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0095,0.38552720937877893,scr2000,avaStIn,bevPsngRoadPrvt
BE,h0096,0.4055287940427661,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0073,0.22207888588309288,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0074,0.2664494961500168,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0075,0.36160743329674006,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0076,0.48853534553200006,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0077,0.5669840965420008,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0078,0.640452191233635,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0079,0.6051431177183986,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0080,0.5397348664700985,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0081,0.3929652217775583,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0082,0.29359848611056805,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0083,0.28794038761407137,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0084,0.3319957675412297,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0085,0.3951109182089567,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0086,0.3538274997845292,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0087,0.39118390157818794,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0088,0.4273589560762048,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0089,0.5360498102381825,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0090,0.5624858671799302,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0091,0.5485954014584422,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0092,0.4258032999932766,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0093,0.36038236785680056,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0094,0.30159237422049046,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0095,0.38552720937877893,scr2000,avaStIn,bevPsngRoadPrvt
BG,h0096,0.4055287940427661,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0073,0.22207888588309288,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0074,0.2664494961500168,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0075,0.36160743329674006,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0076,0.48853534553200006,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0077,0.5669840965420008,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0078,0.640452191233635,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0079,0.6051431177183986,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0080,0.5397348664700985,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0081,0.3929652217775583,scr2000,avaStIn,bevPsngRoadPrvt
CH,h0082,0.29359848611056805,scr2000,avaStIn,bevPsngRoadPrvt
