region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,0.41770303063094616,scr2003,avaStIn,bevFrtRoadLight
AT,h0002,0.5185772301629186,scr2003,avaStIn,bevFrtRoadLight
AT,h0003,0.5752321751788259,scr2003,avaStIn,bevFrtRoadLight
AT,h0004,0.6489166673272848,scr2003,avaStIn,bevFrtRoadLight
AT,h0005,0.6488459128886461,scr2003,avaStIn,bevFrtRoadLight
AT,h0006,0.6028051944449544,scr2003,avaStIn,bevFrtRoadLight
AT,h0007,0.5189336631447077,scr2003,avaStIn,bevFrtRoadLight
AT,h0008,0.39891347382217646,scr2003,avaStIn,bevFrtRoadLight
AT,h0009,0.2624596441164613,scr2003,avaStIn,bevFrtRoadLight
AT,h0010,0.21876718197017908,scr2003,avaStIn,bevFrtRoadLight
AT,h0011,0.25637880619615316,scr2003,avaStIn,bevFrtRoadLight
AT,h0012,0.3902710424736142,scr2003,avaStIn,bevFrtRoadLight
AT,h0013,0.4600446131080389,scr2003,avaStIn,bevFrtRoadLight
AT,h0014,0.5141535261645913,scr2003,avaStIn,bevFrtRoadLight
AT,h0015,0.5098016280680895,scr2003,avaStIn,bevFrtRoadLight
AT,h0016,0.4926943527534604,scr2003,avaStIn,bevFrtRoadLight
AT,h0017,0.4938972406089306,scr2003,avaStIn,bevFrtRoadLight
AT,h0018,0.5207944791764021,scr2003,avaStIn,bevFrtRoadLight
AT,h0019,0.5219457624480128,scr2003,avaStIn,bevFrtRoadLight
AT,h0020,0.4301933031529188,scr2003,avaStIn,bevFrtRoadLight
AT,h0021,0.2437492599710822,scr2003,avaStIn,bevFrtRoadLight
AT,h0022,0.17715995386242867,scr2003,avaStIn,bevFrtRoadLight
AT,h0023,0.2647043075412512,scr2003,avaStIn,bevFrtRoadLight
AT,h0024,0.43131801672279835,scr2003,avaStIn,bevFrtRoadLight
BE,h0001,0.41770303063094616,scr2003,avaStIn,bevFrtRoadLight
BE,h0002,0.5185772301629186,scr2003,avaStIn,bevFrtRoadLight
BE,h0003,0.5752321751788259,scr2003,avaStIn,bevFrtRoadLight
BE,h0004,0.6489166673272848,scr2003,avaStIn,bevFrtRoadLight
BE,h0005,0.6488459128886461,scr2003,avaStIn,bevFrtRoadLight
BE,h0006,0.6028051944449544,scr2003,avaStIn,bevFrtRoadLight
BE,h0007,0.5189336631447077,scr2003,avaStIn,bevFrtRoadLight
BE,h0008,0.39891347382217646,scr2003,avaStIn,bevFrtRoadLight
BE,h0009,0.2624596441164613,scr2003,avaStIn,bevFrtRoadLight
BE,h0010,0.21876718197017908,scr2003,avaStIn,bevFrtRoadLight
BE,h0011,0.25637880619615316,scr2003,avaStIn,bevFrtRoadLight
BE,h0012,0.3902710424736142,scr2003,avaStIn,bevFrtRoadLight
BE,h0013,0.4600446131080389,scr2003,avaStIn,bevFrtRoadLight
BE,h0014,0.5141535261645913,scr2003,avaStIn,bevFrtRoadLight
BE,h0015,0.5098016280680895,scr2003,avaStIn,bevFrtRoadLight
BE,h0016,0.4926943527534604,scr2003,avaStIn,bevFrtRoadLight
BE,h0017,0.4938972406089306,scr2003,avaStIn,bevFrtRoadLight
BE,h0018,0.5207944791764021,scr2003,avaStIn,bevFrtRoadLight
BE,h0019,0.5219457624480128,scr2003,avaStIn,bevFrtRoadLight
