region_4,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,0.3667884785681963,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0002,0.4978498723357916,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0003,0.5714591406285763,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0004,0.6489166673272848,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0005,0.6488226968795061,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0006,0.587624927982688,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0007,0.5049742255359888,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0008,0.3504040651023388,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0009,0.17501122131943703,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0010,0.10831991583108902,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0011,0.15718703903257847,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0012,0.3311473075300455,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0013,0.3842855505645275,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0014,0.4576908275485039,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0015,0.4517969489097595,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0016,0.4880648236721754,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0017,0.48958356492221355,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0018,0.5235641840845346,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0019,0.5022264569997787,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0020,0.3331336099654436,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0021,0.1778577771037817,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0022,0.09832185879349709,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0023,0.3202285021543503,scr2004,avaStIn,bevFrtRoadHeavy
AT,h0024,0.4350565280765295,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0001,0.3667884785681963,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0002,0.4978498723357916,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0003,0.5714591406285763,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0004,0.6489166673272848,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0005,0.6488226968795061,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0006,0.587624927982688,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0007,0.5049742255359888,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0008,0.3504040651023388,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0009,0.17501122131943703,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0010,0.10831991583108902,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0011,0.15718703903257847,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0012,0.3311473075300455,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0013,0.3842855505645275,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0014,0.4576908275485039,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0015,0.4517969489097595,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0016,0.4880648236721754,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0017,0.48958356492221355,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0018,0.5235641840845346,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0019,0.5022264569997787,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0020,0.3331336099654436,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0021,0.1778577771037817,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0022,0.09832185879349709,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0023,0.3202285021543503,scr2004,avaStIn,bevFrtRoadHeavy
BE,h0024,0.4350565280765295,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0001,0.3667884785681963,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0002,0.4978498723357916,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0003,0.5714591406285763,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0004,0.6489166673272848,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0005,0.6488226968795061,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0006,0.587624927982688,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0007,0.5049742255359888,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0008,0.3504040651023388,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0009,0.17501122131943703,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0010,0.10831991583108902,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0011,0.15718703903257847,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0012,0.3311473075300455,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0013,0.3842855505645275,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0014,0.4576908275485039,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0015,0.4517969489097595,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0016,0.4880648236721754,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0017,0.48958356492221355,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0018,0.5235641840845346,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0019,0.5022264569997787,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0020,0.3331336099654436,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0021,0.1778577771037817,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0022,0.09832185879349709,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0023,0.3202285021543503,scr2004,avaStIn,bevFrtRoadHeavy
BG,h0024,0.4350565280765295,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0001,0.3667884785681963,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0002,0.4978498723357916,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0003,0.5714591406285763,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0004,0.6489166673272848,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0005,0.6488226968795061,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0006,0.587624927982688,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0007,0.5049742255359888,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0008,0.3504040651023388,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0009,0.17501122131943703,scr2004,avaStIn,bevFrtRoadHeavy
CH,h0010,0.10831991583108902,scr2004,avaStIn,bevFrtRoadHeavy
