region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,0.35815861634910107,scr2011,avaStIn,bevPsngRoadPub
AT,h0002,0.45535439904779196,scr2011,avaStIn,bevPsngRoadPub
AT,h0003,0.538326995447278,scr2011,avaStIn,bevPsngRoadPub
AT,h0004,0.6329910410568118,scr2011,avaStIn,bevPsngRoadPub
AT,h0005,0.6489166663959622,scr2011,avaStIn,bevPsngRoadPub
AT,h0006,0.5796984331682324,scr2011,avaStIn,bevPsngRoadPub
AT,h0007,0.4791534775868058,scr2011,avaStIn,bevPsngRoadPub
AT,h0008,0.3217485537752509,scr2011,avaStIn,bevPsngRoadPub
AT,h0009,0.16628313064575195,scr2011,avaStIn,bevPsngRoadPub
AT,h0010,0.10119415912777185,scr2011,avaStIn,bevPsngRoadPub
AT,h0011,0.15522648952901363,scr2011,avaStIn,bevPsngRoadPub
AT,h0012,0.32365151308476925,scr2011,avaStIn,bevPsngRoadPub
AT,h0013,0.4114207187667489,scr2011,avaStIn,bevPsngRoadPub
AT,h0014,0.4794851215556264,scr2011,avaStIn,bevPsngRoadPub
AT,h0015,0.34210014436393976,scr2011,avaStIn,bevPsngRoadPub
AT,h0016,0.3439436415210366,scr2011,avaStIn,bevPsngRoadPub
AT,h0017,0.3750225268304348,scr2011,avaStIn,bevPsngRoadPub
AT,h0018,0.4938500104472041,scr2011,avaStIn,bevPsngRoadPub
AT,h0019,0.4727687072008848,scr2011,avaStIn,bevPsngRoadPub
AT,h0020,0.3952417206019163,scr2011,avaStIn,bevPsngRoadPub
AT,h0021,0.22720956522971392,scr2011,avaStIn,bevPsngRoadPub
AT,h0022,0.15523817297071218,scr2011,avaStIn,bevPsngRoadPub
AT,h0023,0.22866737004369497,scr2011,avaStIn,bevPsngRoadPub
AT,h0024,0.33293450716882944,scr2011,avaStIn,bevPsngRoadPub
BE,h0001,0.35815861634910107,scr2011,avaStIn,bevPsngRoadPub
BE,h0002,0.45535439904779196,scr2011,avaStIn,bevPsngRoadPub
BE,h0003,0.538326995447278,scr2011,avaStIn,bevPsngRoadPub
BE,h0004,0.6329910410568118,scr2011,avaStIn,bevPsngRoadPub
BE,h0005,0.6489166663959622,scr2011,avaStIn,bevPsngRoadPub
BE,h0006,0.5796984331682324,scr2011,avaStIn,bevPsngRoadPub
BE,h0007,0.4791534775868058,scr2011,avaStIn,bevPsngRoadPub
BE,h0008,0.3217485537752509,scr2011,avaStIn,bevPsngRoadPub
BE,h0009,0.16628313064575195,scr2011,avaStIn,bevPsngRoadPub
BE,h0010,0.10119415912777185,scr2011,avaStIn,bevPsngRoadPub
BE,h0011,0.15522648952901363,scr2011,avaStIn,bevPsngRoadPub
BE,h0012,0.32365151308476925,scr2011,avaStIn,bevPsngRoadPub
BE,h0013,0.4114207187667489,scr2011,avaStIn,bevPsngRoadPub
BE,h0014,0.4794851215556264,scr2011,avaStIn,bevPsngRoadPub
BE,h0015,0.34210014436393976,scr2011,avaStIn,bevPsngRoadPub
BE,h0016,0.3439436415210366,scr2011,avaStIn,bevPsngRoadPub
BE,h0017,0.3750225268304348,scr2011,avaStIn,bevPsngRoadPub
BE,h0018,0.4938500104472041,scr2011,avaStIn,bevPsngRoadPub
BE,h0019,0.4727687072008848,scr2011,avaStIn,bevPsngRoadPub
BE,h0020,0.3952417206019163,scr2011,avaStIn,bevPsngRoadPub
BE,h0021,0.22720956522971392,scr2011,avaStIn,bevPsngRoadPub
BE,h0022,0.15523817297071218,scr2011,avaStIn,bevPsngRoadPub
BE,h0023,0.22866737004369497,scr2011,avaStIn,bevPsngRoadPub
BE,h0024,0.33293450716882944,scr2011,avaStIn,bevPsngRoadPub
BG,h0001,0.35815861634910107,scr2011,avaStIn,bevPsngRoadPub
BG,h0002,0.45535439904779196,scr2011,avaStIn,bevPsngRoadPub
BG,h0003,0.538326995447278,scr2011,avaStIn,bevPsngRoadPub
BG,h0004,0.6329910410568118,scr2011,avaStIn,bevPsngRoadPub
BG,h0005,0.6489166663959622,scr2011,avaStIn,bevPsngRoadPub
BG,h0006,0.5796984331682324,scr2011,avaStIn,bevPsngRoadPub
BG,h0007,0.4791534775868058,scr2011,avaStIn,bevPsngRoadPub
BG,h0008,0.3217485537752509,scr2011,avaStIn,bevPsngRoadPub
BG,h0009,0.16628313064575195,scr2011,avaStIn,bevPsngRoadPub
BG,h0010,0.10119415912777185,scr2011,avaStIn,bevPsngRoadPub
BG,h0011,0.15522648952901363,scr2011,avaStIn,bevPsngRoadPub
BG,h0012,0.32365151308476925,scr2011,avaStIn,bevPsngRoadPub
BG,h0013,0.4114207187667489,scr2011,avaStIn,bevPsngRoadPub
BG,h0014,0.4794851215556264,scr2011,avaStIn,bevPsngRoadPub
BG,h0015,0.34210014436393976,scr2011,avaStIn,bevPsngRoadPub
BG,h0016,0.3439436415210366,scr2011,avaStIn,bevPsngRoadPub
BG,h0017,0.3750225268304348,scr2011,avaStIn,bevPsngRoadPub
BG,h0018,0.4938500104472041,scr2011,avaStIn,bevPsngRoadPub
BG,h0019,0.4727687072008848,scr2011,avaStIn,bevPsngRoadPub
BG,h0020,0.3952417206019163,scr2011,avaStIn,bevPsngRoadPub
BG,h0021,0.22720956522971392,scr2011,avaStIn,bevPsngRoadPub
BG,h0022,0.15523817297071218,scr2011,avaStIn,bevPsngRoadPub
BG,h0023,0.22866737004369497,scr2011,avaStIn,bevPsngRoadPub
BG,h0024,0.33293450716882944,scr2011,avaStIn,bevPsngRoadPub
CH,h0001,0.35815861634910107,scr2011,avaStIn,bevPsngRoadPub
CH,h0002,0.45535439904779196,scr2011,avaStIn,bevPsngRoadPub
CH,h0003,0.538326995447278,scr2011,avaStIn,bevPsngRoadPub
CH,h0004,0.6329910410568118,scr2011,avaStIn,bevPsngRoadPub
CH,h0005,0.6489166663959622,scr2011,avaStIn,bevPsngRoadPub
CH,h0006,0.5796984331682324,scr2011,avaStIn,bevPsngRoadPub
CH,h0007,0.4791534775868058,scr2011,avaStIn,bevPsngRoadPub
CH,h0008,0.3217485537752509,scr2011,avaStIn,bevPsngRoadPub
CH,h0009,0.16628313064575195,scr2011,avaStIn,bevPsngRoadPub
CH,h0010,0.10119415912777185,scr2011,avaStIn,bevPsngRoadPub
CH,h0011,0.15522648952901363,scr2011,avaStIn,bevPsngRoadPub
CH,h0012,0.32365151308476925,scr2011,avaStIn,bevPsngRoadPub
CH,h0013,0.4114207187667489,scr2011,avaStIn,bevPsngRoadPub
CH,h0014,0.4794851215556264,scr2011,avaStIn,bevPsngRoadPub
CH,h0015,0.34210014436393976,scr2011,avaStIn,bevPsngRoadPub
CH,h0016,0.3439436415210366,scr2011,avaStIn,bevPsngRoadPub
