region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0001,4.898937381652055,scr2001,dem,electricity
AT,h0002,4.724915432207326,scr2001,dem,electricity
AT,h0003,4.4900460626680685,scr2001,dem,electricity
AT,h0004,5.84853965908751,scr2001,dem,electricity
AT,h0005,6.794184801088792,scr2001,dem,electricity
AT,h0006,8.888383915541912,scr2001,dem,electricity
AT,h0007,9.082713759696151,scr2001,dem,electricity
AT,h0008,9.827236090203016,scr2001,dem,electricity
AT,h0009,9.738097215462016,scr2001,dem,electricity
AT,h0010,9.051400665513242,scr2001,dem,electricity
AT,h0011,8.679236297153437,scr2001,dem,electricity
AT,h0012,7.337067192436165,scr2001,dem,electricity
AT,h0013,6.79529486442551,scr2001,dem,electricity
AT,h0014,5.60463488623667,scr2001,dem,electricity
AT,h0015,5.43369863362084,scr2001,dem,electricity
AT,h0016,6.387948429827904,scr2001,dem,electricity
AT,h0017,8.004780987939736,scr2001,dem,electricity
AT,h0018,9.579894272493014,scr2001,dem,electricity
AT,h0019,8.793387165337489,scr2001,dem,electricity
AT,h0020,8.736913509279258,scr2001,dem,electricity
AT,h0021,7.686781880135686,scr2001,dem,electricity
AT,h0022,9.066617358732309,scr2001,dem,electricity
AT,h0023,8.532127196106451,scr2001,dem,electricity
AT,h0024,8.481599232128758,scr2001,dem,electricity
BE,h0001,7.0024329835638035,scr2001,dem,electricity
BE,h0002,6.99806124145568,scr2001,dem,electricity
BE,h0003,6.631937057311745,scr2001,dem,electricity
BE,h0004,7.5194544807419526,scr2001,dem,electricity
BE,h0005,7.955613519606189,scr2001,dem,electricity
BE,h0006,9.760792756203138,scr2001,dem,electricity
BE,h0007,10.199891474482342,scr2001,dem,electricity
BE,h0008,10.946651283455331,scr2001,dem,electricity
BE,h0009,10.64296703513078,scr2001,dem,electricity
BE,h0010,10.177371726201919,scr2001,dem,electricity
BE,h0011,10.025681892085544,scr2001,dem,electricity
BE,h0012,9.287575990705541,scr2001,dem,electricity
BE,h0013,8.870344829818698,scr2001,dem,electricity
BE,h0014,7.705829238779998,scr2001,dem,electricity
BE,h0015,7.31463691484452,scr2001,dem,electricity
BE,h0016,7.650386156618879,scr2001,dem,electricity
BE,h0017,8.851305885618032,scr2001,dem,electricity
BE,h0018,10.069822563453755,scr2001,dem,electricity
BE,h0019,9.79661302666559,scr2001,dem,electricity
BE,h0020,9.85639165783249,scr2001,dem,electricity
BE,h0021,8.963832867622074,scr2001,dem,electricity
BE,h0022,9.77881831381795,scr2001,dem,electricity
BE,h0023,9.552219661163186,scr2001,dem,electricity
BE,h0024,9.953308937547291,scr2001,dem,electricity
BG,h0001,2.473299448713078,scr2001,dem,electricity
BG,h0002,2.365390435428708,scr2001,dem,electricity
BG,h0003,2.165271113924973,scr2001,dem,electricity
BG,h0004,2.6935084025826654,scr2001,dem,electricity
BG,h0005,3.0224000339439954,scr2001,dem,electricity
BG,h0006,3.7785896172354114,scr2001,dem,electricity
BG,h0007,3.885544970849878,scr2001,dem,electricity
BG,h0008,4.165216381516075,scr2001,dem,electricity
BG,h0009,4.211510394867219,scr2001,dem,electricity
BG,h0010,4.096433955142857,scr2001,dem,electricity
BG,h0011,4.09700472093391,scr2001,dem,electricity
BG,h0012,3.6903948903272976,scr2001,dem,electricity
BG,h0013,3.3970357704311027,scr2001,dem,electricity
BG,h0014,2.769484803575324,scr2001,dem,electricity
BG,h0015,2.570024368178565,scr2001,dem,electricity
BG,h0016,2.9007144363349653,scr2001,dem,electricity
BG,h0017,3.482125958369579,scr2001,dem,electricity
BG,h0018,3.996806780793122,scr2001,dem,electricity
BG,h0019,3.852345097140642,scr2001,dem,electricity
BG,h0020,3.850145911128493,scr2001,dem,electricity
BG,h0021,3.587231777892157,scr2001,dem,electricity
BG,h0022,3.949697992313304,scr2001,dem,electricity
BG,h0023,3.963825040314987,scr2001,dem,electricity
BG,h0024,3.8230126545167877,scr2001,dem,electricity
CH,h0001,3.459097668528557,scr2001,dem,electricity
CH,h0002,3.7071746587753296,scr2001,dem,electricity
CH,h0003,3.6694759130477905,scr2001,dem,electricity
CH,h0004,3.9074337780475616,scr2001,dem,electricity
CH,h0005,3.7452740371227264,scr2001,dem,electricity
CH,h0006,4.423773095011711,scr2001,dem,electricity
CH,h0007,4.7470445185899734,scr2001,dem,electricity
CH,h0008,5.26215036213398,scr2001,dem,electricity
CH,h0009,5.109592035412788,scr2001,dem,electricity
CH,h0010,4.830036967992783,scr2001,dem,electricity
CH,h0011,4.6160974353551865,scr2001,dem,electricity
CH,h0012,4.193136915564537,scr2001,dem,electricity
CH,h0013,4.122449904680252,scr2001,dem,electricity
CH,h0014,3.9607199877500534,scr2001,dem,electricity
CH,h0015,4.018723398447037,scr2001,dem,electricity
CH,h0016,4.034490212798119,scr2001,dem,electricity
CH,h0017,4.357638821005821,scr2001,dem,electricity
CH,h0018,4.80572883784771,scr2001,dem,electricity
CH,h0019,4.712158679962158,scr2001,dem,electricity
CH,h0020,4.692281648516655,scr2001,dem,electricity
CH,h0021,4.213395997881889,scr2001,dem,electricity
CH,h0022,4.682241573929787,scr2001,dem,electricity
CH,h0023,4.49648916721344,scr2001,dem,electricity
CH,h0024,4.518326446413994,scr2001,dem,electricity
CZ,h0001,3.800008073449135,scr2001,dem,electricity
CZ,h0002,4.489310219883919,scr2001,dem,electricity
CZ,h0003,4.294813945889473,scr2001,dem,electricity
CZ,h0004,5.656936511397362,scr2001,dem,electricity
CZ,h0005,5.95038515329361,scr2001,dem,electricity
CZ,h0006,7.4294703006744385,scr2001,dem,electricity
CZ,h0007,7.777653783559799,scr2001,dem,electricity
CZ,h0008,8.463757246732712,scr2001,dem,electricity
CZ,h0009,8.409388542175293,scr2001,dem,electricity
CZ,h0010,7.938680022954941,scr2001,dem,electricity
CZ,h0011,7.915051102638245,scr2001,dem,electricity
CZ,h0012,7.070225402712822,scr2001,dem,electricity
CZ,h0013,6.716533333063126,scr2001,dem,electricity
CZ,h0014,5.573188871145248,scr2001,dem,electricity
CZ,h0015,5.508081555366516,scr2001,dem,electricity
CZ,h0016,5.955341726541519,scr2001,dem,electricity
CZ,h0017,7.030359372496605,scr2001,dem,electricity
CZ,h0018,7.914038419723511,scr2001,dem,electricity
CZ,h0019,7.737578257918358,scr2001,dem,electricity
CZ,h0020,7.7500970512628555,scr2001,dem,electricity
CZ,h0021,7.165529906749725,scr2001,dem,electricity
CZ,h0022,7.751853972673416,scr2001,dem,electricity
CZ,h0023,7.656832993030548,scr2001,dem,electricity
CZ,h0024,7.812299132347107,scr2001,dem,electricity
DE,h0001,30.898890256881714,scr2001,dem,electricity
DE,h0002,32.58552658557892,scr2001,dem,electricity
DE,h0003,30.878369092941284,scr2001,dem,electricity
DE,h0004,42.89049232006073,scr2001,dem,electricity
DE,h0005,49.02604138851166,scr2001,dem,electricity
DE,h0006,64.49147820472717,scr2001,dem,electricity
DE,h0007,68.34133589267731,scr2001,dem,electricity
DE,h0008,74.19926142692566,scr2001,dem,electricity
DE,h0009,72.76206231117249,scr2001,dem,electricity
DE,h0010,67.47498571872711,scr2001,dem,electricity
DE,h0011,66.04644787311554,scr2001,dem,electricity
DE,h0012,57.6884206533432,scr2001,dem,electricity
DE,h0013,54.09227526187897,scr2001,dem,electricity
DE,h0014,43.1229133605957,scr2001,dem,electricity
DE,h0015,42.10044527053833,scr2001,dem,electricity
DE,h0016,47.82333266735077,scr2001,dem,electricity
DE,h0017,59.1273775100708,scr2001,dem,electricity
DE,h0018,68.71755945682526,scr2001,dem,electricity
DE,h0019,65.11702728271484,scr2001,dem,electricity
DE,h0020,65.50412023067474,scr2001,dem,electricity
DE,h0021,57.593265891075134,scr2001,dem,electricity
DE,h0022,65.68902277946472,scr2001,dem,electricity
DE,h0023,63.268102288246155,scr2001,dem,electricity
DE,h0024,65.14805209636688,scr2001,dem,electricity
GR,h0001,4.0875756605369755,scr2001,dem,electricity
GR,h0002,3.848032261533617,scr2001,dem,electricity
GR,h0003,3.7092563676205783,scr2001,dem,electricity
GR,h0004,3.9602689740380397,scr2001,dem,electricity
GR,h0005,4.3108540580169725,scr2001,dem,electricity
GR,h0006,5.370360434171549,scr2001,dem,electricity
GR,h0007,5.902125584584342,scr2001,dem,electricity
GR,h0008,6.4116339564560505,scr2001,dem,electricity
GR,h0009,6.3024161735562805,scr2001,dem,electricity
GR,h0010,5.981107259776837,scr2001,dem,electricity
GR,h0011,6.362050189682345,scr2001,dem,electricity
GR,h0012,6.096772642448664,scr2001,dem,electricity
GR,h0013,5.436956008227976,scr2001,dem,electricity
GR,h0014,4.325845271731435,scr2001,dem,electricity
GR,h0015,3.7902047004271644,scr2001,dem,electricity
GR,h0016,4.099873913817183,scr2001,dem,electricity
GR,h0017,4.986217336394116,scr2001,dem,electricity
GR,h0018,6.0294099531476935,scr2001,dem,electricity
GR,h0019,6.040197943027544,scr2001,dem,electricity
GR,h0020,5.815589725486663,scr2001,dem,electricity
GR,h0021,5.268080232676679,scr2001,dem,electricity
GR,h0022,5.984757544475009,scr2001,dem,electricity
GR,h0023,6.442356519110175,scr2001,dem,electricity
GR,h0024,6.900807432115753,scr2001,dem,electricity
ES,h0001,22.09865083085606,scr2001,dem,electricity
ES,h0002,20.43791947484715,scr2001,dem,electricity
ES,h0003,19.007871453242842,scr2001,dem,electricity
ES,h0004,20.562673979147803,scr2001,dem,electricity
ES,h0005,21.629376314405818,scr2001,dem,electricity
ES,h0006,29.417638199753128,scr2001,dem,electricity
ES,h0007,32.92910015658708,scr2001,dem,electricity
ES,h0008,36.52034589461982,scr2001,dem,electricity
ES,h0009,34.96590619033668,scr2001,dem,electricity
ES,h0010,31.324215177621227,scr2001,dem,electricity
ES,h0011,32.85313665994909,scr2001,dem,electricity
ES,h0012,31.646568746713456,scr2001,dem,electricity
ES,h0013,32.000198819092475,scr2001,dem,electricity
ES,h0014,26.41065868420992,scr2001,dem,electricity
ES,h0015,23.333718229143415,scr2001,dem,electricity
ES,h0016,23.33428257185733,scr2001,dem,electricity
ES,h0017,27.582317920576315,scr2001,dem,electricity
ES,h0018,32.70542792067863,scr2001,dem,electricity
ES,h0019,31.743298928253353,scr2001,dem,electricity
ES,h0020,31.831808604183607,scr2001,dem,electricity
ES,h0021,27.82362796657253,scr2001,dem,electricity
ES,h0022,31.75701694888994,scr2001,dem,electricity
ES,h0023,33.17609263275517,scr2001,dem,electricity
ES,h0024,35.82910374889616,scr2001,dem,electricity
DK,h0001,1.8933747187256813,scr2001,dem,electricity
DK,h0002,1.99672582000494,scr2001,dem,electricity
DK,h0003,1.892117254436016,scr2001,dem,electricity
DK,h0004,2.628177687525749,scr2001,dem,electricity
DK,h0005,3.0041424334049225,scr2001,dem,electricity
DK,h0006,3.9518097043037415,scr2001,dem,electricity
DK,h0007,4.187715373933315,scr2001,dem,electricity
DK,h0008,4.546668328344822,scr2001,dem,electricity
DK,h0009,4.458601847290993,scr2001,dem,electricity
DK,h0010,4.134628497064114,scr2001,dem,electricity
DK,h0011,4.0470927357673645,scr2001,dem,electricity
DK,h0012,3.534942403435707,scr2001,dem,electricity
DK,h0013,3.314583331346512,scr2001,dem,electricity
DK,h0014,2.642419621348381,scr2001,dem,electricity
DK,h0015,2.5797663927078247,scr2001,dem,electricity
DK,h0016,2.9304446801543236,scr2001,dem,electricity
DK,h0017,3.623116582632065,scr2001,dem,electricity
DK,h0018,4.210769020020962,scr2001,dem,electricity
DK,h0019,3.99014113843441,scr2001,dem,electricity
DK,h0020,4.013860821723938,scr2001,dem,electricity
DK,h0021,3.5291116535663605,scr2001,dem,electricity
DK,h0022,4.025191009044647,scr2001,dem,electricity
DK,h0023,3.876845546066761,scr2001,dem,electricity
DK,h0024,3.992042228579521,scr2001,dem,electricity
EE,h0001,0.6498020761332384,scr2001,dem,electricity
EE,h0002,0.6212753834612241,scr2001,dem,electricity
EE,h0003,0.6035218602299963,scr2001,dem,electricity
EE,h0004,0.749547094396841,scr2001,dem,electricity
EE,h0005,0.8545107703014676,scr2001,dem,electricity
EE,h0006,1.0372718819631135,scr2001,dem,electricity
EE,h0007,1.0664546421134298,scr2001,dem,electricity
EE,h0008,1.1487127665216228,scr2001,dem,electricity
EE,h0009,1.189768982231055,scr2001,dem,electricity
EE,h0010,1.1554006945605368,scr2001,dem,electricity
EE,h0011,1.1127118491076078,scr2001,dem,electricity
EE,h0012,0.945402609561792,scr2001,dem,electricity
EE,h0013,0.8073902141655602,scr2001,dem,electricity
EE,h0014,0.6502636515719695,scr2001,dem,electricity
EE,h0015,0.6278210813707104,scr2001,dem,electricity
EE,h0016,0.7549396298426481,scr2001,dem,electricity
EE,h0017,0.9492099239745382,scr2001,dem,electricity
EE,h0018,1.083849359718808,scr2001,dem,electricity
EE,h0019,1.04018134004952,scr2001,dem,electricity
EE,h0020,1.0161021369574554,scr2001,dem,electricity
EE,h0021,0.9588038032088397,scr2001,dem,electricity
EE,h0022,1.0530628050402837,scr2001,dem,electricity
EE,h0023,1.0197809992715043,scr2001,dem,electricity
EE,h0024,0.9524858528833569,scr2001,dem,electricity
FI,h0001,7.672796811308729,scr2001,dem,electricity
FI,h0002,7.538737059838429,scr2001,dem,electricity
FI,h0003,7.409532924408701,scr2001,dem,electricity
FI,h0004,7.729083747221463,scr2001,dem,electricity
FI,h0005,7.961517702055016,scr2001,dem,electricity
FI,h0006,8.854559746123467,scr2001,dem,electricity
FI,h0007,9.26587812300355,scr2001,dem,electricity
FI,h0008,9.79817799933944,scr2001,dem,electricity
FI,h0009,9.870591452491134,scr2001,dem,electricity
FI,h0010,9.675942464361754,scr2001,dem,electricity
FI,h0011,9.602643645415792,scr2001,dem,electricity
FI,h0012,9.038817000083316,scr2001,dem,electricity
FI,h0013,8.577884653908917,scr2001,dem,electricity
FI,h0014,7.865395024871798,scr2001,dem,electricity
FI,h0015,7.5531380392373215,scr2001,dem,electricity
FI,h0016,7.784409896682654,scr2001,dem,electricity
FI,h0017,8.519260406478857,scr2001,dem,electricity
FI,h0018,9.226299572941205,scr2001,dem,electricity
FI,h0019,9.130602892573975,scr2001,dem,electricity
FI,h0020,8.992149803105626,scr2001,dem,electricity
FI,h0021,8.545153734508943,scr2001,dem,electricity
FI,h0022,8.92357964275822,scr2001,dem,electricity
FI,h0023,8.804044903682247,scr2001,dem,electricity
FI,h0024,8.83253112694187,scr2001,dem,electricity
FR,h0001,44.19814153527841,scr2001,dem,electricity
FR,h0002,43.32084559393115,scr2001,dem,electricity
FR,h0003,39.62179945781827,scr2001,dem,electricity
FR,h0004,43.80865053553134,scr2001,dem,electricity
FR,h0005,45.190066140610725,scr2001,dem,electricity
FR,h0006,54.84846939984709,scr2001,dem,electricity
FR,h0007,57.11819412675686,scr2001,dem,electricity
FR,h0008,60.66312575736083,scr2001,dem,electricity
FR,h0009,59.0130249299109,scr2001,dem,electricity
FR,h0010,56.0899269747315,scr2001,dem,electricity
FR,h0011,55.583419744390994,scr2001,dem,electricity
FR,h0012,53.8243103682762,scr2001,dem,electricity
FR,h0013,52.162785695516504,scr2001,dem,electricity
FR,h0014,46.83899437915534,scr2001,dem,electricity
FR,h0015,43.12014971359167,scr2001,dem,electricity
FR,h0016,45.15418665087782,scr2001,dem,electricity
FR,h0017,50.45097025542054,scr2001,dem,electricity
FR,h0018,56.384919123956934,scr2001,dem,electricity
FR,h0019,54.61458939081058,scr2001,dem,electricity
FR,h0020,54.623150761122815,scr2001,dem,electricity
FR,h0021,48.54728727438487,scr2001,dem,electricity
FR,h0022,53.13213482685387,scr2001,dem,electricity
FR,h0023,52.37765753408894,scr2001,dem,electricity
FR,h0024,56.19831112935208,scr2001,dem,electricity
IT,h0001,19.20221242419234,scr2001,dem,electricity
IT,h0002,18.198833897444295,scr2001,dem,electricity
IT,h0003,17.15224501580974,scr2001,dem,electricity
IT,h0004,20.264120072560026,scr2001,dem,electricity
IT,h0005,24.928894947249585,scr2001,dem,electricity
IT,h0006,35.36816735460603,scr2001,dem,electricity
IT,h0007,39.463763379465206,scr2001,dem,electricity
IT,h0008,42.87928861367938,scr2001,dem,electricity
IT,h0009,41.676289879588765,scr2001,dem,electricity
IT,h0010,37.68199273747814,scr2001,dem,electricity
IT,h0011,37.20938863487309,scr2001,dem,electricity
IT,h0012,31.804088191452696,scr2001,dem,electricity
IT,h0013,29.996443673625084,scr2001,dem,electricity
IT,h0014,23.697848040582308,scr2001,dem,electricity
IT,h0015,21.82210970388816,scr2001,dem,electricity
IT,h0016,23.42994159589128,scr2001,dem,electricity
IT,h0017,29.840495789322116,scr2001,dem,electricity
IT,h0018,37.691542342630356,scr2001,dem,electricity
IT,h0019,36.48086594052987,scr2001,dem,electricity
IT,h0020,36.659979064444855,scr2001,dem,electricity
IT,h0021,31.157629043675403,scr2001,dem,electricity
IT,h0022,37.019853155586844,scr2001,dem,electricity
IT,h0023,36.69909731014151,scr2001,dem,electricity
IT,h0024,37.97498185592089,scr2001,dem,electricity
NL,h0001,10.25477704281326,scr2001,dem,electricity
NL,h0002,10.248374798949932,scr2001,dem,electricity
NL,h0003,9.712200888915028,scr2001,dem,electricity
NL,h0004,11.011933894802311,scr2001,dem,electricity
NL,h0005,11.650670992380256,scr2001,dem,electricity
NL,h0006,14.2942822399026,scr2001,dem,electricity
NL,h0007,14.937324372769595,scr2001,dem,electricity
NL,h0008,16.030923602409374,scr2001,dem,electricity
NL,h0009,15.586190421570322,scr2001,dem,electricity
NL,h0010,14.904345113745222,scr2001,dem,electricity
NL,h0011,14.682201546739627,scr2001,dem,electricity
NL,h0012,13.601275607982473,scr2001,dem,electricity
NL,h0013,12.990257616445234,scr2001,dem,electricity
NL,h0014,11.284872111687264,scr2001,dem,electricity
NL,h0015,10.711986939856615,scr2001,dem,electricity
