region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0025,0.007850241237370924,scr2012,mustOut,psngRail
AT,h0026,0.0009436769928746757,scr2012,mustOut,psngRail
AT,h0027,0.0,scr2012,mustOut,psngRail
AT,h0028,0.00247716431934237,scr2012,mustOut,psngRail
AT,h0029,0.04484745097786702,scr2012,mustOut,psngRail
AT,h0030,0.177588629565391,scr2012,mustOut,psngRail
AT,h0031,0.21423894635429164,scr2012,mustOut,psngRail
AT,h0032,0.24118786577439058,scr2012,mustOut,psngRail
AT,h0033,0.2725602048242021,scr2012,mustOut,psngRail
AT,h0034,0.43971642000000005,scr2012,mustOut,psngRail
AT,h0035,0.35437726182311063,scr2012,mustOut,psngRail
AT,h0036,0.14693999820045817,scr2012,mustOut,psngRail
AT,h0037,0.02365471422158065,scr2012,mustOut,psngRail
AT,h0038,0.0009436769928746757,scr2012,mustOut,psngRail
AT,h0039,0.0,scr2012,mustOut,psngRail
AT,h0040,0.03821080116767099,scr2012,mustOut,psngRail
AT,h0041,0.1301274793283176,scr2012,mustOut,psngRail
AT,h0042,0.18168552359758428,scr2012,mustOut,psngRail
AT,h0043,0.1010265522436878,scr2012,mustOut,psngRail
AT,h0044,0.11960984227366223,scr2012,mustOut,psngRail
AT,h0045,0.25337479872771357,scr2012,mustOut,psngRail
AT,h0046,0.40809057204589677,scr2012,mustOut,psngRail
AT,h0047,0.25344618815669945,scr2012,mustOut,psngRail
AT,h0048,0.09673544220067876,scr2012,mustOut,psngRail
BE,h0025,0.007850241237370922,scr2012,mustOut,psngRail
BE,h0026,0.0009436769928746756,scr2012,mustOut,psngRail
BE,h0027,0.0,scr2012,mustOut,psngRail
BE,h0028,0.00247716431934237,scr2012,mustOut,psngRail
BE,h0029,0.044847450977867014,scr2012,mustOut,psngRail
BE,h0030,0.17758862956539098,scr2012,mustOut,psngRail
BE,h0031,0.2142389463542916,scr2012,mustOut,psngRail
BE,h0032,0.24118786577439055,scr2012,mustOut,psngRail
BE,h0033,0.2725602048242022,scr2012,mustOut,psngRail
BE,h0034,0.43971642,scr2012,mustOut,psngRail
BE,h0035,0.3543772618231106,scr2012,mustOut,psngRail
BE,h0036,0.14693999820045817,scr2012,mustOut,psngRail
BE,h0037,0.023654714221580646,scr2012,mustOut,psngRail
BE,h0038,0.0009436769928746756,scr2012,mustOut,psngRail
BE,h0039,0.0,scr2012,mustOut,psngRail
BE,h0040,0.038210801167671,scr2012,mustOut,psngRail
BE,h0041,0.13012747932831759,scr2012,mustOut,psngRail
BE,h0042,0.18168552359758428,scr2012,mustOut,psngRail
BE,h0043,0.10102655224368778,scr2012,mustOut,psngRail
BE,h0044,0.1196098422736622,scr2012,mustOut,psngRail
BE,h0045,0.2533747987277135,scr2012,mustOut,psngRail
BE,h0046,0.4080905720458967,scr2012,mustOut,psngRail
BE,h0047,0.2534461881566994,scr2012,mustOut,psngRail
BE,h0048,0.09673544220067874,scr2012,mustOut,psngRail
BG,h0025,0.007850241237370922,scr2012,mustOut,psngRail
BG,h0026,0.0009436769928746756,scr2012,mustOut,psngRail
BG,h0027,0.0,scr2012,mustOut,psngRail
BG,h0028,0.00247716431934237,scr2012,mustOut,psngRail
BG,h0029,0.044847450977867014,scr2012,mustOut,psngRail
BG,h0030,0.17758862956539098,scr2012,mustOut,psngRail
BG,h0031,0.2142389463542916,scr2012,mustOut,psngRail
BG,h0032,0.24118786577439055,scr2012,mustOut,psngRail
BG,h0033,0.2725602048242022,scr2012,mustOut,psngRail
BG,h0034,0.43971642,scr2012,mustOut,psngRail
BG,h0035,0.3543772618231106,scr2012,mustOut,psngRail
BG,h0036,0.14693999820045817,scr2012,mustOut,psngRail
BG,h0037,0.023654714221580646,scr2012,mustOut,psngRail
BG,h0038,0.0009436769928746756,scr2012,mustOut,psngRail
BG,h0039,0.0,scr2012,mustOut,psngRail
BG,h0040,0.038210801167671,scr2012,mustOut,psngRail
BG,h0041,0.13012747932831759,scr2012,mustOut,psngRail
BG,h0042,0.18168552359758428,scr2012,mustOut,psngRail
BG,h0043,0.10102655224368778,scr2012,mustOut,psngRail
BG,h0044,0.1196098422736622,scr2012,mustOut,psngRail
BG,h0045,0.2533747987277135,scr2012,mustOut,psngRail
BG,h0046,0.4080905720458967,scr2012,mustOut,psngRail
BG,h0047,0.2534461881566994,scr2012,mustOut,psngRail
BG,h0048,0.09673544220067874,scr2012,mustOut,psngRail
CH,h0025,0.007850241237370922,scr2012,mustOut,psngRail
CH,h0026,0.0009436769928746756,scr2012,mustOut,psngRail
CH,h0027,0.0,scr2012,mustOut,psngRail
CH,h0028,0.00247716431934237,scr2012,mustOut,psngRail
CH,h0029,0.044847450977867014,scr2012,mustOut,psngRail
CH,h0030,0.17758862956539098,scr2012,mustOut,psngRail
CH,h0031,0.2142389463542916,scr2012,mustOut,psngRail
