region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0019,6.1094380696758055,scr2013,effConv,heatpumpGroundSpace
AT,hh0020,6.208025678480285,scr2013,effConv,heatpumpGroundSpace
AT,hh0021,6.185135757208914,scr2013,effConv,heatpumpGroundSpace
AT,hh0022,5.565666983864299,scr2013,effConv,heatpumpGroundSpace
AT,hh0023,5.738107109318965,scr2013,effConv,heatpumpGroundSpace
AT,hh0024,5.349560043546624,scr2013,effConv,heatpumpGroundSpace
BE,hh0019,6.201503798185479,scr2013,effConv,heatpumpGroundSpace
BE,hh0020,6.336573739033335,scr2013,effConv,heatpumpGroundSpace
BE,hh0021,6.3116932794188,scr2013,effConv,heatpumpGroundSpace
BE,hh0022,6.069402258960055,scr2013,effConv,heatpumpGroundSpace
BE,hh0023,6.2919571966311905,scr2013,effConv,heatpumpGroundSpace
BE,hh0024,5.887432617455758,scr2013,effConv,heatpumpGroundSpace
BG,hh0019,6.329652863823535,scr2013,effConv,heatpumpGroundSpace
BG,hh0020,6.34,scr2013,effConv,heatpumpGroundSpace
BG,hh0021,6.307044325546192,scr2013,effConv,heatpumpGroundSpace
BG,hh0022,5.846392676358688,scr2013,effConv,heatpumpGroundSpace
BG,hh0023,5.859646495819149,scr2013,effConv,heatpumpGroundSpace
BG,hh0024,5.891469316806247,scr2013,effConv,heatpumpGroundSpace
CH,hh0019,5.943097564518133,scr2013,effConv,heatpumpGroundSpace
CH,hh0020,6.154791434718578,scr2013,effConv,heatpumpGroundSpace
CH,hh0021,6.077333734462319,scr2013,effConv,heatpumpGroundSpace
CH,hh0022,5.14289799673004,scr2013,effConv,heatpumpGroundSpace
CH,hh0023,5.858485863004528,scr2013,effConv,heatpumpGroundSpace
CH,hh0024,5.273852537790636,scr2013,effConv,heatpumpGroundSpace
CZ,hh0019,6.211771625224884,scr2013,effConv,heatpumpGroundSpace
CZ,hh0020,6.315655899527757,scr2013,effConv,heatpumpGroundSpace
CZ,hh0021,6.2688267172570775,scr2013,effConv,heatpumpGroundSpace
CZ,hh0022,5.80042090591468,scr2013,effConv,heatpumpGroundSpace
CZ,hh0023,5.7788656620213885,scr2013,effConv,heatpumpGroundSpace
CZ,hh0024,5.66052211245518,scr2013,effConv,heatpumpGroundSpace
DE,hh0019,6.165257265438844,scr2013,effConv,heatpumpGroundSpace
DE,hh0020,6.326960788033897,scr2013,effConv,heatpumpGroundSpace
DE,hh0021,6.240625520143464,scr2013,effConv,heatpumpGroundSpace
DE,hh0022,5.743526606399555,scr2013,effConv,heatpumpGroundSpace
DE,hh0023,5.961982053719392,scr2013,effConv,heatpumpGroundSpace
DE,hh0024,5.6947509966518,scr2013,effConv,heatpumpGroundSpace
GR,hh0019,6.3400000000110595,scr2013,effConv,heatpumpGroundSpace
GR,hh0020,6.3400000000110595,scr2013,effConv,heatpumpGroundSpace
GR,hh0021,6.3387752947855915,scr2013,effConv,heatpumpGroundSpace
GR,hh0022,6.298639125863701,scr2013,effConv,heatpumpGroundSpace
GR,hh0023,6.325332958112995,scr2013,effConv,heatpumpGroundSpace
GR,hh0024,6.247017082554521,scr2013,effConv,heatpumpGroundSpace
ES,hh0019,6.33450016552888,scr2013,effConv,heatpumpGroundSpace
ES,hh0020,6.337870592731633,scr2013,effConv,heatpumpGroundSpace
ES,hh0021,6.33510284595468,scr2013,effConv,heatpumpGroundSpace
ES,hh0022,6.311906554888992,scr2013,effConv,heatpumpGroundSpace
ES,hh0023,6.333663431927562,scr2013,effConv,heatpumpGroundSpace
ES,hh0024,6.300014692063996,scr2013,effConv,heatpumpGroundSpace
DK,hh0019,6.326102651655674,scr2013,effConv,heatpumpGroundSpace
DK,hh0020,6.340000003576279,scr2013,effConv,heatpumpGroundSpace
DK,hh0021,6.318346170708537,scr2013,effConv,heatpumpGroundSpace
DK,hh0022,5.861047545447946,scr2013,effConv,heatpumpGroundSpace
DK,hh0023,6.054904947057366,scr2013,effConv,heatpumpGroundSpace
DK,hh0024,5.949215864762664,scr2013,effConv,heatpumpGroundSpace
EE,hh0019,6.337712675032719,scr2013,effConv,heatpumpGroundSpace
EE,hh0020,6.34,scr2013,effConv,heatpumpGroundSpace
EE,hh0021,6.1543278660398215,scr2013,effConv,heatpumpGroundSpace
EE,hh0022,5.998000826763768,scr2013,effConv,heatpumpGroundSpace
EE,hh0023,5.526166528169976,scr2013,effConv,heatpumpGroundSpace
EE,hh0024,5.200530282485753,scr2013,effConv,heatpumpGroundSpace
FI,hh0019,6.187501500454091,scr2013,effConv,heatpumpGroundSpace
FI,hh0020,6.336735590007703,scr2013,effConv,heatpumpGroundSpace
FI,hh0021,6.049711077319781,scr2013,effConv,heatpumpGroundSpace
FI,hh0022,5.71502566393209,scr2013,effConv,heatpumpGroundSpace
FI,hh0023,5.02895073298928,scr2013,effConv,heatpumpGroundSpace
FI,hh0024,4.61315661361903,scr2013,effConv,heatpumpGroundSpace
FR,hh0019,6.247664906916857,scr2013,effConv,heatpumpGroundSpace
FR,hh0020,6.3305007838543945,scr2013,effConv,heatpumpGroundSpace
FR,hh0021,6.3115250457888825,scr2013,effConv,heatpumpGroundSpace
FR,hh0022,6.084034203179857,scr2013,effConv,heatpumpGroundSpace
FR,hh0023,6.300415121147656,scr2013,effConv,heatpumpGroundSpace
FR,hh0024,6.045387924874155,scr2013,effConv,heatpumpGroundSpace
