region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0289,0.5000737086392719,scr2082,dem,electricity
AL,h0290,0.4470376399806328,scr2082,dem,electricity
AL,h0291,0.4119539909529879,scr2082,dem,electricity
AL,h0292,0.3945366459872262,scr2082,dem,electricity
AL,h0293,0.38727395456289665,scr2082,dem,electricity
AL,h0294,0.3811228193072424,scr2082,dem,electricity
AL,h0295,0.4002105705339369,scr2082,dem,electricity
AL,h0296,0.44417624992018834,scr2082,dem,electricity
AL,h0297,0.5039300997641611,scr2082,dem,electricity
AL,h0298,0.5439923984473379,scr2082,dem,electricity
AL,h0299,0.5582897559463496,scr2082,dem,electricity
AL,h0300,0.5655283198119594,scr2082,dem,electricity
AL,h0301,0.5858410112781676,scr2082,dem,electricity
AL,h0302,0.6060867437673872,scr2082,dem,electricity
AL,h0303,0.6182850888920005,scr2082,dem,electricity
AL,h0304,0.6098889295878662,scr2082,dem,electricity
AL,h0305,0.6000644967098041,scr2082,dem,electricity
AL,h0306,0.592859814208794,scr2082,dem,electricity
AL,h0307,0.580332324347894,scr2082,dem,electricity
AL,h0308,0.5745632711269012,scr2082,dem,electricity
AL,h0309,0.5746922221102234,scr2082,dem,electricity
AL,h0310,0.5932170544305507,scr2082,dem,electricity
AL,h0311,0.600046062779763,scr2082,dem,electricity
AL,h0312,0.5774671733126656,scr2082,dem,electricity
AL,h0313,0.5251822006468938,scr2082,dem,electricity
AL,h0314,0.4701724226045112,scr2082,dem,electricity
AL,h0315,0.4343049314653221,scr2082,dem,electricity
AL,h0316,0.41640337917173825,scr2082,dem,electricity
AL,h0317,0.4099535279342242,scr2082,dem,electricity
AL,h0318,0.40623617011985863,scr2082,dem,electricity
AL,h0319,0.429739667146318,scr2082,dem,electricity
AL,h0320,0.47829113899217746,scr2082,dem,electricity
AL,h0321,0.5461889554932925,scr2082,dem,electricity
AL,h0322,0.5964246521304956,scr2082,dem,electricity
AL,h0323,0.6240691237564657,scr2082,dem,electricity
AL,h0324,0.6442167231943475,scr2082,dem,electricity
AL,h0325,0.6725920960844153,scr2082,dem,electricity
AL,h0326,0.6981051488750255,scr2082,dem,electricity
AL,h0327,0.7107282438181267,scr2082,dem,electricity
AL,h0328,0.7033157777832187,scr2082,dem,electricity
AL,h0329,0.6915806658706188,scr2082,dem,electricity
AL,h0330,0.6793020207486045,scr2082,dem,electricity
AL,h0331,0.640702447112086,scr2082,dem,electricity
AL,h0332,0.6109480795077146,scr2082,dem,electricity
AL,h0333,0.5910923148883097,scr2082,dem,electricity
AL,h0334,0.616321019941699,scr2082,dem,electricity
AL,h0335,0.6337262320663419,scr2082,dem,electricity
AL,h0336,0.624185658234642,scr2082,dem,electricity
AT,h0289,6.034047927602742,scr2082,dem,electricity
AT,h0290,5.538306904855105,scr2082,dem,electricity
AT,h0291,5.2042704719648105,scr2082,dem,electricity
AT,h0292,4.998571046948867,scr2082,dem,electricity
AT,h0293,4.901875107096259,scr2082,dem,electricity
AT,h0294,4.92750706517935,scr2082,dem,electricity
AT,h0295,5.747790530369648,scr2082,dem,electricity
AT,h0296,6.827907143107834,scr2082,dem,electricity
AT,h0297,7.922741443873636,scr2082,dem,electricity
AT,h0298,8.291084888239519,scr2082,dem,electricity
AT,h0299,8.465497287387901,scr2082,dem,electricity
AT,h0300,8.605477334877978,scr2082,dem,electricity
AT,h0301,8.37339792078303,scr2082,dem,electricity
AT,h0302,8.027535852921401,scr2082,dem,electricity
AT,h0303,7.609511634939814,scr2082,dem,electricity
AT,h0304,7.4839920352926415,scr2082,dem,electricity
AT,h0305,7.413578252123364,scr2082,dem,electricity
AT,h0306,7.405351956667081,scr2082,dem,electricity
AT,h0307,7.581880558434358,scr2082,dem,electricity
AT,h0308,7.612738843145875,scr2082,dem,electricity
AT,h0309,7.559077931436016,scr2082,dem,electricity
AT,h0310,7.260911222912342,scr2082,dem,electricity
AT,h0311,6.97177387873029,scr2082,dem,electricity
AT,h0312,6.548579033892615,scr2082,dem,electricity
AT,h0313,6.131470942792362,scr2082,dem,electricity
AT,h0314,5.750694478282709,scr2082,dem,electricity
AT,h0315,5.514765702732225,scr2082,dem,electricity
AT,h0316,5.336477895604561,scr2082,dem,electricity
AT,h0317,5.313580476188129,scr2082,dem,electricity
AT,h0318,5.58185558050004,scr2082,dem,electricity
AT,h0319,6.235689177265545,scr2082,dem,electricity
AT,h0320,7.119419184561845,scr2082,dem,electricity
AT,h0321,7.866007751461991,scr2082,dem,electricity
AT,h0322,8.28839911293485,scr2082,dem,electricity
AT,h0323,8.505741487573847,scr2082,dem,electricity
AT,h0324,8.667485176147611,scr2082,dem,electricity
AT,h0325,8.735982766337742,scr2082,dem,electricity
AT,h0326,8.69814966322036,scr2082,dem,electricity
AT,h0327,8.59486914753788,scr2082,dem,electricity
AT,h0328,8.515097612991623,scr2082,dem,electricity
AT,h0329,8.415095219333807,scr2082,dem,electricity
AT,h0330,8.323002075793351,scr2082,dem,electricity
AT,h0331,7.585240201209015,scr2082,dem,electricity
AT,h0332,6.879198328555694,scr2082,dem,electricity
AT,h0333,6.185206293175264,scr2082,dem,electricity
AT,h0334,6.178373293984954,scr2082,dem,electricity
AT,h0335,6.143759313474031,scr2082,dem,electricity
AT,h0336,5.9662353429747474,scr2082,dem,electricity
BA,h0289,1.0515676384772255,scr2082,dem,electricity
BA,h0290,0.9361249075676994,scr2082,dem,electricity
BA,h0291,0.8599905622011325,scr2082,dem,electricity
BA,h0292,0.8222681165713075,scr2082,dem,electricity
BA,h0293,0.8065539940060982,scr2082,dem,electricity
BA,h0294,0.7932522107335276,scr2082,dem,electricity
BA,h0295,0.834987687867617,scr2082,dem,electricity
BA,h0296,0.9311610169780009,scr2082,dem,electricity
BA,h0297,1.062600155731525,scr2082,dem,electricity
BA,h0298,1.1516299269637755,scr2082,dem,electricity
BA,h0299,1.1849626603612675,scr2082,dem,electricity
BA,h0300,1.2034596953842065,scr2082,dem,electricity
BA,h0301,1.2171588052693074,scr2082,dem,electricity
BA,h0302,1.227573572891114,scr2082,dem,electricity
BA,h0303,1.2177679057702422,scr2082,dem,electricity
BA,h0304,1.1954055657662608,scr2082,dem,electricity
BA,h0305,1.173021449051804,scr2082,dem,electricity
BA,h0306,1.1595297681707437,scr2082,dem,electricity
