region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0193,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0194,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0195,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0196,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0197,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0198,1.9596963860225083,scr2091,stInflow,reservoir
AT,h0199,1.988423367218456,scr2091,stInflow,reservoir
AT,h0200,2.0171544989653887,scr2091,stInflow,reservoir
AT,h0201,2.045889723315463,scr2091,stInflow,reservoir
AT,h0202,2.045889723315463,scr2091,stInflow,reservoir
AT,h0203,2.045889723315463,scr2091,stInflow,reservoir
AT,h0204,2.045889723315463,scr2091,stInflow,reservoir
AT,h0205,2.045889723315463,scr2091,stInflow,reservoir
AT,h0206,2.045889723315463,scr2091,stInflow,reservoir
AT,h0207,2.045889723315463,scr2091,stInflow,reservoir
AT,h0208,2.045889723315463,scr2091,stInflow,reservoir
AT,h0209,2.045889723315463,scr2091,stInflow,reservoir
AT,h0210,2.045889723315463,scr2091,stInflow,reservoir
AT,h0211,1.9153101453656576,scr2091,stInflow,reservoir
AT,h0212,1.784819590758178,scr2091,stInflow,reservoir
AT,h0213,1.654424444121791,scr2091,stInflow,reservoir
AT,h0214,1.654424444121791,scr2091,stInflow,reservoir
AT,h0215,1.654424444121791,scr2091,stInflow,reservoir
AT,h0216,1.654424444121791,scr2091,stInflow,reservoir
AT,h0217,1.654424444121791,scr2091,stInflow,reservoir
AT,h0218,1.654424444121791,scr2091,stInflow,reservoir
AT,h0219,1.654424444121791,scr2091,stInflow,reservoir
AT,h0220,1.654424444121791,scr2091,stInflow,reservoir
AT,h0221,1.654424444121791,scr2091,stInflow,reservoir
AT,h0222,1.654424444121791,scr2091,stInflow,reservoir
AT,h0223,1.4845914442005652,scr2091,stInflow,reservoir
AT,h0224,1.3149529052732312,scr2091,stInflow,reservoir
AT,h0225,1.145533508421662,scr2091,stInflow,reservoir
AT,h0226,1.145533508421662,scr2091,stInflow,reservoir
AT,h0227,1.145533508421662,scr2091,stInflow,reservoir
AT,h0228,1.145533508421662,scr2091,stInflow,reservoir
AT,h0229,1.145533508421662,scr2091,stInflow,reservoir
AT,h0230,1.145533508421662,scr2091,stInflow,reservoir
AT,h0231,1.145533508421662,scr2091,stInflow,reservoir
AT,h0232,1.145533508421662,scr2091,stInflow,reservoir
AT,h0233,1.145533508421662,scr2091,stInflow,reservoir
AT,h0234,1.145533508421662,scr2091,stInflow,reservoir
AT,h0235,0.9368884073946926,scr2091,stInflow,reservoir
AT,h0236,0.728710713828628,scr2091,stInflow,reservoir
AT,h0237,0.5211341527052341,scr2091,stInflow,reservoir
AT,h0238,0.5211341527052341,scr2091,stInflow,reservoir
AT,h0239,0.5211341527052341,scr2091,stInflow,reservoir
AT,h0240,0.5211341527052341,scr2091,stInflow,reservoir
BG,h0193,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0194,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0195,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0196,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0197,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0198,0.05191285023939928,scr2091,stInflow,reservoir
BG,h0199,0.054953130456732543,scr2091,stInflow,reservoir
BG,h0200,0.05799342750140702,scr2091,stInflow,reservoir
BG,h0201,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0202,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0203,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0204,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0205,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0206,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0207,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0208,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0209,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0210,0.06103374049059181,scr2091,stInflow,reservoir
BG,h0211,0.07594857005483556,scr2091,stInflow,reservoir
BG,h0212,0.09086369440584577,scr2091,stInflow,reservoir
BG,h0213,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0214,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0215,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0216,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0217,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0218,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0219,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0220,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0221,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0222,0.10577906467695358,scr2091,stInflow,reservoir
BG,h0223,0.11996145165766431,scr2091,stInflow,reservoir
BG,h0224,0.13414400668690932,scr2091,stInflow,reservoir
BG,h0225,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0226,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0227,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0228,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0229,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0230,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0231,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0232,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0233,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0234,0.14832671193025934,scr2091,stInflow,reservoir
BG,h0235,0.15322940621913783,scr2091,stInflow,reservoir
BG,h0236,0.15813211619572745,scr2091,stInflow,reservoir
BG,h0237,0.16303484137358557,scr2091,stInflow,reservoir
BG,h0238,0.16303484137358557,scr2091,stInflow,reservoir
BG,h0239,0.16303484137358557,scr2091,stInflow,reservoir
BG,h0240,0.16303484137358557,scr2091,stInflow,reservoir
CH,h0193,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0194,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0195,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0196,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0197,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0198,1.5432513876886333,scr2091,stInflow,reservoir
CH,h0199,1.5994171337557934,scr2091,stInflow,reservoir
CH,h0200,1.6556026121753826,scr2091,stInflow,reservoir
CH,h0201,1.7118071662149834,scr2091,stInflow,reservoir
CH,h0202,1.7118071662149834,scr2091,stInflow,reservoir
CH,h0203,1.7118071662149834,scr2091,stInflow,reservoir
CH,h0204,1.7118071662149834,scr2091,stInflow,reservoir
CH,h0205,1.7118071662149834,scr2091,stInflow,reservoir
