region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h2161,0.5452687621694242,scr2084,avaConv,wind
AL,h2162,0.5201456063710151,scr2084,avaConv,wind
AL,h2163,0.4979641485550966,scr2084,avaConv,wind
AL,h2164,0.4839863051576231,scr2084,avaConv,wind
AL,h2165,0.4788457132066041,scr2084,avaConv,wind
AL,h2166,0.4789035141485525,scr2084,avaConv,wind
AL,h2167,0.48050284034488533,scr2084,avaConv,wind
AL,h2168,0.48326959478074555,scr2084,avaConv,wind
AL,h2169,0.4875522594880543,scr2084,avaConv,wind
AL,h2170,0.4894166148668395,scr2084,avaConv,wind
AL,h2171,0.4812067150851233,scr2084,avaConv,wind
AL,h2172,0.4629196477683972,scr2084,avaConv,wind
AL,h2173,0.4403413620936595,scr2084,avaConv,wind
AL,h2174,0.42020894433622874,scr2084,avaConv,wind
AL,h2175,0.3997671952569158,scr2084,avaConv,wind
AL,h2176,0.38231604612188275,scr2084,avaConv,wind
AL,h2177,0.36877149963108397,scr2084,avaConv,wind
AL,h2178,0.3665296932779879,scr2084,avaConv,wind
AL,h2179,0.3738417201554484,scr2084,avaConv,wind
AL,h2180,0.39107231063447084,scr2084,avaConv,wind
AL,h2181,0.41114486734927624,scr2084,avaConv,wind
AL,h2182,0.43168808971917844,scr2084,avaConv,wind
AL,h2183,0.4557531948474284,scr2084,avaConv,wind
AL,h2184,0.48851047543506887,scr2084,avaConv,wind
AL,h2185,0.5355643433761027,scr2084,avaConv,wind
AL,h2186,0.5766006663574286,scr2084,avaConv,wind
AL,h2187,0.6137974901944478,scr2084,avaConv,wind
AL,h2188,0.6293576088811549,scr2084,avaConv,wind
AL,h2189,0.6349793027562427,scr2084,avaConv,wind
AL,h2190,0.6152869484462343,scr2084,avaConv,wind
AL,h2191,0.5886480012945843,scr2084,avaConv,wind
AL,h2192,0.5570207674377031,scr2084,avaConv,wind
AL,h2193,0.5376380813492823,scr2084,avaConv,wind
AL,h2194,0.5294964910747051,scr2084,avaConv,wind
AL,h2195,0.5351720935435463,scr2084,avaConv,wind
AL,h2196,0.5462357207062558,scr2084,avaConv,wind
AL,h2197,0.5547793521954193,scr2084,avaConv,wind
AL,h2198,0.5575612849828436,scr2084,avaConv,wind
AL,h2199,0.5459310978243804,scr2084,avaConv,wind
AL,h2200,0.510698578209975,scr2084,avaConv,wind
AL,h2201,0.47640876735531784,scr2084,avaConv,wind
AL,h2202,0.465729938617122,scr2084,avaConv,wind
AL,h2203,0.477594296266997,scr2084,avaConv,wind
AL,h2204,0.5000621118667569,scr2084,avaConv,wind
AL,h2205,0.5262988820803829,scr2084,avaConv,wind
AL,h2206,0.5625389657891959,scr2084,avaConv,wind
AL,h2207,0.5931009449459488,scr2084,avaConv,wind
AL,h2208,0.6082591789983138,scr2084,avaConv,wind
AL,h2209,0.6126423050449216,scr2084,avaConv,wind
AL,h2210,0.6092061251834718,scr2084,avaConv,wind
AL,h2211,0.6021427068570006,scr2084,avaConv,wind
AL,h2212,0.5912880046919577,scr2084,avaConv,wind
AL,h2213,0.5783308351123743,scr2084,avaConv,wind
AL,h2214,0.5636382696261032,scr2084,avaConv,wind
AL,h2215,0.5542605877751847,scr2084,avaConv,wind
AL,h2216,0.5489571783829462,scr2084,avaConv,wind
AL,h2217,0.5412101396033865,scr2084,avaConv,wind
AL,h2218,0.5284433149976105,scr2084,avaConv,wind
AL,h2219,0.5140973078041723,scr2084,avaConv,wind
AL,h2220,0.5023788641897656,scr2084,avaConv,wind
AL,h2221,0.4907686263926626,scr2084,avaConv,wind
AL,h2222,0.4763258867489348,scr2084,avaConv,wind
AL,h2223,0.45937472075644564,scr2084,avaConv,wind
AL,h2224,0.43940596048336134,scr2084,avaConv,wind
AL,h2225,0.4172119798116188,scr2084,avaConv,wind
AL,h2226,0.39076928861921667,scr2084,avaConv,wind
AL,h2227,0.3586494949988064,scr2084,avaConv,wind
AL,h2228,0.32255390843953574,scr2084,avaConv,wind
AL,h2229,0.28610327629572785,scr2084,avaConv,wind
