region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0097,0.43721033869566056,scr2094,avaConv,wind
AL,h0098,0.32874954667770107,scr2094,avaConv,wind
AL,h0099,0.21628179194260888,scr2094,avaConv,wind
AL,h0100,0.1728179637414967,scr2094,avaConv,wind
AL,h0101,0.12958080747810505,scr2094,avaConv,wind
AL,h0102,0.08975132789472157,scr2094,avaConv,wind
AL,h0103,0.16820070897086828,scr2094,avaConv,wind
AL,h0104,0.26070988520657645,scr2094,avaConv,wind
AL,h0105,0.3675359273299582,scr2094,avaConv,wind
AL,h0106,0.35203237776158597,scr2094,avaConv,wind
AL,h0107,0.3438280392029701,scr2094,avaConv,wind
AL,h0108,0.34266237041553077,scr2094,avaConv,wind
AL,h0109,0.22001170380801544,scr2094,avaConv,wind
AL,h0110,0.11002263015702422,scr2094,avaConv,wind
AL,h0111,0.01742701004741309,scr2094,avaConv,wind
AL,h0112,0.029064646970017923,scr2094,avaConv,wind
AL,h0113,0.043710910069223244,scr2094,avaConv,wind
AL,h0114,0.05945406979550947,scr2094,avaConv,wind
AL,h0115,0.07533732773836871,scr2094,avaConv,wind
AL,h0116,0.0939901416360495,scr2094,avaConv,wind
AL,h0117,0.11608387480249915,scr2094,avaConv,wind
AL,h0118,0.13953746448281237,scr2094,avaConv,wind
AL,h0119,0.16037665114304817,scr2094,avaConv,wind
AL,h0120,0.17667472630543843,scr2094,avaConv,wind
AL,h0121,0.11876888457704535,scr2094,avaConv,wind
AL,h0122,0.059874540128528754,scr2094,avaConv,wind
AL,h0123,0.006723380225669169,scr2094,avaConv,wind
AL,h0124,0.007399344569716164,scr2094,avaConv,wind
AL,h0125,0.008699407967057196,scr2094,avaConv,wind
AL,h0126,0.011092934032746365,scr2094,avaConv,wind
AL,h0127,0.13303843388988854,scr2094,avaConv,wind
AL,h0128,0.2736197377474858,scr2094,avaConv,wind
AL,h0129,0.41798823928391154,scr2094,avaConv,wind
AL,h0130,0.40082314176546396,scr2094,avaConv,wind
AL,h0131,0.3729717759793848,scr2094,avaConv,wind
AL,h0132,0.3347209722612846,scr2094,avaConv,wind
AL,h0133,0.40820649379640367,scr2094,avaConv,wind
AL,h0134,0.4804765985155653,scr2094,avaConv,wind
AL,h0135,0.5564262851542771,scr2094,avaConv,wind
AL,h0136,0.518706053986011,scr2094,avaConv,wind
AL,h0137,0.49947735057631054,scr2094,avaConv,wind
AL,h0138,0.4976244352413434,scr2094,avaConv,wind
AL,h0139,0.34165329883725476,scr2094,avaConv,wind
AL,h0140,0.1961324196077309,scr2094,avaConv,wind
AL,h0141,0.06383270572510526,scr2094,avaConv,wind
AL,h0142,0.06665644522523918,scr2094,avaConv,wind
AL,h0143,0.06826802372716932,scr2094,avaConv,wind
AL,h0144,0.06938812827507684,scr2094,avaConv,wind
AT,h0097,0.8001717148887816,scr2094,avaConv,wind
AT,h0098,0.7216703618978108,scr2094,avaConv,wind
AT,h0099,0.662810162012459,scr2094,avaConv,wind
AT,h0100,0.6463253039325872,scr2094,avaConv,wind
AT,h0101,0.6282543918640667,scr2094,avaConv,wind
AT,h0102,0.6115447338187727,scr2094,avaConv,wind
AT,h0103,0.5038870671836279,scr2094,avaConv,wind
AT,h0104,0.3902408594641886,scr2094,avaConv,wind
AT,h0105,0.28312800486163725,scr2094,avaConv,wind
AT,h0106,0.2635801269733581,scr2094,avaConv,wind
AT,h0107,0.2529388867973235,scr2094,avaConv,wind
AT,h0108,0.241944306519075,scr2094,avaConv,wind
AT,h0109,0.15985674722894022,scr2094,avaConv,wind
AT,h0110,0.0927995857410678,scr2094,avaConv,wind
AT,h0111,0.03859964004951178,scr2094,avaConv,wind
AT,h0112,0.04754602553068804,scr2094,avaConv,wind
AT,h0113,0.05913587048080331,scr2094,avaConv,wind
AT,h0114,0.07613857123402255,scr2094,avaConv,wind
AT,h0115,0.226326916270019,scr2094,avaConv,wind
AT,h0116,0.4026141767289752,scr2094,avaConv,wind
AT,h0117,0.5888413620752208,scr2094,avaConv,wind
AT,h0118,0.6013722301366409,scr2094,avaConv,wind
AT,h0119,0.5996643681490925,scr2094,avaConv,wind
AT,h0120,0.5879041996340749,scr2094,avaConv,wind
AT,h0121,0.5316502767257257,scr2094,avaConv,wind
AT,h0122,0.4645603307150876,scr2094,avaConv,wind
AT,h0123,0.39148011980329517,scr2094,avaConv,wind
AT,h0124,0.35538525398389365,scr2094,avaConv,wind
AT,h0125,0.33338880286200284,scr2094,avaConv,wind
AT,h0126,0.32869507994905284,scr2094,avaConv,wind
AT,h0127,0.21859555933246005,scr2094,avaConv,wind
AT,h0128,0.11301307869124853,scr2094,avaConv,wind
AT,h0129,0.020112399027253373,scr2094,avaConv,wind
AT,h0130,0.0135653943191807,scr2094,avaConv,wind
AT,h0131,0.013747118435651642,scr2094,avaConv,wind
AT,h0132,0.01508958667605611,scr2094,avaConv,wind
AT,h0133,0.026221191417416745,scr2094,avaConv,wind
