region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0002,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0003,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0004,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0005,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0006,2.2498553798519665,scr2083,stInflow,reservoir
AT,h0007,2.4145822677315047,scr2083,stInflow,reservoir
AT,h0008,2.579310280174196,scr2083,stInflow,reservoir
AT,h0009,2.744039345272342,scr2083,stInflow,reservoir
AT,h0010,2.744039345272342,scr2083,stInflow,reservoir
AT,h0011,2.744039345272342,scr2083,stInflow,reservoir
AT,h0012,2.744039345272342,scr2083,stInflow,reservoir
AT,h0013,2.744039345272342,scr2083,stInflow,reservoir
AT,h0014,2.744039345272342,scr2083,stInflow,reservoir
AT,h0015,2.744039345272342,scr2083,stInflow,reservoir
AT,h0016,2.744039345272342,scr2083,stInflow,reservoir
AT,h0017,2.744039345272342,scr2083,stInflow,reservoir
AT,h0018,2.744039345272342,scr2083,stInflow,reservoir
AT,h0019,2.744039345272342,scr2083,stInflow,reservoir
AT,h0020,2.744039345272342,scr2083,stInflow,reservoir
AT,h0021,2.744039345272342,scr2083,stInflow,reservoir
AT,h0022,2.744039345272342,scr2083,stInflow,reservoir
AT,h0023,2.744039345272342,scr2083,stInflow,reservoir
AT,h0024,2.744039345272342,scr2083,stInflow,reservoir
AT,h0025,2.868695626776384,scr2083,stInflow,reservoir
AT,h0026,2.9933524500805038,scr2083,stInflow,reservoir
AT,h0027,3.118009792612758,scr2083,stInflow,reservoir
AT,h0028,3.118009792612758,scr2083,stInflow,reservoir
AT,h0029,3.118009792612758,scr2083,stInflow,reservoir
AT,h0030,3.118009792612758,scr2083,stInflow,reservoir
AT,h0031,3.118009792612758,scr2083,stInflow,reservoir
AT,h0032,3.118009792612758,scr2083,stInflow,reservoir
AT,h0033,3.118009792612758,scr2083,stInflow,reservoir
AT,h0034,3.118009792612758,scr2083,stInflow,reservoir
AT,h0035,3.118009792612758,scr2083,stInflow,reservoir
AT,h0036,3.118009792612758,scr2083,stInflow,reservoir
AT,h0037,3.168180798652867,scr2083,stInflow,reservoir
AT,h0038,3.218351884138798,scr2083,stInflow,reservoir
AT,h0039,3.268523047832213,scr2083,stInflow,reservoir
AT,h0040,3.268523047832213,scr2083,stInflow,reservoir
AT,h0041,3.268523047832213,scr2083,stInflow,reservoir
AT,h0042,3.268523047832213,scr2083,stInflow,reservoir
AT,h0043,3.268523047832213,scr2083,stInflow,reservoir
AT,h0044,3.268523047832213,scr2083,stInflow,reservoir
AT,h0045,3.268523047832213,scr2083,stInflow,reservoir
AT,h0046,3.268523047832213,scr2083,stInflow,reservoir
AT,h0047,3.268523047832213,scr2083,stInflow,reservoir
AT,h0048,3.268523047832213,scr2083,stInflow,reservoir
BG,h0001,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0002,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0003,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0004,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0005,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0006,0.22814497763220898,scr2083,stInflow,reservoir
BG,h0007,0.2370987350999855,scr2083,stInflow,reservoir
BG,h0008,0.2460491120880148,scr2083,stInflow,reservoir
BG,h0009,0.254996234036691,scr2083,stInflow,reservoir
BG,h0010,0.254996234036691,scr2083,stInflow,reservoir
BG,h0011,0.254996234036691,scr2083,stInflow,reservoir
BG,h0012,0.254996234036691,scr2083,stInflow,reservoir
BG,h0013,0.254996234036691,scr2083,stInflow,reservoir
BG,h0014,0.254996234036691,scr2083,stInflow,reservoir
BG,h0015,0.254996234036691,scr2083,stInflow,reservoir
BG,h0016,0.254996234036691,scr2083,stInflow,reservoir
BG,h0017,0.254996234036691,scr2083,stInflow,reservoir
