region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0049,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0050,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0051,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0052,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0053,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0054,1.6335596204903695,scr1996,stInflow,reservoir
AT,h0055,1.60422056590565,scr1996,stInflow,reservoir
AT,h0056,1.5748706120584943,scr1996,stInflow,reservoir
AT,h0057,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0058,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0059,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0060,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0061,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0062,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0063,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0064,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0065,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0066,1.5455095474721674,scr1996,stInflow,reservoir
AT,h0067,1.5153242442598995,scr1996,stInflow,reservoir
AT,h0068,1.4851267266087613,scr1996,stInflow,reservoir
AT,h0069,1.454916735930436,scr1996,stInflow,reservoir
AT,h0070,1.454916735930436,scr1996,stInflow,reservoir
AT,h0071,1.454916735930436,scr1996,stInflow,reservoir
AT,h0072,1.454916735930436,scr1996,stInflow,reservoir
AT,h0073,1.454916735930436,scr1996,stInflow,reservoir
AT,h0074,1.454916735930436,scr1996,stInflow,reservoir
AT,h0075,1.454916735930436,scr1996,stInflow,reservoir
AT,h0076,1.454916735930436,scr1996,stInflow,reservoir
AT,h0077,1.454916735930436,scr1996,stInflow,reservoir
AT,h0078,1.454916735930436,scr1996,stInflow,reservoir
AT,h0079,1.4129766545837588,scr1996,stInflow,reservoir
AT,h0080,1.3710112782841473,scr1996,stInflow,reservoir
AT,h0081,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0082,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0083,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0084,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0085,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0086,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0087,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0088,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0089,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0090,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0091,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0092,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0093,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0094,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0095,1.3290198005786629,scr1996,stInflow,reservoir
AT,h0096,1.3290198005786629,scr1996,stInflow,reservoir
BG,h0049,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0050,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0051,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0052,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0053,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0054,0.04497941692425682,scr1996,stInflow,reservoir
BG,h0055,0.04411688640250955,scr1996,stInflow,reservoir
BG,h0056,0.04325452447527954,scr1996,stInflow,reservoir
BG,h0057,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0058,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0059,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0060,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0061,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0062,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0063,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0064,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0065,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0066,0.04239233443637259,scr1996,stInflow,reservoir
BG,h0067,0.04169803535228397,scr1996,stInflow,reservoir
BG,h0068,0.04100385184802691,scr1996,stInflow,reservoir
BG,h0069,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0070,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0071,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0072,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0073,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0074,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0075,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0076,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0077,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0078,0.040309785841058564,scr1996,stInflow,reservoir
BG,h0079,0.03792693654167087,scr1996,stInflow,reservoir
BG,h0080,0.03554558420534469,scr1996,stInflow,reservoir
BG,h0081,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0082,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0083,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0084,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0085,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0086,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0087,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0088,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0089,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0090,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0091,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0092,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0093,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0094,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0095,0.03316582718922745,scr1996,stInflow,reservoir
BG,h0096,0.03316582718922745,scr1996,stInflow,reservoir
CH,h0049,4.162840400766483,scr1996,stInflow,reservoir
CH,h0050,4.162840400766483,scr1996,stInflow,reservoir
CH,h0051,4.162840400766483,scr1996,stInflow,reservoir
CH,h0052,4.162840400766483,scr1996,stInflow,reservoir
CH,h0053,4.162840400766483,scr1996,stInflow,reservoir
CH,h0054,4.162840400766483,scr1996,stInflow,reservoir
CH,h0055,4.131821202467549,scr1996,stInflow,reservoir
CH,h0056,4.100802027453814,scr1996,stInflow,reservoir
CH,h0057,4.069782875901379,scr1996,stInflow,reservoir
CH,h0058,4.069782875901379,scr1996,stInflow,reservoir
CH,h0059,4.069782875901379,scr1996,stInflow,reservoir
CH,h0060,4.069782875901379,scr1996,stInflow,reservoir
CH,h0061,4.069782875901379,scr1996,stInflow,reservoir
CH,h0062,4.069782875901379,scr1996,stInflow,reservoir
CH,h0063,4.069782875901379,scr1996,stInflow,reservoir
CH,h0064,4.069782875901379,scr1996,stInflow,reservoir
CH,h0065,4.069782875901379,scr1996,stInflow,reservoir
CH,h0066,4.069782875901379,scr1996,stInflow,reservoir
CH,h0067,4.0363755260927086,scr1996,stInflow,reservoir
CH,h0068,4.002968203931398,scr1996,stInflow,reservoir
CH,h0069,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0070,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0071,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0072,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0073,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0074,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0075,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0076,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0077,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0078,3.9695609096481395,scr1996,stInflow,reservoir
CH,h0079,3.9196391120156835,scr1996,stInflow,reservoir
CH,h0080,3.8697173779605314,scr1996,stInflow,reservoir
CH,h0081,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0082,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0083,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0084,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0085,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0086,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0087,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0088,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0089,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0090,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0091,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0092,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0093,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0094,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0095,3.8197957083027494,scr1996,stInflow,reservoir
CH,h0096,3.8197957083027494,scr1996,stInflow,reservoir
ES,h0049,2.001010563175499,scr1996,stInflow,reservoir
ES,h0050,2.001010563175499,scr1996,stInflow,reservoir
ES,h0051,2.001010563175499,scr1996,stInflow,reservoir
ES,h0052,2.001010563175499,scr1996,stInflow,reservoir
ES,h0053,2.001010563175499,scr1996,stInflow,reservoir
ES,h0054,2.001010563175499,scr1996,stInflow,reservoir
ES,h0055,2.034714835534782,scr1996,stInflow,reservoir
ES,h0056,2.06847605378584,scr1996,stInflow,reservoir
ES,h0057,2.1022934519843726,scr1996,stInflow,reservoir
ES,h0058,2.1022934519843726,scr1996,stInflow,reservoir
ES,h0059,2.1022934519843726,scr1996,stInflow,reservoir
