region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0193,4.681168466458366,scr1996,dem,electricity
AL,h0194,4.391789034191375,scr1996,dem,electricity
AL,h0195,4.122713166490541,scr1996,dem,electricity
AL,h0196,4.111189212398182,scr1996,dem,electricity
AL,h0197,4.132452853758307,scr1996,dem,electricity
AL,h0198,4.233478846539236,scr1996,dem,electricity
AL,h0199,5.406693268248913,scr1996,dem,electricity
AL,h0200,6.632466455835069,scr1996,dem,electricity
AL,h0201,7.783250908279383,scr1996,dem,electricity
AL,h0202,7.723591310206582,scr1996,dem,electricity
AL,h0203,7.520790100510195,scr1996,dem,electricity
AL,h0204,7.262135710222749,scr1996,dem,electricity
AL,h0205,6.7146605670775426,scr1996,dem,electricity
AL,h0206,6.173680068900263,scr1996,dem,electricity
AL,h0207,5.695724753503224,scr1996,dem,electricity
AL,h0208,5.660153671164538,scr1996,dem,electricity
AL,h0209,5.867467798338228,scr1996,dem,electricity
AL,h0210,6.1242614769367565,scr1996,dem,electricity
AL,h0211,4.767967571880374,scr1996,dem,electricity
AL,h0212,3.3073598291884228,scr1996,dem,electricity
AL,h0213,1.9443399426668841,scr1996,dem,electricity
AL,h0214,1.9881400174127768,scr1996,dem,electricity
AL,h0215,2.0301667911971752,scr1996,dem,electricity
AL,h0216,2.032970406818393,scr1996,dem,electricity
AL,h0217,1.5210104295345448,scr1996,dem,electricity
AL,h0218,1.0215872605285017,scr1996,dem,electricity
AL,h0219,0.5461646985961397,scr1996,dem,electricity
AL,h0220,0.5163263450005519,scr1996,dem,electricity
AL,h0221,0.5018280568076836,scr1996,dem,electricity
AL,h0222,0.497690344613788,scr1996,dem,electricity
AL,h0223,0.49327169317451036,scr1996,dem,electricity
AL,h0224,0.5086552350398336,scr1996,dem,electricity
AL,h0225,0.5336901255793319,scr1996,dem,electricity
AL,h0226,0.5667118473451366,scr1996,dem,electricity
AL,h0227,0.5774343686656069,scr1996,dem,electricity
AL,h0228,0.5827660249859872,scr1996,dem,electricity
AL,h0229,0.5511523936200199,scr1996,dem,electricity
AL,h0230,0.5163388770548015,scr1996,dem,electricity
AL,h0231,0.47249346478187004,scr1996,dem,electricity
AL,h0232,0.45922621494123295,scr1996,dem,electricity
AL,h0233,0.44900254127575445,scr1996,dem,electricity
AL,h0234,0.44491561118069467,scr1996,dem,electricity
AL,h0235,0.45774677748444614,scr1996,dem,electricity
AL,h0236,0.47592107530658034,scr1996,dem,electricity
AL,h0237,0.507861863707625,scr1996,dem,electricity
AL,h0238,0.5273784836048696,scr1996,dem,electricity
AL,h0239,0.5343841217005069,scr1996,dem,electricity
AL,h0240,0.5082687088760308,scr1996,dem,electricity
AT,h0193,14.50182628161962,scr1996,dem,electricity
AT,h0194,14.565993603342791,scr1996,dem,electricity
AT,h0195,14.86367738215162,scr1996,dem,electricity
AT,h0196,14.85838955108396,scr1996,dem,electricity
AT,h0197,15.121339517865062,scr1996,dem,electricity
AT,h0198,15.970862796878215,scr1996,dem,electricity
AT,h0199,18.475657754697593,scr1996,dem,electricity
AT,h0200,21.05153136900227,scr1996,dem,electricity
AT,h0201,22.992514462665053,scr1996,dem,electricity
AT,h0202,22.959886173364726,scr1996,dem,electricity
AT,h0203,22.50011049206798,scr1996,dem,electricity
AT,h0204,21.913580108722737,scr1996,dem,electricity
AT,h0205,18.08536656367186,scr1996,dem,electricity
AT,h0206,14.419077744608815,scr1996,dem,electricity
AT,h0207,11.033507120413928,scr1996,dem,electricity
AT,h0208,10.894943291936574,scr1996,dem,electricity
AT,h0209,11.07809980442322,scr1996,dem,electricity
AT,h0210,11.452358913277196,scr1996,dem,electricity
AT,h0211,10.99758431585833,scr1996,dem,electricity
AT,h0212,10.27890350759052,scr1996,dem,electricity
AT,h0213,9.491602089734748,scr1996,dem,electricity
