region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0002,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0003,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0004,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0005,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0006,0.4155745586884227,scr2009,avaConv,runOfRiver
AT,h0007,0.4200730848208192,scr2009,avaConv,runOfRiver
AT,h0008,0.42456780912660164,scr2009,avaConv,runOfRiver
AT,h0009,0.4290587745781294,scr2009,avaConv,runOfRiver
AT,h0010,0.4290587745781294,scr2009,avaConv,runOfRiver
AT,h0011,0.4290587745781294,scr2009,avaConv,runOfRiver
AT,h0012,0.4290587745781294,scr2009,avaConv,runOfRiver
AT,h0013,0.42738361086861987,scr2009,avaConv,runOfRiver
AT,h0014,0.4257079275928582,scr2009,avaConv,runOfRiver
AT,h0015,0.4240317225643342,scr2009,avaConv,runOfRiver
AT,h0016,0.4240317225643342,scr2009,avaConv,runOfRiver
AT,h0017,0.4240317225643342,scr2009,avaConv,runOfRiver
AT,h0018,0.4240317225643342,scr2009,avaConv,runOfRiver
AT,h0019,0.4235488964601505,scr2009,avaConv,runOfRiver
AT,h0020,0.4230660268473048,scr2009,avaConv,runOfRiver
AT,h0021,0.4225831136727469,scr2009,avaConv,runOfRiver
AT,h0022,0.4225831136727469,scr2009,avaConv,runOfRiver
AT,h0023,0.4225831136727469,scr2009,avaConv,runOfRiver
AT,h0024,0.4225831136727469,scr2009,avaConv,runOfRiver
AT,h0025,0.4253335465583506,scr2009,avaConv,runOfRiver
AT,h0026,0.4280825737994198,scr2009,avaConv,runOfRiver
AT,h0027,0.4308302050435815,scr2009,avaConv,runOfRiver
AT,h0028,0.4308302050435815,scr2009,avaConv,runOfRiver
AT,h0029,0.4308302050435815,scr2009,avaConv,runOfRiver
AT,h0030,0.4308302050435815,scr2009,avaConv,runOfRiver
AT,h0031,0.4353042631839336,scr2009,avaConv,runOfRiver
AT,h0032,0.43977468069219655,scr2009,avaConv,runOfRiver
AT,h0033,0.4442414972048612,scr2009,avaConv,runOfRiver
AT,h0034,0.4442414972048612,scr2009,avaConv,runOfRiver
AT,h0035,0.4442414972048612,scr2009,avaConv,runOfRiver
AT,h0036,0.4442414972048612,scr2009,avaConv,runOfRiver
AT,h0037,0.4427780416744581,scr2009,avaConv,runOfRiver
AT,h0038,0.4413142022222012,scr2009,avaConv,runOfRiver
AT,h0039,0.4398499774823384,scr2009,avaConv,runOfRiver
AT,h0040,0.4398499774823384,scr2009,avaConv,runOfRiver
AT,h0041,0.4398499774823384,scr2009,avaConv,runOfRiver
AT,h0042,0.4398499774823384,scr2009,avaConv,runOfRiver
AT,h0043,0.4412169156251442,scr2009,avaConv,runOfRiver
AT,h0044,0.4425835179049016,scr2009,avaConv,runOfRiver
AT,h0045,0.44394978543354563,scr2009,avaConv,runOfRiver
AT,h0046,0.44394978543354563,scr2009,avaConv,runOfRiver
AT,h0047,0.44394978543354563,scr2009,avaConv,runOfRiver
AT,h0048,0.44394978543354563,scr2009,avaConv,runOfRiver
CH,h0001,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0002,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0003,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0004,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0005,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0006,0.4870408045230295,scr2009,avaConv,runOfRiver
CH,h0007,0.4891401284806241,scr2009,avaConv,runOfRiver
CH,h0008,0.4912391820619895,scr2009,avaConv,runOfRiver
CH,h0009,0.49333796646143296,scr2009,avaConv,runOfRiver
CH,h0010,0.49333796646143296,scr2009,avaConv,runOfRiver
CH,h0011,0.49333796646143296,scr2009,avaConv,runOfRiver
CH,h0012,0.49333796646143296,scr2009,avaConv,runOfRiver
CH,h0013,0.4925871952268461,scr2009,avaConv,runOfRiver
CH,h0014,0.49183638964204296,scr2009,avaConv,runOfRiver
CH,h0015,0.491085549652806,scr2009,avaConv,runOfRiver
CH,h0016,0.491085549652806,scr2009,avaConv,runOfRiver
CH,h0017,0.491085549652806,scr2009,avaConv,runOfRiver
CH,h0018,0.491085549652806,scr2009,avaConv,runOfRiver
CH,h0019,0.4908497092107154,scr2009,avaConv,runOfRiver
CH,h0020,0.49061386536742996,scr2009,avaConv,runOfRiver
CH,h0021,0.4903780181212593,scr2009,avaConv,runOfRiver
CH,h0022,0.4903780181212593,scr2009,avaConv,runOfRiver
CH,h0023,0.4903780181212593,scr2009,avaConv,runOfRiver
CH,h0024,0.4903780181212593,scr2009,avaConv,runOfRiver
CH,h0025,0.49170869969580194,scr2009,avaConv,runOfRiver
CH,h0026,0.49303927318601953,scr2009,avaConv,runOfRiver
CH,h0027,0.49436973889348895,scr2009,avaConv,runOfRiver
CH,h0028,0.49436973889348895,scr2009,avaConv,runOfRiver
CH,h0029,0.49436973889348895,scr2009,avaConv,runOfRiver
CH,h0030,0.49436973889348895,scr2009,avaConv,runOfRiver
CH,h0031,0.49654697716891844,scr2009,avaConv,runOfRiver
CH,h0032,0.4987239288527619,scr2009,avaConv,runOfRiver
CH,h0033,0.500900595238734,scr2009,avaConv,runOfRiver
CH,h0034,0.500900595238734,scr2009,avaConv,runOfRiver
CH,h0035,0.500900595238734,scr2009,avaConv,runOfRiver
CH,h0036,0.500900595238734,scr2009,avaConv,runOfRiver
CH,h0037,0.498938429567828,scr2009,avaConv,runOfRiver
CH,h0038,0.4969760321583589,scr2009,avaConv,runOfRiver
CH,h0039,0.4950134020638611,scr2009,avaConv,runOfRiver
CH,h0040,0.4950134020638611,scr2009,avaConv,runOfRiver
CH,h0041,0.4950134020638611,scr2009,avaConv,runOfRiver
CH,h0042,0.4950134020638611,scr2009,avaConv,runOfRiver
CH,h0043,0.4936651741406231,scr2009,avaConv,runOfRiver
CH,h0044,0.4923168356741097,scr2009,avaConv,runOfRiver
CH,h0045,0.49096838635126755,scr2009,avaConv,runOfRiver
CH,h0046,0.49096838635126755,scr2009,avaConv,runOfRiver
CH,h0047,0.49096838635126755,scr2009,avaConv,runOfRiver
CH,h0048,0.49096838635126755,scr2009,avaConv,runOfRiver
DE,h0001,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0002,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0003,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0004,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0005,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0006,0.4071253281901187,scr2009,avaConv,runOfRiver
DE,h0007,0.4109814256974702,scr2009,avaConv,runOfRiver
DE,h0008,0.41483385687744234,scr2009,avaConv,runOfRiver
DE,h0009,0.41868265974849306,scr2009,avaConv,runOfRiver
DE,h0010,0.41868265974849306,scr2009,avaConv,runOfRiver
DE,h0011,0.41868265974849306,scr2009,avaConv,runOfRiver
DE,h0012,0.41868265974849306,scr2009,avaConv,runOfRiver
DE,h0013,0.41729081537842094,scr2009,avaConv,runOfRiver
DE,h0014,0.4158984993574828,scr2009,avaConv,runOfRiver
DE,h0015,0.41450570991998736,scr2009,avaConv,runOfRiver
DE,h0016,0.41450570991998736,scr2009,avaConv,runOfRiver
DE,h0017,0.41450570991998736,scr2009,avaConv,runOfRiver
DE,h0018,0.41450570991998736,scr2009,avaConv,runOfRiver
DE,h0019,0.41406127846524543,scr2009,avaConv,runOfRiver
DE,h0020,0.41361679858937084,scr2009,avaConv,runOfRiver
DE,h0021,0.41317227023421665,scr2009,avaConv,runOfRiver
DE,h0022,0.41317227023421665,scr2009,avaConv,runOfRiver
DE,h0023,0.41317227023421665,scr2009,avaConv,runOfRiver
DE,h0024,0.41317227023421665,scr2009,avaConv,runOfRiver
DE,h0025,0.41560967292637485,scr2009,avaConv,runOfRiver
DE,h0026,0.4180456251982616,scr2009,avaConv,runOfRiver
DE,h0027,0.42048013649638527,scr2009,avaConv,runOfRiver
DE,h0028,0.42048013649638527,scr2009,avaConv,runOfRiver
DE,h0029,0.42048013649638527,scr2009,avaConv,runOfRiver
DE,h0030,0.42048013649638527,scr2009,avaConv,runOfRiver
DE,h0031,0.42447180252934624,scr2009,avaConv,runOfRiver
DE,h0032,0.4284596543464988,scr2009,avaConv,runOfRiver
DE,h0033,0.4324437316959018,scr2009,avaConv,runOfRiver
DE,h0034,0.4324437316959018,scr2009,avaConv,runOfRiver
