region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0049,0.09990843237384874,scr2014,avaConv,wind
AL,h0050,0.09661007743352032,scr2014,avaConv,wind
AL,h0051,0.10284151631324918,scr2014,avaConv,wind
AL,h0052,0.1509154458164952,scr2014,avaConv,wind
AL,h0053,0.2153589022723227,scr2014,avaConv,wind
AL,h0054,0.2991074703780008,scr2014,avaConv,wind
AL,h0055,0.25113606520584536,scr2014,avaConv,wind
AL,h0056,0.1697809225174749,scr2014,avaConv,wind
AL,h0057,0.05460265116817224,scr2014,avaConv,wind
AL,h0058,0.03867626593061825,scr2014,avaConv,wind
AL,h0059,0.02474945935427817,scr2014,avaConv,wind
AL,h0060,0.013840496284699272,scr2014,avaConv,wind
AL,h0061,0.013792366168959973,scr2014,avaConv,wind
AL,h0062,0.0167307877382704,scr2014,avaConv,wind
AL,h0063,0.023133635398732297,scr2014,avaConv,wind
AL,h0064,0.024391104025847193,scr2014,avaConv,wind
AL,h0065,0.027554558303171505,scr2014,avaConv,wind
AL,h0066,0.03128833897194522,scr2014,avaConv,wind
AL,h0067,0.07099375486507781,scr2014,avaConv,wind
AL,h0068,0.12653632236435264,scr2014,avaConv,wind
AL,h0069,0.20015781261675225,scr2014,avaConv,wind
AL,h0070,0.24957550314826413,scr2014,avaConv,wind
AL,h0071,0.2953068747297895,scr2014,avaConv,wind
AL,h0072,0.3329254421064912,scr2014,avaConv,wind
AL,h0073,0.2271692923506795,scr2014,avaConv,wind
AL,h0074,0.11263182955774396,scr2014,avaConv,wind
AL,h0075,0.0014628291782241068,scr2014,avaConv,wind
AL,h0076,0.0016676585959822074,scr2014,avaConv,wind
AL,h0077,0.0028679685123630745,scr2014,avaConv,wind
AL,h0078,0.004115715110534952,scr2014,avaConv,wind
AL,h0079,0.005726220383489897,scr2014,avaConv,wind
AL,h0080,0.005471633431982207,scr2014,avaConv,wind
AL,h0081,0.003618920447986015,scr2014,avaConv,wind
AL,h0082,0.001086062280143936,scr2014,avaConv,wind
AL,h0083,0.0,scr2014,avaConv,wind
AL,h0084,0.0,scr2014,avaConv,wind
AL,h0085,0.1821177606839545,scr2014,avaConv,wind
AL,h0086,0.387257077638951,scr2014,avaConv,wind
AL,h0087,0.6062461218244471,scr2014,avaConv,wind
AL,h0088,0.6220073993421044,scr2014,avaConv,wind
AL,h0089,0.6426770793538071,scr2014,avaConv,wind
AL,h0090,0.6618835816656576,scr2014,avaConv,wind
AL,h0091,0.433392772115897,scr2014,avaConv,wind
AL,h0092,0.20719692501487155,scr2014,avaConv,wind
AL,h0093,0.000638633788278495,scr2014,avaConv,wind
AL,h0094,0.0004966072240789049,scr2014,avaConv,wind
AL,h0095,0.000345407235958544,scr2014,avaConv,wind
AL,h0096,0.00022852823775869184,scr2014,avaConv,wind
AT,h0049,0.25560971491715595,scr2014,avaConv,wind
AT,h0050,0.32072066613254635,scr2014,avaConv,wind
AT,h0051,0.38072435547282735,scr2014,avaConv,wind
AT,h0052,0.3790208208395304,scr2014,avaConv,wind
AT,h0053,0.3818501377289419,scr2014,avaConv,wind
AT,h0054,0.3898980658795272,scr2014,avaConv,wind
AT,h0055,0.2726739750343941,scr2014,avaConv,wind
AT,h0056,0.15273626990597244,scr2014,avaConv,wind
AT,h0057,0.02951826814466132,scr2014,avaConv,wind
AT,h0058,0.03001991212610233,scr2014,avaConv,wind
AT,h0059,0.031195106370257856,scr2014,avaConv,wind
AT,h0060,0.0327084838061742,scr2014,avaConv,wind
AT,h0061,0.05531952542671821,scr2014,avaConv,wind
AT,h0062,0.06495515502030001,scr2014,avaConv,wind
AT,h0063,0.06636190637716054,scr2014,avaConv,wind
AT,h0064,0.040808821693586385,scr2014,avaConv,wind
AT,h0065,0.028019957206663216,scr2014,avaConv,wind
AT,h0066,0.027284211298491245,scr2014,avaConv,wind
AT,h0067,0.04483066417185681,scr2014,avaConv,wind
AT,h0068,0.06697214189780086,scr2014,avaConv,wind
AT,h0069,0.09213995449840227,scr2014,avaConv,wind
AT,h0070,0.11088517333874394,scr2014,avaConv,wind
AT,h0071,0.13593182742080973,scr2014,avaConv,wind
AT,h0072,0.16859287951362492,scr2014,avaConv,wind
AT,h0073,0.256399195893408,scr2014,avaConv,wind
AT,h0074,0.3326397857943123,scr2014,avaConv,wind
AT,h0075,0.39470098144879345,scr2014,avaConv,wind
AT,h0076,0.3945474773918214,scr2014,avaConv,wind
AT,h0077,0.39446899432406257,scr2014,avaConv,wind
AT,h0078,0.3949928251399724,scr2014,avaConv,wind
AT,h0079,0.34859125429456095,scr2014,avaConv,wind
AT,h0080,0.29980707878088264,scr2014,avaConv,wind
AT,h0081,0.24264816668158262,scr2014,avaConv,wind
AT,h0082,0.2335029831239061,scr2014,avaConv,wind
AT,h0083,0.23167758221191384,scr2014,avaConv,wind
AT,h0084,0.2635417632655798,scr2014,avaConv,wind
AT,h0085,0.2705737193590326,scr2014,avaConv,wind
AT,h0086,0.26941799115542503,scr2014,avaConv,wind
AT,h0087,0.23742584357226576,scr2014,avaConv,wind
AT,h0088,0.22583901665212794,scr2014,avaConv,wind
AT,h0089,0.21337735319983805,scr2014,avaConv,wind
AT,h0090,0.2037317130486974,scr2014,avaConv,wind
AT,h0091,0.1399726131490342,scr2014,avaConv,wind
AT,h0092,0.08090782387136032,scr2014,avaConv,wind
AT,h0093,0.02265458264255886,scr2014,avaConv,wind
AT,h0094,0.021353351723073313,scr2014,avaConv,wind
AT,h0095,0.018452317798754326,scr2014,avaConv,wind
AT,h0096,0.014486966224562805,scr2014,avaConv,wind
BA,h0049,0.12387262268468874,scr2014,avaConv,wind
BA,h0050,0.15139464607823358,scr2014,avaConv,wind
BA,h0051,0.16915487865087886,scr2014,avaConv,wind
BA,h0052,0.14803656253230893,scr2014,avaConv,wind
BA,h0053,0.1263956948089121,scr2014,avaConv,wind
BA,h0054,0.10670335008252449,scr2014,avaConv,wind
BA,h0055,0.07090488843902307,scr2014,avaConv,wind
BA,h0056,0.040663111085644195,scr2014,avaConv,wind
BA,h0057,0.013505265886309013,scr2014,avaConv,wind
BA,h0058,0.010072657139439124,scr2014,avaConv,wind
BA,h0059,0.007184947048752415,scr2014,avaConv,wind
BA,h0060,0.005101109191763596,scr2014,avaConv,wind
BA,h0061,0.005963531940155798,scr2014,avaConv,wind
BA,h0062,0.007331440961194544,scr2014,avaConv,wind
BA,h0063,0.008327262606887953,scr2014,avaConv,wind
BA,h0064,0.0065139253485344386,scr2014,avaConv,wind
BA,h0065,0.004924218528535453,scr2014,avaConv,wind
BA,h0066,0.00393096174640849,scr2014,avaConv,wind
BA,h0067,0.15834720234126765,scr2014,avaConv,wind
BA,h0068,0.3305948309895448,scr2014,avaConv,wind
BA,h0069,0.5087762809651125,scr2014,avaConv,wind
BA,h0070,0.5384910093315964,scr2014,avaConv,wind
BA,h0071,0.5436033639285975,scr2014,avaConv,wind
BA,h0072,0.5272375082044637,scr2014,avaConv,wind
BA,h0073,0.35428375885539465,scr2014,avaConv,wind
BA,h0074,0.185860557205795,scr2014,avaConv,wind
BA,h0075,0.03155147265986001,scr2014,avaConv,wind
BA,h0076,0.032738656963518645,scr2014,avaConv,wind
BA,h0077,0.03368183092807265,scr2014,avaConv,wind
BA,h0078,0.03378999967507264,scr2014,avaConv,wind
BA,h0079,0.03646657606972692,scr2014,avaConv,wind
BA,h0080,0.04078845388612758,scr2014,avaConv,wind
BA,h0081,0.04535399977594805,scr2014,avaConv,wind
BA,h0082,0.04893857895485954,scr2014,avaConv,wind
BA,h0083,0.05129977338010279,scr2014,avaConv,wind
BA,h0084,0.05312811520493089,scr2014,avaConv,wind
BA,h0085,0.12849444027015317,scr2014,avaConv,wind
BA,h0086,0.20146258308323708,scr2014,avaConv,wind
BA,h0087,0.27208009871266203,scr2014,avaConv,wind
BA,h0088,0.2675572959152321,scr2014,avaConv,wind
BA,h0089,0.26233860122313946,scr2014,avaConv,wind
BA,h0090,0.25445177775579164,scr2014,avaConv,wind
BA,h0091,0.1672597759591968,scr2014,avaConv,wind
BA,h0092,0.08162711206193018,scr2014,avaConv,wind
BA,h0093,0.00010567791733958474,scr2014,avaConv,wind
BA,h0094,0.00017528511622313535,scr2014,avaConv,wind
BA,h0095,0.0002128520648262429,scr2014,avaConv,wind
BA,h0096,0.0002489633499724002,scr2014,avaConv,wind
BE,h0049,0.9655056256405654,scr2014,avaConv,wind
BE,h0050,0.9779487488581333,scr2014,avaConv,wind
BE,h0051,0.9847270509624618,scr2014,avaConv,wind
BE,h0052,0.987591859065353,scr2014,avaConv,wind
BE,h0053,0.9893465635904621,scr2014,avaConv,wind
BE,h0054,0.9888957344652252,scr2014,avaConv,wind
BE,h0055,0.777350626432939,scr2014,avaConv,wind
BE,h0056,0.5636213086810392,scr2014,avaConv,wind
BE,h0057,0.33817120978675613,scr2014,avaConv,wind
BE,h0058,0.2927052404002027,scr2014,avaConv,wind
BE,h0059,0.2395289125132901,scr2014,avaConv,wind
BE,h0060,0.19448205705965144,scr2014,avaConv,wind
BE,h0061,0.4031459945077557,scr2014,avaConv,wind
BE,h0062,0.6447470813213948,scr2014,avaConv,wind
BE,h0063,0.9112967699235548,scr2014,avaConv,wind
