region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h1441,0.0,scr1996,avaConv,solar
AL,h1442,0.0,scr1996,avaConv,solar
AL,h1443,0.0,scr1996,avaConv,solar
AL,h1444,0.0,scr1996,avaConv,solar
AL,h1445,0.0,scr1996,avaConv,solar
AL,h1446,0.003387329967054057,scr1996,avaConv,solar
AL,h1447,0.038919110884613264,scr1996,avaConv,solar
AL,h1448,0.11540211792024213,scr1996,avaConv,solar
AL,h1449,0.22498016286217107,scr1996,avaConv,solar
AL,h1450,0.3509903058083113,scr1996,avaConv,solar
AL,h1451,0.4518375885606097,scr1996,avaConv,solar
AL,h1452,0.5309984869203885,scr1996,avaConv,solar
AL,h1453,0.5399384015944989,scr1996,avaConv,solar
AL,h1454,0.5066835409783378,scr1996,avaConv,solar
AL,h1455,0.4227423464392265,scr1996,avaConv,solar
AL,h1456,0.265330735258814,scr1996,avaConv,solar
AL,h1457,0.11976031720376597,scr1996,avaConv,solar
AL,h1458,0.015887330077096723,scr1996,avaConv,solar
AL,h1459,0.0,scr1996,avaConv,solar
AL,h1460,0.0,scr1996,avaConv,solar
AL,h1461,0.0,scr1996,avaConv,solar
AL,h1462,0.0,scr1996,avaConv,solar
AL,h1463,0.0,scr1996,avaConv,solar
AL,h1464,0.0,scr1996,avaConv,solar
AL,h1465,0.0,scr1996,avaConv,solar
AL,h1466,0.0,scr1996,avaConv,solar
AL,h1467,0.0,scr1996,avaConv,solar
AL,h1468,0.0,scr1996,avaConv,solar
AL,h1469,0.0,scr1996,avaConv,solar
AL,h1470,0.004646705872388294,scr1996,avaConv,solar
AL,h1471,0.041990779054075784,scr1996,avaConv,solar
AL,h1472,0.11751245891979399,scr1996,avaConv,solar
AL,h1473,0.22591294221106262,scr1996,avaConv,solar
AL,h1474,0.32302130467457874,scr1996,avaConv,solar
AL,h1475,0.3993091044999794,scr1996,avaConv,solar
AL,h1476,0.4162046166440786,scr1996,avaConv,solar
AL,h1477,0.37581290552327834,scr1996,avaConv,solar
AL,h1478,0.3012341897914029,scr1996,avaConv,solar
AL,h1479,0.22957496517204995,scr1996,avaConv,solar
AL,h1480,0.14195661467865697,scr1996,avaConv,solar
AL,h1481,0.06405847924190798,scr1996,avaConv,solar
AL,h1482,0.008413205468908445,scr1996,avaConv,solar
AL,h1483,0.0,scr1996,avaConv,solar
AL,h1484,0.0,scr1996,avaConv,solar
AL,h1485,0.0,scr1996,avaConv,solar
AL,h1486,0.0,scr1996,avaConv,solar
AL,h1487,0.0,scr1996,avaConv,solar
AL,h1488,0.0,scr1996,avaConv,solar
AL,h1489,0.0,scr1996,avaConv,solar
AL,h1490,0.0,scr1996,avaConv,solar
AL,h1491,0.0,scr1996,avaConv,solar
AL,h1492,0.0,scr1996,avaConv,solar
AL,h1493,0.0,scr1996,avaConv,solar
AL,h1494,0.00294355801103213,scr1996,avaConv,solar
AL,h1495,0.02753673680715978,scr1996,avaConv,solar
AL,h1496,0.07520983222347839,scr1996,avaConv,solar
AL,h1497,0.15682233406865226,scr1996,avaConv,solar
AL,h1498,0.266042575778615,scr1996,avaConv,solar
AL,h1499,0.36196715684815706,scr1996,avaConv,solar
AL,h1500,0.4442914181021052,scr1996,avaConv,solar
AL,h1501,0.4684878818034117,scr1996,avaConv,solar
AL,h1502,0.4684641019864297,scr1996,avaConv,solar
AL,h1503,0.41642619450927976,scr1996,avaConv,solar
AL,h1504,0.2751473441559287,scr1996,avaConv,solar
AL,h1505,0.13037006686681593,scr1996,avaConv,solar
AL,h1506,0.01922589682008048,scr1996,avaConv,solar
AL,h1507,0.0,scr1996,avaConv,solar
AL,h1508,0.0,scr1996,avaConv,solar
AL,h1509,0.0,scr1996,avaConv,solar
AL,h1510,0.0,scr1996,avaConv,solar
AL,h1511,0.0,scr1996,avaConv,solar
AL,h1512,0.0,scr1996,avaConv,solar
AL,h1513,0.0,scr1996,avaConv,solar
AL,h1514,0.0,scr1996,avaConv,solar
AL,h1515,0.0,scr1996,avaConv,solar
AL,h1516,0.0,scr1996,avaConv,solar
AL,h1517,0.0,scr1996,avaConv,solar
AL,h1518,0.00831699135658856,scr1996,avaConv,solar
AL,h1519,0.06367512157525528,scr1996,avaConv,solar
AL,h1520,0.16121610789519492,scr1996,avaConv,solar
AL,h1521,0.2845072151422707,scr1996,avaConv,solar
AL,h1522,0.3938309970177933,scr1996,avaConv,solar
AL,h1523,0.4808258225284326,scr1996,avaConv,solar
AL,h1524,0.5434185269246071,scr1996,avaConv,solar
AL,h1525,0.5618478373316034,scr1996,avaConv,solar
AL,h1526,0.5406688021786067,scr1996,avaConv,solar
AL,h1527,0.4813421216293673,scr1996,avaConv,solar
AL,h1528,0.3177111692100675,scr1996,avaConv,solar
AL,h1529,0.15255556338688725,scr1996,avaConv,solar
AL,h1530,0.022536768892877625,scr1996,avaConv,solar
AL,h1531,0.0,scr1996,avaConv,solar
AL,h1532,0.0,scr1996,avaConv,solar
AL,h1533,0.0,scr1996,avaConv,solar
AL,h1534,0.0,scr1996,avaConv,solar
AL,h1535,0.0,scr1996,avaConv,solar
AL,h1536,0.0,scr1996,avaConv,solar
AL,h1537,0.0,scr1996,avaConv,solar
AL,h1538,0.0,scr1996,avaConv,solar
AL,h1539,0.0,scr1996,avaConv,solar
AL,h1540,0.0,scr1996,avaConv,solar
AL,h1541,0.0,scr1996,avaConv,solar
AL,h1542,0.0036756983549998037,scr1996,avaConv,solar
AL,h1543,0.02652836150721101,scr1996,avaConv,solar
AL,h1544,0.0704595635042085,scr1996,avaConv,solar
AL,h1545,0.14156048717247247,scr1996,avaConv,solar
AL,h1546,0.21051686057124191,scr1996,avaConv,solar
AL,h1547,0.27845060990065523,scr1996,avaConv,solar
