region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h7297,0.27224357261874615,scr2007,avaConv,wind
AL,h7298,0.2273621858716492,scr2007,avaConv,wind
AL,h7299,0.18095012833712218,scr2007,avaConv,wind
AL,h7300,0.13728247346824946,scr2007,avaConv,wind
AL,h7301,0.10129263806719145,scr2007,avaConv,wind
AL,h7302,0.07554026859940316,scr2007,avaConv,wind
AL,h7303,0.06139919344082934,scr2007,avaConv,wind
AL,h7304,0.05600232958772879,scr2007,avaConv,wind
AL,h7305,0.056080087201216815,scr2007,avaConv,wind
AL,h7306,0.06024761339606651,scr2007,avaConv,wind
AL,h7307,0.066823638995294,scr2007,avaConv,wind
AL,h7308,0.07550970302394476,scr2007,avaConv,wind
AL,h7309,0.08497202778431538,scr2007,avaConv,wind
AL,h7310,0.0944028938083468,scr2007,avaConv,wind
AL,h7311,0.10210885273394457,scr2007,avaConv,wind
AL,h7312,0.10751070039112592,scr2007,avaConv,wind
AL,h7313,0.11146507625613106,scr2007,avaConv,wind
AL,h7314,0.11509908596611378,scr2007,avaConv,wind
AL,h7315,0.11835296089153585,scr2007,avaConv,wind
AL,h7316,0.12018702074572765,scr2007,avaConv,wind
AL,h7317,0.11989973218227745,scr2007,avaConv,wind
AL,h7318,0.11739984952899561,scr2007,avaConv,wind
AL,h7319,0.1137564669720335,scr2007,avaConv,wind
AL,h7320,0.10999990463188718,scr2007,avaConv,wind
AL,h7321,0.1069730157510028,scr2007,avaConv,wind
AL,h7322,0.10433964386621675,scr2007,avaConv,wind
AL,h7323,0.10120809443270481,scr2007,avaConv,wind
AL,h7324,0.09680171311746551,scr2007,avaConv,wind
AL,h7325,0.09042665586149835,scr2007,avaConv,wind
AL,h7326,0.08216613248369768,scr2007,avaConv,wind
AL,h7327,0.07242411397028506,scr2007,avaConv,wind
AL,h7328,0.06226428049242886,scr2007,avaConv,wind
AL,h7329,0.05143867734867573,scr2007,avaConv,wind
AL,h7330,0.039778225682428454,scr2007,avaConv,wind
