region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0289,1.211443710717287,scr1998,stInflow,reservoir
AT,h0290,1.211443710717287,scr1998,stInflow,reservoir
AT,h0291,1.211443710717287,scr1998,stInflow,reservoir
AT,h0292,1.211443710717287,scr1998,stInflow,reservoir
AT,h0293,1.211443710717287,scr1998,stInflow,reservoir
AT,h0294,1.211443710717287,scr1998,stInflow,reservoir
AT,h0295,1.1822447686448412,scr1998,stInflow,reservoir
AT,h0296,1.153053038782604,scr1998,stInflow,reservoir
AT,h0297,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0298,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0299,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0300,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0301,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0302,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0303,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0304,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0305,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0306,1.1238687001245082,scr1998,stInflow,reservoir
AT,h0307,1.1114095117416452,scr1998,stInflow,reservoir
AT,h0308,1.098951720307389,scr1998,stInflow,reservoir
AT,h0309,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0310,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0311,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0312,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0313,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0314,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0315,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0316,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0317,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0318,1.0864953413455511,scr1998,stInflow,reservoir
AT,h0319,1.1825370170593006,scr1998,stInflow,reservoir
AT,h0320,1.278656861907904,scr1998,stInflow,reservoir
AT,h0321,1.374849099891966,scr1998,stInflow,reservoir
AT,h0322,1.374849099891966,scr1998,stInflow,reservoir
AT,h0323,1.374849099891966,scr1998,stInflow,reservoir
AT,h0324,1.374849099891966,scr1998,stInflow,reservoir
AT,h0325,1.374849099891966,scr1998,stInflow,reservoir
AT,h0326,1.374849099891966,scr1998,stInflow,reservoir
AT,h0327,1.374849099891966,scr1998,stInflow,reservoir
AT,h0328,1.374849099891966,scr1998,stInflow,reservoir
AT,h0329,1.374849099891966,scr1998,stInflow,reservoir
AT,h0330,1.374849099891966,scr1998,stInflow,reservoir
AT,h0331,1.374849099891966,scr1998,stInflow,reservoir
AT,h0332,1.374849099891966,scr1998,stInflow,reservoir
AT,h0333,1.374849099891966,scr1998,stInflow,reservoir
AT,h0334,1.374849099891966,scr1998,stInflow,reservoir
AT,h0335,1.374849099891966,scr1998,stInflow,reservoir
AT,h0336,1.374849099891966,scr1998,stInflow,reservoir
BG,h0289,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0290,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0291,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0292,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0293,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0294,0.41168197407809876,scr1998,stInflow,reservoir
BG,h0295,0.4362902718943636,scr1998,stInflow,reservoir
BG,h0296,0.4609123541704259,scr1998,stInflow,reservoir
BG,h0297,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0298,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0299,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0300,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0301,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0302,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0303,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0304,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0305,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0306,0.48554750356345294,scr1998,stInflow,reservoir
BG,h0307,0.4804364257302519,scr1998,stInflow,reservoir
BG,h0308,0.4753258876558591,scr1998,stInflow,reservoir
BG,h0309,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0310,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0311,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0312,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0313,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0314,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0315,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0316,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0317,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0318,0.4702158949861323,scr1998,stInflow,reservoir
BG,h0319,0.448553674432338,scr1998,stInflow,reservoir
BG,h0320,0.4269018333604459,scr1998,stInflow,reservoir
BG,h0321,0.405260883696106,scr1998,stInflow,reservoir
BG,h0322,0.405260883696106,scr1998,stInflow,reservoir
BG,h0323,0.405260883696106,scr1998,stInflow,reservoir
BG,h0324,0.405260883696106,scr1998,stInflow,reservoir
BG,h0325,0.405260883696106,scr1998,stInflow,reservoir
BG,h0326,0.405260883696106,scr1998,stInflow,reservoir
BG,h0327,0.405260883696106,scr1998,stInflow,reservoir
BG,h0328,0.405260883696106,scr1998,stInflow,reservoir
BG,h0329,0.405260883696106,scr1998,stInflow,reservoir
BG,h0330,0.405260883696106,scr1998,stInflow,reservoir
BG,h0331,0.405260883696106,scr1998,stInflow,reservoir
BG,h0332,0.405260883696106,scr1998,stInflow,reservoir
BG,h0333,0.405260883696106,scr1998,stInflow,reservoir
BG,h0334,0.405260883696106,scr1998,stInflow,reservoir
BG,h0335,0.405260883696106,scr1998,stInflow,reservoir
BG,h0336,0.405260883696106,scr1998,stInflow,reservoir
CH,h0289,2.271468682635561,scr1998,stInflow,reservoir
CH,h0290,2.271468682635561,scr1998,stInflow,reservoir
CH,h0291,2.271468682635561,scr1998,stInflow,reservoir
CH,h0292,2.271468682635561,scr1998,stInflow,reservoir
CH,h0293,2.271468682635561,scr1998,stInflow,reservoir
CH,h0294,2.271468682635561,scr1998,stInflow,reservoir
CH,h0295,2.2594930387133747,scr1998,stInflow,reservoir
CH,h0296,2.247518645328551,scr1998,stInflow,reservoir
CH,h0297,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0298,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0299,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0300,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0301,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0302,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0303,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0304,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0305,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0306,2.2355455088805636,scr1998,stInflow,reservoir
CH,h0307,2.203460795037179,scr1998,stInflow,reservoir
CH,h0308,2.1713852843040633,scr1998,stInflow,reservoir
CH,h0309,2.139319107242485,scr1998,stInflow,reservoir
CH,h0310,2.139319107242485,scr1998,stInflow,reservoir
CH,h0311,2.139319107242485,scr1998,stInflow,reservoir
CH,h0312,2.139319107242485,scr1998,stInflow,reservoir
CH,h0313,2.139319107242485,scr1998,stInflow,reservoir
CH,h0314,2.139319107242485,scr1998,stInflow,reservoir
CH,h0315,2.139319107242485,scr1998,stInflow,reservoir
CH,h0316,2.139319107242485,scr1998,stInflow,reservoir
CH,h0317,2.139319107242485,scr1998,stInflow,reservoir
CH,h0318,2.139319107242485,scr1998,stInflow,reservoir
CH,h0319,2.4245915121158808,scr1998,stInflow,reservoir
CH,h0320,2.7105283077652027,scr1998,stInflow,reservoir
CH,h0321,2.9970617689318173,scr1998,stInflow,reservoir
CH,h0322,2.9970617689318173,scr1998,stInflow,reservoir
CH,h0323,2.9970617689318173,scr1998,stInflow,reservoir
