region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0001,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0002,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0003,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0004,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0005,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0006,0.5854606349256746,scr2004,avaConv,runOfRiver
AT,h0007,0.5882442906284044,scr2004,avaConv,runOfRiver
AT,h0008,0.5910291168003905,scr2004,avaConv,runOfRiver
AT,h0009,0.5938151084945068,scr2004,avaConv,runOfRiver
AT,h0010,0.5938151084945068,scr2004,avaConv,runOfRiver
AT,h0011,0.5938151084945068,scr2004,avaConv,runOfRiver
AT,h0012,0.5938151084945068,scr2004,avaConv,runOfRiver
AT,h0013,0.6012633966194229,scr2004,avaConv,runOfRiver
AT,h0014,0.6087198757712662,scr2004,avaConv,runOfRiver
AT,h0015,0.6161844560765891,scr2004,avaConv,runOfRiver
AT,h0016,0.6161844560765891,scr2004,avaConv,runOfRiver
AT,h0017,0.6161844560765891,scr2004,avaConv,runOfRiver
AT,h0018,0.6161844560765891,scr2004,avaConv,runOfRiver
AT,h0019,0.6232218861722211,scr2004,avaConv,runOfRiver
AT,h0020,0.630266352123094,scr2004,avaConv,runOfRiver
AT,h0021,0.6373177836696899,scr2004,avaConv,runOfRiver
AT,h0022,0.6373177836696899,scr2004,avaConv,runOfRiver
AT,h0023,0.6373177836696899,scr2004,avaConv,runOfRiver
AT,h0024,0.6373177836696899,scr2004,avaConv,runOfRiver
AT,h0025,0.6450493983913407,scr2004,avaConv,runOfRiver
AT,h0026,0.6527891992010962,scr2004,avaConv,runOfRiver
AT,h0027,0.6605370995846392,scr2004,avaConv,runOfRiver
AT,h0028,0.6605370995846392,scr2004,avaConv,runOfRiver
AT,h0029,0.6605370995846392,scr2004,avaConv,runOfRiver
AT,h0030,0.6605370995846392,scr2004,avaConv,runOfRiver
AT,h0031,0.6635733798773367,scr2004,avaConv,runOfRiver
AT,h0032,0.666610884255547,scr2004,avaConv,runOfRiver
AT,h0033,0.6696496077577693,scr2004,avaConv,runOfRiver
AT,h0034,0.6696496077577693,scr2004,avaConv,runOfRiver
AT,h0035,0.6696496077577693,scr2004,avaConv,runOfRiver
AT,h0036,0.6696496077577693,scr2004,avaConv,runOfRiver
AT,h0037,0.6708825971264171,scr2004,avaConv,runOfRiver
AT,h0038,0.6721157859629207,scr2004,avaConv,runOfRiver
AT,h0039,0.6733491739419861,scr2004,avaConv,runOfRiver
AT,h0040,0.6733491739419861,scr2004,avaConv,runOfRiver
AT,h0041,0.6733491739419861,scr2004,avaConv,runOfRiver
AT,h0042,0.6733491739419861,scr2004,avaConv,runOfRiver
AT,h0043,0.6754868555726478,scr2004,avaConv,runOfRiver
AT,h0044,0.6776251324942463,scr2004,avaConv,runOfRiver
AT,h0045,0.6797640030378261,scr2004,avaConv,runOfRiver
AT,h0046,0.6797640030378261,scr2004,avaConv,runOfRiver
AT,h0047,0.6797640030378261,scr2004,avaConv,runOfRiver
AT,h0048,0.6797640030378261,scr2004,avaConv,runOfRiver
CH,h0001,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0002,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0003,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0004,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0005,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0006,0.5109876846496708,scr2004,avaConv,runOfRiver
CH,h0007,0.5121747468100711,scr2004,avaConv,runOfRiver
CH,h0008,0.5133618637083193,scr2004,avaConv,runOfRiver
CH,h0009,0.5145490352216449,scr2004,avaConv,runOfRiver
CH,h0010,0.5145490352216449,scr2004,avaConv,runOfRiver
