region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h4321,0.0,scr1996,avaConv,solar
AL,h4322,0.0,scr1996,avaConv,solar
AL,h4323,0.0,scr1996,avaConv,solar
AL,h4324,0.0011962615887178695,scr1996,avaConv,solar
AL,h4325,0.039181182534992004,scr1996,avaConv,solar
AL,h4326,0.12160576978253956,scr1996,avaConv,solar
AL,h4327,0.24816405391486462,scr1996,avaConv,solar
AL,h4328,0.3788581330509512,scr1996,avaConv,solar
AL,h4329,0.5016110897996903,scr1996,avaConv,solar
AL,h4330,0.6067161064497286,scr1996,avaConv,solar
AL,h4331,0.6801106372667619,scr1996,avaConv,solar
AL,h4332,0.7098173598385619,scr1996,avaConv,solar
AL,h4333,0.6872894760625484,scr1996,avaConv,solar
AL,h4334,0.6127410810395776,scr1996,avaConv,solar
AL,h4335,0.4889069098581951,scr1996,avaConv,solar
AL,h4336,0.3149744252433657,scr1996,avaConv,solar
AL,h4337,0.14664184270229785,scr1996,avaConv,solar
AL,h4338,0.050565468220675196,scr1996,avaConv,solar
AL,h4339,0.014484077812547165,scr1996,avaConv,solar
AL,h4340,0.012923187822261853,scr1996,avaConv,solar
AL,h4341,0.0,scr1996,avaConv,solar
AL,h4342,0.0,scr1996,avaConv,solar
AL,h4343,0.0,scr1996,avaConv,solar
AL,h4344,0.0,scr1996,avaConv,solar
AL,h4345,0.0,scr1996,avaConv,solar
AL,h4346,0.0,scr1996,avaConv,solar
AL,h4347,0.0,scr1996,avaConv,solar
AL,h4348,0.0012220459781965252,scr1996,avaConv,solar
AL,h4349,0.03991024951879864,scr1996,avaConv,solar
AL,h4350,0.12345769559118608,scr1996,avaConv,solar
AL,h4351,0.2517894049113179,scr1996,avaConv,solar
AL,h4352,0.38377314390199485,scr1996,avaConv,solar
AL,h4353,0.5077099014909743,scr1996,avaConv,solar
AL,h4354,0.6134503819338352,scr1996,avaConv,solar
AL,h4355,0.6865364167517815,scr1996,avaConv,solar
AL,h4356,0.7154251225627108,scr1996,avaConv,solar
AL,h4357,0.6915477742819036,scr1996,avaConv,solar
AL,h4358,0.6160632737669329,scr1996,avaConv,solar
AL,h4359,0.4913660327866722,scr1996,avaConv,solar
AL,h4360,0.31658032594436286,scr1996,avaConv,solar
AL,h4361,0.1474159447639939,scr1996,avaConv,solar
AL,h4362,0.05013059092831792,scr1996,avaConv,solar
AL,h4363,0.013865140001675526,scr1996,avaConv,solar
AL,h4364,0.012352534219873751,scr1996,avaConv,solar
AL,h4365,0.0,scr1996,avaConv,solar
AL,h4366,0.0,scr1996,avaConv,solar
AL,h4367,0.0,scr1996,avaConv,solar
AL,h4368,0.0,scr1996,avaConv,solar
AL,h4369,0.0,scr1996,avaConv,solar
AL,h4370,0.0,scr1996,avaConv,solar
AL,h4371,0.0,scr1996,avaConv,solar
