region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h1441,0.29806487512682184,scr2008,avaConv,wind
AL,h1442,0.27775141093181244,scr2008,avaConv,wind
AL,h1443,0.2578444378341422,scr2008,avaConv,wind
AL,h1444,0.24045597555895576,scr2008,avaConv,wind
AL,h1445,0.22659663941790645,scr2008,avaConv,wind
AL,h1446,0.21654046872120952,scr2008,avaConv,wind
AL,h1447,0.2086665736702,scr2008,avaConv,wind
AL,h1448,0.2004305268285841,scr2008,avaConv,wind
AL,h1449,0.18699965072918603,scr2008,avaConv,wind
AL,h1450,0.16723626568582528,scr2008,avaConv,wind
AL,h1451,0.14326815371897528,scr2008,avaConv,wind
AL,h1452,0.11959849510277283,scr2008,avaConv,wind
AL,h1453,0.09863855508869324,scr2008,avaConv,wind
AL,h1454,0.08051299071156708,scr2008,avaConv,wind
AL,h1455,0.06594975396989332,scr2008,avaConv,wind
AL,h1456,0.0543525426261462,scr2008,avaConv,wind
AL,h1457,0.0459817598448329,scr2008,avaConv,wind
AL,h1458,0.039462491153695954,scr2008,avaConv,wind
AL,h1459,0.03466074523441611,scr2008,avaConv,wind
AL,h1460,0.03154197386901286,scr2008,avaConv,wind
AL,h1461,0.03078880159569708,scr2008,avaConv,wind
AL,h1462,0.031278993419782714,scr2008,avaConv,wind
AL,h1463,0.03152952844154355,scr2008,avaConv,wind
AL,h1464,0.03009283081265132,scr2008,avaConv,wind
AL,h1465,0.027384873790793803,scr2008,avaConv,wind
AL,h1466,0.023818968317077926,scr2008,avaConv,wind
AL,h1467,0.020145606275332125,scr2008,avaConv,wind
AL,h1468,0.017419189992429522,scr2008,avaConv,wind
AL,h1469,0.016776353739326642,scr2008,avaConv,wind
AL,h1470,0.01879632813160857,scr2008,avaConv,wind
AL,h1471,0.023274420501212117,scr2008,avaConv,wind
AL,h1472,0.030313415730670267,scr2008,avaConv,wind
AL,h1473,0.039049707830581995,scr2008,avaConv,wind
AL,h1474,0.04888214809675757,scr2008,avaConv,wind
AL,h1475,0.0585251329663289,scr2008,avaConv,wind
AL,h1476,0.06729518977248267,scr2008,avaConv,wind
AL,h1477,0.07424432273354792,scr2008,avaConv,wind
AL,h1478,0.0768857684176271,scr2008,avaConv,wind
AL,h1479,0.07446613135994148,scr2008,avaConv,wind
AL,h1480,0.06777065485466094,scr2008,avaConv,wind
AL,h1481,0.060016481940357934,scr2008,avaConv,wind
AL,h1482,0.05330556846899606,scr2008,avaConv,wind
AL,h1483,0.04931024800196439,scr2008,avaConv,wind
AL,h1484,0.04872009932750613,scr2008,avaConv,wind
AL,h1485,0.05198536347861012,scr2008,avaConv,wind
AL,h1486,0.05836383244875745,scr2008,avaConv,wind
