region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0169,4.2550375240811515,scr2084,dem,electricity
AL,h0170,2.9315739251020707,scr2084,dem,electricity
AL,h0171,1.7012529884537737,scr2084,dem,electricity
AL,h0172,1.6817955140788836,scr2084,dem,electricity
AL,h0173,1.6830418312740154,scr2084,dem,electricity
AL,h0174,1.7205149855602084,scr2084,dem,electricity
AL,h0175,2.1958737340527703,scr2084,dem,electricity
AL,h0176,2.7050211630870624,scr2084,dem,electricity
AL,h0177,3.1919120356792954,scr2084,dem,electricity
AL,h0178,3.1699807547858025,scr2084,dem,electricity
AL,h0179,3.0822879059475152,scr2084,dem,electricity
AL,h0180,2.972294655115128,scr2084,dem,electricity
AL,h0181,2.3841421169994703,scr2084,dem,electricity
AL,h0182,1.8442256822082517,scr2084,dem,electricity
AL,h0183,1.360045653387495,scr2084,dem,electricity
AL,h0184,1.355753937599917,scr2084,dem,electricity
AL,h0185,1.3972412693198302,scr2084,dem,electricity
AL,h0186,1.450383425978851,scr2084,dem,electricity
AL,h0187,1.671722811849288,scr2084,dem,electricity
AL,h0188,1.8540284209648743,scr2084,dem,electricity
AL,h0189,2.056424867212787,scr2084,dem,electricity
AL,h0190,2.0623851611002433,scr2084,dem,electricity
AL,h0191,2.0621761292003296,scr2084,dem,electricity
AL,h0192,2.022692336106367,scr2084,dem,electricity
AL,h0193,2.2853817443437237,scr2084,dem,electricity
AL,h0194,2.5791108826190383,scr2084,dem,electricity
AL,h0195,2.897495325988414,scr2084,dem,electricity
AL,h0196,2.9152174451016863,scr2084,dem,electricity
AL,h0197,2.9608621033007463,scr2084,dem,electricity
AL,h0198,3.0632117164937904,scr2084,dem,electricity
AL,h0199,3.302550481490477,scr2084,dem,electricity
AL,h0200,3.532913196071318,scr2084,dem,electricity
AL,h0201,3.683126203123863,scr2084,dem,electricity
AL,h0202,3.6334245807149887,scr2084,dem,electricity
AL,h0203,3.5094217219039123,scr2084,dem,electricity
AL,h0204,3.363705557658,scr2084,dem,electricity
AL,h0205,2.8645491553820053,scr2084,dem,electricity
AL,h0206,2.411951278064816,scr2084,dem,electricity
AL,h0207,2.0191337056124246,scr2084,dem,electricity
AL,h0208,2.0394455985016853,scr2084,dem,electricity
AL,h0209,2.142759244380593,scr2084,dem,electricity
