region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.0,scr2090,avaConv,solar
AL,h0002,0.0,scr2090,avaConv,solar
AL,h0003,0.0,scr2090,avaConv,solar
AL,h0004,0.0,scr2090,avaConv,solar
AL,h0005,0.0,scr2090,avaConv,solar
AL,h0006,0.0,scr2090,avaConv,solar
AL,h0007,0.005966510051825922,scr2090,avaConv,solar
AL,h0008,0.051134258309933775,scr2090,avaConv,solar
AL,h0009,0.14327577447941134,scr2090,avaConv,solar
AL,h0010,0.26130567656575276,scr2090,avaConv,solar
AL,h0011,0.3524463600126695,scr2090,avaConv,solar
AL,h0012,0.39690265026007227,scr2090,avaConv,solar
AL,h0013,0.34700262013068256,scr2090,avaConv,solar
AL,h0014,0.30980118249651895,scr2090,avaConv,solar
AL,h0015,0.17889749879018474,scr2090,avaConv,solar
AL,h0016,0.10093301812895984,scr2090,avaConv,solar
AL,h0017,0.008450369364851572,scr2090,avaConv,solar
AL,h0018,0.0,scr2090,avaConv,solar
AL,h0019,0.0,scr2090,avaConv,solar
AL,h0020,0.0,scr2090,avaConv,solar
AL,h0021,0.0,scr2090,avaConv,solar
AL,h0022,0.0,scr2090,avaConv,solar
AL,h0023,0.0,scr2090,avaConv,solar
AL,h0024,0.0,scr2090,avaConv,solar
AL,h0025,0.0,scr2090,avaConv,solar
AL,h0026,0.0,scr2090,avaConv,solar
AL,h0027,0.0,scr2090,avaConv,solar
AL,h0028,0.0,scr2090,avaConv,solar
AL,h0029,0.0,scr2090,avaConv,solar
AL,h0030,0.0,scr2090,avaConv,solar
AL,h0031,0.009570427455433706,scr2090,avaConv,solar
AL,h0032,0.06091497554750479,scr2090,avaConv,solar
AL,h0033,0.16453268647748545,scr2090,avaConv,solar
AL,h0034,0.28432078835254004,scr2090,avaConv,solar
AL,h0035,0.3713782719837812,scr2090,avaConv,solar
AL,h0036,0.4201661747642163,scr2090,avaConv,solar
AL,h0037,0.5264447752189416,scr2090,avaConv,solar
AL,h0038,0.607810662557705,scr2090,avaConv,solar
AL,h0039,0.5747109393802388,scr2090,avaConv,solar
AL,h0040,0.3239649761438968,scr2090,avaConv,solar
AL,h0041,0.10550483252313544,scr2090,avaConv,solar
AL,h0042,0.0,scr2090,avaConv,solar
AL,h0043,0.0,scr2090,avaConv,solar
AL,h0044,0.0,scr2090,avaConv,solar
AL,h0045,0.0,scr2090,avaConv,solar
AL,h0046,0.0,scr2090,avaConv,solar
