region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0001,3.4747180814020346,scr2093,dem,electricity
AL,h0002,3.5556368087547665,scr2093,dem,electricity
AL,h0003,3.6234368787846467,scr2093,dem,electricity
AL,h0004,3.7659028879304666,scr2093,dem,electricity
AL,h0005,3.917601795492021,scr2093,dem,electricity
AL,h0006,4.122531357018497,scr2093,dem,electricity
AL,h0007,5.2208007656302,scr2093,dem,electricity
AL,h0008,6.345773174946488,scr2093,dem,electricity
AL,h0009,7.418609005911469,scr2093,dem,electricity
AL,h0010,7.53439703418781,scr2093,dem,electricity
AL,h0011,7.564304955358735,scr2093,dem,electricity
AL,h0012,7.543202564020436,scr2093,dem,electricity
AL,h0013,8.147649585418876,scr2093,dem,electricity
AL,h0014,8.615438494231539,scr2093,dem,electricity
AL,h0015,9.043099345300291,scr2093,dem,electricity
AL,h0016,8.932380339025219,scr2093,dem,electricity
AL,h0017,9.183859449936206,scr2093,dem,electricity
AL,h0018,9.50719212676228,scr2093,dem,electricity
AL,h0019,9.508941751260135,scr2093,dem,electricity
AL,h0020,9.210338730751024,scr2093,dem,electricity
AL,h0021,8.96780072897822,scr2093,dem,electricity
AL,h0022,9.038077863550058,scr2093,dem,electricity
AL,h0023,9.198966802041273,scr2093,dem,electricity
AL,h0024,9.377844803314117,scr2093,dem,electricity
AL,h0025,8.763839586652042,scr2093,dem,electricity
AL,h0026,8.11831821454568,scr2093,dem,electricity
AL,h0027,7.345509821687425,scr2093,dem,electricity
AL,h0028,7.250210613800514,scr2093,dem,electricity
AL,h0029,7.2023378062420305,scr2093,dem,electricity
AL,h0030,7.275607601678059,scr2093,dem,electricity
AL,h0031,6.526009960976919,scr2093,dem,electricity
AL,h0032,5.773356215740354,scr2093,dem,electricity
AL,h0033,4.938100042342756,scr2093,dem,electricity
AL,h0034,4.904599982313562,scr2093,dem,electricity
AL,h0035,4.811992182985147,scr2093,dem,electricity
AL,h0036,4.6831644531985575,scr2093,dem,electricity
AL,h0037,4.160041281956712,scr2093,dem,electricity
AL,h0038,3.6427988937198803,scr2093,dem,electricity
AL,h0039,3.1646160587511627,scr2093,dem,electricity
AL,h0040,3.152170905391655,scr2093,dem,electricity
AL,h0041,3.2724567261445316,scr2093,dem,electricity
AL,h0042,3.445631940140817,scr2093,dem,electricity
AL,h0043,3.461973581690717,scr2093,dem,electricity
AL,h0044,3.351805539779434,scr2093,dem,electricity
AL,h0045,3.204810743150659,scr2093,dem,electricity
AL,h0046,3.189713792494288,scr2093,dem,electricity
AL,h0047,3.1902994416517485,scr2093,dem,electricity
AL,h0048,3.1874688043801176,scr2093,dem,electricity
AL,h0049,3.856728226583125,scr2093,dem,electricity
AL,h0050,4.583376081761146,scr2093,dem,electricity
AL,h0051,5.335093974905512,scr2093,dem,electricity
AL,h0052,5.424953807038859,scr2093,dem,electricity
AL,h0053,5.557084950076143,scr2093,dem,electricity
AL,h0054,5.795746715259379,scr2093,dem,electricity
AL,h0055,9.381147502814462,scr2093,dem,electricity
AL,h0056,12.996694041397054,scr2093,dem,electricity
AL,h0057,16.42518800795838,scr2093,dem,electricity
AL,h0058,16.167250776064478,scr2093,dem,electricity
AL,h0059,15.67132865197049,scr2093,dem,electricity
AL,h0060,15.084933776860963,scr2093,dem,electricity
AL,h0061,13.48162796417936,scr2093,dem,electricity
AL,h0062,11.972110288108164,scr2093,dem,electricity
AL,h0063,10.654814170673484,scr2093,dem,electricity
AL,h0064,10.71222430748258,scr2093,dem,electricity
AL,h0065,11.208994156148208,scr2093,dem,electricity
AL,h0066,11.81190943965213,scr2093,dem,electricity
AL,h0067,10.85262107639188,scr2093,dem,electricity
AL,h0068,9.430338145209863,scr2093,dem,electricity
AL,h0069,7.91036679775343,scr2093,dem,electricity
AL,h0070,7.763429843503815,scr2093,dem,electricity
AL,h0071,7.693272841417251,scr2093,dem,electricity
AL,h0072,7.632674541169234,scr2093,dem,electricity
AL,h0073,7.879504680890727,scr2093,dem,electricity
AL,h0074,8.242445510626716,scr2093,dem,electricity
AL,h0075,8.640064620827197,scr2093,dem,electricity
AL,h0076,8.778518756329191,scr2093,dem,electricity
AL,h0077,8.974746175992493,scr2093,dem,electricity
AL,h0078,9.331842719089328,scr2093,dem,electricity
AL,h0079,9.079347344041931,scr2093,dem,electricity
AL,h0080,8.712289950748564,scr2093,dem,electricity
AL,h0081,8.08711370081052,scr2093,dem,electricity
AL,h0082,7.902754887816106,scr2093,dem,electricity
AL,h0083,7.607337940352232,scr2093,dem,electricity
AL,h0084,7.27347688874387,scr2093,dem,electricity
AL,h0085,6.404597811762143,scr2093,dem,electricity
AL,h0086,5.588321566142064,scr2093,dem,electricity
AL,h0087,4.86274235208868,scr2093,dem,electricity
AL,h0088,4.8425002117662075,scr2093,dem,electricity
AL,h0089,5.019771560590522,scr2093,dem,electricity
AL,h0090,5.2616652769828836,scr2093,dem,electricity
AL,h0091,4.955870970465799,scr2093,dem,electricity
AL,h0092,4.462225375667229,scr2093,dem,electricity
AL,h0093,3.920024086715386,scr2093,dem,electricity
AL,h0094,3.8617752514298367,scr2093,dem,electricity
AL,h0095,3.822915286720143,scr2093,dem,electricity
AL,h0096,3.7785099758013905,scr2093,dem,electricity
AL,h0097,3.66448731470628,scr2093,dem,electricity
AL,h0098,3.5630823254832027,scr2093,dem,electricity
AL,h0099,3.4439105390053824,scr2093,dem,electricity
AL,h0100,3.37313507835317,scr2093,dem,electricity
AL,h0101,3.3321476322732813,scr2093,dem,electricity
AL,h0102,3.3517931087754618,scr2093,dem,electricity
AL,h0103,5.190454456344136,scr2093,dem,electricity
AL,h0104,7.058647068288621,scr2093,dem,electricity
AL,h0105,8.845745694033585,scr2093,dem,electricity
AL,h0106,8.647976029086028,scr2093,dem,electricity
AL,h0107,8.317912986074651,scr2093,dem,electricity
AL,h0108,7.938219268396925,scr2093,dem,electricity
AL,h0109,6.259268283096695,scr2093,dem,electricity
AL,h0110,4.695867184746778,scr2093,dem,electricity
AL,h0111,3.2717043713865945,scr2093,dem,electricity
AL,h0112,3.2858986170292064,scr2093,dem,electricity
AL,h0113,3.426223908704571,scr2093,dem,electricity
AL,h0114,3.6084521410512576,scr2093,dem,electricity
AL,h0115,3.885270472131331,scr2093,dem,electricity
AL,h0116,4.024730621266357,scr2093,dem,electricity
AL,h0117,4.134665706910106,scr2093,dem,electricity
AL,h0118,4.117756028151358,scr2093,dem,electricity
AL,h0119,4.117586905903366,scr2093,dem,electricity
AL,h0120,4.1102833406897785,scr2093,dem,electricity
AL,h0121,5.539768174510703,scr2093,dem,electricity
AL,h0122,7.048241315937824,scr2093,dem,electricity
AL,h0123,8.584855747943203,scr2093,dem,electricity
AL,h0124,8.667321907089683,scr2093,dem,electricity
AL,h0125,8.809501931923345,scr2093,dem,electricity
AL,h0126,9.101995236509852,scr2093,dem,electricity
AL,h0127,9.442018666816864,scr2093,dem,electricity
AL,h0128,9.692311761017578,scr2093,dem,electricity
AL,h0129,9.696156941411314,scr2093,dem,electricity
AL,h0130,9.477192843531224,scr2093,dem,electricity
AL,h0131,9.11116106489449,scr2093,dem,electricity
AL,h0132,8.690900348640199,scr2093,dem,electricity
AL,h0133,6.14175275762562,scr2093,dem,electricity
AL,h0134,3.7547310517648134,scr2093,dem,electricity
AL,h0135,1.5552209902449783,scr2093,dem,electricity
AL,h0136,1.522253645117588,scr2093,dem,electricity
AL,h0137,1.53720413889737,scr2093,dem,electricity
AL,h0138,1.5707094521918,scr2093,dem,electricity
AL,h0139,1.6031489847593132,scr2093,dem,electricity
AL,h0140,1.6184825390525213,scr2093,dem,electricity
AL,h0141,1.6353567914246643,scr2093,dem,electricity
AL,h0142,1.6606475538495635,scr2093,dem,electricity
AL,h0143,1.6683341218290708,scr2093,dem,electricity
AL,h0144,1.6647486214985732,scr2093,dem,electricity
AL,h0145,3.972859533461519,scr2093,dem,electricity
AL,h0146,6.369049025285608,scr2093,dem,electricity
AL,h0147,8.796657042250516,scr2093,dem,electricity
AL,h0148,8.785775625509894,scr2093,dem,electricity
AL,h0149,8.831600311816336,scr2093,dem,electricity
AL,h0150,9.029009631357013,scr2093,dem,electricity
AL,h0151,6.5909245157198155,scr2093,dem,electricity
AL,h0152,4.140320672468682,scr2093,dem,electricity
AL,h0153,1.6222411514415473,scr2093,dem,electricity
AL,h0154,1.5779056426971196,scr2093,dem,electricity
AL,h0155,1.4961032822563238,scr2093,dem,electricity
AL,h0156,1.4050245647823976,scr2093,dem,electricity
AL,h0157,1.2775317052512176,scr2093,dem,electricity
AL,h0158,1.179390257244588,scr2093,dem,electricity
AL,h0159,1.1088947742723645,scr2093,dem,electricity
AL,h0160,1.1203631057356573,scr2093,dem,electricity
AL,h0161,1.1659285576252243,scr2093,dem,electricity
AL,h0162,1.2279302128170182,scr2093,dem,electricity
AL,h0163,2.12878413718793,scr2093,dem,electricity
AL,h0164,3.0235405473304335,scr2093,dem,electricity
AL,h0165,3.974041027978367,scr2093,dem,electricity
AL,h0166,4.079281329943669,scr2093,dem,electricity
AL,h0167,4.194385063046723,scr2093,dem,electricity
AL,h0168,4.28229432172335,scr2093,dem,electricity
AT,h0001,17.56256019587335,scr2093,dem,electricity
AT,h0002,17.26118083679656,scr2093,dem,electricity
AT,h0003,16.943682889600694,scr2093,dem,electricity
AT,h0004,16.359129795863133,scr2093,dem,electricity
AT,h0005,15.976255069463058,scr2093,dem,electricity
AT,h0006,15.978130161531624,scr2093,dem,electricity
AT,h0007,19.75797794527334,scr2093,dem,electricity
AT,h0008,24.022598625016656,scr2093,dem,electricity
AT,h0009,28.33889987761346,scr2093,dem,electricity
AT,h0010,28.5362548304014,scr2093,dem,electricity
AT,h0011,28.322788888951585,scr2093,dem,electricity
AT,h0012,27.880051479249264,scr2093,dem,electricity
AT,h0013,24.80987004379582,scr2093,dem,electricity
AT,h0014,21.730120303996905,scr2093,dem,electricity
AT,h0015,18.826126062496602,scr2093,dem,electricity
AT,h0016,18.685361398836463,scr2093,dem,electricity
AT,h0017,19.333024170748665,scr2093,dem,electricity
AT,h0018,20.229643821302584,scr2093,dem,electricity
AT,h0019,22.86851046345946,scr2093,dem,electricity
AT,h0020,24.543204336050017,scr2093,dem,electricity
AT,h0021,26.05506363950831,scr2093,dem,electricity
AT,h0022,25.55324976302918,scr2093,dem,electricity
AT,h0023,25.471413248493214,scr2093,dem,electricity
AT,h0024,25.43607937301234,scr2093,dem,electricity
AT,h0025,22.22992890356517,scr2093,dem,electricity
AT,h0026,19.03651713309167,scr2093,dem,electricity
AT,h0027,15.867626092388477,scr2093,dem,electricity
AT,h0028,15.58487107070659,scr2093,dem,electricity
AT,h0029,15.566399371476095,scr2093,dem,electricity
AT,h0030,16.1500453233629,scr2093,dem,electricity
AT,h0031,19.302698191539204,scr2093,dem,electricity
AT,h0032,22.81331011697645,scr2093,dem,electricity
AT,h0033,26.046018963136408,scr2093,dem,electricity
AT,h0034,26.479531229156933,scr2093,dem,electricity
AT,h0035,26.41066951482493,scr2093,dem,electricity
AT,h0036,26.052144969758157,scr2093,dem,electricity
AT,h0037,25.126338919201704,scr2093,dem,electricity
AT,h0038,24.12775311770918,scr2093,dem,electricity
AT,h0039,23.26611739352311,scr2093,dem,electricity
AT,h0040,23.341857097544587,scr2093,dem,electricity
AT,h0041,24.30694094299089,scr2093,dem,electricity
AT,h0042,25.567644238885485,scr2093,dem,electricity
AT,h0043,22.946838549321008,scr2093,dem,electricity
AT,h0044,19.310092457759946,scr2093,dem,electricity
AT,h0045,15.392901099160177,scr2093,dem,electricity
AT,h0046,14.543625074219044,scr2093,dem,electricity
AT,h0047,13.986309612594674,scr2093,dem,electricity
AT,h0048,13.474153250170726,scr2093,dem,electricity
AT,h0049,14.952290351468395,scr2093,dem,electricity
AT,h0050,16.576054099901068,scr2093,dem,electricity
AT,h0051,18.45228399521883,scr2093,dem,electricity
AT,h0052,18.487660548595738,scr2093,dem,electricity
AT,h0053,18.82285950146334,scr2093,dem,electricity
AT,h0054,19.8566140936884,scr2093,dem,electricity
AT,h0055,23.86734062901988,scr2093,dem,electricity
AT,h0056,28.04123521162632,scr2093,dem,electricity
AT,h0057,31.418527477964037,scr2093,dem,electricity
AT,h0058,31.18160742742156,scr2093,dem,electricity
AT,h0059,30.323660657739897,scr2093,dem,electricity
AT,h0060,29.25019014343686,scr2093,dem,electricity
AT,h0061,28.16383255141818,scr2093,dem,electricity
AT,h0062,27.17017127220265,scr2093,dem,electricity
AT,h0063,26.509106378288095,scr2093,dem,electricity
AT,h0064,26.557430078587313,scr2093,dem,electricity
AT,h0065,27.571328240593548,scr2093,dem,electricity
AT,h0066,29.070891937277935,scr2093,dem,electricity
AT,h0067,26.888335305875458,scr2093,dem,electricity
AT,h0068,23.564382987310882,scr2093,dem,electricity
AT,h0069,19.7780668162217,scr2093,dem,electricity
AT,h0070,18.907477465106634,scr2093,dem,electricity
AT,h0071,18.386907620769414,scr2093,dem,electricity
AT,h0072,17.927597119760737,scr2093,dem,electricity
AT,h0073,18.670784723161653,scr2093,dem,electricity
AT,h0074,19.43704812469534,scr2093,dem,electricity
AT,h0075,20.272390299187318,scr2093,dem,electricity
AT,h0076,20.049980339165124,scr2093,dem,electricity
AT,h0077,20.13934019274736,scr2093,dem,electricity
AT,h0078,20.96894637832892,scr2093,dem,electricity
AT,h0079,18.870379728651596,scr2093,dem,electricity
AT,h0080,16.82514835182776,scr2093,dem,electricity
AT,h0081,14.248782333073848,scr2093,dem,electricity
AT,h0082,14.334082971550686,scr2093,dem,electricity
AT,h0083,14.155987893386357,scr2093,dem,electricity
AT,h0084,13.872250176933473,scr2093,dem,electricity
AT,h0085,14.168169444037758,scr2093,dem,electricity
AT,h0086,14.373215880165535,scr2093,dem,electricity
AT,h0087,14.627992510384775,scr2093,dem,electricity
AT,h0088,14.567651165921454,scr2093,dem,electricity
AT,h0089,15.061948467505157,scr2093,dem,electricity
AT,h0090,16.01013559280505,scr2093,dem,electricity
AT,h0091,17.038606444332938,scr2093,dem,electricity
AT,h0092,17.287349197134443,scr2093,dem,electricity
AT,h0093,16.922615153025863,scr2093,dem,electricity
AT,h0094,16.170791288854314,scr2093,dem,electricity
AT,h0095,15.649204774614812,scr2093,dem,electricity
AT,h0096,15.199890887260167,scr2093,dem,electricity
AT,h0097,13.510779870447742,scr2093,dem,electricity
AT,h0098,11.898994112473034,scr2093,dem,electricity
AT,h0099,10.422798265297558,scr2093,dem,electricity
AT,h0100,10.186346409848525,scr2093,dem,electricity
AT,h0101,10.095623622507848,scr2093,dem,electricity
AT,h0102,10.205237482754782,scr2093,dem,electricity
AT,h0103,13.123462434848388,scr2093,dem,electricity
AT,h0104,16.409612123634478,scr2093,dem,electricity
AT,h0105,19.669161676097552,scr2093,dem,electricity
AT,h0106,19.662950887426437,scr2093,dem,electricity
AT,h0107,19.296711774478176,scr2093,dem,electricity
AT,h0108,18.778747653903817,scr2093,dem,electricity
AT,h0109,16.5199686335419,scr2093,dem,electricity
AT,h0110,14.365684153590173,scr2093,dem,electricity
AT,h0111,12.452399208859479,scr2093,dem,electricity
AT,h0112,12.442649561519694,scr2093,dem,electricity
AT,h0113,12.808454151343192,scr2093,dem,electricity
AT,h0114,13.493842247526299,scr2093,dem,electricity
AT,h0115,14.821156687479,scr2093,dem,electricity
AT,h0116,15.512099392114813,scr2093,dem,electricity
AT,h0117,15.643537296816167,scr2093,dem,electricity
AT,h0118,14.738157939860798,scr2093,dem,electricity
AT,h0119,14.0835727596345,scr2093,dem,electricity
AT,h0120,13.490053460258032,scr2093,dem,electricity
AT,h0121,16.314477581004734,scr2093,dem,electricity
AT,h0122,19.37451719871607,scr2093,dem,electricity
AT,h0123,22.737163577032618,scr2093,dem,electricity
AT,h0124,22.59524730928537,scr2093,dem,electricity
AT,h0125,22.72445231167099,scr2093,dem,electricity
AT,h0126,23.39935950975839,scr2093,dem,electricity
AT,h0127,19.82623935326631,scr2093,dem,electricity
AT,h0128,16.399636386475652,scr2093,dem,electricity
AT,h0129,12.716922280987841,scr2093,dem,electricity
AT,h0130,12.713741462334028,scr2093,dem,electricity
AT,h0131,12.466812841482604,scr2093,dem,electricity
AT,h0132,12.132387711495511,scr2093,dem,electricity
AT,h0133,10.722121668797541,scr2093,dem,electricity
AT,h0134,9.381140439305454,scr2093,dem,electricity
AT,h0135,8.159152137591848,scr2093,dem,electricity
AT,h0136,8.01591094523247,scr2093,dem,electricity
AT,h0137,7.947236536045567,scr2093,dem,electricity
AT,h0138,8.054385072271634,scr2093,dem,electricity
AT,h0139,9.478075655159017,scr2093,dem,electricity
AT,h0140,10.794604710018007,scr2093,dem,electricity
AT,h0141,11.883263481429363,scr2093,dem,electricity
AT,h0142,11.467278780057509,scr2093,dem,electricity
AT,h0143,11.191508090924138,scr2093,dem,electricity
AT,h0144,10.984386985672707,scr2093,dem,electricity
AT,h0145,13.53368241831916,scr2093,dem,electricity
AT,h0146,16.09069162493223,scr2093,dem,electricity
AT,h0147,18.68753730388022,scr2093,dem,electricity
AT,h0148,18.2696851816255,scr2093,dem,electricity
AT,h0149,18.169685816481866,scr2093,dem,electricity
AT,h0150,18.732170578644443,scr2093,dem,electricity
AT,h0151,17.353125366538755,scr2093,dem,electricity
AT,h0152,16.162963015467163,scr2093,dem,electricity
AT,h0153,14.572204778550233,scr2093,dem,electricity
AT,h0154,14.855393790736397,scr2093,dem,electricity
AT,h0155,14.812154446109275,scr2093,dem,electricity
