region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0553,1.5639065349165797,scr2085,dem,electricity
AL,h0554,1.5020768354043847,scr2085,dem,electricity
AL,h0555,1.436891030508692,scr2085,dem,electricity
AL,h0556,1.4034332926320785,scr2085,dem,electricity
AL,h0557,1.3861184637681099,scr2085,dem,electricity
AL,h0558,1.3955915740552347,scr2085,dem,electricity
AL,h0559,2.00409668998394,scr2085,dem,electricity
AL,h0560,2.649770156757066,scr2085,dem,electricity
AL,h0561,3.2991218513693417,scr2085,dem,electricity
AL,h0562,3.303832755631646,scr2085,dem,electricity
AL,h0563,3.2636580466291027,scr2085,dem,electricity
AL,h0564,3.191556483466483,scr2085,dem,electricity
AL,h0565,4.438284189246909,scr2085,dem,electricity
AL,h0566,5.667220827088244,scr2085,dem,electricity
AL,h0567,6.940308930292237,scr2085,dem,electricity
AL,h0568,6.946746381601405,scr2085,dem,electricity
AL,h0569,7.246556264588806,scr2085,dem,electricity
AL,h0570,7.622789845498018,scr2085,dem,electricity
AL,h0571,6.212941203515512,scr2085,dem,electricity
AL,h0572,4.587959841634937,scr2085,dem,electricity
AL,h0573,2.9609706152984216,scr2085,dem,electricity
AL,h0574,2.9158091039357545,scr2085,dem,electricity
AL,h0575,2.8855285528222954,scr2085,dem,electricity
AL,h0576,2.8487577359330425,scr2085,dem,electricity
AL,h0577,2.5613190904349823,scr2085,dem,electricity
AL,h0578,2.3028057862118043,scr2085,dem,electricity
AL,h0579,2.053816699362078,scr2085,dem,electricity
AL,h0580,2.0510068657864893,scr2085,dem,electricity
AL,h0581,2.06750791360719,scr2085,dem,electricity
AL,h0582,2.127968521682858,scr2085,dem,electricity
AL,h0583,3.3500284397509947,scr2085,dem,electricity
AL,h0584,4.644657845776115,scr2085,dem,electricity
AL,h0585,5.926081068478886,scr2085,dem,electricity
AL,h0586,5.9155081305352475,scr2085,dem,electricity
AL,h0587,5.805360004084916,scr2085,dem,electricity
AL,h0588,5.651682157593754,scr2085,dem,electricity
AL,h0589,4.647956446294002,scr2085,dem,electricity
AL,h0590,3.6680489895698187,scr2085,dem,electricity
AL,h0591,2.7390955842636915,scr2085,dem,electricity
AL,h0592,2.692036781394415,scr2085,dem,electricity
AL,h0593,2.7717550967658235,scr2085,dem,electricity
AL,h0594,2.8968781787540836,scr2085,dem,electricity
AL,h0595,2.4688766799549304,scr2085,dem,electricity
AL,h0596,1.9541664167436412,scr2085,dem,electricity
AL,h0597,1.4269558841398307,scr2085,dem,electricity
AL,h0598,1.4030840220429774,scr2085,dem,electricity
AL,h0599,1.3785324737802631,scr2085,dem,electricity
AL,h0600,1.3406334985535298,scr2085,dem,electricity
AL,h0601,1.5815659385221834,scr2085,dem,electricity
AL,h0602,1.8478383070418127,scr2085,dem,electricity
AL,h0603,2.1340536019797334,scr2085,dem,electricity
AL,h0604,2.138408792403494,scr2085,dem,electricity
AL,h0605,2.1592290045133815,scr2085,dem,electricity
AL,h0606,2.2265333620139875,scr2085,dem,electricity
AL,h0607,4.211208697801853,scr2085,dem,electricity
AL,h0608,6.297934831827412,scr2085,dem,electricity
AL,h0609,8.375304246421557,scr2085,dem,electricity
