region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h6577,0.4948925046263332,scr2083,avaConv,wind
AL,h6578,0.491594630943419,scr2083,avaConv,wind
AL,h6579,0.4859525140535423,scr2083,avaConv,wind
AL,h6580,0.48183282153447315,scr2083,avaConv,wind
AL,h6581,0.4756439635533398,scr2083,avaConv,wind
AL,h6582,0.46804244586757265,scr2083,avaConv,wind
AL,h6583,0.45432929334091765,scr2083,avaConv,wind
AL,h6584,0.43020601042187745,scr2083,avaConv,wind
AL,h6585,0.39924193927077284,scr2083,avaConv,wind
AL,h6586,0.36010414634639176,scr2083,avaConv,wind
AL,h6587,0.3263128001208417,scr2083,avaConv,wind
AL,h6588,0.29214834905370124,scr2083,avaConv,wind
AL,h6589,0.26506727171712596,scr2083,avaConv,wind
AL,h6590,0.2350982432896976,scr2083,avaConv,wind
AL,h6591,0.21422568890818325,scr2083,avaConv,wind
AL,h6592,0.19637057004469938,scr2083,avaConv,wind
AL,h6593,0.1874417900973176,scr2083,avaConv,wind
AL,h6594,0.18275139914304792,scr2083,avaConv,wind
AL,h6595,0.18645107360642357,scr2083,avaConv,wind
AL,h6596,0.1926300711909963,scr2083,avaConv,wind
AL,h6597,0.19564763688667716,scr2083,avaConv,wind
AL,h6598,0.192372718339705,scr2083,avaConv,wind
AL,h6599,0.1927124686214037,scr2083,avaConv,wind
AL,h6600,0.19873631900249514,scr2083,avaConv,wind
AL,h6601,0.20193369579912349,scr2083,avaConv,wind
AL,h6602,0.19382772990781036,scr2083,avaConv,wind
AL,h6603,0.1748331393931076,scr2083,avaConv,wind
AL,h6604,0.15346273625839027,scr2083,avaConv,wind
AL,h6605,0.1324057602412398,scr2083,avaConv,wind
AL,h6606,0.11584127490937211,scr2083,avaConv,wind
AL,h6607,0.10477509755740981,scr2083,avaConv,wind
AL,h6608,0.09988565774682934,scr2083,avaConv,wind
AL,h6609,0.0979477815820803,scr2083,avaConv,wind
AL,h6610,0.10086977676474444,scr2083,avaConv,wind
AL,h6611,0.10649843474577328,scr2083,avaConv,wind
AL,h6612,0.11435730290646826,scr2083,avaConv,wind
AL,h6613,0.12115717385383618,scr2083,avaConv,wind
AL,h6614,0.12479628614915254,scr2083,avaConv,wind
AL,h6615,0.12387345347795076,scr2083,avaConv,wind
AL,h6616,0.11936386721339691,scr2083,avaConv,wind
AL,h6617,0.115891434792816,scr2083,avaConv,wind
AL,h6618,0.11684651838882801,scr2083,avaConv,wind
AL,h6619,0.12881230857563608,scr2083,avaConv,wind
AL,h6620,0.15216205102022995,scr2083,avaConv,wind
AL,h6621,0.18311831322555983,scr2083,avaConv,wind
AL,h6622,0.21002307535775303,scr2083,avaConv,wind
AL,h6623,0.22642329582686943,scr2083,avaConv,wind
AL,h6624,0.2296673801902943,scr2083,avaConv,wind
AL,h6625,0.22316962905357113,scr2083,avaConv,wind
AL,h6626,0.20928142382582687,scr2083,avaConv,wind
AL,h6627,0.19347948977274895,scr2083,avaConv,wind
