region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0721,0.048688441616116386,scr2093,avaConv,wind
AL,h0722,0.05375607166526871,scr2093,avaConv,wind
AL,h0723,0.05916173236619991,scr2093,avaConv,wind
AL,h0724,0.06492823148770074,scr2093,avaConv,wind
AL,h0725,0.07111462820227327,scr2093,avaConv,wind
AL,h0726,0.0781035075819742,scr2093,avaConv,wind
AL,h0727,0.08551567601661438,scr2093,avaConv,wind
AL,h0728,0.09165495925343699,scr2093,avaConv,wind
AL,h0729,0.09387505749386263,scr2093,avaConv,wind
AL,h0730,0.08887256967536616,scr2093,avaConv,wind
AL,h0731,0.07631815924353895,scr2093,avaConv,wind
AL,h0732,0.0583317572461361,scr2093,avaConv,wind
AL,h0733,0.04055256942986098,scr2093,avaConv,wind
AL,h0734,0.02614718380577553,scr2093,avaConv,wind
AL,h0735,0.01706899354616674,scr2093,avaConv,wind
AL,h0736,0.012083533113984489,scr2093,avaConv,wind
AL,h0737,0.010472876233161411,scr2093,avaConv,wind
AL,h0738,0.010324321158853926,scr2093,avaConv,wind
AL,h0739,0.010448251351510809,scr2093,avaConv,wind
AL,h0740,0.009742366450879742,scr2093,avaConv,wind
AL,h0741,0.008088112939931502,scr2093,avaConv,wind
AL,h0742,0.005825253178471517,scr2093,avaConv,wind
AL,h0743,0.0032247182049901717,scr2093,avaConv,wind
AL,h0744,0.001350534008918716,scr2093,avaConv,wind
AL,h0745,0.0002289595474506302,scr2093,avaConv,wind
AL,h0746,0.0,scr2093,avaConv,wind
AL,h0747,0.0,scr2093,avaConv,wind
AL,h0748,0.0,scr2093,avaConv,wind
AL,h0749,0.0,scr2093,avaConv,wind
AL,h0750,0.0,scr2093,avaConv,wind
AL,h0751,0.00013501739085781977,scr2093,avaConv,wind
AL,h0752,0.00027655934853398553,scr2093,avaConv,wind
AL,h0753,0.0009202491793976653,scr2093,avaConv,wind
AL,h0754,0.001960024912360347,scr2093,avaConv,wind
AL,h0755,0.0033397545851062416,scr2093,avaConv,wind
AL,h0756,0.005035458100659134,scr2093,avaConv,wind
AL,h0757,0.00890711610405418,scr2093,avaConv,wind
AL,h0758,0.01601990073040478,scr2093,avaConv,wind
AL,h0759,0.02877685047902709,scr2093,avaConv,wind
AL,h0760,0.0464983859647173,scr2093,avaConv,wind
AL,h0761,0.0696248012384968,scr2093,avaConv,wind
AL,h0762,0.09576980338824188,scr2093,avaConv,wind
AL,h0763,0.12431042590658861,scr2093,avaConv,wind
AL,h0764,0.15261516639195769,scr2093,avaConv,wind
AL,h0765,0.180815983488691,scr2093,avaConv,wind
AL,h0766,0.20854866036820321,scr2093,avaConv,wind
AL,h0767,0.23586060565335892,scr2093,avaConv,wind
AL,h0768,0.2608702420351654,scr2093,avaConv,wind
AL,h0769,0.28222022323337037,scr2093,avaConv,wind
AL,h0770,0.29974230965226556,scr2093,avaConv,wind
AL,h0771,0.3143668550336922,scr2093,avaConv,wind
AL,h0772,0.3272153617282263,scr2093,avaConv,wind
AL,h0773,0.3385323435479153,scr2093,avaConv,wind
AL,h0774,0.34622172141944607,scr2093,avaConv,wind
AL,h0775,0.3478648606786488,scr2093,avaConv,wind
AL,h0776,0.34102391210176214,scr2093,avaConv,wind
AL,h0777,0.32114728616864074,scr2093,avaConv,wind
AL,h0778,0.28262916699054824,scr2093,avaConv,wind
AL,h0779,0.22749751035911892,scr2093,avaConv,wind
AL,h0780,0.16722497401016365,scr2093,avaConv,wind
AL,h0781,0.11685211210000879,scr2093,avaConv,wind
AL,h0782,0.08277703717641319,scr2093,avaConv,wind
AL,h0783,0.0633660247166692,scr2093,avaConv,wind
AL,h0784,0.05423069991085124,scr2093,avaConv,wind
AL,h0785,0.05268569501910359,scr2093,avaConv,wind
AL,h0786,0.05703984375878689,scr2093,avaConv,wind
AL,h0787,0.06545516470874682,scr2093,avaConv,wind
AL,h0788,0.07644073932122616,scr2093,avaConv,wind
AL,h0789,0.08868955340989854,scr2093,avaConv,wind
AL,h0790,0.10160602860312401,scr2093,avaConv,wind
AL,h0791,0.11358455337787005,scr2093,avaConv,wind
AL,h0792,0.12329726303050621,scr2093,avaConv,wind
AL,h0793,0.1290203423705069,scr2093,avaConv,wind
AL,h0794,0.13135378590705404,scr2093,avaConv,wind
AL,h0795,0.1320066583037243,scr2093,avaConv,wind
AL,h0796,0.13457823140532835,scr2093,avaConv,wind
AL,h0797,0.14269856187040694,scr2093,avaConv,wind
AL,h0798,0.15921146801579752,scr2093,avaConv,wind
AL,h0799,0.18207980246029898,scr2093,avaConv,wind
AL,h0800,0.20509858137902082,scr2093,avaConv,wind
AL,h0801,0.22172533731694422,scr2093,avaConv,wind
AL,h0802,0.2268683790227105,scr2093,avaConv,wind
AL,h0803,0.2178471059315746,scr2093,avaConv,wind
AL,h0804,0.19632051958559776,scr2093,avaConv,wind
AL,h0805,0.1681179283843427,scr2093,avaConv,wind
AL,h0806,0.13854599425162256,scr2093,avaConv,wind
AL,h0807,0.1105759676619213,scr2093,avaConv,wind
AL,h0808,0.08626965057116356,scr2093,avaConv,wind
AL,h0809,0.06791531381584785,scr2093,avaConv,wind
AL,h0810,0.05617455596313771,scr2093,avaConv,wind
AL,h0811,0.04983229977472807,scr2093,avaConv,wind
AL,h0812,0.047343354478626684,scr2093,avaConv,wind
AL,h0813,0.04725139822679869,scr2093,avaConv,wind
AL,h0814,0.04788289720024608,scr2093,avaConv,wind
AL,h0815,0.04805038741192213,scr2093,avaConv,wind
AL,h0816,0.04744918072342952,scr2093,avaConv,wind
AL,h0817,0.046312933307667524,scr2093,avaConv,wind
AL,h0818,0.04610830931166378,scr2093,avaConv,wind
AL,h0819,0.047648080789510015,scr2093,avaConv,wind
AL,h0820,0.051874367012399086,scr2093,avaConv,wind
