region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h4369,0.4112778503416093,scr2085,stInflow,reservoir
AT,h4370,0.34616835191066636,scr2085,stInflow,reservoir
AT,h4371,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4372,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4373,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4374,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4375,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4376,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4377,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4378,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4379,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4380,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4381,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4382,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4383,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4384,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4385,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4386,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4387,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4388,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4389,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4390,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4391,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4392,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4393,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4394,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4395,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4396,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4397,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4398,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4399,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4400,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4401,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4402,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4403,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4404,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4405,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4406,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4407,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4408,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4409,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4410,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4411,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4412,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4413,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4414,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4415,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4416,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4417,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4418,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4419,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4420,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4421,0.2810600852765581,scr2085,stInflow,reservoir
AT,h4422,0.2810600852765581,scr2085,stInflow,reservoir
