region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h2881,0.16401986857802092,scr2090,avaConv,wind
AL,h2882,0.14468841001799274,scr2090,avaConv,wind
AL,h2883,0.12475528342248328,scr2090,avaConv,wind
AL,h2884,0.10405200716647338,scr2090,avaConv,wind
AL,h2885,0.08470697091429814,scr2090,avaConv,wind
AL,h2886,0.06792314767178566,scr2090,avaConv,wind
AL,h2887,0.054748725182965585,scr2090,avaConv,wind
AL,h2888,0.045941910823616136,scr2090,avaConv,wind
AL,h2889,0.043177024987926395,scr2090,avaConv,wind
AL,h2890,0.048152288283527744,scr2090,avaConv,wind
AL,h2891,0.0582867493020187,scr2090,avaConv,wind
AL,h2892,0.06822778980565984,scr2090,avaConv,wind
AL,h2893,0.07283026192578022,scr2090,avaConv,wind
AL,h2894,0.07053264972324226,scr2090,avaConv,wind
AL,h2895,0.06201135405237959,scr2090,avaConv,wind
AL,h2896,0.04880259660406463,scr2090,avaConv,wind
AL,h2897,0.03290014130276433,scr2090,avaConv,wind
AL,h2898,0.01763130040173688,scr2090,avaConv,wind
AL,h2899,0.007010519216495791,scr2090,avaConv,wind
AL,h2900,0.0016026892012428729,scr2090,avaConv,wind
AL,h2901,0.00032452183602848383,scr2090,avaConv,wind
AL,h2902,0.0016940302458557683,scr2090,avaConv,wind
AL,h2903,0.007422338710337336,scr2090,avaConv,wind
AL,h2904,0.023620269517949453,scr2090,avaConv,wind
AL,h2905,0.054452966893403884,scr2090,avaConv,wind
AL,h2906,0.10527353476865721,scr2090,avaConv,wind
AL,h2907,0.1726878125407721,scr2090,avaConv,wind
AL,h2908,0.24802626428554278,scr2090,avaConv,wind
AL,h2909,0.3150231956681415,scr2090,avaConv,wind
AL,h2910,0.36448570110264944,scr2090,avaConv,wind
AL,h2911,0.39635629472681844,scr2090,avaConv,wind
AL,h2912,0.4181695995556826,scr2090,avaConv,wind
AL,h2913,0.43570624571194005,scr2090,avaConv,wind
AL,h2914,0.4585790890991846,scr2090,avaConv,wind
AL,h2915,0.47727431726570896,scr2090,avaConv,wind
AL,h2916,0.4894387050664424,scr2090,avaConv,wind
AL,h2917,0.5028998347156545,scr2090,avaConv,wind
AL,h2918,0.5138612408744624,scr2090,avaConv,wind
AL,h2919,0.5108553229105993,scr2090,avaConv,wind
AL,h2920,0.4942815807416528,scr2090,avaConv,wind
AL,h2921,0.4760841586271902,scr2090,avaConv,wind
AL,h2922,0.46952005548004955,scr2090,avaConv,wind
AL,h2923,0.4658258475659905,scr2090,avaConv,wind
AL,h2924,0.4485941919638235,scr2090,avaConv,wind
AL,h2925,0.43214824200473684,scr2090,avaConv,wind
AL,h2926,0.4193116624415864,scr2090,avaConv,wind
AL,h2927,0.42143607655513204,scr2090,avaConv,wind
AL,h2928,0.43474552391588744,scr2090,avaConv,wind
AL,h2929,0.4388136459797058,scr2090,avaConv,wind
AL,h2930,0.4558419997362501,scr2090,avaConv,wind
AL,h2931,0.4602160501875627,scr2090,avaConv,wind
AL,h2932,0.4943696349479205,scr2090,avaConv,wind
AL,h2933,0.510952423632982,scr2090,avaConv,wind
AL,h2934,0.5347718272073928,scr2090,avaConv,wind
AL,h2935,0.5418921031544953,scr2090,avaConv,wind
AL,h2936,0.563511828966156,scr2090,avaConv,wind
AL,h2937,0.5907941307743104,scr2090,avaConv,wind
AL,h2938,0.6188703698203648,scr2090,avaConv,wind
AL,h2939,0.6400227548424873,scr2090,avaConv,wind
AL,h2940,0.6527624814235928,scr2090,avaConv,wind
AL,h2941,0.6480171125997376,scr2090,avaConv,wind
AL,h2942,0.6325544366777134,scr2090,avaConv,wind
AL,h2943,0.5995656925206382,scr2090,avaConv,wind
