region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0097,0.007309850237518627,scr2093,avaConv,wind
AL,h0098,0.016415363866199933,scr2093,avaConv,wind
AL,h0099,0.026824953830352504,scr2093,avaConv,wind
AL,h0100,0.027852769019024903,scr2093,avaConv,wind
AL,h0101,0.029934088033602535,scr2093,avaConv,wind
AL,h0102,0.03296746905516233,scr2093,avaConv,wind
AL,h0103,0.03999563948565383,scr2093,avaConv,wind
AL,h0104,0.04490082487645279,scr2093,avaConv,wind
AL,h0105,0.04538480191917936,scr2093,avaConv,wind
AL,h0106,0.03701771868803873,scr2093,avaConv,wind
AL,h0107,0.027891668774560206,scr2093,avaConv,wind
AL,h0108,0.020927764131989306,scr2093,avaConv,wind
AL,h0109,0.028850243659379805,scr2093,avaConv,wind
AL,h0110,0.03289485263612938,scr2093,avaConv,wind
AL,h0111,0.03261453767896997,scr2093,avaConv,wind
AL,h0112,0.017638437359226856,scr2093,avaConv,wind
AL,h0113,0.008338516708960074,scr2093,avaConv,wind
AL,h0114,0.004332980397477042,scr2093,avaConv,wind
AL,h0115,0.0019590902458177426,scr2093,avaConv,wind
AL,h0116,0.0009094500591715394,scr2093,avaConv,wind
AL,h0117,0.0,scr2093,avaConv,wind
AL,h0118,0.0,scr2093,avaConv,wind
AL,h0119,0.0,scr2093,avaConv,wind
AL,h0120,0.0,scr2093,avaConv,wind
AL,h0121,0.0,scr2093,avaConv,wind
AL,h0122,0.0,scr2093,avaConv,wind
AL,h0123,0.0,scr2093,avaConv,wind
AL,h0124,0.0,scr2093,avaConv,wind
AL,h0125,0.0,scr2093,avaConv,wind
AL,h0126,0.0,scr2093,avaConv,wind
AL,h0127,0.02147753714698425,scr2093,avaConv,wind
AL,h0128,0.05558487455597298,scr2093,avaConv,wind
AL,h0129,0.10139279176142209,scr2093,avaConv,wind
AL,h0130,0.11161973931514553,scr2093,avaConv,wind
AL,h0131,0.1065673127900677,scr2093,avaConv,wind
AL,h0132,0.09290314003758207,scr2093,avaConv,wind
AL,h0133,0.05170550862132151,scr2093,avaConv,wind
AL,h0134,0.0234892030293035,scr2093,avaConv,wind
AL,h0135,0.006843938346632445,scr2093,avaConv,wind
AL,h0136,0.020084280963992205,scr2093,avaConv,wind
AL,h0137,0.03940647297192904,scr2093,avaConv,wind
AL,h0138,0.05715982932459416,scr2093,avaConv,wind
AL,h0139,0.04218157265369322,scr2093,avaConv,wind
AL,h0140,0.02338400628427882,scr2093,avaConv,wind
AL,h0141,0.0047904460999294764,scr2093,avaConv,wind
