region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h8041,2.850376884424836,scr2096,dem,electricity
AL,h8042,2.785306034135211,scr2096,dem,electricity
AL,h8043,2.7118920999296656,scr2096,dem,electricity
AL,h8044,2.642291000022976,scr2096,dem,electricity
AL,h8045,2.59259683253191,scr2096,dem,electricity
AL,h8046,2.5856247948560585,scr2096,dem,electricity
AL,h8047,2.602512076451342,scr2096,dem,electricity
AL,h8048,2.605908410744366,scr2096,dem,electricity
AL,h8049,2.581792654568698,scr2096,dem,electricity
AL,h8050,2.5338261877902273,scr2096,dem,electricity
AL,h8051,2.4818369709287684,scr2096,dem,electricity
AL,h8052,2.4170055117816647,scr2096,dem,electricity
AL,h8053,2.3365204219417244,scr2096,dem,electricity
AL,h8054,2.2415657877715547,scr2096,dem,electricity
AL,h8055,2.1546505402916045,scr2096,dem,electricity
AL,h8056,2.1207595375988344,scr2096,dem,electricity
AL,h8057,2.182183205274888,scr2096,dem,electricity
AL,h8058,2.2748101004874646,scr2096,dem,electricity
AL,h8059,2.3110868173746515,scr2096,dem,electricity
AL,h8060,2.263123178979903,scr2096,dem,electricity
AL,h8061,2.2007084203780427,scr2096,dem,electricity
AL,h8062,2.1822710053170047,scr2096,dem,electricity
AL,h8063,2.1705026918296655,scr2096,dem,electricity
AL,h8064,2.1473326646747846,scr2096,dem,electricity
AL,h8065,2.106927791508078,scr2096,dem,electricity
AL,h8066,2.0770752761004134,scr2096,dem,electricity
AL,h8067,2.048027609153282,scr2096,dem,electricity
AL,h8068,2.0291885827948173,scr2096,dem,electricity
AL,h8069,2.0300987368123646,scr2096,dem,electricity
AL,h8070,2.0770262473714176,scr2096,dem,electricity
AL,h8071,2.170721696120937,scr2096,dem,electricity
AL,h8072,2.2750371357624535,scr2096,dem,electricity
AL,h8073,2.3449426579895265,scr2096,dem,electricity
AL,h8074,2.35544479262782,scr2096,dem,electricity
AL,h8075,2.323863285169864,scr2096,dem,electricity
AL,h8076,2.2783215375023524,scr2096,dem,electricity
AL,h8077,2.228988711627494,scr2096,dem,electricity
AL,h8078,2.183734508138306,scr2096,dem,electricity
AL,h8079,2.1547860517533874,scr2096,dem,electricity
AL,h8080,2.178339392235546,scr2096,dem,electricity
AL,h8081,2.301518109772465,scr2096,dem,electricity
AL,h8082,2.4638837596459413,scr2096,dem,electricity
AL,h8083,2.576077989848209,scr2096,dem,electricity
AL,h8084,2.6016291932430775,scr2096,dem,electricity
AL,h8085,2.6122461812518174,scr2096,dem,electricity
AL,h8086,2.6757172707304013,scr2096,dem,electricity
AL,h8087,2.7487883803334046,scr2096,dem,electricity
AL,h8088,2.819612234380038,scr2096,dem,electricity
AL,h8089,2.881455798955843,scr2096,dem,electricity
AL,h8090,2.967823950355738,scr2096,dem,electricity
AL,h8091,3.0581833561810803,scr2096,dem,electricity
AL,h8092,3.162212462900664,scr2096,dem,electricity
AL,h8093,3.299918356275409,scr2096,dem,electricity
AL,h8094,3.511817877665983,scr2096,dem,electricity
AL,h8095,3.7916917148517406,scr2096,dem,electricity
AL,h8096,4.0800522975242375,scr2096,dem,electricity
AL,h8097,4.302746136529573,scr2096,dem,electricity
AL,h8098,4.425946222917052,scr2096,dem,electricity
AL,h8099,4.479504020620597,scr2096,dem,electricity
AL,h8100,4.503374821640965,scr2096,dem,electricity
AL,h8101,4.515003699154426,scr2096,dem,electricity
AL,h8102,4.529102288711465,scr2096,dem,electricity
AL,h8103,4.5825372042113575,scr2096,dem,electricity
AL,h8104,4.762855876877034,scr2096,dem,electricity
AL,h8105,5.157818892766638,scr2096,dem,electricity
AL,h8106,5.617472718444696,scr2096,dem,electricity
AL,h8107,5.926148262238435,scr2096,dem,electricity
AL,h8108,6.0131050134162685,scr2096,dem,electricity
AL,h8109,6.077542715157481,scr2096,dem,electricity
AL,h8110,6.271422887477988,scr2096,dem,electricity
AL,h8111,6.512685211665288,scr2096,dem,electricity
AL,h8112,6.764823488327989,scr2096,dem,electricity
AL,h8113,7.002617296669838,scr2096,dem,electricity
AL,h8114,7.270934104036496,scr2096,dem,electricity
AL,h8115,7.49901539842558,scr2096,dem,electricity
AL,h8116,7.717171623047154,scr2096,dem,electricity
AL,h8117,7.9893812552651156,scr2096,dem,electricity
AL,h8118,8.405977662679968,scr2096,dem,electricity
AL,h8119,8.928130586112838,scr2096,dem,electricity
AL,h8120,9.427560705306178,scr2096,dem,electricity
AL,h8121,9.7471441246537,scr2096,dem,electricity
AL,h8122,9.845942400951486,scr2096,dem,electricity
AL,h8123,9.791084711690663,scr2096,dem,electricity
AL,h8124,9.665737417533945,scr2096,dem,electricity
AL,h8125,9.512247376152958,scr2096,dem,electricity
AL,h8126,9.36415554369665,scr2096,dem,electricity
AL,h8127,9.305631982880634,scr2096,dem,electricity
AL,h8128,9.5090888944039,scr2096,dem,electricity
AL,h8129,10.09911919841544,scr2096,dem,electricity
AL,h8130,10.768252043832474,scr2096,dem,electricity
AL,h8131,11.105994478369892,scr2096,dem,electricity
AL,h8132,11.014474488673095,scr2096,dem,electricity
AL,h8133,10.891979159951783,scr2096,dem,electricity
AL,h8134,11.010619678643666,scr2096,dem,electricity
AL,h8135,11.227917373172241,scr2096,dem,electricity
AL,h8136,11.46352640594662,scr2096,dem,electricity
AL,h8137,11.67179189815366,scr2096,dem,electricity
AL,h8138,11.905653471484996,scr2096,dem,electricity
AL,h8139,12.041153061246352,scr2096,dem,electricity
AL,h8140,12.13397642741528,scr2096,dem,electricity
AL,h8141,12.300944759180872,scr2096,dem,electricity
AL,h8142,12.671599697343835,scr2096,dem,electricity
AL,h8143,13.174645193543665,scr2096,dem,electricity
AL,h8144,13.622697086010067,scr2096,dem,electricity
AL,h8145,13.800339084403952,scr2096,dem,electricity
AL,h8146,13.674594338074222,scr2096,dem,electricity
AL,h8147,13.34995049087751,scr2096,dem,electricity
AL,h8148,12.944901255190961,scr2096,dem,electricity
AL,h8149,12.520474845693089,scr2096,dem,electricity
AL,h8150,12.120289321983746,scr2096,dem,electricity
AL,h8151,11.851301738387917,scr2096,dem,electricity
AL,h8152,11.923501001379396,scr2096,dem,electricity
AL,h8153,12.470788919241762,scr2096,dem,electricity
AL,h8154,13.10365002186344,scr2096,dem,electricity
AL,h8155,13.325665672508443,scr2096,dem,electricity
AL,h8156,13.030069908108125,scr2096,dem,electricity
AL,h8157,12.70479594681459,scr2096,dem,electricity
AL,h8158,12.670010607886484,scr2096,dem,electricity
AL,h8159,12.756736834561002,scr2096,dem,electricity
AL,h8160,12.8628142044208,scr2096,dem,electricity
AL,h8161,12.93487228727299,scr2096,dem,electricity
AL,h8162,13.035529355995564,scr2096,dem,electricity
AL,h8163,13.024604752394112,scr2096,dem,electricity
AL,h8164,12.965562564609057,scr2096,dem,electricity
AL,h8165,12.98180672049419,scr2096,dem,electricity
