region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0169,0.0,scr2003,avaConv,solar
AL,h0170,0.0,scr2003,avaConv,solar
AL,h0171,0.0,scr2003,avaConv,solar
AL,h0172,0.0,scr2003,avaConv,solar
AL,h0173,0.00033874479294708504,scr2003,avaConv,solar
AL,h0174,0.0524042065121203,scr2003,avaConv,solar
AL,h0175,0.17181759915737896,scr2003,avaConv,solar
AL,h0176,0.350007167416289,scr2003,avaConv,solar
AL,h0177,0.52554557000285,scr2003,avaConv,solar
AL,h0178,0.6701018724001185,scr2003,avaConv,solar
AL,h0179,0.769529440992728,scr2003,avaConv,solar
AL,h0180,0.8158949759383504,scr2003,avaConv,solar
AL,h0181,0.6599903966507067,scr2003,avaConv,solar
AL,h0182,0.4781002048504833,scr2003,avaConv,solar
AL,h0183,0.27782977949749393,scr2003,avaConv,solar
AL,h0184,0.1919550510857399,scr2003,avaConv,solar
AL,h0185,0.10377931853122914,scr2003,avaConv,solar
AL,h0186,0.030454711404092245,scr2003,avaConv,solar
AL,h0187,0.00749020124068753,scr2003,avaConv,solar
AL,h0188,0.0,scr2003,avaConv,solar
AL,h0189,0.0,scr2003,avaConv,solar
AL,h0190,0.0,scr2003,avaConv,solar
AL,h0191,0.0,scr2003,avaConv,solar
AL,h0192,0.0,scr2003,avaConv,solar
AL,h0193,0.0,scr2003,avaConv,solar
AL,h0194,0.0,scr2003,avaConv,solar
AL,h0195,0.0,scr2003,avaConv,solar
AL,h0196,0.0,scr2003,avaConv,solar
AL,h0197,0.00823988442975243,scr2003,avaConv,solar
AL,h0198,0.07403298951418477,scr2003,avaConv,solar
AL,h0199,0.18964282234981014,scr2003,avaConv,solar
AL,h0200,0.3419602856407918,scr2003,avaConv,solar
AL,h0201,0.4758302761877142,scr2003,avaConv,solar
AL,h0202,0.6008011002514185,scr2003,avaConv,solar
AL,h0203,0.676506472611739,scr2003,avaConv,solar
AL,h0204,0.6895439441216885,scr2003,avaConv,solar
AL,h0205,0.681451817318604,scr2003,avaConv,solar
AL,h0206,0.6348192140664762,scr2003,avaConv,solar
AL,h0207,0.5482632719043121,scr2003,avaConv,solar
AL,h0208,0.34868569063257326,scr2003,avaConv,solar
AL,h0209,0.1920471305755554,scr2003,avaConv,solar
AL,h0210,0.06554883624450553,scr2003,avaConv,solar
AL,h0211,0.032137378087645295,scr2003,avaConv,solar
AL,h0212,0.0,scr2003,avaConv,solar
AL,h0213,0.0,scr2003,avaConv,solar
AL,h0214,0.0,scr2003,avaConv,solar
AL,h0215,0.0,scr2003,avaConv,solar
AL,h0216,0.0,scr2003,avaConv,solar
AL,h0217,0.0,scr2003,avaConv,solar
AL,h0218,0.0,scr2003,avaConv,solar
AL,h0219,0.0,scr2003,avaConv,solar
AL,h0220,0.0,scr2003,avaConv,solar
AL,h0221,0.019051091062646058,scr2003,avaConv,solar
AL,h0222,0.08997577829918885,scr2003,avaConv,solar
AL,h0223,0.1574521088924651,scr2003,avaConv,solar
AL,h0224,0.23723998129903218,scr2003,avaConv,solar
AL,h0225,0.3053477847284712,scr2003,avaConv,solar
AL,h0226,0.4121905581202213,scr2003,avaConv,solar
AL,h0227,0.5016795848403122,scr2003,avaConv,solar
AL,h0228,0.535519831958259,scr2003,avaConv,solar
AL,h0229,0.5284287030971467,scr2003,avaConv,solar
AL,h0230,0.47038809178050933,scr2003,avaConv,solar
AL,h0231,0.3893647029510526,scr2003,avaConv,solar
AL,h0232,0.24488426862272006,scr2003,avaConv,solar
AL,h0233,0.13034128264925127,scr2003,avaConv,solar
AL,h0234,0.03841725055549977,scr2003,avaConv,solar
AL,h0235,0.015700163649457578,scr2003,avaConv,solar
AL,h0236,0.00014261680611818585,scr2003,avaConv,solar
AL,h0237,0.0,scr2003,avaConv,solar
AL,h0238,0.0,scr2003,avaConv,solar
AL,h0239,0.0,scr2003,avaConv,solar
AL,h0240,0.0,scr2003,avaConv,solar
AL,h0241,0.0,scr2003,avaConv,solar
AL,h0242,0.0,scr2003,avaConv,solar
AL,h0243,0.0,scr2003,avaConv,solar
AL,h0244,0.0,scr2003,avaConv,solar
AL,h0245,0.02570062367466433,scr2003,avaConv,solar
AL,h0246,0.09796090655363161,scr2003,avaConv,solar
AL,h0247,0.21763774907476427,scr2003,avaConv,solar
AL,h0248,0.3543975077050483,scr2003,avaConv,solar
AL,h0249,0.48909423181646794,scr2003,avaConv,solar
AL,h0250,0.5947082750538201,scr2003,avaConv,solar
AL,h0251,0.6641654017458093,scr2003,avaConv,solar
AL,h0252,0.6479689023338259,scr2003,avaConv,solar
AL,h0253,0.6382442822078106,scr2003,avaConv,solar
AL,h0254,0.5757123305201889,scr2003,avaConv,solar
AL,h0255,0.49564042086087096,scr2003,avaConv,solar
AL,h0256,0.30697406082305617,scr2003,avaConv,solar
AL,h0257,0.13801613685817382,scr2003,avaConv,solar
AL,h0258,0.03237411679200434,scr2003,avaConv,solar
