region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0289,0.47316390049639717,scr1999,dem,electricity
AL,h0290,0.421175080939666,scr1999,dem,electricity
AL,h0291,0.38555593011373834,scr1999,dem,electricity
AL,h0292,0.3703914988543859,scr1999,dem,electricity
AL,h0293,0.36260833025077144,scr1999,dem,electricity
AL,h0294,0.35388643100438016,scr1999,dem,electricity
AL,h0295,0.37441537537673847,scr1999,dem,electricity
AL,h0296,0.416250597656106,scr1999,dem,electricity
AL,h0297,0.47481248913062596,scr1999,dem,electricity
AL,h0298,0.5102667900104878,scr1999,dem,electricity
AL,h0299,0.5249353686681616,scr1999,dem,electricity
AL,h0300,0.5323085241905796,scr1999,dem,electricity
AL,h0301,0.5227556049312319,scr1999,dem,electricity
AL,h0302,0.508502929969102,scr1999,dem,electricity
AL,h0303,0.4842184109558639,scr1999,dem,electricity
AL,h0304,0.4686696399666619,scr1999,dem,electricity
AL,h0305,0.4559995712022764,scr1999,dem,electricity
AL,h0306,0.44988510439570395,scr1999,dem,electricity
AL,h0307,0.4760869955921888,scr1999,dem,electricity
AL,h0308,0.5080785769006975,scr1999,dem,electricity
AL,h0309,0.5451091843365622,scr1999,dem,electricity
AL,h0310,0.5644950636458892,scr1999,dem,electricity
AL,h0311,0.5747053080750912,scr1999,dem,electricity
AL,h0312,0.5586388474542345,scr1999,dem,electricity
AL,h0313,0.5035850629323877,scr1999,dem,electricity
AL,h0314,0.44458469839624165,scr1999,dem,electricity
AL,h0315,0.402629327745826,scr1999,dem,electricity
AL,h0316,0.3869812883613117,scr1999,dem,electricity
AL,h0317,0.3807361385062938,scr1999,dem,electricity
AL,h0318,0.3748981728764175,scr1999,dem,electricity
AL,h0319,0.38745193429233915,scr1999,dem,electricity
AL,h0320,0.42042271855640695,scr1999,dem,electricity
AL,h0321,0.4700796244541804,scr1999,dem,electricity
AL,h0322,0.5079370211110876,scr1999,dem,electricity
AL,h0323,0.525907881391734,scr1999,dem,electricity
AL,h0324,0.5352693542624818,scr1999,dem,electricity
AL,h0325,0.5419674428807276,scr1999,dem,electricity
AL,h0326,0.5440263019659104,scr1999,dem,electricity
AL,h0327,0.5369460427966005,scr1999,dem,electricity
AL,h0328,0.5225100158891192,scr1999,dem,electricity
AL,h0329,0.5095936682804889,scr1999,dem,electricity
AL,h0330,0.5035381712050045,scr1999,dem,electricity
AL,h0331,0.5049473348892917,scr1999,dem,electricity
AL,h0332,0.5147515950614043,scr1999,dem,electricity
AL,h0333,0.5281593547796414,scr1999,dem,electricity
AL,h0334,0.5499801154327807,scr1999,dem,electricity
AL,h0335,0.5607438768254617,scr1999,dem,electricity
AL,h0336,0.5460982988925653,scr1999,dem,electricity
AT,h0289,5.730522010114941,scr1999,dem,electricity
AT,h0290,5.134767894707672,scr1999,dem,electricity
AT,h0291,4.694579765614211,scr1999,dem,electricity
AT,h0292,4.527716483515265,scr1999,dem,electricity
AT,h0293,4.434551650539612,scr1999,dem,electricity
AT,h0294,4.386868676193581,scr1999,dem,electricity
AT,h0295,5.2123988004663575,scr1999,dem,electricity
AT,h0296,6.308660508987684,scr1999,dem,electricity
AT,h0297,7.50239785979225,scr1999,dem,electricity
AT,h0298,7.827413657912627,scr1999,dem,electricity
AT,h0299,7.984488496270519,scr1999,dem,electricity
AT,h0300,8.09468146150808,scr1999,dem,electricity
AT,h0301,7.611692716190371,scr1999,dem,electricity
AT,h0302,7.0224396531238575,scr1999,dem,electricity
AT,h0303,6.397627950795034,scr1999,dem,electricity
AT,h0304,6.302811313062538,scr1999,dem,electricity
AT,h0305,6.2521661629352945,scr1999,dem,electricity
AT,h0306,6.247587669457044,scr1999,dem,electricity
AT,h0307,6.687614816963995,scr1999,dem,electricity
AT,h0308,7.013746185656952,scr1999,dem,electricity
AT,h0309,7.264214557105941,scr1999,dem,electricity
AT,h0310,6.99543287992743,scr1999,dem,electricity
AT,h0311,6.735592010142273,scr1999,dem,electricity
AT,h0312,6.361350947619506,scr1999,dem,electricity
AT,h0313,5.9009099515706875,scr1999,dem,electricity
AT,h0314,5.472762416243581,scr1999,dem,electricity
AT,h0315,5.175664696798949,scr1999,dem,electricity
AT,h0316,4.98297813031786,scr1999,dem,electricity
AT,h0317,4.88096768356611,scr1999,dem,electricity
AT,h0318,4.892413357703705,scr1999,dem,electricity
AT,h0319,5.615199935927873,scr1999,dem,electricity
AT,h0320,6.601391993490992,scr1999,dem,electricity
AT,h0321,7.632993569210591,scr1999,dem,electricity
AT,h0322,7.990571768810131,scr1999,dem,electricity
AT,h0323,8.163560114522992,scr1999,dem,electricity
AT,h0324,8.28798689815188,scr1999,dem,electricity
AT,h0325,8.281826457948428,scr1999,dem,electricity
AT,h0326,8.148823271766956,scr1999,dem,electricity
AT,h0327,7.945225515834473,scr1999,dem,electricity
AT,h0328,7.8102166544459255,scr1999,dem,electricity
AT,h0329,7.725846391154493,scr1999,dem,electricity
AT,h0330,7.68580638485817,scr1999,dem,electricity
AT,h0331,7.64705782938182,scr1999,dem,electricity
AT,h0332,7.480304729572188,scr1999,dem,electricity
AT,h0333,7.2325322267248655,scr1999,dem,electricity
AT,h0334,6.954732666439762,scr1999,dem,electricity
AT,h0335,6.702506812743266,scr1999,dem,electricity
AT,h0336,6.353486337055481,scr1999,dem,electricity
BA,h0289,0.9784159488440138,scr1999,dem,electricity
BA,h0290,0.8708285763341692,scr1999,dem,electricity
BA,h0291,0.798469418501411,scr1999,dem,electricity
BA,h0292,0.7679857949571669,scr1999,dem,electricity
BA,h0293,0.7524405270971699,scr1999,dem,electricity
BA,h0294,0.7350620807158005,scr1999,dem,electricity
BA,h0295,0.7759160261829388,scr1999,dem,electricity
BA,h0296,0.8606171546037877,scr1999,dem,electricity
BA,h0297,0.9816685995849912,scr1999,dem,electricity
BA,h0298,1.056375118475533,scr1999,dem,electricity
BA,h0299,1.0875330841334145,scr1999,dem,electricity
BA,h0300,1.1032477093342166,scr1999,dem,electricity
BA,h0301,1.0828940358103376,scr1999,dem,electricity
BA,h0302,1.0526380649114557,scr1999,dem,electricity
BA,h0303,1.0014025615183941,scr1999,dem,electricity
BA,h0304,0.96881497809636,scr1999,dem,electricity
BA,h0305,0.9423908203832894,scr1999,dem,electricity
BA,h0306,0.9296816293809804,scr1999,dem,electricity
BA,h0307,0.9783945069593238,scr1999,dem,electricity
BA,h0308,1.0389038167279545,scr1999,dem,electricity
BA,h0309,1.1100347555935257,scr1999,dem,electricity
BA,h0310,1.1496278618419828,scr1999,dem,electricity
BA,h0311,1.170200255719742,scr1999,dem,electricity
BA,h0312,1.1349113152853023,scr1999,dem,electricity
BA,h0313,1.0257990600996987,scr1999,dem,electricity
BA,h0314,0.9104746361184226,scr1999,dem,electricity
BA,h0315,0.8320848137452059,scr1999,dem,electricity
BA,h0316,0.8003850771024841,scr1999,dem,electricity
BA,h0317,0.7878312816464073,scr1999,dem,electricity
BA,h0318,0.7761223872905954,scr1999,dem,electricity
BA,h0319,0.801897026138126,scr1999,dem,electricity
BA,h0320,0.8696239977301796,scr1999,dem,electricity
BA,h0321,0.9731237637218071,scr1999,dem,electricity
BA,h0322,1.0530609921448568,scr1999,dem,electricity
BA,h0323,1.0914964377563479,scr1999,dem,electricity
BA,h0324,1.111755069993331,scr1999,dem,electricity
BA,h0325,1.1254521598956975,scr1999,dem,electricity
BA,h0326,1.1291324506840383,scr1999,dem,electricity
BA,h0327,1.1131496785599144,scr1999,dem,electricity
BA,h0328,1.0823715597082046,scr1999,dem,electricity
BA,h0329,1.0549487437554534,scr1999,dem,electricity
BA,h0330,1.0421305730367658,scr1999,dem,electricity
BA,h0331,1.042317151233486,scr1999,dem,electricity
BA,h0332,1.0594136271350303,scr1999,dem,electricity
BA,h0333,1.0835159838434156,scr1999,dem,electricity
BA,h0334,1.1279646151711602,scr1999,dem,electricity
BA,h0335,1.1494801124152974,scr1999,dem,electricity
BA,h0336,1.1171591570747383,scr1999,dem,electricity
BE,h0289,7.569995897808869,scr1999,dem,electricity
BE,h0290,6.879391738766193,scr1999,dem,electricity
BE,h0291,6.24538776482775,scr1999,dem,electricity
BE,h0292,6.000411328288025,scr1999,dem,electricity
BE,h0293,5.845890792178285,scr1999,dem,electricity
BE,h0294,5.7412466018270925,scr1999,dem,electricity
BE,h0295,6.326147768717208,scr1999,dem,electricity
BE,h0296,7.239583910717958,scr1999,dem,electricity
BE,h0297,8.390167089173843,scr1999,dem,electricity
BE,h0298,8.953868499523972,scr1999,dem,electricity
BE,h0299,9.242105945061889,scr1999,dem,electricity
BE,h0300,9.420151208874598,scr1999,dem,electricity
BE,h0301,8.984077530545862,scr1999,dem,electricity
BE,h0302,8.45191295146277,scr1999,dem,electricity
BE,h0303,7.797147189261363,scr1999,dem,electricity
BE,h0304,7.630631731109571,scr1999,dem,electricity
BE,h0305,7.5136098410091865,scr1999,dem,electricity
BE,h0306,7.487507077271526,scr1999,dem,electricity
BE,h0307,7.988739349116233,scr1999,dem,electricity
BE,h0308,8.38687150114427,scr1999,dem,electricity
BE,h0309,8.639040837948517,scr1999,dem,electricity
BE,h0310,8.297737258940815,scr1999,dem,electricity
BE,h0311,8.168085589913112,scr1999,dem,electricity
BE,h0312,8.03616381069287,scr1999,dem,electricity
BE,h0313,7.758290489199266,scr1999,dem,electricity
BE,h0314,7.266693362985147,scr1999,dem,electricity
BE,h0315,6.799551231909525,scr1999,dem,electricity
BE,h0316,6.513756539468699,scr1999,dem,electricity
BE,h0317,6.327732208019504,scr1999,dem,electricity
BE,h0318,6.190999452999252,scr1999,dem,electricity
BE,h0319,6.574273645422789,scr1999,dem,electricity
BE,h0320,7.297725834135927,scr1999,dem,electricity
BE,h0321,8.250738692478128,scr1999,dem,electricity
BE,h0322,8.824843385670835,scr1999,dem,electricity
BE,h0323,9.131932915093497,scr1999,dem,electricity
BE,h0324,9.328753407202099,scr1999,dem,electricity
BE,h0325,9.380982956507928,scr1999,dem,electricity
BE,h0326,9.347743333544662,scr1999,dem,electricity
BE,h0327,9.199732239681076,scr1999,dem,electricity
BE,h0328,9.046957199573358,scr1999,dem,electricity
BE,h0329,8.8948150689415,scr1999,dem,electricity
BE,h0330,8.78959686659246,scr1999,dem,electricity
BE,h0331,8.741435891008267,scr1999,dem,electricity
BE,h0332,8.626181385894267,scr1999,dem,electricity
BE,h0333,8.402621614450887,scr1999,dem,electricity
BE,h0334,8.091961992323633,scr1999,dem,electricity
BE,h0335,7.985992108983204,scr1999,dem,electricity
BE,h0336,7.919526885735805,scr1999,dem,electricity
