region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0145,2.259619959796721,scr2013,stInflow,reservoir
AT,h0146,2.316407199681357,scr2013,stInflow,reservoir
AT,h0147,2.373166200177231,scr2013,stInflow,reservoir
AT,h0148,2.373166200177231,scr2013,stInflow,reservoir
AT,h0149,2.373166200177231,scr2013,stInflow,reservoir
AT,h0150,2.373166200177231,scr2013,stInflow,reservoir
AT,h0151,2.373166200177231,scr2013,stInflow,reservoir
AT,h0152,2.373166200177231,scr2013,stInflow,reservoir
AT,h0153,2.373166200177231,scr2013,stInflow,reservoir
AT,h0154,2.373166200177231,scr2013,stInflow,reservoir
AT,h0155,2.373166200177231,scr2013,stInflow,reservoir
AT,h0156,2.373166200177231,scr2013,stInflow,reservoir
AT,h0157,2.3072070973353362,scr2013,stInflow,reservoir
AT,h0158,2.2412097018920285,scr2013,stInflow,reservoir
AT,h0159,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0160,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0161,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0162,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0163,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0164,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0165,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0166,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0167,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0168,2.1751728400784622,scr2013,stInflow,reservoir
AT,h0169,1.8731730465105854,scr2013,stInflow,reservoir
AT,h0170,1.5701776025210834,scr2013,stInflow,reservoir
AT,h0171,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0172,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0173,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0174,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0175,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0176,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0177,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0178,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0179,1.2659835385958833,scr2013,stInflow,reservoir
AT,h0180,1.2659835385958833,scr2013,stInflow,reservoir
