region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h6577,0.4883608826454213,scr2013,dem,electricity
AL,h6578,0.43793860768646237,scr2013,dem,electricity
AL,h6579,0.4057770807234697,scr2013,dem,electricity
AL,h6580,0.3925022361576222,scr2013,dem,electricity
AL,h6581,0.3886660955186929,scr2013,dem,electricity
AL,h6582,0.3973548164808789,scr2013,dem,electricity
AL,h6583,0.43478506976657355,scr2013,dem,electricity
AL,h6584,0.48827562032002986,scr2013,dem,electricity
AL,h6585,0.5415686126706041,scr2013,dem,electricity
AL,h6586,0.5695428645110006,scr2013,dem,electricity
AL,h6587,0.577762080468555,scr2013,dem,electricity
AL,h6588,0.581787018831956,scr2013,dem,electricity
AL,h6589,0.5828460220015106,scr2013,dem,electricity
AL,h6590,0.5807672006627413,scr2013,dem,electricity
AL,h6591,0.5689705609242925,scr2013,dem,electricity
AL,h6592,0.5531366311752088,scr2013,dem,electricity
AL,h6593,0.5418847281775876,scr2013,dem,electricity
AL,h6594,0.5388245062712085,scr2013,dem,electricity
AL,h6595,0.5549614821598148,scr2013,dem,electricity
AL,h6596,0.5977012003973194,scr2013,dem,electricity
AL,h6597,0.6298030396821062,scr2013,dem,electricity
AL,h6598,0.6309171597854508,scr2013,dem,electricity
AL,h6599,0.5946680893313212,scr2013,dem,electricity
AL,h6600,0.5442165145187592,scr2013,dem,electricity
AL,h6601,0.4896595336331352,scr2013,dem,electricity
AL,h6602,0.4378002649171134,scr2013,dem,electricity
AL,h6603,0.40434745642164843,scr2013,dem,electricity
AL,h6604,0.390313453048689,scr2013,dem,electricity
AL,h6605,0.3865939456728709,scr2013,dem,electricity
AL,h6606,0.3954601698836186,scr2013,dem,electricity
AL,h6607,0.43382546070898503,scr2013,dem,electricity
AL,h6608,0.48805487189466706,scr2013,dem,electricity
AL,h6609,0.5417612926019775,scr2013,dem,electricity
AL,h6610,0.5692537002355487,scr2013,dem,electricity
AL,h6611,0.5772273516036956,scr2013,dem,electricity
AL,h6612,0.5811558444767317,scr2013,dem,electricity
AL,h6613,0.5824573671730706,scr2013,dem,electricity
AL,h6614,0.5805322082163116,scr2013,dem,electricity
AL,h6615,0.5687853167311141,scr2013,dem,electricity
AL,h6616,0.5524846985247756,scr2013,dem,electricity
AL,h6617,0.5409965990811061,scr2013,dem,electricity
AL,h6618,0.5375962519863715,scr2013,dem,electricity
AL,h6619,0.5547025062571933,scr2013,dem,electricity
AL,h6620,0.5972461484017269,scr2013,dem,electricity
AL,h6621,0.62918493002323,scr2013,dem,electricity
AL,h6622,0.6294713702870451,scr2013,dem,electricity
AL,h6623,0.5936525664920949,scr2013,dem,electricity
AL,h6624,0.5440072664138469,scr2013,dem,electricity
AL,h6625,0.49235619361018296,scr2013,dem,electricity
AL,h6626,0.44492842318824294,scr2013,dem,electricity
AL,h6627,0.41398012119683736,scr2013,dem,electricity
AL,h6628,0.4004294221594969,scr2013,dem,electricity
AL,h6629,0.3957379235631793,scr2013,dem,electricity
