region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.0,scr1998,avaConv,solar
AL,h0002,0.0,scr1998,avaConv,solar
AL,h0003,0.0,scr1998,avaConv,solar
AL,h0004,0.0,scr1998,avaConv,solar
AL,h0005,0.0,scr1998,avaConv,solar
AL,h0006,0.0,scr1998,avaConv,solar
AL,h0007,0.004073420934298396,scr1998,avaConv,solar
AL,h0008,0.03290797191744298,scr1998,avaConv,solar
AL,h0009,0.08689563318872283,scr1998,avaConv,solar
AL,h0010,0.15359491469365202,scr1998,avaConv,solar
AL,h0011,0.21780825323150296,scr1998,avaConv,solar
AL,h0012,0.2778598147596571,scr1998,avaConv,solar
AL,h0013,0.3364342548890143,scr1998,avaConv,solar
AL,h0014,0.39976700756004613,scr1998,avaConv,solar
AL,h0015,0.29472019567153573,scr1998,avaConv,solar
AL,h0016,0.16304226718317466,scr1998,avaConv,solar
AL,h0017,0.011988044727667936,scr1998,avaConv,solar
AL,h0018,0.0,scr1998,avaConv,solar
AL,h0019,0.0,scr1998,avaConv,solar
AL,h0020,0.0,scr1998,avaConv,solar
AL,h0021,0.0,scr1998,avaConv,solar
AL,h0022,0.0,scr1998,avaConv,solar
AL,h0023,0.0,scr1998,avaConv,solar
AL,h0024,0.0,scr1998,avaConv,solar
AL,h0025,0.0,scr1998,avaConv,solar
AL,h0026,0.0,scr1998,avaConv,solar
AL,h0027,0.0,scr1998,avaConv,solar
AL,h0028,0.0,scr1998,avaConv,solar
AL,h0029,0.0,scr1998,avaConv,solar
AL,h0030,0.0,scr1998,avaConv,solar
AL,h0031,0.0020545130619312427,scr1998,avaConv,solar
AL,h0032,0.03144864987942718,scr1998,avaConv,solar
AL,h0033,0.10977606597419705,scr1998,avaConv,solar
AL,h0034,0.2247866412029225,scr1998,avaConv,solar
AL,h0035,0.35182266972448617,scr1998,avaConv,solar
AL,h0036,0.484528083512524,scr1998,avaConv,solar
AL,h0037,0.6025926039839477,scr1998,avaConv,solar
AL,h0038,0.6932541518524031,scr1998,avaConv,solar
AL,h0039,0.500568545362659,scr1998,avaConv,solar
AL,h0040,0.2621593686774474,scr1998,avaConv,solar
AL,h0041,0.02389026173483508,scr1998,avaConv,solar
AL,h0042,0.0,scr1998,avaConv,solar
AL,h0043,0.0,scr1998,avaConv,solar
AL,h0044,0.0,scr1998,avaConv,solar
AL,h0045,0.0,scr1998,avaConv,solar
AL,h0046,0.0,scr1998,avaConv,solar
AL,h0047,0.0,scr1998,avaConv,solar
AL,h0048,0.0,scr1998,avaConv,solar
AL,h0049,0.0,scr1998,avaConv,solar
AL,h0050,0.0,scr1998,avaConv,solar
AL,h0051,0.0,scr1998,avaConv,solar
AL,h0052,0.0,scr1998,avaConv,solar
AL,h0053,0.0,scr1998,avaConv,solar
AL,h0054,0.0,scr1998,avaConv,solar
AL,h0055,0.009771937163129728,scr1998,avaConv,solar
AL,h0056,0.08080162634059679,scr1998,avaConv,solar
AL,h0057,0.21271683791850976,scr1998,avaConv,solar
AL,h0058,0.3859951166110766,scr1998,avaConv,solar
AL,h0059,0.5264635347960357,scr1998,avaConv,solar
AL,h0060,0.6249792554594363,scr1998,avaConv,solar
AL,h0061,0.6774618686231982,scr1998,avaConv,solar
AL,h0062,0.7035836829419623,scr1998,avaConv,solar
AL,h0063,0.4916426989606237,scr1998,avaConv,solar
AL,h0064,0.25332167433446107,scr1998,avaConv,solar
AL,h0065,0.02282553775857184,scr1998,avaConv,solar
AL,h0066,0.0,scr1998,avaConv,solar
AL,h0067,0.0,scr1998,avaConv,solar
AL,h0068,0.0,scr1998,avaConv,solar
AL,h0069,0.0,scr1998,avaConv,solar
AL,h0070,0.0,scr1998,avaConv,solar
AL,h0071,0.0,scr1998,avaConv,solar
AL,h0072,0.0,scr1998,avaConv,solar
AL,h0073,0.0,scr1998,avaConv,solar
AL,h0074,0.0,scr1998,avaConv,solar
AL,h0075,0.0,scr1998,avaConv,solar
AL,h0076,0.0,scr1998,avaConv,solar
AL,h0077,0.0,scr1998,avaConv,solar
AL,h0078,0.0,scr1998,avaConv,solar
AL,h0079,0.005675198433525608,scr1998,avaConv,solar
AL,h0080,0.04747042055842369,scr1998,avaConv,solar
AL,h0081,0.13079728313845998,scr1998,avaConv,solar
AL,h0082,0.24017233719383574,scr1998,avaConv,solar
AL,h0083,0.3329953331312928,scr1998,avaConv,solar
AL,h0084,0.39653032640658786,scr1998,avaConv,solar
AL,h0085,0.4328645466474294,scr1998,avaConv,solar
AL,h0086,0.4662496263587418,scr1998,avaConv,solar
AL,h0087,0.32936942714890705,scr1998,avaConv,solar
AL,h0088,0.17578260758337727,scr1998,avaConv,solar
AL,h0089,0.013410476410725895,scr1998,avaConv,solar
AL,h0090,0.0,scr1998,avaConv,solar
AL,h0091,0.0,scr1998,avaConv,solar
AL,h0092,0.0,scr1998,avaConv,solar
AL,h0093,0.0,scr1998,avaConv,solar
AL,h0094,0.0,scr1998,avaConv,solar
AL,h0095,0.0,scr1998,avaConv,solar
AL,h0096,0.0,scr1998,avaConv,solar
AL,h0097,0.0,scr1998,avaConv,solar
AL,h0098,0.0,scr1998,avaConv,solar
AL,h0099,0.0,scr1998,avaConv,solar
AL,h0100,0.0,scr1998,avaConv,solar
AL,h0101,0.0,scr1998,avaConv,solar
AL,h0102,0.0,scr1998,avaConv,solar
AL,h0103,0.0004328335666111012,scr1998,avaConv,solar
AL,h0104,0.010556321561466587,scr1998,avaConv,solar
AL,h0105,0.030891851525325642,scr1998,avaConv,solar
AL,h0106,0.053925398109525374,scr1998,avaConv,solar
AL,h0107,0.07638566095207573,scr1998,avaConv,solar
AL,h0108,0.08905361496498185,scr1998,avaConv,solar
AL,h0109,0.0875127751905536,scr1998,avaConv,solar
AL,h0110,0.07206111130593111,scr1998,avaConv,solar
AL,h0111,0.04174088816145147,scr1998,avaConv,solar
AL,h0112,0.01997173831564723,scr1998,avaConv,solar
AL,h0113,0.002884206775370242,scr1998,avaConv,solar
AL,h0114,0.0,scr1998,avaConv,solar
AL,h0115,0.0,scr1998,avaConv,solar
AL,h0116,0.0,scr1998,avaConv,solar
AL,h0117,0.0,scr1998,avaConv,solar
AL,h0118,0.0,scr1998,avaConv,solar
AL,h0119,0.0,scr1998,avaConv,solar
AL,h0120,0.0,scr1998,avaConv,solar
AL,h0121,0.0,scr1998,avaConv,solar
AL,h0122,0.0,scr1998,avaConv,solar
AL,h0123,0.0,scr1998,avaConv,solar
AL,h0124,0.0,scr1998,avaConv,solar
AL,h0125,0.0,scr1998,avaConv,solar
AL,h0126,0.0,scr1998,avaConv,solar
AL,h0127,0.0014074915349851914,scr1998,avaConv,solar
AL,h0128,0.018976487430884547,scr1998,avaConv,solar
AL,h0129,0.06269757877265456,scr1998,avaConv,solar
AL,h0130,0.11323876065198706,scr1998,avaConv,solar
AL,h0131,0.1590734795731721,scr1998,avaConv,solar
AL,h0132,0.1949423334513427,scr1998,avaConv,solar
AL,h0133,0.26767044327890266,scr1998,avaConv,solar
AL,h0134,0.3371917502509668,scr1998,avaConv,solar
AL,h0135,0.26858033191543984,scr1998,avaConv,solar
AL,h0136,0.14181833237287472,scr1998,avaConv,solar
AL,h0137,0.0134775167644634,scr1998,avaConv,solar
AL,h0138,0.0,scr1998,avaConv,solar
AL,h0139,0.0,scr1998,avaConv,solar
