region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h1441,0.5704344842479954,scr1997,avaConv,runOfRiver
AT,h1442,0.5742246278481051,scr1997,avaConv,runOfRiver
AT,h1443,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1444,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1445,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1446,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1447,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1448,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1449,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1450,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1451,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1452,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1453,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1454,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1455,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1456,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1457,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1458,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1459,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1460,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1461,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1462,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1463,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1464,0.5780147739498271,scr1997,avaConv,runOfRiver
AT,h1465,0.5820480782931576,scr1997,avaConv,runOfRiver
AT,h1466,0.5860813854313061,scr1997,avaConv,runOfRiver
AT,h1467,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1468,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1469,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1470,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1471,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1472,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1473,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1474,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1475,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1476,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1477,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1478,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1479,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1480,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1481,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1482,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1483,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1484,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1485,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1486,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1487,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1488,0.5901146953450411,scr1997,avaConv,runOfRiver
AT,h1489,0.5933664450652558,scr1997,avaConv,runOfRiver
AT,h1490,0.596618196567438,scr1997,avaConv,runOfRiver
AT,h1491,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1492,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1493,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1494,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1495,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1496,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1497,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1498,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1499,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1500,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1501,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1502,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1503,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1504,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1505,0.599869949841876,scr1997,avaConv,runOfRiver
AT,h1506,0.599869949841876,scr1997,avaConv,runOfRiver
