region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h5065,0.12988222170901814,scr2007,avaConv,wind
AL,h5066,0.12037421876404275,scr2007,avaConv,wind
AL,h5067,0.10925690695709797,scr2007,avaConv,wind
AL,h5068,0.09681317147979933,scr2007,avaConv,wind
AL,h5069,0.08394179709069623,scr2007,avaConv,wind
AL,h5070,0.0718099910320061,scr2007,avaConv,wind
AL,h5071,0.05899079539732208,scr2007,avaConv,wind
AL,h5072,0.043543104839787,scr2007,avaConv,wind
AL,h5073,0.02606664490114934,scr2007,avaConv,wind
AL,h5074,0.011253055681076547,scr2007,avaConv,wind
AL,h5075,0.002775032712099529,scr2007,avaConv,wind
AL,h5076,0.00017001952849590745,scr2007,avaConv,wind
AL,h5077,0.0,scr2007,avaConv,wind
AL,h5078,0.0,scr2007,avaConv,wind
AL,h5079,0.0,scr2007,avaConv,wind
AL,h5080,0.0,scr2007,avaConv,wind
AL,h5081,0.0,scr2007,avaConv,wind
AL,h5082,0.0,scr2007,avaConv,wind
AL,h5083,0.0010624489851144446,scr2007,avaConv,wind
AL,h5084,0.0038769064480819637,scr2007,avaConv,wind
AL,h5085,0.008635013646358686,scr2007,avaConv,wind
AL,h5086,0.014710740946231282,scr2007,avaConv,wind
AL,h5087,0.020935428764982236,scr2007,avaConv,wind
AL,h5088,0.026959848044228372,scr2007,avaConv,wind
AL,h5089,0.0321480916970533,scr2007,avaConv,wind
AL,h5090,0.035621425279528024,scr2007,avaConv,wind
AL,h5091,0.036665175939054925,scr2007,avaConv,wind
AL,h5092,0.03521210846515393,scr2007,avaConv,wind
AL,h5093,0.03190536689344549,scr2007,avaConv,wind
AL,h5094,0.02735809962040166,scr2007,avaConv,wind
AL,h5095,0.02207557380089076,scr2007,avaConv,wind
AL,h5096,0.016834503137844764,scr2007,avaConv,wind
AL,h5097,0.011755680192394617,scr2007,avaConv,wind
AL,h5098,0.007780921757475445,scr2007,avaConv,wind
AL,h5099,0.005266807003839012,scr2007,avaConv,wind
AL,h5100,0.005831622253888858,scr2007,avaConv,wind
AL,h5101,0.008713817863556912,scr2007,avaConv,wind
AL,h5102,0.014779338797880284,scr2007,avaConv,wind
AL,h5103,0.02433978335149011,scr2007,avaConv,wind
AL,h5104,0.03913548210632974,scr2007,avaConv,wind
AL,h5105,0.05890549098107096,scr2007,avaConv,wind
AL,h5106,0.08349781269001574,scr2007,avaConv,wind
AL,h5107,0.10947632338345656,scr2007,avaConv,wind
AL,h5108,0.13258395099824802,scr2007,avaConv,wind
AL,h5109,0.14937926924896627,scr2007,avaConv,wind
AL,h5110,0.15973088501254418,scr2007,avaConv,wind
AL,h5111,0.16574615802217135,scr2007,avaConv,wind
AL,h5112,0.1677917670528037,scr2007,avaConv,wind
AL,h5113,0.1655258992708084,scr2007,avaConv,wind
AL,h5114,0.15782235312854995,scr2007,avaConv,wind
AL,h5115,0.14419587110377233,scr2007,avaConv,wind
AL,h5116,0.12640024016030585,scr2007,avaConv,wind
AL,h5117,0.106397354453392,scr2007,avaConv,wind
AL,h5118,0.08663797976654376,scr2007,avaConv,wind
AL,h5119,0.06722221222695528,scr2007,avaConv,wind
AL,h5120,0.04892910675442219,scr2007,avaConv,wind
AL,h5121,0.03169368080976876,scr2007,avaConv,wind
AL,h5122,0.018476591592162084,scr2007,avaConv,wind
AL,h5123,0.009655576681192872,scr2007,avaConv,wind
AL,h5124,0.004823103879410937,scr2007,avaConv,wind
AL,h5125,0.0021163839347077013,scr2007,avaConv,wind
AL,h5126,0.000685499245141406,scr2007,avaConv,wind
AL,h5127,0.00040560468963076135,scr2007,avaConv,wind
AL,h5128,0.0012816816717926153,scr2007,avaConv,wind
AL,h5129,0.0029541039309670014,scr2007,avaConv,wind
AL,h5130,0.005568472295078791,scr2007,avaConv,wind
AL,h5131,0.009174501985645619,scr2007,avaConv,wind
