region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h4321,0.0,scr2009,avaConv,solar
AL,h4322,0.0,scr2009,avaConv,solar
AL,h4323,0.0,scr2009,avaConv,solar
AL,h4324,0.0016224448122813902,scr2009,avaConv,solar
AL,h4325,0.041316131650525834,scr2009,avaConv,solar
AL,h4326,0.12564966293963675,scr2009,avaConv,solar
AL,h4327,0.25380387637776475,scr2009,avaConv,solar
AL,h4328,0.384500923904198,scr2009,avaConv,solar
AL,h4329,0.5077037688253325,scr2009,avaConv,solar
AL,h4330,0.6142527502734838,scr2009,avaConv,solar
AL,h4331,0.688442046245228,scr2009,avaConv,solar
AL,h4332,0.7177976454967018,scr2009,avaConv,solar
AL,h4333,0.691138772553493,scr2009,avaConv,solar
AL,h4334,0.612245734912631,scr2009,avaConv,solar
AL,h4335,0.48448709629805325,scr2009,avaConv,solar
AL,h4336,0.30899663456408266,scr2009,avaConv,solar
AL,h4337,0.14242371121686576,scr2009,avaConv,solar
AL,h4338,0.046919648401318355,scr2009,avaConv,solar
AL,h4339,0.013001935435561796,scr2009,avaConv,solar
AL,h4340,0.011577691536719604,scr2009,avaConv,solar
AL,h4341,0.0,scr2009,avaConv,solar
AL,h4342,0.0,scr2009,avaConv,solar
AL,h4343,0.0,scr2009,avaConv,solar
AL,h4344,0.0,scr2009,avaConv,solar
AL,h4345,0.0,scr2009,avaConv,solar
AL,h4346,0.0,scr2009,avaConv,solar
AL,h4347,0.0,scr2009,avaConv,solar
AL,h4348,0.0013797303885847707,scr2009,avaConv,solar
AL,h4349,0.03988387589031427,scr2009,avaConv,solar
AL,h4350,0.12283844107596407,scr2009,avaConv,solar
AL,h4351,0.24994292890342493,scr2009,avaConv,solar
AL,h4352,0.3803337743114792,scr2009,avaConv,solar
AL,h4353,0.5031099863245387,scr2009,avaConv,solar
AL,h4354,0.6088331447873024,scr2009,avaConv,solar
AL,h4355,0.6827326690575495,scr2009,avaConv,solar
AL,h4356,0.7122440630936026,scr2009,avaConv,solar
AL,h4357,0.6864792954340031,scr2009,avaConv,solar
AL,h4358,0.6085041559263966,scr2009,avaConv,solar
AL,h4359,0.48198231598622115,scr2009,avaConv,solar
AL,h4360,0.30783395462826235,scr2009,avaConv,solar
AL,h4361,0.14212216012163872,scr2009,avaConv,solar
AL,h4362,0.04680881618307166,scr2009,avaConv,solar
AL,h4363,0.012799911389738574,scr2009,avaConv,solar
AL,h4364,0.011398614875258601,scr2009,avaConv,solar
