region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0337,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0338,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0339,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0340,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0341,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0342,1.7210857389646868,scr2005,stInflow,reservoir
AT,h0343,1.5911159216856658,scr2005,stInflow,reservoir
AT,h0344,1.4612524380979397,scr2005,stInflow,reservoir
AT,h0345,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0346,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0347,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0348,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0349,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0350,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0351,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0352,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0353,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0354,1.3315045783383248,scr2005,stInflow,reservoir
AT,h0355,1.242632789588192,scr2005,stInflow,reservoir
AT,h0356,1.1538246769219553,scr2005,stInflow,reservoir
AT,h0357,1.065085058040149,scr2005,stInflow,reservoir
AT,h0358,1.065085058040149,scr2005,stInflow,reservoir
AT,h0359,1.065085058040149,scr2005,stInflow,reservoir
AT,h0360,1.065085058040149,scr2005,stInflow,reservoir
AT,h0361,1.065085058040149,scr2005,stInflow,reservoir
AT,h0362,1.065085058040149,scr2005,stInflow,reservoir
AT,h0363,1.065085058040149,scr2005,stInflow,reservoir
AT,h0364,1.065085058040149,scr2005,stInflow,reservoir
AT,h0365,1.065085058040149,scr2005,stInflow,reservoir
AT,h0366,1.065085058040149,scr2005,stInflow,reservoir
AT,h0367,1.0441710907599906,scr2005,stInflow,reservoir
AT,h0368,1.0232613203668135,scr2005,stInflow,reservoir
AT,h0369,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0370,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0371,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0372,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0373,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0374,1.0023558310842011,scr2005,stInflow,reservoir
AT,h0375,1.0023558310842011,scr2005,stInflow,reservoir
