region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0097,0.19685389458678812,scr2009,avaConv,wind
AL,h0098,0.15398852388846088,scr2009,avaConv,wind
AL,h0099,0.12760767188938643,scr2009,avaConv,wind
AL,h0100,0.12008155172697745,scr2009,avaConv,wind
AL,h0101,0.11742737617461206,scr2009,avaConv,wind
AL,h0102,0.11599214319810769,scr2009,avaConv,wind
AL,h0103,0.24770162272506807,scr2009,avaConv,wind
AL,h0104,0.3821213072604155,scr2009,avaConv,wind
AL,h0105,0.5160417111396972,scr2009,avaConv,wind
AL,h0106,0.5069459793169016,scr2009,avaConv,wind
AL,h0107,0.5017763660831168,scr2009,avaConv,wind
AL,h0108,0.5061427703150535,scr2009,avaConv,wind
AL,h0109,0.41092310246813685,scr2009,avaConv,wind
AL,h0110,0.2921294821479914,scr2009,avaConv,wind
AL,h0111,0.15520199611285623,scr2009,avaConv,wind
AL,h0112,0.10578497327344344,scr2009,avaConv,wind
AL,h0113,0.07501696178002526,scr2009,avaConv,wind
AL,h0114,0.05808273853828235,scr2009,avaConv,wind
AL,h0115,0.202866564243497,scr2009,avaConv,wind
AL,h0116,0.35085245105246265,scr2009,avaConv,wind
AL,h0117,0.5012816433041031,scr2009,avaConv,wind
AL,h0118,0.4865287291026446,scr2009,avaConv,wind
AL,h0119,0.48217142188073353,scr2009,avaConv,wind
AL,h0120,0.4842676498464382,scr2009,avaConv,wind
AL,h0121,0.32706129694727726,scr2009,avaConv,wind
AL,h0122,0.1742795407890521,scr2009,avaConv,wind
AL,h0123,0.031043201361661422,scr2009,avaConv,wind
AL,h0124,0.03533447856663366,scr2009,avaConv,wind
AL,h0125,0.04164654551275479,scr2009,avaConv,wind
AL,h0126,0.05003184846266812,scr2009,avaConv,wind
AL,h0127,0.16513194531675307,scr2009,avaConv,wind
AL,h0128,0.2784222975725268,scr2009,avaConv,wind
AL,h0129,0.38211290057862096,scr2009,avaConv,wind
AL,h0130,0.35479106606228883,scr2009,avaConv,wind
AL,h0131,0.31595862277694475,scr2009,avaConv,wind
AL,h0132,0.2676833534949517,scr2009,avaConv,wind
AL,h0133,0.1984582880825177,scr2009,avaConv,wind
AL,h0134,0.15304289712665772,scr2009,avaConv,wind
AL,h0135,0.13243813195099835,scr2009,avaConv,wind
AL,h0136,0.15244844683246475,scr2009,avaConv,wind
AL,h0137,0.17463980966181414,scr2009,avaConv,wind
AL,h0138,0.20163952376513627,scr2009,avaConv,wind
AL,h0139,0.3715837037176492,scr2009,avaConv,wind
AL,h0140,0.5186882361764211,scr2009,avaConv,wind
AL,h0141,0.6305289262805276,scr2009,avaConv,wind
AL,h0142,0.5549357324019971,scr2009,avaConv,wind
AL,h0143,0.4630281742269516,scr2009,avaConv,wind
AL,h0144,0.3561722129890001,scr2009,avaConv,wind
AT,h0097,0.3871327572402279,scr2009,avaConv,wind
AT,h0098,0.3435222215565405,scr2009,avaConv,wind
AT,h0099,0.28972309742019814,scr2009,avaConv,wind
AT,h0100,0.27643429478770704,scr2009,avaConv,wind
AT,h0101,0.26050646907529257,scr2009,avaConv,wind
AT,h0102,0.24352099810535333,scr2009,avaConv,wind
AT,h0103,0.40842108345270245,scr2009,avaConv,wind
AT,h0104,0.5673884711207641,scr2009,avaConv,wind
AT,h0105,0.7270949106066286,scr2009,avaConv,wind
AT,h0106,0.7169365666218408,scr2009,avaConv,wind
AT,h0107,0.73122482893499,scr2009,avaConv,wind
AT,h0108,0.7376307385221138,scr2009,avaConv,wind
AT,h0109,0.5599890588153263,scr2009,avaConv,wind
AT,h0110,0.3672775306460165,scr2009,avaConv,wind
AT,h0111,0.18384715148477665,scr2009,avaConv,wind
AT,h0112,0.1687826207696104,scr2009,avaConv,wind
AT,h0113,0.15574245977790938,scr2009,avaConv,wind
AT,h0114,0.1413016968331319,scr2009,avaConv,wind
AT,h0115,0.22414695928140152,scr2009,avaConv,wind
AT,h0116,0.31200497770320623,scr2009,avaConv,wind
AT,h0117,0.40671014124884985,scr2009,avaConv,wind
AT,h0118,0.40322382707902216,scr2009,avaConv,wind
AT,h0119,0.39280346842551916,scr2009,avaConv,wind
AT,h0120,0.375240715450623,scr2009,avaConv,wind
AT,h0121,0.41498304985115625,scr2009,avaConv,wind
AT,h0122,0.45633558260385326,scr2009,avaConv,wind
AT,h0123,0.5038950843755021,scr2009,avaConv,wind
AT,h0124,0.4974745617862051,scr2009,avaConv,wind
AT,h0125,0.4957205246605327,scr2009,avaConv,wind
AT,h0126,0.49604008745145567,scr2009,avaConv,wind
AT,h0127,0.3473571509675159,scr2009,avaConv,wind
AT,h0128,0.19865802715085426,scr2009,avaConv,wind
AT,h0129,0.05208611030671337,scr2009,avaConv,wind
AT,h0130,0.05190211443255311,scr2009,avaConv,wind
AT,h0131,0.05468298572133596,scr2009,avaConv,wind
AT,h0132,0.05906409218570371,scr2009,avaConv,wind
AT,h0133,0.1492255145118618,scr2009,avaConv,wind
AT,h0134,0.24360714144837234,scr2009,avaConv,wind
AT,h0135,0.3403096883940698,scr2009,avaConv,wind
AT,h0136,0.34189410982157964,scr2009,avaConv,wind
AT,h0137,0.33690630761691803,scr2009,avaConv,wind
AT,h0138,0.33608387421170577,scr2009,avaConv,wind
AT,h0139,0.4988220025863706,scr2009,avaConv,wind
AT,h0140,0.6651050264427492,scr2009,avaConv,wind
AT,h0141,0.8263227784133269,scr2009,avaConv,wind
AT,h0142,0.8315614680854486,scr2009,avaConv,wind
AT,h0143,0.8406897917555958,scr2009,avaConv,wind
AT,h0144,0.8490476723425928,scr2009,avaConv,wind
BA,h0097,0.11812478906728005,scr2009,avaConv,wind
BA,h0098,0.07247394862257228,scr2009,avaConv,wind
BA,h0099,0.029569769946048305,scr2009,avaConv,wind
BA,h0100,0.030305576570699422,scr2009,avaConv,wind
BA,h0101,0.02988008395963348,scr2009,avaConv,wind
BA,h0102,0.02860297829931319,scr2009,avaConv,wind
BA,h0103,0.16489623351548302,scr2009,avaConv,wind
BA,h0104,0.31258238538741207,scr2009,avaConv,wind
BA,h0105,0.4709991844409858,scr2009,avaConv,wind
BA,h0106,0.4797349458910019,scr2009,avaConv,wind
